packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,mean_selected_offset_coherence,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error
1,0,1,33,1,1,0,35,35,0.8,0.8,0.45714285714285713,0.45714285714285713,0.17142857142857143,0.17142857142857143,0.6285714285714286,0.2857142857142857,4,31,0.11428571428571428,0,4,0.0,28,31,0.9032258064516129,47.607769212891995,0.3144930847315022,0.7792494054978087,0.9495831713023037,0.9211181511268539,-0.06537612924462972,0.7582397954262439,0.32266296225266716,26,64,,406433003100020058303132337431763738393a3bbc3db637404142c378563412,0,0xf2dc,0x4d14,33,
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.4,0.4,0.08571428571428572,0.08571428571428572,0.7999999999999999,0.3142857142857143,10,25,0.2857142857142857,1,10,0.1,23,25,0.92,48.35609958440847,0.8739602234327818,0.8595758444824493,0.9161336111509075,0.94429033145433,-0.07552910940175821,0.9668459085099881,0.11011283929581375,26,64,,404433221100030058303132333435363738393a3b3c3d3e3f4061604158763613,0,0x94d7,0x09a0,33,
3,2,3,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.4,0.4,0.17142857142857143,0.17142857142857143,0.5142857142857142,0.2285714285714286,5,30,0.14285714285714285,0,5,0.0,27,30,0.9,47.382816046215346,0.7946357143330463,0.8531220115750562,0.935996695062626,0.9224889192297516,-0.11100360299834754,0.9827736301718909,0.14383474589856618,26,64,,407412111237060058303132133435343538393a3b3c3d3e3f4041424378563412,0,0xaebd,0xc08d,33,
5,3,5,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.37142857142857144,0.37142857142857144,0.2,0.2,0.5142857142857142,0.17142857142857143,9,26,0.2571428571428571,0,9,0.0,20,26,0.7692307692307693,48.0228523196681,0.7223246929210345,0.8146233446510143,0.9404015056634644,0.9374775347184475,-0.11040197350681748,0.9734613100880668,0.17110010964159428,26,64,,40443233101106005830313233343536777c793a3b283c2627504046077c56b412,0,0x2cbe,0x4bed,33,
6,4,6,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.2,0.2,0.5428571428571429,0.11428571428571427,4,31,0.11428571428571428,0,4,0.0,29,31,0.9354838709677419,47.538727985344515,0.8980543205024389,0.9147754759544394,0.9366418724669721,0.9174879171335638,-0.12421797231567723,0.9915457446795428,0.09837288741058749,26,64,,40443322110027225a301372733031323738393a3b3c353eb7c04962415a743430,0,0x1ef3,0x0c11,33,
8,5,8,33,1,1,0,35,35,0.8,0.8,0.3142857142857143,0.3142857142857143,0.17142857142857143,0.17142857142857143,0.6285714285714286,0.14285714285714285,10,25,0.2857142857142857,0,10,0.0,22,25,0.88,47.840753828054325,0.7520459091054679,0.7895082453233865,0.9179511073404751,0.933145806771526,-0.1131132555288952,0.9761592824507574,0.1601443463872576,26,64,,404433221100090058303132333031363338393a3b3c2e1c1d51424243705e3452,0,0x9bc1,0x8a6a,33,
9,6,9,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4857142857142857,0.4857142857142857,0.34285714285714286,0.34285714285714286,0.48571428571428577,0.14285714285714285,9,26,0.2571428571428571,0,9,0.0,20,26,0.7692307692307693,47.5678037426408,0.45432100672909814,0.5953224584648928,0.9074689286930278,0.9432941073619476,-0.055174740501569904,0.8277702185346557,0.2664687863073422,26,64,,40443b229900020058303112313437143539292a2b2c3d2e2f41c168c9705e7e1a,0,0x0426,0x4cf2,33,
10,7,10,33,1,1,0,35,35,0.7714285714285715,0.7714285714285715,0.3142857142857143,0.3142857142857143,0.11428571428571428,0.11428571428571428,0.6571428571428571,0.2,6,29,0.17142857142857143,0,6,0.0,28,29,0.9655172413793104,47.75855299605224,0.8238707730859252,0.8659339836108977,0.9155065916997901,0.9335069925661534,-0.13158807827334454,0.9865063735427945,0.132048260547317,26,64,,40c4b3229100030058303132333035363738393a3b3c3d3e3f4041424378563412,0,0xa9d6,0x0542,33,
11,8,11,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.14285714285714285,0.14285714285714285,0.02857142857142857,0.02857142857142857,0.6,0.11428571428571428,7,28,0.2,0,7,0.0,28,28,1.0,48.206178798048434,0.05989562053025347,0.5403529611409845,0.986480407173487,0.9402101441587488,-0.06757794122398622,0.6576209541795045,0.5033524312642169,26,64,,4044332211000c401c343132333435363738393a3b3c3d3e3f4041424378563412,0,0x3e96,0xcd6f,33,
12,9,12,33,1,1,0,35,35,0.4857142857142857,0.4857142857142857,0.17142857142857143,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.45714285714285713,0.14285714285714285,14,21,0.4,0,14,0.0,20,21,0.9523809523809523,48.06288673066135,0.01713136823429279,0.5118563081502078,0.9702605220317412,0.9416586946929503,-0.045466279352964004,0.39940033878876036,0.6049925360396784,26,64,,4044332211000d2058303130333435363738393a3b3c3d3e3f4041424378563412,0,0x631b,0x88db,33,
