packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,mean_selected_offset_coherence,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error
1,0,1,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.6,0.6,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.3142857142857143,3,32,0.08571428571428572,0,3,0.0,28,32,0.875,0.8738408037115164,0.5588990271524469,0.6999092434262715,0.9173236937828275,0.9054022937347923,-0.0273687275827048,0.535625423466819,0.2288247818789326,26,1,,4064330031000200583031727734713233b8313ab3b43db637404142c378562403,0,0xff53,0x5d15,33,
2,1,2,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.5428571428571428,0.5428571428571428,0.2571428571428571,0.2571428571428571,0.6857142857142857,0.2857142857142857,8,27,0.22857142857142856,1,8,0.125,22,27,0.8148148148148148,0.8735649732593406,0.7472559570052562,0.7852230889094274,0.8956504443468188,0.9308770356667123,-0.10045977141061242,0.9726406570173521,0.16192984757335138,26,1,,4044332211000301582021f3b7703dfa33183918392e2d2e3f5060604158763613,0,0x6b8d,0x09a0,33,
3,2,3,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.6,0.6,0.5142857142857142,0.5142857142857142,0.34285714285714286,0.08571428571428574,3,32,0.08571428571428572,0,3,0.0,24,32,0.75,0.8432948042820542,0.2567591503501031,0.5845590363824011,0.9079787462569674,0.9116261977611655,-0.025012767685011348,0.34233094576864764,0.3498078204526726,26,1,,4074121112370680583031329bb4bd3c652d396e6b084e5d1832c3cac370560c22,0,0x1377,0xc38c,33,
5,3,5,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.6,0.6,0.34285714285714286,0.34285714285714286,0.5714285714285714,0.2571428571428571,6,29,0.17142857142857143,0,6,0.0,21,29,0.7241379310344828,0.8569795225222419,0.15263188354955673,0.6684852681645289,0.9041030861116701,0.9362317068675547,-0.12120932237317081,0.9040794457549929,0.41130932664551195,26,1,,4044b23398911e1149212023332535267674f1bab3283c2627504046077c563432,0,0x29aa,0x6bcd,33,
6,4,6,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.5714285714285714,0.5714285714285714,0.34285714285714286,0.34285714285714286,0.48571428571428577,0.22857142857142854,3,32,0.08571428571428572,0,3,0.0,26,32,0.8125,0.8008031212185892,0.0455343156411785,0.4591158033277061,0.8862249506913099,0.9241066043255377,-0.2028624003179834,0.9423363388084935,0.5272912044241559,26,1,,40443302110025225a3013f2b3707dfa3328282a3b3d353eb7c04972505a743412,0,0x9557,0x0c31,33,
8,5,8,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.4,0.4,0.3142857142857143,0.3142857142857143,0.5714285714285714,0.08571428571428574,4,31,0.11428571428571428,0,4,0.0,26,31,0.8387096774193549,0.8992828719417103,0.6893706105376618,0.7829712814836661,0.9283607695562214,0.9179705139858172,-0.11414365279274409,0.9759637424487081,0.18296956869151093,26,1,,4064310011200b0058303132773035723738393a3bbcae949d516a0043743e345a,0,0xe095,0x8ae2,33,
9,6,9,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.5428571428571428,0.5428571428571428,0.4857142857142857,0.4857142857142857,0.3714285714285714,0.057142857142857106,4,31,0.11428571428571428,0,4,0.0,22,31,0.7096774193548387,0.842629263859678,0.15465260709453846,0.5513394808083335,0.915451709622514,0.9297558235685515,0.018862360186498638,0.19366171141827715,0.4098678481859342,26,1,,40443b22990002005831201260203715353929aa2b2c7d6e2b05c568c9705e7e1a,0,0x9056,0x4cf2,33,
10,7,10,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.6,0.6,0.2571428571428571,0.2571428571428571,0.6,0.34285714285714286,2,33,0.05714285714285714,0,2,0.0,27,33,0.8181818181818182,0.8579697581173353,0.16889179680107622,0.7462238168452171,0.8859062434353647,0.9176794443405836,-0.11726197709605078,0.863643543414357,0.40008090709913113,26,1,,40c4b32291008310c9a8b13a33303536373a1b18393e3d3e3f4041424378563402,0,0x6463,0x0442,33,
11,8,11,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.5142857142857142,0.5142857142857142,0.17142857142857143,0.17142857142857143,0.5428571428571429,0.3428571428571428,6,29,0.17142857142857143,0,6,0.0,29,29,1.0,0.8378410876160733,0.012733093315037077,0.4747612572172793,0.9286110452157718,0.9326551412419448,-0.19819557177806893,0.9160904075051114,0.626673424650975,26,1,,4044332211000c4885b5b82a323434363738393a3b3c3d3e3f4041424378561432,0,0x8b6e,0xef4d,33,
12,9,12,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.2857142857142857,0.2857142857142857,0.17142857142857143,0.17142857142857143,0.5142857142857142,0.11428571428571427,9,26,0.2571428571428571,0,9,0.0,23,26,0.8846153846153846,0.8678926082803999,0.03982380439230362,0.544639204116032,0.9487059593214919,0.928364482802186,0.14863982492862227,0.8695719886145132,0.5386057371265164,26,1,,4044332211000d205830317037307532333a1b1a192e2c3e2f5140424378563412,0,0x0060,0x88db,33,
