dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser,net_fixes_vs_savaux
0_0_0_10_14_32,,savaux,0,245,0,0,0.0,0
0_0_0_10_14_32,,gls_offpacket_fixed,0,245,0,0,0.0,0
0_0_0_10_14_32,,gls_packet_null,0,245,0,0,0.0,0
0_0_0_10_14_32,,gls_symbol_null,0,245,0,0,0.0,0
0_0_0_10_14_32,-22.0,savaux,93,735,0,0,0.12653061224489795,0
0_0_0_10_14_32,-22.0,gls_offpacket_fixed,92,735,1,0,0.1251700680272109,1
0_0_0_10_14_32,-22.0,gls_packet_null,93,735,0,0,0.12653061224489795,0
0_0_0_10_14_32,-22.0,gls_symbol_null,94,735,0,1,0.12789115646258503,-1
0_0_0_10_14_32,-23.0,savaux,111,735,0,0,0.1510204081632653,0
0_0_0_10_14_32,-23.0,gls_offpacket_fixed,111,735,1,1,0.1510204081632653,0
0_0_0_10_14_32,-23.0,gls_packet_null,111,735,0,0,0.1510204081632653,0
0_0_0_10_14_32,-23.0,gls_symbol_null,109,735,3,1,0.14829931972789115,2
0_0_0_10_14_32,-24.0,savaux,143,735,0,0,0.1945578231292517,0
0_0_0_10_14_32,-24.0,gls_offpacket_fixed,145,735,0,2,0.19727891156462585,-2
0_0_0_10_14_32,-24.0,gls_packet_null,144,735,0,1,0.19591836734693877,-1
0_0_0_10_14_32,-24.0,gls_symbol_null,146,735,0,3,0.19863945578231293,-3
0_0_0_10_14_32,-25.0,savaux,209,735,0,0,0.28435374149659864,0
0_0_0_10_14_32,-25.0,gls_offpacket_fixed,212,735,1,4,0.28843537414965986,-3
0_0_0_10_14_32,-25.0,gls_packet_null,210,735,0,1,0.2857142857142857,-1
0_0_0_10_14_32,-25.0,gls_symbol_null,212,735,4,7,0.28843537414965986,-3
0_0_0_10_14_32,-26.0,savaux,322,735,0,0,0.4380952380952381,0
0_0_0_10_14_32,-26.0,gls_offpacket_fixed,316,735,7,1,0.42993197278911566,6
0_0_0_10_14_32,-26.0,gls_packet_null,321,735,2,1,0.43673469387755104,1
0_0_0_10_14_32,-26.0,gls_symbol_null,324,735,7,9,0.44081632653061226,-2
