dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,-26.0,42,,,offpacket_fixed,4,4096,0.05,0.008182079538791633,0.013386459646898123,0.021651892861876753,1.0769705527067333
0_0_0_10_14_32,-26.0,42,0,,packet_null,4,35008,0.05,0.007036039495111969,0.008496257879384099,0.010932463086339482,1.0461485240581283
0_0_0_10_14_32,-26.0,42,0,0,symbol_null,4,1000,0.05,0.03149999502668505,0.03462733336858185,0.056827696288216385,1.2151722997078163
0_0_0_10_14_32,-26.0,42,0,1,symbol_null,4,1000,0.05,0.01283627147605036,0.024120313186596007,0.03830797485600166,1.1257869478270865
0_0_0_10_14_32,-26.0,42,0,2,symbol_null,4,1000,0.05,0.016121279655748288,0.028525263885185434,0.049560517826378284,1.1608338811603411
0_0_0_10_14_32,-26.0,42,0,3,symbol_null,4,1000,0.05,0.021853898449992318,0.031286826523215495,0.04940427379689574,1.177050599830779
0_0_0_10_14_32,-26.0,42,0,4,symbol_null,4,1000,0.05,0.018201152597932927,0.030069886097184608,0.05937142377775701,1.1994023911239566
0_0_0_10_14_32,-26.0,42,0,5,symbol_null,4,1000,0.05,0.020961061935579256,0.02594937738919255,0.05179819333885363,1.1637271751641367
0_0_0_10_14_32,-26.0,42,0,6,symbol_null,4,1000,0.05,0.049917713075816744,0.019355454685296262,0.031779908625942835,1.175679406770484
0_0_0_10_14_32,-26.0,42,0,7,symbol_null,4,1000,0.05,0.03768063499191395,0.03423377625855873,0.05198134587206425,1.2143500864621006
0_0_0_10_14_32,-26.0,42,0,8,symbol_null,4,1000,0.05,0.0410522970432188,0.02512174564463576,0.0505958338791492,1.186574023326928
0_0_0_10_14_32,-26.0,42,0,9,symbol_null,4,1000,0.05,0.02032853894516037,0.02846833648466568,0.03759726425721413,1.1669201256807706
0_0_0_10_14_32,-26.0,42,0,10,symbol_null,4,1002,0.05,0.022575796222239094,0.030262448867081734,0.04856165196532738,1.1833054824766183
0_0_0_10_14_32,-26.0,42,0,11,symbol_null,4,1000,0.05,0.005879707329446616,0.020231752694914566,0.04691306073243049,1.1337878513665873
0_0_0_10_14_32,-26.0,42,0,12,symbol_null,4,1000,0.05,0.01217465145268051,0.028295191016226875,0.05698762286001351,1.1563023624814417
0_0_0_10_14_32,-26.0,42,0,13,symbol_null,4,1000,0.05,0.025462697476439287,0.020740774354937916,0.03604143240405759,1.1359406422963008
0_0_0_10_14_32,-26.0,42,0,14,symbol_null,4,1001,0.05,0.012187507178613699,0.025908613931943023,0.055410583167287454,1.1459795280189167
0_0_0_10_14_32,-26.0,42,0,15,symbol_null,4,1000,0.05,0.013802018444412648,0.02981213832025013,0.07927060194778253,1.202391020819139
0_0_0_10_14_32,-26.0,42,0,16,symbol_null,4,1000,0.05,0.01624506818014064,0.025380952667448487,0.047079144038867295,1.1478435117118992
0_0_0_10_14_32,-26.0,42,0,17,symbol_null,4,1000,0.05,0.013086863545829427,0.0409860801687421,0.07122569320232706,1.2356827818610698
0_0_0_10_14_32,-26.0,42,0,18,symbol_null,4,1000,0.05,0.027671432522942182,0.020798450284664805,0.03567304832876778,1.14198056774574
0_0_0_10_14_32,-26.0,42,0,19,symbol_null,4,1000,0.05,0.01752835233451208,0.029738508319528,0.03821325541979154,1.1664108155899355
0_0_0_10_14_32,-26.0,42,0,20,symbol_null,4,1000,0.05,0.03601464905344989,0.023783254434367407,0.040771098670040806,1.1645266608047273
0_0_0_10_14_32,-26.0,42,0,21,symbol_null,4,1000,0.05,0.021098142833445088,0.030753506239034764,0.07486102624833925,1.2003537532573243
0_0_0_10_14_32,-26.0,42,0,22,symbol_null,4,1000,0.05,0.020041431034658132,0.01958688471504785,0.0304274189817767,1.1176160227259233
0_0_0_10_14_32,-26.0,42,0,23,symbol_null,4,1000,0.05,0.011149405484860908,0.026686401620473598,0.05982379630839013,1.16208879850736
0_0_0_10_14_32,-26.0,42,0,24,symbol_null,4,1000,0.05,0.014348529304725336,0.02809533982476391,0.04788192184360901,1.1566100055968396
0_0_0_10_14_32,-26.0,42,0,25,symbol_null,4,1000,0.05,0.018826758369703944,0.023198220388754163,0.03920372815623003,1.137203335578896
0_0_0_10_14_32,-26.0,42,0,26,symbol_null,4,1000,0.05,0.04571522203270246,0.024647545382218573,0.04113358978758412,1.1936002742123548
0_0_0_10_14_32,-26.0,42,0,27,symbol_null,4,1000,0.05,0.04492410414298969,0.031967809876374216,0.04908154956378316,1.2249855283312008
0_0_0_10_14_32,-26.0,42,0,28,symbol_null,4,1002,0.05,0.01298064975910138,0.0329812050883375,0.045302441149883965,1.1776178368901644
0_0_0_10_14_32,-26.0,42,0,29,symbol_null,4,1000,0.05,0.0200393155298944,0.024721775559332443,0.033257635313012915,1.1310407078859437
0_0_0_10_14_32,-26.0,42,0,30,symbol_null,4,1000,0.05,0.017990768456919787,0.02800085355327599,0.05061500751488561,1.1502578866819488
0_0_0_10_14_32,-26.0,42,0,31,symbol_null,4,1000,0.05,0.04836375992938957,0.020983825218930437,0.03090351934469125,1.1831931531743973
0_0_0_10_14_32,-26.0,42,0,32,symbol_null,4,1001,0.05,0.029785361168841618,0.02286615561286305,0.040687976797013574,1.154812506236064
0_0_0_10_14_32,-26.0,42,0,33,symbol_null,4,1002,0.05,0.021814119867012795,0.029088841817871147,0.043093302375848075,1.1781895600830383
0_0_0_10_14_32,-26.0,42,0,34,symbol_null,4,1000,0.05,0.022641287109701962,0.031026082972227198,0.04871868973980404,1.18340388085825
0_0_0_10_14_32,-26.0,42,2,,packet_null,4,35006,0.05,0.0036870712801070145,0.008324792086491693,0.01376799287929342,1.0457985318462157
0_0_0_10_14_32,-26.0,42,2,0,symbol_null,4,1003,0.05,0.010974827455191837,0.027431686210178812,0.04603853173856865,1.1673773475053713
0_0_0_10_14_32,-26.0,42,2,1,symbol_null,4,1000,0.05,0.015864487614947444,0.019298619536341752,0.03662629526884508,1.1214849711773822
0_0_0_10_14_32,-26.0,42,2,2,symbol_null,4,1000,0.05,0.0356284621895719,0.02884688732727496,0.060411154770931653,1.1965496871399355
0_0_0_10_14_32,-26.0,42,2,3,symbol_null,4,1001,0.05,0.018033520390195592,0.018900672722214972,0.036926372903148263,1.1177853493852457
0_0_0_10_14_32,-26.0,42,2,4,symbol_null,4,1000,0.05,0.032430254753896326,0.021518793987962,0.03918561304990338,1.1513533205498327
0_0_0_10_14_32,-26.0,42,2,5,symbol_null,4,1000,0.05,0.024039722800220566,0.02518077951673792,0.0552094122734135,1.1688137233128157
0_0_0_10_14_32,-26.0,42,2,6,symbol_null,4,1000,0.05,0.034485259948239734,0.024458854767074257,0.04467692018070915,1.1558432310319966
0_0_0_10_14_32,-26.0,42,2,7,symbol_null,4,1000,0.05,0.026764727768559832,0.02430213804169118,0.04029485388048535,1.147555719636231
0_0_0_10_14_32,-26.0,42,2,8,symbol_null,4,1000,0.05,0.021659913201559668,0.020855375896889374,0.029468852949185095,1.1213125303354823
0_0_0_10_14_32,-26.0,42,2,9,symbol_null,4,1000,0.05,0.029017216715967166,0.01874322549895711,0.03124112195917209,1.1395726012700225
0_0_0_10_14_32,-26.0,42,2,10,symbol_null,4,1000,0.05,0.01652819843336827,0.028496140253392643,0.039521357943216734,1.1586100112121813
0_0_0_10_14_32,-26.0,42,2,11,symbol_null,4,1000,0.05,0.014776810141062314,0.026073890387029914,0.03891612056942372,1.142170167435518
0_0_0_10_14_32,-26.0,42,2,12,symbol_null,4,1000,0.05,0.021268777831860874,0.02316182264837771,0.053206069953324164,1.1579356561445797
0_0_0_10_14_32,-26.0,42,2,13,symbol_null,4,1000,0.05,0.02160987350634331,0.03067839160180102,0.06481058686804479,1.1882206443567997
0_0_0_10_14_32,-26.0,42,2,14,symbol_null,4,1000,0.05,0.04530258543075151,0.02367554097850767,0.03519779892651021,1.1948216112828332
0_0_0_10_14_32,-26.0,42,2,15,symbol_null,4,1000,0.05,0.043316262366825356,0.02401334820088552,0.05001120611834504,1.1939857816006154
