trial_id,packet_id,reference_id,esn0_db,seed,sync_status,estimate_available,strict_gate,decoder_aware_gate,extra_decoder_candidate,gate_failure_reasons,strict_crc_accept,decoder_aware_crc_accept,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_crc_false_delivery,decoder_aware_crc_false_delivery,extra_candidate_crc_rescue,extra_candidate_crc_reject,extra_candidate_crc_false_accept,fec_corrected_packet,current_all_symbol_errors,sync_ms,current_decode_ms,oracle_decode_ms,strict_modeled_decode_ms,decoder_aware_modeled_decode_ms,extra_modeled_decode_ms,signal_power,added_noise_power,current_decode_status,current_header_valid,current_crc_valid,current_payload_exact,current_payload_hex,current_header_symbols_decoded,current_payload_symbols_decoded,current_header_symbol_errors,current_payload_symbol_errors,oracle_decode_status,oracle_header_valid,oracle_crc_valid,oracle_payload_exact,oracle_payload_hex,oracle_header_symbols_decoded,oracle_payload_symbols_decoded,oracle_header_symbol_errors,oracle_payload_symbol_errors,frame_sync_valid,netid_valid,noisy_cfo_total_bins,noisy_payload_start_sample
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,sync_invalid,1,0,0,0,locator_preamble_stability|locator_sfd|framesync_preamble_all_bin0,0,0,0,0,0,0,0,0,0,0,0,21,13475.985700002639,268.1474999990314,287.28729999784264,0.0,0.0,0.0,6.153250447488309e-08,1.5902468351052942e-05,ok,1,0,0,4004b32a80999800580000b9883a2d118aa87066a99f804826e752c9af7658da52,8,56,3,18,ok,1,0,0,4004b32a11008100580000b9883a2d118aa87066a99f804826e752c9af7658da52,8,56,3,17,0,1,-128.70422085168457,673551
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,11,14013.380100001086,261.5766999988409,246.2191000013263,0.0,261.5766999988409,261.5766999988409,2.9434755784562603e-08,7.607122061414658e-06,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,1,10,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,1,10,0,1,-129.93541354299947,673544
exp0_000003_rxg20_0_fulltrim:12:20260821,exp0_000003_rxg20_0_fulltrim,3,12.0,20260821,sync_invalid,1,0,0,0,framesync_netid,0,0,0,0,1,0,0,0,0,0,0,64,13197.286300000997,29.317300002730917,221.89290000096662,0.0,0.0,0.0,5.3735255547964695e-08,1.3887346338000231e-05,header_invalid,0,0,0,,8,0,8,56,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,11,0,0,-1000.8698055416223,666575
exp0_000004_rxg20_0_fulltrim:12:20260821,exp0_000004_rxg20_0_fulltrim,4,12.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,12,13995.96240000028,278.37300000101095,288.4023000005982,0.0,278.37300000101095,278.37300000101095,6.126035586516529e-08,1.5832134229441056e-05,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,12,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,12,0,1,-128.85427973350815,673552
exp0_000005_rxg20_0_fulltrim:12:20260821,exp0_000005_rxg20_0_fulltrim,5,12.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,9,12643.340899998293,246.00360000113142,283.614399999351,0.0,246.00360000113142,246.00360000113142,7.242874646077204e-08,1.871849452786398e-05,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,9,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,10,0,1,-128.7433883099426,673551
exp0_000006_rxg20_0_fulltrim:12:20260821,exp0_000006_rxg20_0_fulltrim,6,12.0,20260821,sync_invalid,1,0,0,0,locator_sfd|framesync_preamble_all_bin0,0,0,0,0,0,0,0,0,0,0,0,63,12899.743500001932,64.52329999956419,401.01599999979953,0.0,0.0,0.0,7.561376789538686e-08,1.954163187606118e-05,header_invalid,0,0,0,,8,0,7,56,ok,1,0,0,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a078567412,8,56,0,16,0,1,651.2212431672964,679793
exp0_000007_rxg20_0_fulltrim:12:20260821,exp0_000007_rxg20_0_fulltrim,7,12.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,0,0,0,0,0,0,0,1,0,0,16,10803.777799999807,201.83589999942342,211.98740000181715,0.0,201.83589999942342,201.83589999942342,7.449895515307498e-08,1.925351952790864e-05,ok,1,0,0,40443322110001005817003d9b8e75346b7dde1ef9482e737f5a68b77278563412,8,56,0,16,ok,1,0,0,40443322110001005817003d9b8e75346b7dde1ef9482e737f5a68b77278563412,8,56,0,16,0,1,-128.75531400769702,673552
exp0_000008_rxg20_0_fulltrim:12:20260821,exp0_000008_rxg20_0_fulltrim,8,12.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,10,10320.805899998959,240.23319999832893,230.07700000016484,240.23319999832893,240.23319999832893,0.0,6.982488910305618e-08,1.8045553298263374e-05,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,10,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,10,1,1,-128.72678867532773,673552
exp0_000000_rxg20_0_fulltrim:12:20260822,exp0_000000_rxg20_0_fulltrim,0,12.0,20260822,no_preamble,0,0,0,0,frame_location_missing|frame_sync_missing,0,0,0,0,0,0,0,0,0,0,0,64,161.3485000016226,0.016500001947861165,383.62140000026557,0.0,0.0,0.0,6.153250447488309e-08,1.5902468351052942e-05,sync_missing,0,0,0,,0,0,8,56,ok,1,0,0,c04433011ab30000580000b9883a2d118aa87066a99f0046aeedfb23af78563412,8,56,3,19,,,,
exp0_000002_rxg20_0_fulltrim:12:20260822,exp0_000002_rxg20_0_fulltrim,2,12.0,20260822,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,0,0,0,0,0,0,0,1,0,0,13,12411.061400001927,210.7880000003206,202.38180000160355,0.0,210.7880000003206,210.7880000003206,2.9434755784562603e-08,7.607122061414658e-06,ok,1,0,0,40443322110001005802005cd623d92b803ac56123bc76bf47473cf8f478563412,8,56,1,12,ok,1,0,0,40443322110001005802005cd623d92b803ac56123bc76bf47473cf8f478563412,8,56,1,12,0,1,-129.9325219608648,673544
