dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,snr_label,added_snr_db,seed,added_awgn_power,savaux_bin,savaux_correct,savaux_margin_db,savaux_gt_lambda,savaux_max_false_lambda,savaux_gt_false_margin_db,white_ml_bin,white_ml_matches_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_gt_lambda,colored_ml_max_false_lambda,colored_ml_gt_false_margin_db,colored_minus_savaux_gt_lambda,colored_minus_savaux_gt_false_margin_db,model_gt_full_information,model_gt_savaux_information,model_gt_full_to_savaux_snr_gain_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux,covariance_model
collector_low4_train_low1,7,0,0,8,30416310,803,clean,,0,0.0,803,1,14.425949149737248,122.88801798497546,4.416770432468229,14.44404712897237,803,1,803,1,14.65893317380285,122.32695054696279,4.184357979013997,14.65893317380285,-0.561067438012671,0.21488604483048057,18682689301.742878,17970648120.515636,0.1687565098361688,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,1,9,30420406,711,clean,,0,0.0,711,1,12.315898183437552,80.2751197336912,4.71062466527187,12.315024602516505,711,1,711,1,12.293286861362262,83.60501930623656,4.930644209171548,12.293286861362262,3.329899572545358,-0.02173774115424365,18670322405.73857,17964383758.82003,0.1673949358789562,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,2,10,30424502,922,clean,,0,0.0,922,1,12.771045256386344,96.87729515745743,5.121157037843449,12.768539112025444,922,1,922,1,12.848154498577545,96.10270542529,4.987927863364955,12.848154498577545,-0.7745897321674278,0.07961538655210099,18690110668.622524,17977619347.030582,0.16879692386347578,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,3,11,30428598,718,clean,,0,0.0,718,1,12.245346707683511,103.0609509834452,6.141584060049391,12.24813745121038,718,1,718,1,13.626565482420911,109.9646400609069,4.770858201958204,13.626565482420911,6.903689077461706,1.3784280312105324,18676082933.052765,17968567425.40564,0.1677234016897454,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,4,12,30432694,756,clean,,0,0.0,756,1,13.611091473987411,109.74639231711997,4.78471489205272,13.605341881519808,756,1,756,1,13.206395524473855,113.18105264783462,5.409214161427173,13.206395524473855,3.4346603307146495,-0.3989463570459524,18667433174.43438,17961118193.034847,0.16751234571199503,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,5,13,30436790,109,clean,,0,0.0,109,1,11.430087606401791,103.48441685266387,7.467840814713468,11.416799047982025,109,1,109,1,12.133459737515132,108.62618552174075,6.646431842419126,12.133459737515132,5.141768669076882,0.7166606895331071,18606633451.64486,17912765751.500324,0.16505155576531577,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,6,14,30440886,932,clean,,0,0.0,932,1,10.707334054390714,112.6444343714392,9.534265082254683,10.72422516114459,932,1,932,1,11.140457716215089,117.53265032792297,9.038841228198688,11.140457716215089,4.888215956483762,0.41623255507049883,18693635759.328957,17981158635.201595,0.16876103791574837,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,7,15,30444982,468,clean,,0,0.0,468,1,14.333969645481,130.75631388877227,4.854478804300954,14.303200598135312,468,1,468,1,14.270705613740372,136.41350035384488,5.102544390618406,14.270705613740372,5.657186465072613,-0.032494984394940474,18722750837.64527,18012900439.235176,0.16786009152278739,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,8,16,30449078,89,clean,,0,0.0,89,1,11.258474012768573,127.8136840104288,9.596831492018085,11.244494836016159,89,1,89,1,11.18097711542015,128.52476142493566,9.792398863782507,11.18097711542015,0.7110774145068604,-0.06351772059600869,18626275113.939785,17926990260.065174,0.16618630760000255,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,9,17,30453174,713,clean,,0,0.0,713,1,7.597732522772926,124.97107310954807,21.739249780803057,7.595649465136548,713,1,713,1,8.078932031852741,136.5204110883989,21.24733102893221,8.078932031852741,11.54933797885083,0.4832825667161931,18672461816.66474,17965734468.067825,0.16756603463217387,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
