snr_label,added_snr_db,seed,method,decisions,errors,ser,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
clean,,,litenap_savaux_k1,833,0,0.0,0,0,1.0,3.868134369897311,1024,0.25,0|1|2|3,0,0
clean,,,litenap_savaux_k1_phase,833,0,0.0,0,0,1.0,3.868134369897311,1024,0.25,0|1|2|3,0,1
clean,,,litenap_savaux_k2,833,0,0.0,0,0,1.0,6.8893895376978325,2048,0.5,0|1|2|3,0|1,0
clean,,,litenap_savaux_k2_phase,833,0,0.0,0,0,1.0,6.8893895376978325,2048,0.5,0|1|2|3,0|1,1
clean,,,litenap_single,833,714,0.8571428571428571,0,714,2.3206684158877236e-215,0.0,256,0.0625,0,0,0
clean,,,litenap_single_phase,833,341,0.40936374549819926,0,341,4.464794497196467e-103,0.0,256,0.0625,0,0,1
clean,,,savaux,833,0,0.0,0,0,1.0,19.2141424601912,4096,1.0,0|1|2|3,0|1|2|3,0
clean,,,savaux_phase,833,0,0.0,0,0,1.0,19.2141424601912,4096,1.0,0|1|2|3,0|1|2|3,1
-28,-28.0,,litenap_savaux_k1,2499,2429,0.9719887955182073,9,938,2.7582253660353357e-264,-6.592106752126277,1024,0.25,0|1|2|3,0,0
-28,-28.0,,litenap_savaux_k1_phase,2499,2440,0.976390556222489,10,950,3.6253034999286714e-266,-6.592106752126277,1024,0.25,0|1|2|3,0,1
-28,-28.0,,litenap_savaux_k2,2499,2193,0.8775510204081632,43,736,7.359637784996147e-164,-3.99319236257283,2048,0.5,0|1|2|3,0|1,0
-28,-28.0,,litenap_savaux_k2_phase,2499,2250,0.9003601440576231,30,780,1.198104969461592e-189,-3.99319236257283,2048,0.5,0|1|2|3,0|1,1
-28,-28.0,,litenap_single,2499,2490,0.9963985594237695,5,995,1.5477010612590713e-288,-8.844493363393202,256,0.0625,0,0,0
-28,-28.0,,litenap_single_phase,2499,2493,0.9975990396158463,3,996,6.203141958374811e-293,-8.844493363393202,256,0.0625,0,0,1
-28,-28.0,,savaux,2499,1500,0.6002400960384153,0,0,1.0,-1.1849501482045535,4096,1.0,0|1|2|3,0|1|2|3,0
-28,-28.0,,savaux_phase,2499,1788,0.7154861944777912,53,341,1.2797318515690045e-52,-1.1849501482045535,4096,1.0,0|1|2|3,0|1|2|3,1
-26,-26.0,,litenap_savaux_k1,2499,2310,0.9243697478991597,15,1496,0.0,-4.923225034400798,1024,0.25,0|1|2|3,0,0
-26,-26.0,,litenap_savaux_k1_phase,2499,2340,0.936374549819928,14,1525,0.0,-4.923225034400798,1024,0.25,0|1|2|3,0,1
-26,-26.0,,litenap_savaux_k2,2499,1812,0.7250900360144058,33,1016,1.1505120872783588e-253,-2.1752915204534724,2048,0.5,0|1|2|3,0|1,0
-26,-26.0,,litenap_savaux_k2_phase,2499,1989,0.7959183673469388,18,1178,6.5e-321,-2.1752915204534724,2048,0.5,0|1|2|3,0|1,1
-26,-26.0,,litenap_single,2499,2494,0.9979991996798719,1,1666,0.0,-8.110458864007782,256,0.0625,0,0,0
-26,-26.0,,litenap_single_phase,2499,2482,0.9931972789115646,4,1657,0.0,-8.110458864007782,256,0.0625,0,0,1
-26,-26.0,,savaux,2499,829,0.3317326930772309,0,0,1.0,0.8231862046036056,4096,1.0,0|1|2|3,0|1|2|3,0
-26,-26.0,,savaux_phase,2499,1099,0.43977591036414565,54,324,4.8282885623221836e-48,0.8231862046036056,4096,1.0,0|1|2|3,0|1|2|3,1
-24,-24.0,,litenap_savaux_k1,2499,2082,0.8331332533013205,4,1806,0.0,-3.2083926690377442,1024,0.25,0|1|2|3,0,0
-24,-24.0,,litenap_savaux_k1_phase,2499,2142,0.8571428571428571,3,1865,0.0,-3.2083926690377442,1024,0.25,0|1|2|3,0,1
