snr_label,added_snr_db,seed,method,decisions,errors,ser,wrong_group_errors,wrong_alias_bin_errors,wrong_group_fraction_of_errors,wrong_alias_bin_fraction_of_errors,oracle_group_fixed_ser,maximum_group_fix_ser_gain,alias_bin_accuracy,group_error_rate_given_correct_alias_bin,far_alias_bin_errors_abs_gt8,far_fraction_of_wrong_alias_bin_errors,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
clean,,,litenap_savaux_k1,833,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,3.868134369897311,1024,0.25,0|1|2|3,0,0
clean,,,litenap_savaux_k2,833,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,6.8893895376978325,2048,0.5,0|1|2|3,0|1,0
clean,,,litenap_single,833,714,0.8571428571428571,714,0,1.0,0.0,0.0,0.8571428571428571,1.0,0.8571428571428571,0,0.0,0,714,2.3206684158877236e-215,0.0,256,0.0625,0,0,0
clean,,,savaux,833,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,19.2141424601912,4096,1.0,0|1|2|3,0|1|2|3,0
-28,-28.0,,litenap_savaux_k1,2499,2393,0.9575830332132853,29,2364,0.01211867948182198,0.987881320518178,0.9459783913565426,0.011604641856742696,0.0540216086434574,0.21481481481481482,2205,0.932741116751269,15,891,5.821449522043388e-241,-6.500097491795416,1024,0.25,0|1|2|3,0,0
-28,-28.0,,litenap_savaux_k2,2499,2218,0.8875550220088035,34,2184,0.015329125338142471,0.9846708746618575,0.8739495798319328,0.013605442176870748,0.12605042016806722,0.10793650793650794,2057,0.9418498168498168,38,739,1.3856376523081572e-169,-4.141827090862775,2048,0.5,0|1|2|3,0|1,0
-28,-28.0,,litenap_single,2499,2495,0.9983993597438976,34,2461,0.013627254509018036,0.986372745490982,0.9847939175670268,0.013605442176870748,0.015206082432973167,0.8947368421052632,2314,0.9402681836651767,3,981,1.9424531488912873e-288,-8.813305802450259,256,0.0625,0,0,0
-28,-28.0,,savaux,2499,1517,0.6070428171268507,5,1512,0.0032959789057350032,0.996704021094265,0.6050420168067226,0.0020008003201280513,0.39495798319327735,0.005065856129685917,1419,0.9384920634920635,0,0,1.0,-1.2692460826397216,4096,1.0,0|1|2|3,0|1|2|3,0
-27,-27.0,,litenap_savaux_k1,2499,2391,0.9567827130852341,39,2352,0.01631116687578419,0.9836888331242158,0.9411764705882353,0.015606242496998799,0.05882352941176472,0.2653061224489796,2166,0.9209183673469388,7,1227,0.0,-5.632723483732622,1024,0.25,0|1|2|3,0,0
-27,-27.0,,litenap_savaux_k2,2499,2027,0.8111244497799119,30,1997,0.01480019733596448,0.9851998026640355,0.7991196478591437,0.012004801920768308,0.2008803521408563,0.05976095617529881,1865,0.9339008512769154,44,900,1.5224439481143907e-208,-3.0821038073270293,2048,0.5,0|1|2|3,0|1,0
-27,-27.0,,litenap_single,2499,2496,0.9987995198079231,29,2467,0.011618589743589744,0.9883814102564102,0.9871948779511804,0.011604641856742696,0.012805122048819562,0.90625,2290,0.9282529387920552,1,1326,0.0,-8.30479507712926,256,0.0625,0,0,0
-27,-27.0,,savaux,2499,1171,0.4685874349739896,2,1169,0.0017079419299743809,0.9982920580700256,0.4677871148459384,0.0008003201280512205,0.5322128851540616,0.0015037593984962407,1099,0.9401197604790419,0,0,1.0,-0.18518163490873024,4096,1.0,0|1|2|3,0|1|2|3,0
-26,-26.0,,litenap_savaux_k1,2499,2306,0.9227691076430572,47,2259,0.020381613183000868,0.9796183868169991,0.9039615846338536,0.018807523009203683,0.09603841536614643,0.19583333333333333,2085,0.9229747675962815,8,1482,0.0,-4.89878780579518,1024,0.25,0|1|2|3,0,0
-26,-26.0,,litenap_savaux_k2,2499,1802,0.7210884353741497,29,1773,0.01609322974472808,0.983906770255272,0.709483793517407,0.011604641856742696,0.290516206482593,0.03994490358126722,1639,0.9244218838127467,28,998,1.3277629392598344e-254,-2.1666215268340334,2048,0.5,0|1|2|3,0|1,0
-26,-26.0,,litenap_single,2499,2490,0.9963985594237695,47,2443,0.01887550200803213,0.9811244979919679,0.9775910364145658,0.018807523009203683,0.022408963585434205,0.8392857142857143,2276,0.9316414244781007,1,1659,0.0,-8.006510797746383,256,0.0625,0,0,0
-26,-26.0,,savaux,2499,832,0.3329331732693077,3,829,0.003605769230769231,0.9963942307692307,0.3317326930772309,0.0012004801920768306,0.6682673069227691,0.0017964071856287425,780,0.9408926417370326,0,0,1.0,0.7927760659725983,4096,1.0,0|1|2|3,0|1|2|3,0
-25,-25.0,,litenap_savaux_k1,2499,2230,0.8923569427771109,51,2179,0.022869955156950672,0.9771300448430493,0.8719487795118047,0.02040816326530612,0.12805122048819528,0.159375,2012,0.9233593391463975,9,1715,0.0,-4.235528271872572,1024,0.25,0|1|2|3,0,0
-25,-25.0,,litenap_savaux_k2,2499,1527,0.6110444177671068,23,1504,0.015062213490504257,0.9849377865094957,0.6018407362945178,0.009203681472589036,0.39815926370548216,0.023115577889447236,1399,0.930186170212766,19,1022,1.293128029204639e-273,-1.201608123856357,2048,0.5,0|1|2|3,0|1,0
-25,-25.0,,litenap_single,2499,2484,0.9939975990396158,65,2419,0.026167471819645734,0.9738325281803543,0.9679871948779512,0.026010404161664665,0.03201280512204885,0.8125,2266,0.9367507234394378,0,1960,0.0,-7.491060752253874,256,0.0625,0,0,0
-25,-25.0,,savaux,2499,524,0.20968387354941978,2,522,0.003816793893129771,0.9961832061068703,0.20888355342136855,0.0008003201280512205,0.7911164465786314,0.0010116337885685382,478,0.9157088122605364,0,0,1.0,1.7714711853743614,4096,1.0,0|1|2|3,0|1|2|3,0
-24,-24.0,,litenap_savaux_k1,2499,2042,0.8171268507402961,62,1980,0.030362389813907934,0.9696376101860921,0.7923169267707083,0.024809923969587835,0.2076830732292917,0.11946050096339114,1837,0.9277777777777778,5,1792,0.0,-3.0345979536787815,1024,0.25,0|1|2|3,0,0
-24,-24.0,,litenap_savaux_k2,2499,1160,0.46418567426970786,22,1138,0.01896551724137931,0.9810344827586207,0.4553821528611445,0.008803521408563426,0.5446178471388555,0.016164584864070537,1052,0.9244288224956063,12,917,3.587083779563724e-253,-0.1366137725696628,2048,0.5,0|1|2|3,0|1,0
-24,-24.0,,litenap_single,2499,2483,0.9935974389755903,82,2401,0.03302456705598067,0.9669754329440193,0.9607843137254902,0.03281312525010004,0.039215686274509776,0.8367346938775511,2250,0.9371095376926281,1,2229,0.0,-6.941619893134602,256,0.0625,0,0,0
-24,-24.0,,savaux,2499,255,0.10204081632653061,0,255,0.0,1.0,0.10204081632653061,0.0,0.8979591836734694,0.0,237,0.9294117647058824,0,0,1.0,2.90970177528185,4096,1.0,0|1|2|3,0|1|2|3,0
-23,-23.0,,litenap_savaux_k1,2499,1879,0.7519007603041217,79,1800,0.04204364023416711,0.9579563597658329,0.7202881152460985,0.031612645058023206,0.2797118847539015,0.11301859799713877,1628,0.9044444444444445,2,1747,0.0,-2.3837796375133284,1024,0.25,0|1|2|3,0,0
-23,-23.0,,litenap_savaux_k2,2499,858,0.3433373349339736,25,833,0.029137529137529136,0.9708624708624709,0.3333333333333333,0.010004001600640256,0.6666666666666667,0.015006002400960384,780,0.936374549819928,9,733,1.5661886492440055e-203,0.5987449146324287,2048,0.5,0|1|2|3,0|1,0
-23,-23.0,,litenap_single,2499,2481,0.992797118847539,120,2361,0.04836759371221282,0.9516324062877872,0.9447779111644657,0.04801920768307323,0.055222088835534255,0.8695652173913043,2213,0.9373146971622194,0,2347,0.0,-6.586256723783566,256,0.0625,0,0,0
-23,-23.0,,savaux,2499,134,0.053621448579431776,1,133,0.007462686567164179,0.9925373134328358,0.05322128851540616,0.00040016006402561027,0.9467787114845938,0.00042265426880811494,122,0.9172932330827067,0,0,1.0,3.7369714086741643,4096,1.0,0|1|2|3,0|1|2|3,0
-22,-22.0,,litenap_savaux_k1,2499,1567,0.6270508203281312,98,1469,0.06253988513082323,0.9374601148691768,0.5878351340536214,0.0392156862745098,0.4121648659463786,0.09514563106796116,1343,0.9142273655547992,0,1524,0.0,-1.4228077170811506,1024,0.25,0|1|2|3,0,0
-22,-22.0,,litenap_savaux_k2,2499,524,0.20968387354941978,11,513,0.02099236641221374,0.9790076335877863,0.20528211284513806,0.004401760704281713,0.7947178871548619,0.0055387713997985906,471,0.9181286549707602,4,485,2.969111623457286e-138,1.614236189784253,2048,0.5,0|1|2|3,0|1,0
-22,-22.0,,litenap_single,2499,2470,0.9883953581432573,155,2315,0.06275303643724696,0.937246963562753,0.9263705482192878,0.06202480992396959,0.07362945178071223,0.842391304347826,2178,0.9408207343412527,0,2427,0.0,-5.696269476535541,256,0.0625,0,0,0
-22,-22.0,,savaux,2499,43,0.01720688275310124,0,43,0.0,1.0,0.01720688275310124,0.0,0.9827931172468988,0.0,41,0.9534883720930233,0,0,1.0,4.78362254092299,4096,1.0,0|1|2|3,0|1|2|3,0
-21,-21.0,,litenap_savaux_k1,2499,1257,0.503001200480192,92,1165,0.07319013524264122,0.9268098647573588,0.4661864745898359,0.03681472589035614,0.5338135254101641,0.06896551724137931,1060,0.9098712446351931,0,1249,0.0,-0.4548585292385968,1024,0.25,0|1|2|3,0,0
-21,-21.0,,litenap_savaux_k2,2499,304,0.12164865946378552,16,288,0.05263157894736842,0.9473684210526315,0.11524609843937575,0.006402561024409764,0.8847539015606243,0.007236544549977386,265,0.9201388888888888,1,297,1.1742551568993863e-87,2.5296585725935152,2048,0.5,0|1|2|3,0|1,0
-21,-21.0,,litenap_single,2499,2461,0.9847939175670268,222,2239,0.09020723283218204,0.909792767167818,0.8959583833533413,0.08883553421368548,0.10404161664665867,0.8538461538461538,2106,0.9405984814649397,0,2453,0.0,-4.998147431724958,256,0.0625,0,0,0
-21,-21.0,,savaux,2499,8,0.003201280512204882,0,8,0.0,1.0,0.003201280512204882,0.0,0.9967987194877951,0.0,7,0.875,0,0,1.0,5.784050489680604,4096,1.0,0|1|2|3,0|1|2|3,0
-20,-20.0,,litenap_savaux_k1,2499,918,0.3673469387755102,93,825,0.10130718954248366,0.8986928104575164,0.33013205282112845,0.03721488595438175,0.6698679471788715,0.05555555555555555,733,0.8884848484848484,0,916,3.6103887517296507e-276,0.3080369793521063,1024,0.25,0|1|2|3,0,0
-20,-20.0,,litenap_savaux_k2,2499,138,0.055222088835534214,8,130,0.057971014492753624,0.9420289855072463,0.05202080832332933,0.003201280512204882,0.9479791916766707,0.0033769523005487546,120,0.9230769230769231,0,136,2.2958874039497854e-41,3.3912173197706337,2048,0.5,0|1|2|3,0|1,0
-20,-20.0,,litenap_single,2499,2446,0.9787915166066427,357,2089,0.14595257563368766,0.8540474243663123,0.8359343737494997,0.14285714285714285,0.16406562625050025,0.8707317073170732,1972,0.9439923408329344,0,2444,0.0,-4.25694446346675,256,0.0625,0,0,0
-20,-20.0,,savaux,2499,2,0.0008003201280512205,0,2,0.0,1.0,0.0008003201280512205,0.0,0.9991996798719488,0.0,2,1.0,0,0,1.0,6.79119809754068,4096,1.0,0|1|2|3,0|1|2|3,0
-19,-19.0,,litenap_savaux_k1,2499,587,0.23489395758303322,68,519,0.11584327086882454,0.8841567291311755,0.20768307322929172,0.027210884353741496,0.7923169267707083,0.03434343434343434,469,0.9036608863198459,0,587,3.9484127069845092e-177,1.0748113764675977,1024,0.25,0|1|2|3,0,0
-19,-19.0,,litenap_savaux_k2,2499,42,0.01680672268907563,0,42,0.0,1.0,0.01680672268907563,0.0,0.9831932773109243,0.0,42,1.0,0,42,4.5474735088646407e-13,4.146847458342616,2048,0.5,0|1|2|3,0|1,0
-19,-19.0,,litenap_single,2499,2419,0.9679871948779512,473,1946,0.19553534518396032,0.8044646548160397,0.7787114845938375,0.18927571028411364,0.22128851540616246,0.8553345388788427,1827,0.9388489208633094,0,2419,0.0,-3.2984808494352404,256,0.0625,0,0,0
-19,-19.0,,savaux,2499,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,1.0,7.791713715119836,4096,1.0,0|1|2|3,0|1|2|3,0
