trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,role,candidate_symbol,candidate_coordinate,q2_candidate_power,r_q8,theory_q8,dev_q8,abs_dev_q8,primary_amp_q8,secondary_amp_q8,pair_power_q8,strong_power_q8,r_q4,theory_q4,dev_q4,abs_dev_q4,primary_amp_q4,secondary_amp_q4,pair_power_q4,strong_power_q4,r_q2,theory_q2,dev_q2,abs_dev_q2,primary_amp_q2,secondary_amp_q2,pair_power_q2,strong_power_q2,ratio_variance,c_1m,c_multirate
10:20260819:0,10.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,51,1,2,1,1,1,5.461110784836597e-08,2.2368709774690702e-05,true,3293,3292,0.00034949454935095936,0.7236985064401449,0.803955078125,-0.08025657168485512,0.08025657168485512,0.014048255048692226,0.03679567947983742,0.001551275498296035,0.0013539220283829284,0.7170338118387924,0.803955078125,-0.08692126628620755,0.08692126628620755,0.010328458622097969,0.026172222569584846,0.0007916622917402763,0.0006849852342318864,0.7223144565301014,0.803955078125,-0.0816406215948986,0.0816406215948986,0.007186992093920708,0.018694773316383362,0.0004011474047090381,0.00034949454935095936,8.246550737626352e-06,-0.006441117298606288,-0.02066986147654314
10:20260819:0,10.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,51,1,2,1,1,1,5.461110784836597e-08,2.2368709774690702e-05,wrong,51,50,0.0003569749297460713,0.02579186258969716,0.012451171875,0.013340690714697161,0.013340690714697161,0.03790098801255226,0.0010034170700237155,0.0014374917381440452,0.0014364848923276302,0.022833955829327453,0.012451171875,0.010382783954327453,0.010382783954327453,0.02673814631998539,0.0006248044082894921,0.0007153188491775662,0.0007149284686289482,0.00904777677586773,0.012451171875,-0.00340339509913227,0.00340339509913227,0.018893778324127197,0.0001725074980640784,0.00035700461819814704,0.0003569748593612587,5.324137278199739e-05,-0.00017797402874520705,-0.0003506007023702416
10:20260819:2,10.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3701,1,331,0,0,0,5.490116890765393e-08,2.248751878457505e-05,true,1433,1432,9.006102077560932e-05,0.38906075404362983,0.349853515625,0.03920723841862983,0.03920723841862983,0.019498124718666077,0.012416873127222061,0.0005343556058021864,0.00038017686754465707,0.38752166581250597,0.349853515625,0.03766815018750597,0.03766815018750597,0.013606577180325985,0.008609028533101082,0.0002592543148479164,0.00018513894256416783,0.3903899801479195,0.349853515625,0.04053646452291948,0.04053646452291948,0.009490047581493855,0.006077359896153212,0.00012699530640638873,9.006100309901736e-05,1.373651305138632e-06,-0.0015372075444152829,-0.0046006756902868375
10:20260819:2,10.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3701,1,331,0,0,0,5.490116890765393e-08,2.248751878457505e-05,wrong,3701,3700,0.000341310201605452,0.9668309034623235,0.903564453125,0.06326645033732348,0.06326645033732348,0.0012510196538642049,0.03646540269255638,0.0013312906437046527,0.0013297255935302982,0.9689260848324419,0.903564453125,0.06536163170744191,0.06536163170744191,0.0008277713786810637,0.02581101469695568,0.0006668936851418257,0.0006662084796864622,0.9711063566813258,0.903564453125,0.06754190355632583,0.06754190355632583,0.000549680320546031,0.018474584445357323,0.0003416124188834343,0.00034131027042863873,3.0469856151782986e-06,-0.0040026437382850175,-0.01283974235937149
10:20260819:3,10.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,47,1,21,0,0,0,5.706549947195974e-08,2.337402858371471e-05,true,2865,2864,0.0002026720857728351,0.5890991048212005,0.699462890625,-0.11036378580379946,0.11036378580379946,0.019762074574828148,0.028332429006695747,0.0011932661249205237,0.0008027265334194546,0.5919604806764854,0.699462890625,-0.10750240994851457,0.10750240994851457,0.013749598525464535,0.01994713395833969,0.000586939612763405,0.0003978881531519485,0.5929456707078705,0.699462890625,-0.10651721991712948,0.10651721991712948,0.00977314729243517,0.01423629466444254,0.000298186493772468,0.0002026720857728351,2.6615711448490184e-06,-0.012180165216946927,-0.035085513071704384
10:20260819:3,10.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,47,1,21,0,0,0,5.706549947195974e-08,2.337402858371471e-05,wrong,47,46,0.00027625922434884945,0.02895961372520467,0.011474609375,0.01748500435020467,0.01748500435020467,0.03333977237343788,0.0009943015174940228,0.0011125290574203427,0.0011115404219126518,0.023935964209775985,0.011474609375,0.012461354834775985,0.012461354834775985,0.02361706830561161,0.0005791600560769439,0.0005581013417224795,0.0005577659153519245,0.03566336479732176,0.011474609375,0.02418875542232176,0.02418875542232176,0.016621047630906105,0.000614684191532433,0.0002766370610041693,0.00027625922434884945,2.307880638128299e-05,-0.0003057253771266762,-0.0010691854367070545
10:20260819:4,10.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3915,1,6,0,1,1,5.727483806912936e-08,2.3459773673115387e-05,true,3469,3468,0.0002661978277252765,0.7483820105103132,0.846923828125,-0.09854181761468683,0.09854181761468683,0.01082557998597622,0.03219829127192497,0.0011539231428644887,0.0010367299608317199,0.746278189952667,0.846923828125,-0.10064563817233296,0.10064563817233296,0.007755997125059366,0.02281290479004383,0.0005805841163635339,0.0005204286249596048,0.7547437278357112,0.846923828125,-0.0921801002892888,0.0921801002892888,0.005301793571561575,0.01631556823849678,0.0002943067820204966,0.00026619776694504493,1.2951426657366641e-05,-0.009710489818806204,-0.02835015661792308
10:20260819:4,10.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3915,1,6,0,1,1,5.727483806912936e-08,2.3459773673115387e-05,wrong,3915,3914,0.0003668768256695522,0.8583059219564588,0.955810546875,-0.09750462491854117,0.09750462491854117,0.0063216607086360455,0.03829319402575493,0.0015063321028092257,0.001466368708694113,0.8562141857346312,0.955810546875,-0.09959636114036885,0.09959636114036885,0.004542945418506861,0.02705228142440319,0.0007524642833406424,0.0007318259302651099,0.8508386088650072,0.955810546875,-0.10497193800999283,0.10497193800999283,0.003357912180945277,0.019154027104377747,0.00037815232853017803,0.00036687675431523736,9.892550212078614e-06,-0.0095071518805054,-0.03045558735269403
10:20260819:5,10.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,166,1,3,1,1,1,5.998009479350775e-08,2.4567846827420775e-05,true,3985,3984,0.0003116506891229255,0.9008499288896601,0.972900390625,-0.07205046173533991,0.07205046173533991,0.003916442394256592,0.035583704710006714,0.0012815385619164843,0.001266200040888954,0.8938279188587528,0.972900390625,-0.07907247176624721,0.07907247176624721,0.0029784434009343386,0.025074537843465805,0.000637603573155968,0.0006287324480633988,0.8867303684117379,0.972900390625,-0.08617002221326209,0.08617002221326209,0.0022550488356500864,0.017653631046414375,0.0003167359343740923,0.0003116506891229255,3.322731503464286e-05,-0.0051912690362756805,-0.01890222487076837
10:20260819:5,10.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,166,1,3,1,1,1,5.998009479350775e-08,2.4567846827420775e-05,wrong,166,165,0.0003546746707417149,0.06021099278232531,0.04052734375,0.019683649032325307,0.019683649032325307,0.0370321050286293,0.0023725961800664663,0.0013770060154850976,0.0013713768028514317,0.061136185590405165,0.04052734375,0.020608841840405165,0.020608841840405165,0.02630946785211563,0.0017131989588961005,0.0006951231493342685,0.0006921880986615059,0.06575406521419556,0.04052734375,0.025226721464195564,0.025226721464195564,0.01883280836045742,0.0013254900695756078,0.00035643159466625845,0.0003546746707417149,5.8784939929890346e-06,-0.00038744603922776096,-0.0014544363710556898
10:20260819:6,10.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,1007,1,16,0,0,1,6.021993173101038e-08,2.4666084037021852e-05,true,3165,3164,0.0002194762743046386,0.6499672240805127,0.772705078125,-0.12273785404448734,0.12273785404448734,0.016016246750950813,0.029740173369646072,0.001140998072043948,0.0008844779120566054,0.646754905102536,0.772705078125,-0.12595017302246403,0.12595017302246403,0.011400471441447735,0.020873073488473892,0.000565655945942497,0.00043568519685523166,0.6438422354709168,0.772705078125,-0.1288628426540832,0.1288628426540832,0.008195146918296814,0.014814731664955616,0.00028663670731710836,0.0002194762743046386,6.257569229656111e-06,-0.015064580815445877,-0.04753991668595517
10:20260819:6,10.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,1007,1,16,0,0,1,6.021993173101038e-08,2.4666084037021852e-05,wrong,1007,1006,0.0003095456358354204,0.23976342055191815,0.245849609375,-0.006086188823081845,0.006086188823081845,0.03525147959589958,0.011117612011730671,0.0013662681105435026,0.0012426668137001246,0.23982829517845972,0.245849609375,-0.006021314196540284,0.006021314196540284,0.024674920365214348,0.007784746587276459,0.0006694539744577822,0.0006088516950296698,0.24305820812844273,0.245849609375,-0.0027914012465572735,0.0027914012465572735,0.017593910917639732,0.0056495023891329765,0.0003414625786226618,0.00030954570137784257,2.3657968395619466e-06,-3.704169439020637e-05,-8.345563680250739e-05
10:20260819:7,10.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,3950,1,14,0,0,1,6.297640756193777e-08,2.5795136537369707e-05,true,1669,1668,0.0002580645835810781,0.3121451871765906,0.407470703125,-0.09532551594840938,0.09532551594840938,0.031754352152347565,0.014409971423447132,0.0012159861570398634,0.0010083388806153004,0.3187735698644133,0.407470703125,-0.0886971332605867,0.0886971332605867,0.022228125482797623,0.010401444509625435,0.0006022796103658141,0.000494089562478997,0.31610438425297077,0.407470703125,-0.09136631887202923,0.09136631887202923,0.016064390540122986,0.007425145246088505,0.0003131974253511036,0.0002580646434255929,7.415027819352923e-06,-0.00908695399083045,-0.025309354691521402
10:20260819:7,10.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,3950,1,14,0,0,1,6.297640756193777e-08,2.5795136537369707e-05,wrong,3950,3949,0.00036486924306386795,0.9333130431603238,0.96435546875,-0.03104242558967618,0.03104242558967618,0.0027488290797919035,0.03847106173634529,0.0014875786524316003,0.0014800225911216908,0.9270310088153827,0.96435546875,-0.037324459934617304,0.037324459934617304,0.002128996653482318,0.027047734707593918,0.0007361125795629195,0.0007315799528123806,0.913842604405,0.96435546875,-0.05051286434500002,0.05051286434500002,0.0018009007908403873,0.019101550802588463,0.0003681124867223175,0.00036486924306386795,6.583288352529317e-05,-0.0009636321864905826,-0.004974129843763102
