trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power,wrong_symbol,c_1m_true,c_1m_wrong,delta_c_1m,c_multirate_true,c_multirate_wrong,delta_c_multirate,ratio_variance_true,ratio_variance_wrong,delta_wrong_minus_true_ratio_variance,c_1m_true_wins,c_multirate_true_wins,true_ratio_variance_is_lower
10:20260819:0,10.0,20260819,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,51,1,2,1,1,1,5.461110784836597e-08,2.2368709774690702e-05,51,-0.006441117298606288,-0.00017797402874520705,-0.006263143269861081,-0.02066986147654314,-0.0003506007023702416,-0.020319260774172898,8.246550737626352e-06,5.324137278199739e-05,4.499482204437104e-05,0,0,1
10:20260819:2,10.0,20260819,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3701,1,331,0,0,0,5.490116890765393e-08,2.248751878457505e-05,3701,-0.0015372075444152829,-0.0040026437382850175,0.0024654361938697346,-0.0046006756902868375,-0.01283974235937149,0.008239066669084652,1.373651305138632e-06,3.0469856151782986e-06,1.6733343100396666e-06,1,1,1
10:20260819:3,10.0,20260819,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,47,1,21,0,0,0,5.706549947195974e-08,2.337402858371471e-05,47,-0.012180165216946927,-0.0003057253771266762,-0.01187443983982025,-0.035085513071704384,-0.0010691854367070545,-0.03401632763499733,2.6615711448490184e-06,2.307880638128299e-05,2.041723523643397e-05,0,0,1
10:20260819:4,10.0,20260819,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3915,1,6,0,1,1,5.727483806912936e-08,2.3459773673115387e-05,3915,-0.009710489818806204,-0.0095071518805054,-0.00020333793830080472,-0.02835015661792308,-0.03045558735269403,0.002105430734770951,1.2951426657366641e-05,9.892550212078614e-06,-3.0588764452880273e-06,0,1,0
10:20260819:5,10.0,20260819,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,166,1,3,1,1,1,5.998009479350775e-08,2.4567846827420775e-05,166,-0.0051912690362756805,-0.00038744603922776096,-0.004803822997047919,-0.01890222487076837,-0.0014544363710556898,-0.01744778849971268,3.322731503464286e-05,5.8784939929890346e-06,-2.7348821041653827e-05,0,0,0
10:20260819:6,10.0,20260819,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,1007,1,16,0,0,1,6.021993173101038e-08,2.4666084037021852e-05,1007,-0.015064580815445877,-3.704169439020637e-05,-0.01502753912105567,-0.04753991668595517,-8.345563680250739e-05,-0.04745646104915266,6.257569229656111e-06,2.3657968395619466e-06,-3.891772390094164e-06,0,0,0
10:20260819:7,10.0,20260819,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,3950,1,14,0,0,1,6.297640756193777e-08,2.5795136537369707e-05,3950,-0.00908695399083045,-0.0009636321864905826,-0.008123321804339868,-0.025309354691521402,-0.004974129843763102,-0.0203352248477583,7.415027819352923e-06,6.583288352529317e-05,5.841785570594025e-05,0,0,1
10:20260819:8,10.0,20260819,8,exp0_000000_rxg20_0_fulltrim,0,8,849,1378,1,6,0,1,1,6.501240630023145e-08,2.6629081620574803e-05,1378,-0.04213485712552134,-0.055697461122800024,0.013562603997278683,-0.12145391494449259,-0.17201517021812895,0.05056125527363636,9.111959488457524e-06,1.0028873016266488e-05,9.16913527808964e-07,1,1,1
10:20260819:9,10.0,20260819,9,exp0_000000_rxg20_0_fulltrim,0,9,665,3578,1,5,0,1,1,6.361536648147813e-08,2.605685411081344e-05,3578,-0.016565651020247048,-0.0013188752852363653,-0.015246775735010683,-0.049311398202867326,-0.003941170591701179,-0.045370227611166145,1.906141601829545e-07,7.136866579426573e-08,-1.1924549438868878e-07,0,0,0
10:20260819:10,10.0,20260819,10,exp0_000000_rxg20_0_fulltrim,0,10,713,450,1,37,0,0,0,6.285975786989332e-08,2.5747356823508304e-05,450,-0.007701579723839712,-0.003161390429115731,-0.004540189294723981,-0.02190034008931446,-0.009681922739007073,-0.012218417350307386,6.456826768039574e-06,5.761559533073978e-06,-6.952672349655958e-07,0,0,0
