snr_db,method,trials,errors,ser,fixes_vs_source_fft,breaks_vs_source_fft,net_fixes_vs_source_fft
-34.0,fft_argmax_q8,2000,1918,0.959,0,0,0
-34.0,fft_argmax_q4,2000,1976,0.988,10,68,-58
-34.0,fft_argmax_q2,2000,1991,0.9955,6,79,-73
-34.0,fft_argmax_q1,2000,1992,0.996,7,81,-74
-34.0,pair_energy_q8,2000,1915,0.9575,31,28,3
-34.0,fold_profile_q8,2000,1857,0.9285,75,14,61
-34.0,multirate_equal_sum,2000,1942,0.971,31,55,-24
-34.0,multirate_awgn_glrt,2000,1857,0.9285,75,14,61
-34.0,coherent_ml_q8,2000,1730,0.865,206,18,188
-32.0,fft_argmax_q8,2000,1792,0.896,0,0,0
-32.0,fft_argmax_q4,2000,1948,0.974,20,176,-156
-32.0,fft_argmax_q2,2000,1974,0.987,15,197,-182
-32.0,fft_argmax_q1,2000,1989,0.9945,9,206,-197
-32.0,pair_energy_q8,2000,1790,0.895,60,58,2
-32.0,fold_profile_q8,2000,1692,0.846,131,31,100
-32.0,multirate_equal_sum,2000,1870,0.935,49,127,-78
-32.0,multirate_awgn_glrt,2000,1692,0.846,131,31,100
-32.0,coherent_ml_q8,2000,1375,0.6875,445,28,417
-30.0,fft_argmax_q8,2000,1468,0.734,0,0,0
-30.0,fft_argmax_q4,2000,1841,0.9205,27,400,-373
-30.0,fft_argmax_q2,2000,1964,0.982,11,507,-496
-30.0,fft_argmax_q1,2000,1959,0.9795,21,512,-491
-30.0,pair_energy_q8,2000,1474,0.737,105,111,-6
-30.0,fold_profile_q8,2000,1267,0.6335,253,52,201
-30.0,multirate_equal_sum,2000,1650,0.825,99,281,-182
-30.0,multirate_awgn_glrt,2000,1267,0.6335,253,52,201
-30.0,coherent_ml_q8,2000,738,0.369,766,36,730
-28.0,fft_argmax_q8,2000,1016,0.508,0,0,0
-28.0,fft_argmax_q4,2000,1690,0.845,30,704,-674
-28.0,fft_argmax_q2,2000,1931,0.9655,2,917,-915
-28.0,fft_argmax_q1,2000,1926,0.963,18,928,-910
-28.0,pair_energy_q8,2000,973,0.4865,158,115,43
-28.0,fold_profile_q8,2000,705,0.3525,348,37,311
-28.0,multirate_equal_sum,2000,1249,0.6245,144,377,-233
-28.0,multirate_awgn_glrt,2000,705,0.3525,348,37,311
-28.0,coherent_ml_q8,2000,179,0.0895,847,10,837
-26.0,fft_argmax_q8,2000,515,0.2575,0,0,0
-26.0,fft_argmax_q4,2000,1309,0.6545,14,808,-794
-26.0,fft_argmax_q2,2000,1797,0.8985,11,1293,-1282
-26.0,fft_argmax_q1,2000,1826,0.913,15,1326,-1311
-26.0,pair_energy_q8,2000,389,0.1945,171,45,126
-26.0,fold_profile_q8,2000,228,0.114,300,13,287
-26.0,multirate_equal_sum,2000,643,0.3215,151,279,-128
-26.0,multirate_awgn_glrt,2000,228,0.114,300,13,287
-26.0,coherent_ml_q8,2000,11,0.0055,506,2,504
-24.0,fft_argmax_q8,2000,155,0.0775,0,0,0
-24.0,fft_argmax_q4,2000,759,0.3795,12,616,-604
-24.0,fft_argmax_q2,2000,1512,0.756,3,1360,-1357
-24.0,fft_argmax_q1,2000,1589,0.7945,7,1441,-1434
-24.0,pair_energy_q8,2000,105,0.0525,72,22,50
-24.0,fold_profile_q8,2000,21,0.0105,135,1,134
-24.0,multirate_equal_sum,2000,185,0.0925,78,108,-30
-24.0,multirate_awgn_glrt,2000,21,0.0105,135,1,134
-24.0,coherent_ml_q8,2000,0,0.0,155,0,155
-22.0,fft_argmax_q8,2000,50,0.025,0,0,0
-22.0,fft_argmax_q4,2000,281,0.1405,11,242,-231
-22.0,fft_argmax_q2,2000,1033,0.5165,5,988,-983
-22.0,fft_argmax_q1,2000,1114,0.557,10,1074,-1064
-22.0,pair_energy_q8,2000,28,0.014,27,5,22
-22.0,fold_profile_q8,2000,1,0.0005,49,0,49
-22.0,multirate_equal_sum,2000,12,0.006,44,6,38
-22.0,multirate_awgn_glrt,2000,1,0.0005,49,0,49
-22.0,coherent_ml_q8,2000,0,0.0,50,0,50
-21.0,fft_argmax_q8,2000,28,0.014,0,0,0
-21.0,fft_argmax_q4,2000,179,0.0895,11,162,-151
-21.0,fft_argmax_q2,2000,797,0.3985,5,774,-769
-21.0,fft_argmax_q1,2000,808,0.404,10,790,-780
-21.0,pair_energy_q8,2000,15,0.0075,17,4,13
-21.0,fold_profile_q8,2000,0,0.0,28,0,28
-21.0,multirate_equal_sum,2000,0,0.0,28,0,28
-21.0,multirate_awgn_glrt,2000,0,0.0,28,0,28
-21.0,coherent_ml_q8,2000,0,0.0,28,0,28
-20.0,fft_argmax_q8,2000,16,0.008,0,0,0
-20.0,fft_argmax_q4,2000,84,0.042,7,75,-68
-20.0,fft_argmax_q2,2000,491,0.2455,4,479,-475
-20.0,fft_argmax_q1,2000,460,0.23,4,448,-444
-20.0,pair_energy_q8,2000,11,0.0055,9,4,5
-20.0,fold_profile_q8,2000,0,0.0,16,0,16
-20.0,multirate_equal_sum,2000,0,0.0,16,0,16
-20.0,multirate_awgn_glrt,2000,0,0.0,16,0,16
-20.0,coherent_ml_q8,2000,0,0.0,16,0,16
