snr_db,wrap_region,mean_min_wrap_fraction,method,trials,errors,ser,fixes_vs_source_fft,breaks_vs_source_fft,net_fixes_vs_source_fft
-34.0,center,0.43553567160611856,fft_argmax_q8,523,515,0.9847036328871893,0,0,0
-34.0,center,0.43553567160611856,fft_argmax_q4,523,520,0.994263862332696,3,8,-5
-34.0,center,0.43553567160611856,fft_argmax_q2,523,522,0.9980879541108987,1,8,-7
-34.0,center,0.43553567160611856,fft_argmax_q1,523,518,0.9904397705544933,4,7,-3
-34.0,center,0.43553567160611856,pair_energy_q8,523,507,0.9694072657743786,11,3,8
-34.0,center,0.43553567160611856,fold_profile_q8,523,496,0.9483747609942639,22,3,19
-34.0,center,0.43553567160611856,multirate_equal_sum,523,511,0.9770554493307839,9,5,4
-34.0,center,0.43553567160611856,multirate_awgn_glrt,523,496,0.9483747609942639,22,3,19
-34.0,center,0.43553567160611856,coherent_ml_q8,523,446,0.8527724665391969,71,2,69
-34.0,edge,0.06196715716019417,fft_argmax_q8,515,477,0.9262135922330097,0,0,0
-34.0,edge,0.06196715716019417,fft_argmax_q4,515,503,0.9766990291262136,3,29,-26
-34.0,edge,0.06196715716019417,fft_argmax_q2,515,512,0.9941747572815534,2,37,-35
-34.0,edge,0.06196715716019417,fft_argmax_q1,515,513,0.996116504854369,2,38,-36
-34.0,edge,0.06196715716019417,pair_energy_q8,515,475,0.9223300970873787,10,8,2
-34.0,edge,0.06196715716019417,fold_profile_q8,515,461,0.8951456310679612,20,4,16
-34.0,edge,0.06196715716019417,multirate_equal_sum,515,494,0.9592233009708738,8,25,-17
-34.0,edge,0.06196715716019417,multirate_awgn_glrt,515,461,0.8951456310679612,20,4,16
-34.0,edge,0.06196715716019417,coherent_ml_q8,515,453,0.8796116504854369,32,8,24
-34.0,inner,0.31258255476804125,fft_argmax_q8,485,468,0.9649484536082474,0,0,0
-34.0,inner,0.31258255476804125,fft_argmax_q4,485,483,0.9958762886597938,1,16,-15
-34.0,inner,0.31258255476804125,fft_argmax_q2,485,482,0.9938144329896907,2,16,-14
-34.0,inner,0.31258255476804125,fft_argmax_q1,485,485,1.0,0,17,-17
-34.0,inner,0.31258255476804125,pair_energy_q8,485,470,0.9690721649484536,6,8,-2
-34.0,inner,0.31258255476804125,fold_profile_q8,485,449,0.9257731958762887,22,3,19
-34.0,inner,0.31258255476804125,multirate_equal_sum,485,471,0.9711340206185567,9,12,-3
-34.0,inner,0.31258255476804125,multirate_awgn_glrt,485,449,0.9257731958762887,22,3,19
-34.0,inner,0.31258255476804125,coherent_ml_q8,485,404,0.8329896907216495,67,3,64
-34.0,outer,0.18808962264150944,fft_argmax_q8,477,458,0.960167714884696,0,0,0
-34.0,outer,0.18808962264150944,fft_argmax_q4,477,470,0.9853249475890985,3,15,-12
-34.0,outer,0.18808962264150944,fft_argmax_q2,477,475,0.9958071278825996,1,18,-17
-34.0,outer,0.18808962264150944,fft_argmax_q1,477,476,0.9979035639412998,1,19,-18
-34.0,outer,0.18808962264150944,pair_energy_q8,477,463,0.9706498951781971,4,9,-5
-34.0,outer,0.18808962264150944,fold_profile_q8,477,451,0.9454926624737946,11,4,7
-34.0,outer,0.18808962264150944,multirate_equal_sum,477,466,0.9769392033542977,5,13,-8
-34.0,outer,0.18808962264150944,multirate_awgn_glrt,477,451,0.9454926624737946,11,4,7
-34.0,outer,0.18808962264150944,coherent_ml_q8,477,427,0.8951781970649895,36,5,31
-32.0,center,0.43549463091563784,fft_argmax_q8,486,467,0.9609053497942387,0,0,0
-32.0,center,0.43549463091563784,fft_argmax_q4,486,483,0.9938271604938271,1,17,-16
-32.0,center,0.43549463091563784,fft_argmax_q2,486,482,0.9917695473251029,2,17,-15
-32.0,center,0.43549463091563784,fft_argmax_q1,486,484,0.9958847736625515,2,19,-17
-32.0,center,0.43549463091563784,pair_energy_q8,486,456,0.9382716049382716,17,6,11
-32.0,center,0.43549463091563784,fold_profile_q8,486,433,0.8909465020576132,39,5,34
-32.0,center,0.43549463091563784,multirate_equal_sum,486,461,0.948559670781893,17,11,6
-32.0,center,0.43549463091563784,multirate_awgn_glrt,486,433,0.8909465020576132,39,5,34
-32.0,center,0.43549463091563784,coherent_ml_q8,486,334,0.6872427983539094,135,2,133
-32.0,edge,0.06413138929263566,fft_argmax_q8,516,419,0.812015503875969,0,0,0
-32.0,edge,0.06413138929263566,fft_argmax_q4,516,498,0.9651162790697675,3,82,-79
-32.0,edge,0.06413138929263566,fft_argmax_q2,516,506,0.9806201550387597,5,92,-87
-32.0,edge,0.06413138929263566,fft_argmax_q1,516,514,0.9961240310077519,1,96,-95
-32.0,edge,0.06413138929263566,pair_energy_q8,516,428,0.8294573643410853,18,27,-9
-32.0,edge,0.06413138929263566,fold_profile_q8,516,392,0.7596899224806202,35,8,27
-32.0,edge,0.06413138929263566,multirate_equal_sum,516,460,0.8914728682170543,11,52,-41
-32.0,edge,0.06413138929263566,multirate_awgn_glrt,516,392,0.7596899224806202,35,8,27
-32.0,edge,0.06413138929263566,coherent_ml_q8,516,363,0.7034883720930233,70,14,56
-32.0,inner,0.3138699273547094,fft_argmax_q8,499,462,0.9258517034068137,0,0,0
-32.0,inner,0.3138699273547094,fft_argmax_q4,499,490,0.9819639278557114,8,36,-28
-32.0,inner,0.3138699273547094,fft_argmax_q2,499,493,0.9879759519038076,5,36,-31
