trial_id,packet_id,reference_id,esn0_db,seed,sync_status,strict_sync_success,estimate_available,local_sync_estimate,event_count,signal_power,added_noise_power,clean_cfo_total_bins,noisy_cfo_total_bins,cfo_error_bins,cfo_error_hz,abs_cfo_error_bins,clean_payload_start_sample,noisy_payload_start_sample,payload_sto_error_samples_1m,payload_sto_error_chips,preamble_sto_error_samples_1m,clean_sfo_hat,noisy_sfo_hat,sfo_error,fine_preamble_peak_max_abs_bin,fine_preamble_bin0_count,frame_sync_valid,cfo_sto_coupled_residual_bins,abs_cfo_sto_coupled_residual_bins
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,sync_invalid,0,1,1,1,6.153250447488309e-08,1.5902468351052942e-05,-128.71322618720285,-128.70422085168457,0.009005335518281754,0.2748210302210008,0.009005335518281754,673552,673551,-1,-0.125,0,-0.032989857029732124,-0.03298754891626117,2.3081134709543316e-06,1563,9,0,0.13400533551828175,0.13400533551828175
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,sync_invalid,0,1,1,1,2.9434755784562603e-08,7.607122061414658e-06,-129.9365825693268,-129.93541354299947,0.001169026327318079,0.0356758522741113,0.001169026327318079,673544,673544,0,0.0,0,-0.033303409516436025,-0.03330310988901976,2.9962741626698985e-07,1,0,0,0.001169026327318079,0.001169026327318079
exp0_000003_rxg20_0_fulltrim:12:20260821,exp0_000003_rxg20_0_fulltrim,3,12.0,20260821,sync_invalid,0,1,0,1,5.3735255547964695e-08,1.3887346338000231e-05,-128.8702234183035,-1000.8698055416223,-871.9995821233188,-26611.315372415735,871.9995821233188,673552,666575,-6977,-872.125,2,-0.033030096221627926,-0.2565280411988985,-0.22349794497727057,2039,2,0,0.12541787668124016,0.12541787668124016
exp0_000004_rxg20_0_fulltrim:12:20260821,exp0_000004_rxg20_0_fulltrim,4,12.0,20260821,sync_invalid,0,1,1,1,6.126035586516529e-08,1.5832134229441056e-05,-128.86059867151772,-128.85427973350815,0.006318938009570729,0.19283868437410673,0.006318938009570729,673552,673552,0,0.0,-1,-0.03302762934988664,-0.033026009773812835,1.6195760738080267e-06,0,12,0,0.006318938009570729,0.006318938009570729
exp0_000005_rxg20_0_fulltrim:12:20260821,exp0_000005_rxg20_0_fulltrim,5,12.0,20260821,sync_invalid,0,1,1,1,7.242874646077204e-08,1.871849452786398e-05,-128.73133173018064,-128.7433883099426,-0.012056579761946296,-0.36793761480549,0.012056579761946296,673551,673551,0,0.0,-8,-0.03299449757283695,-0.03299758773578598,-3.0901629490334703e-06,0,12,0,-0.012056579761946296,0.012056579761946296
exp0_000006_rxg20_0_fulltrim:12:20260821,exp0_000006_rxg20_0_fulltrim,6,12.0,20260821,sync_invalid,0,1,0,1,7.561376789538686e-08,1.954163187606118e-05,-128.78823406390384,651.2212431672964,780.0094772312002,23804.00015964356,780.0094772312002,673552,679793,6241,780.125,1,-0.03300908193149063,0.16691132949746165,0.19992041142895228,1288,1,0,-0.11552276879979217,0.11552276879979217
exp0_000007_rxg20_0_fulltrim:12:20260821,exp0_000007_rxg20_0_fulltrim,7,12.0,20260821,sync_invalid,0,1,1,1,7.449895515307498e-08,1.925351952790864e-05,-128.76227301106474,-128.75531400769702,0.0069590033677116026,0.21237192894627693,0.0069590033677116026,673551,673552,1,0.125,0,-0.03300242798110128,-0.033000644353008264,1.7836280930133563e-06,1937,11,0,-0.1180409966322884,0.1180409966322884
exp0_000008_rxg20_0_fulltrim:12:20260821,exp0_000008_rxg20_0_fulltrim,8,12.0,20260821,ok,1,1,1,1,6.982488910305618e-08,1.8045553298263374e-05,-128.7286519200897,-128.72678867532773,0.0018632447619779668,0.05686171758965963,0.0018632447619779668,673552,673552,0,0.0,-1,-0.032993810723828614,-0.032993333164683135,4.775591454786454e-07,859,11,1,0.0018632447619779668,0.0018632447619779668
exp0_000000_rxg20_0_fulltrim:12:20260822,exp0_000000_rxg20_0_fulltrim,0,12.0,20260822,no_preamble,0,0,0,0,6.153250447488309e-08,1.5902468351052942e-05,,,,,,,,,,,,,,,,,,
exp0_000002_rxg20_0_fulltrim:12:20260822,exp0_000002_rxg20_0_fulltrim,2,12.0,20260822,sync_invalid,0,1,1,1,2.9434755784562603e-08,7.607122061414658e-06,-129.9365825693268,-129.9325219608648,0.004060608461998072,0.12391993597406226,0.004060608461998072,673544,673544,0,0.0,0,-0.033303409516436025,-0.03330236876175538,1.0407546806451284e-06,1356,0,0,0.004060608461998072,0.004060608461998072
