packet_index,symbol_index,gt_bin,savaux_bin,nus_null_bin,savaux_correct,nus_null_correct,changed,fix,break,activated,sensed_delta_bin,sensed_stability,alternative_bin,savaux_glrt,alternative_glrt,savaux_nullability,alternative_nullability,dataset,snr_db,seed,echo_delay_samples
1,0,222,222,222,1,1,0,0,0,0,-333,2.8398022380833643,555,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,1,826,826,826,1,1,0,0,0,0,-333,2.8398022380833643,135,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,2,922,922,922,1,1,0,0,0,0,-333,2.8398022380833643,231,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,3,718,718,718,1,1,0,0,0,0,-333,2.8398022380833643,27,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,4,107,107,107,1,1,0,0,0,0,-333,2.8398022380833643,440,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,5,468,468,468,1,1,0,0,0,0,-333,2.8398022380833643,801,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,6,89,89,89,1,1,0,0,0,0,-333,2.8398022380833643,422,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,7,713,713,713,1,1,0,0,0,0,-333,2.8398022380833643,22,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,8,865,865,865,1,1,0,0,0,0,-333,2.8398022380833643,174,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,9,492,492,492,1,1,0,0,0,0,-333,2.8398022380833643,825,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,10,765,765,765,1,1,0,0,0,0,-333,2.8398022380833643,74,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,11,1023,1023,1023,1,1,0,0,0,0,-333,2.8398022380833643,332,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,12,597,597,597,1,1,0,0,0,0,-333,2.8398022380833643,930,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,13,562,562,562,1,1,0,0,0,0,-333,2.8398022380833643,895,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,14,478,478,478,1,1,0,0,0,0,-333,2.8398022380833643,811,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
1,15,267,267,267,1,1,0,0,0,0,-333,2.8398022380833643,600,nan,nan,nan,nan,0_0_0_10_14_16,-20.0,42,0
