dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,savaux_header_bin,branch_gls_bin,branch_shrinkage_bin,savaux_dual_bin,proposed_observed_bin,proposed_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,-18.0,42,0,0,8,803,92,1017,1017,1017,1017,1017,814,814,0,0.625,8,0,0,0,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-10.587653953493938,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.9683754373221971,-0.13985314220957495,1017|814|91|92|394|317|704|89,0.20528128|0.96837544|0.51775644|0.51468272|0.51373665|0.48379191|0.51474296|0.45693783,0|-0.49633186|-0.73715307|-1.1509263|-1.1839441|-1.2526993|-1.5566422|-1.6802097,0.026344976|0.044311762|0.075720302|0.070754496|0.032122747|0.032498617|0.019267872|0.055129779,0.011723067|0.015148523|0.073072827|0.068406421|0.030953704|0.033499638|0.017492785|0.060118767,0.052444927|0.0077309095|5.065015e-05|0.0003296109|0.00031012202|8.7754107e-05|0.001223228|0.00020648483,2.4382741|-0.13985314|0.82995663|1.3566222|-1.4317367|-1.8938965|-1.5111103|-2.3998656
0_0_0_10_14_32,-18.0,42,0,1,9,711,344,134,134,334,335,134,794,794,0,0.625,8,0,1,1,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-10.847510610426484,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.9110551718713404,-0.03923348330074334,334|335|336|134|794|986|711|23,0.51741128|0.49770297|0.66762704|0.3973994|0.91105517|0.44377001|0.49955802|0.63211004,0|-0.071543848|-0.23641736|-0.43560357|-0.44172001|-0.56206513|-0.75453334|-1.0583085,0.036947824|0.049486822|0.025840549|0.054169248|0.031112204|0.035969286|0.032991019|0.049459145,0.035679144|0.049336135|0.018787428|0.067346381|0.013390183|0.0004497999|0.0047124863|0.038034837,2.535796e-05|0.00037908158|0.00056510515|0.00080828514|0.0036846362|0.040077146|0.028307722|0.0010874219,-0.85851031|-1.5972057|0.093874025|-2.8169875|-0.039233483|2.1373501|-1.5720599|-0.63738362
0_0_0_10_14_32,-18.0,42,0,2,10,922,922,922,922,922,922,922,922,922,0,0.625,8,0,1,1,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-11.107367267359031,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.9080430568486302,0.21358788994501432,922|808|517|813|807|684|686|685,0.90804306|0.80497425|0.73680418|0.39153749|0.67004964|0.47892517|0.42107152|0.34941639,0|-2.7830442|-2.8635993|-2.8665086|-2.8773362|-3.0840521|-3.1892108|-3.5769306,0.12613736|0.023517747|0.019476136|0.014896501|0.035679985|0.023182757|0.03657715|0.025054857,0.015622071|0.012029657|0.012420401|0.013565942|0.024583987|0.023114668|0.042863988|0.029914607,0.053833534|0.0025781066|0.00079622825|0.0054571416|0.0020408948|0.0010882333|0.00056942838|0.0059378281,0.21358789|0.64356294|0.097711308|1.8129583|0.8773576|1.6726738|2.3376764|-1.9878628
0_0_0_10_14_32,-18.0,42,0,3,11,718,312,312,312,312,312,312,312,312,0,0.625,8,0,1,1,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-11.367223924291576,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.584941582102145,0.6335593207589006,312|400|586|326|313|25|63|718,0.58494158|0.58384941|0.45475761|0.50821841|0.58501907|0.44948428|0.53151916|0.37262947,0|-2.9622529|-3.0094973|-3.3395122|-3.3537893|-3.4413594|-3.4564401|-3.4918708,0.10680422|0.05812334|0.014483671|0.014121007|0.039561692|0.039693411|0.057723554|0.015498268,0.090269115|0.049410968|0.015406089|0.013474341|0.032047924|0.043952727|0.054243389|0.00051384075,0.0010256605|0.00036500004|0.00051851655|0.00041831514|0.0017643851|0.00020166586|5.7150745e-05|0.020281976,0.63355932|0.18578257|1.8285508|1.5226864|-1.1785215|-2.417633|0.23693029|2.5330714
0_0_0_10_14_32,-18.0,42,0,4,12,107,599,676,676,676,676,676,676,676,0,0.625,8,0,0,0,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-11.627080581224122,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.7489831562718501,0.8212787582088984,676|599|494|1017|781|216|284|678,0.74898316|0.63063252|0.38315553|0.26024864|0.46132863|0.71035068|0.51393766|0.4554872,0|-0.70222196|-0.73146772|-0.93629379|-1.3047811|-1.4422207|-1.4946582|-1.531498,0.029581078|0.074193849|0.021967379|0.021104616|0.022223566|0.033363604|0.041713131|0.034618455,0.016612199|0.056270997|0.027813356|0.0042482354|0.020583911|0.022309369|0.040569077|0.035446809,0.0031352934|0.0025539507|0.00085304372|0.036298789|0.0035025699|0.001174528|1.2820525e-05|0.002554758,0.82127876|0.87498389|2.329047|-2.4700039|1.6807173|-0.26525589|0.66925939|-1.7495014
0_0_0_10_14_32,-18.0,42,0,5,13,468,92,468,468,468,468,468,468,468,0,0.625,8,0,1,1,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-11.88693723815667,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.8060165813196974,0.8262092222966789,468|92|333|93|110|244|335|167,0.80601658|0.56228344|0.6003508|0.48910067|0.51054595|0.48632663|0.67307786|0.53823185,0|-1.937294|-3.1064505|-3.5560478|-3.8396802|-4.2712018|-4.3569585|-4.4842414,0.032910342|0.111778|0.06443425|0.075211455|0.078128096|0.030764245|0.050315296|0.0097385859,0.0058251927|0.09893447|0.052859265|0.076821849|0.076088613|0.031611513|0.035980932|0.0090093826,0.014590232|0.00046202416|0.00080456871|6.5650164e-05|0.00042565147|1.7686932e-05|0.0013960936|3.7449081e-05,0.82620922|-0.41363253|-0.59922593|-1.9532092|-1.4285283|2.1875402|0.42082561|-0.93295627
0_0_0_10_14_32,-18.0,42,0,6,14,89,349,633,633,633,633,633,633,633,0,0.625,8,0,1,1,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-12.146793895089216,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.8409417135081576,-0.1544186156430662,633|89|349|482|373|319|366|370,0.84094171|0.53924618|0.50025731|0.56598373|0.50424001|0.41002179|0.54931482|0.63973083,0|-0.6470078|-0.73441515|-1.2977902|-1.3701135|-1.3837056|-1.4994802|-1.6924868,0.026516099|0.031722018|0.092809307|0.020283824|0.058949976|0.037781488|0.0865334|0.0202293,0.013587833|0.028907988|0.092742112|0.017221095|0.057772459|0.045348126|0.078472558|0.015472406,0.0021778841|0.00050530983|1.9457928e-05|0.00069799301|0.00068182278|0.00072441104|0.00029229184|0.00033838399,-0.15441862|1.2639725|1.5530277|1.2227804|-1.531296|2.3793387|-0.6248673|0.26335677
0_0_0_10_14_32,-18.0,42,0,7,15,713,67,982,982,982,982,982,982,982,0,0.625,8,0,0,0,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-12.406650552021762,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.676539582955401,0.3855785147092127,982|501|256|706|238|872|214|905,0.67653958|0.69712054|0.49634204|0.65153792|0.57115849|0.78742934|0.47775119|0.84254977,0|-0.92351559|-1.5279503|-1.7118221|-1.7373188|-1.8677622|-1.9973045|-2.1515797,0.081874323|0.044060567|0.060572282|0.077335772|0.039464004|0.069956501|0.035319713|0.036911501,0.0022826654|0.026910655|0.059892957|0.057838854|0.034326548|0.039184599|0.036943124|0.010273738,0.058226967|0.004691173|0.0011257322|0.0015097809|0.00022078452|0.0052362133|2.1423773e-05|0.011630903,0.38557851|0.98312685|-1.5979826|-0.27501413|0.46687263|0.47046839|-2.7503538|0.81424407
0_0_0_10_14_32,-18.0,42,0,8,16,865,875,822,822,822,822,822,822,822,0,0.625,8,0,0,0,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-12.666507208954307,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.755721921298098,-0.8006426973975418,822|872|867|818|200|360|820|272,0.75572192|0.91551042|0.82522896|0.5830129|0.50680605|0.51580855|0.42656434|0.64866446,0|-0.8861226|-1.0967768|-1.1564106|-1.2646908|-1.5482792|-1.6078139|-1.8060249,0.062361243|0.022324085|0.061149021|0.045186634|0.074002846|0.022397863|0.029694372|0.059714461,0.034627529|0.0059670918|0.025787262|0.035276316|0.072266437|0.021703055|0.033660027|0.044982293,0.0066318559|0.0062250605|0.011262468|0.0034763726|0.00074260233|8.3559313e-06|0.0011464135|0.0010464829,-0.8006427|-0.58952129|0.78546758|1.2760494|1.5029136|0.63347359|-1.9948632|-0.072750401
0_0_0_10_14_32,-18.0,42,0,9,17,492,492,492,492,492,492,492,492,492,0,0.625,8,0,1,1,26,1.6769789524766299,0.8856075520773059,0.26568226562319175,inf,1,-12.926363865886854,-0.009535103393185867,-0.05610972568578554,-0.05610972568578554,0.0,0.8856075520773059,0.1048409276934491,0.08559053528479207,0.9183853476136654,40,1,0.7170772135553409,0.9962819883567171,492|934|121|552|551|207|836|828,0.71707721|0.87091789|0.57250946|0.54385514|0.53150662|0.54218475|0.98237314|0.65083882,0|-0.5680169|-0.62205914|-0.8517796|-1.1440129|-1.2464774|-1.4205958|-1.5173471,0.067182384|0.066975754|0.035358662|0.031952403|0.025292877|0.026187814|0.048319353|0.044607293,0.037509364|0.0072441552|0.030687142|0.028286361|0.023649659|0.02305756|0.013695465|0.032052253,0.009335231|0.03120709|0.00019327533|0.0010894785|0.00014390859|0.0010927082|0.010897712|0.0022168256,0.99628199|0.32212045|0.40420685|-1.3365944|1.1523351|-1.3664125|-0.2412075|0.91065825
