dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,-18.0,42,0,0,8,803,92,1017,1017,1017,1017,0,0,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,-0.007707047027642355,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.9589157838882818,2.283519199031222,1017|814|91|92|394|317|89|704,0.95891578|0.80889372|0.97017206|0.97188353|0.28269763|0.42984607|0.89287095|0.31161945,0|-0.5671709|-0.65048583|-0.97100542|-1.1958287|-1.3205203|-1.6522434|-1.7625503,23.555494|3.5397949|5.994258|5.8369199|0.82654584|1.2951833|5.2667961|0.56664662,0.011504748|0.014064452|0.071490037|0.067833629|0.032063638|0.034477511|0.06762801|0.014504584,0.050913066|0.0068542593|4.6262124e-05|0.00033632313|0.00037371524|0.00010881714|0.00017515923|0.0012562893,2.2835192|-0.39246498|0.52458915|0.86360341|-1.8452118|-1.9862656|-2.9781325|-1.6603465
0_0_0_10_14_32,-18.0,42,0,1,9,711,344,134,334,134,334,1,1,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.012379786896068667,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.45124616438587234,-1.4326380342198821,334|335|134|336|794|986|711|344,0.45124616|0.36587271|0.69146912|0.74762712|0.71691404|0.99718661|0.9214573|0.35306368,0|-0.041746119|-0.29130198|-0.42616735|-0.57514162|-0.77122718|-0.80018336|-1.0192287,1.4932654|1.5385358|4.6175445|1.5705883|2.0935465|16.361474|11.804129|3.5833492,0.03835129|0.047150076|0.072707709|0.021672483|0.013478251|0.00037752919|0.0048848151|0.11406689,2.1957565e-05|0.00033896823|0.00091387513|0.00051038366|0.0038058393|0.03540221|0.026863103|0.00076686321,-1.432638|-2.0027862|3.0413331|-0.3429946|-0.23051605|1.9577865|-1.773195|-1.9863997
0_0_0_10_14_32,-18.0,42,0,2,10,922,922,922,922,922,922,1,1,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.0324666208197798,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.9684586932409168,0.021187410711608925,922|808|807|517|813|686|684|685,0.96845869|0.65895526|0.48682978|0.61663294|0.69449606|0.088703703|0.22379597|0.35622153,0|-2.8238631|-2.8248338|-2.9919275|-3.0195566|-3.1565855|-3.1758618|-3.4811976,25.753893|1.4201354|1.7873217|0.82369765|2.8887091|0.38688591|0.52252298|1.6713899,0.015543286|0.010712013|0.025501667|0.011869882|0.014346365|0.044301765|0.02274695|0.028975395,0.054579984|0.0026432158|0.0031503283|0.00067761022|0.0062743566|0.0011576114|0.00079104139|0.0048165489,0.021187411|0.6613651|0.74651395|-0.15164992|1.6082561|2.1248786|1.354688|-2.1666545
0_0_0_10_14_32,-18.0,42,0,3,11,718,312,312,312,312,312,1,1,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.052553454743490935,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.7477339426379621,0.3538300362017824,312|400|586|63|25|326|313|718,0.74773394|0.51077203|0.26401242|0.99471253|0.93975377|0.6010647|0.49725091|0.94345665,0|-2.9239865|-3.0740122|-3.3897539|-3.4375891|-3.4478359|-3.5427231|-3.5792444,6.2400791|2.1695403|0.47077281|4.6161977|3.7315147|0.80188586|1.9363496|9.0168712,0.089090888|0.047315964|0.016157178|0.053463713|0.044495425|0.013557489|0.034833344|0.00076394109,0.0014266881|0.00037288896|0.00082889322|8.4882606e-05|0.00031653855|0.0003492704|0.0019825099|0.020515702,0.35383004|-0.049643135|1.6125936|-0.37082694|-2.7680914|1.1649293|-1.5603685|2.2066841
0_0_0_10_14_32,-18.0,42,0,4,12,107,599,676,676,676,676,0,0,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.07264028866720207,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.6424595227879392,0.6261196524939958,676|599|494|1017|284|781|216|678,0.64245952|0.41151869|0.16785077|0.98100509|0.55142223|0.4830405|0.93262021|0.23548585,0|-0.57139302|-0.61539525|-0.8878678|-1.2454893|-1.3430576|-1.3849643|-1.5106648,1.7998445|2.4617836|0.49944111|18.33258|1.8939285|1.8982073|2.1003586|0.96773019,0.017290002|0.056516271|0.029100982|0.0039709692|0.039826178|0.023576669|0.019997882|0.035019993,0.0028100132|0.0023648811|0.00099406194|0.039729965|1.0579425e-05|0.0040569338|0.0011568837|0.0024203245,0.62611965|0.66266804|1.9930581|-2.6342316|1.7773773|1.5819214|-0.59401635|-1.8562607
0_0_0_10_14_32,-18.0,42,0,5,13,468,92,468,468,468,468,1,1,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.09272712259091309,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.9071122221739819,0.7359669173764547,468|92|333|93|110|244|335|167,0.90711222|0.97291109|0.62930329|0.92861883|0.87943456|0.65966982|0.83302139|0.87083498,0|-1.7008284|-2.9304779|-3.3250687|-3.5367197|-4.2185864|-4.2428518|-4.4206544,6.8368079|8.3849154|3.1148543|6.1932371|5.9330234|1.6457569|3.2272352|0.63688344,0.0065709597|0.097642131|0.05285539|0.077270104|0.076212429|0.028919801|0.037294951|0.008432679,0.015031662|0.00048299455|0.00088745223|4.8295915e-05|0.00043493743|8.8889588e-06|0.0014221435|1.2829137e-05,0.73596692|-0.84228086|-0.87554169|-2.3325816|-1.8328909|1.4676644|0.082922918|-0.8276705
0_0_0_10_14_32,-18.0,42,0,6,14,89,349,633,633,633,633,1,1,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.11281395651462423,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.7008787783555508,-0.28614280783686596,633|89|349|319|482|366|373|514,0.70087878|0.94364914|0.4375952|0.34428244|0.49039237|0.45185802|0.28371694|0.41707203,0|-0.64155038|-0.67290033|-1.2596338|-1.2889836|-1.3747495|-1.4130402|-1.5061213,1.3835248|2.5627354|3.4031831|1.5269789|0.84034911|3.1911031|1.4410782|2.8572114,0.012451436|0.028366905|0.090263216|0.046558555|0.015673761|0.08064761|0.055704518|0.072731658,0.0019522144|0.0005718644|1.2548628e-05|0.00089811661|0.00076953294|0.00027750793|0.00064823841|0.0012647499,-0.28614281|0.89184257|0.27135871|2.0696382|1.0186696|-0.98581109|-1.9966499|-0.045719197
0_0_0_10_14_32,-18.0,42,0,7,15,713,67,982,982,982,982,0,0,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.13290079043833547,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.9934459777192387,0.3000747937450686,982|501|256|238|706|872|214|905,0.99344598|0.79333766|0.47672379|0.77855235|0.26324473|0.53013824|0.67581723|0.88816191,0|-0.90051546|-1.2034831|-1.4548048|-1.4773368|-1.701828|-1.8341578|-1.9076818,24.468262|3.41604|2.4717842|2.4168571|1.5292622|3.2317852|2.3038224|5.4102315,0.0027665958|0.023652141|0.054239142|0.035438695|0.058887626|0.038391153|0.039464577|0.0099406886,0.052721932|0.0048590082|0.0011602733|0.00011021314|0.0016160783|0.00599497|2.9743256e-05|0.011277365,0.30007479|0.74214834|-1.9996323|0.31804765|-0.53020119|0.26811216|-2.6587836|0.66329765
0_0_0_10_14_32,-18.0,42,0,8,16,865,875,822,822,822,822,0,0,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.1529876243620465,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.5855925610493122,-0.9714893826104243,822|872|867|818|200|360|820|272,0.58559256|0.89167594|0.74226492|0.42619561|0.81644366|0.45550001|0.12640566|0.83964947,0|-0.96427009|-1.1061911|-1.2371008|-1.2403008|-1.4470337|-1.647068|-1.8871961,3.3738725|2.9279594|5.1872773|2.1623748|5.8257135|0.85382311|0.4124211|3.6336131,0.031674047|0.0056514524|0.025562429|0.036500657|0.079174894|0.021484766|0.031791113|0.044431294,0.0066181216|0.0060614782|0.010287206|0.0041100971|0.00065284054|4.8877626e-05|0.0011706516|0.0010985918,-0.97148938|-0.60452098|0.60178864|1.1486826|1.1002012|0.93271167|-2.1427864|-0.53354809
0_0_0_10_14_32,-18.0,42,0,9,17,492,492,492,492,492,492,1,1,7,1.0333600423862104,0.9426107069531668,0.28278321208595003,0.12,1,0.17307445828575752,-0.06854266208930844,0.0012468827930174342,0.0012468827930174342,0.0,0.9426107069531668,0.12395514121085394,0.1551904053583049,0.9183853476136654,40,1,0.8189677279613522,0.7752127315431624,492|934|121|552|551|207|836|828,0.81896773|0.97102916|0.98200773|0.24410003|0.2164656|0.58955627|0.84327119|0.32108907,0|-0.60912664|-0.80007198|-0.91786375|-1.156456|-1.39557|-1.4484893|-1.5037251,5.7144927|14.176495|2.2438116|0.66403638|0.43352167|1.518527|4.861944|1.120152,0.034411062|0.0074382766|0.025799283|0.026965718|0.022629089|0.023509642|0.01533251|0.030341058,0.0086023502|0.030152082|0.00013578482|0.00088965436|0.00011095775|0.0012239799|0.0096190175|0.0018611163,0.77521273|0.25160352|0.026027772|-1.5175825|0.76805709|-1.6985956|-0.29963493|0.73750641
