dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,-18.0,43,0,0,8,803,134,134,134,134,134,0,0,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,-0.12011075416088124,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.7980899793553232,2.423413327965237,134|45|851|643|792|850|853|471,0.79808998|0.98708199|0.088013705|0.37142963|0.7508332|0.010189278|0.25160552|0.11671535,0|-1.0688589|-1.3777818|-1.5418511|-1.5837546|-1.8933158|-1.9467941|-1.983477,4.5536539|3.8962015|0.34939357|1.2544923|2.745182|0.033095011|1.2973121|0.29243984,0.066587592|0.044964392|0.044235417|0.032036535|0.015779725|0.037737941|0.050018509|0.029397161,0.0002847158|0.00037841001|0.00060208459|0.0014170614|0.0049147299|0.0002204616|0.0020501958|0.00010163958,2.4234133|-0.29121229|-1.2765407|0.81589755|0.11602484|-2.6140499|-0.48901462|2.6728783
0_0_0_10_14_32,-18.0,43,0,1,9,711,525,711,711,711,711,1,1,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,-0.10002392023717022,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.9962106778294564,0.11860283408586096,711|525|526|884|1003|464|524|313,0.99621068|0.11382166|0.68219663|0.83746948|0.92458308|0.58579849|0.35204201|0.58635185,0|-3.4039577|-3.7827481|-4.1983821|-4.4922986|-4.7592025|-4.8324427|-4.8631365,23.549439|1.0374966|1.283016|4.8529365|15.039147|2.1487375|2.3431173|1.5308011,0.015988888|0.10880408|0.0078072527|0.014627183|0.015478835|0.030105616|0.073485792|0.029918208,0.047334478|4.4188167e-05|0.0025756057|0.0096398555|0.031703976|0.00247972|0.00099953274|0.00020404933,0.11860283|-2.7539865|1.3589102|0.33748211|0.4725905|-1.0321948|0.52452941|1.0074757
0_0_0_10_14_32,-18.0,43,0,2,10,922,962,592,922,592,922,1,1,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,-0.07993708631345908,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.815876118630506,1.219658761308327,922|590|592|591|1022|1023|838|172,0.81587612|0.1828707|0.68481547|0.0049563026|0.9793105|0.99636863|0.54731287|0.59349488,0|-0.65213663|-0.80329322|-1.0437342|-1.2109408|-1.4126322|-1.767257|-1.9464602,12.780582|0.59204377|2.8978433|0.020019597|26.986088|22.743382|3.9939122|1.4001923,0.036625566|0.034790361|0.02750039|0.042093859|0.0068503297|0.00099740253|0.044774155|0.026565362,0.026557096|0.00065690345|0.0041140559|0.0011446536|0.057597315|0.048503686|0.0073837122|0.00030579192,1.2196588|1.5249887|-0.67086135|3.0966852|-1.0971555|-1.0635518|0.86306464|2.9934259
0_0_0_10_14_32,-18.0,43,0,3,11,718,759,760,760,760,760,0,0,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,-0.05985025238974795,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.37655011521342974,1.040550946300899,760|759|911|756|650|648|761|803,0.37655012|0.13954836|0.82444467|0.95017836|0.044055124|0.59421529|0.42108201|0.88154126,0|-0.45991715|-1.2566269|-1.3319912|-1.5744072|-1.6437055|-1.8134487|-1.8744034,1.7622974|1.2120488|3.310103|5.7446274|0.11906754|2.3575516|0.66246396|1.0877299,0.039095876|0.098085344|0.010198648|0.0095624095|0.032160395|0.030402538|0.013116356|0.0027162006,0.0028959139|0.00097092709|0.0067199885|0.011107283|3.6176113e-05|0.002964659|0.0010107272|0.0021223053,1.0405509|-0.16063939|-0.45276715|0.10214563|-2.1208584|0.12708256|-0.5880242|0.58328408
0_0_0_10_14_32,-18.0,43,0,4,12,107,56,315,315,315,315,0,0,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,-0.039763418466036815,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.9110851084027022,0.22153206393828515,315|862|470|817|437|788|42|59,0.91108511|0.97216146|0.18556756|0.878222|0.33109413|0.67058571|0.94034395|0.9968499,0|-0.077439458|-0.5165618|-0.78506419|-1.1709067|-1.1870658|-1.2099938|-1.2494495,1.643743|8.5726628|0.53588337|2.3875705|0.5008034|3.1421653|3.4150407|4.4862334,0.016024726|0.0059325334|0.033412367|0.0062057272|0.015446141|0.024922429|0.03814985|0.053274481,0.00095633268|0.017648029|0.00018220967|0.0046395433|0.00044811762|0.0054430368|0.00089755758|7.6576411e-05,0.22153206|0.36000954|1.8544105|0.40938081|1.5475592|0.31680163|0.045770321|0.13301591
0_0_0_10_14_32,-18.0,43,0,5,13,468,147,148,347,148,347,1,1,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,-0.019676584542325792,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.421715840296833,-1.449776676215939,347|148|147|16|348|468|172|15,0.42171584|0.86917215|0.91602316|0.9916182|0.52965928|0.60814404|0.85487531|0.97175008,0|-0.22512421|-0.36825589|-0.66548706|-0.7379532|-1.8383749|-1.8790917|-2.0505354,3.634895|5.6887709|10.428431|3.6585584|1.5402661|5.0615319|2.8094291|4.4849818,0.1021273|0.078205794|0.13173257|0.043420224|0.034156215|0.05276003|0.037913675|0.054291227,0.00018972925|6.2321304e-06|0.000676254|9.9335079e-05|9.8467037e-05|0.0084480688|0.00021492174|0.00018582308,-1.4497767|-1.0866019|0.88416543|0.83568526|-0.20813697|-1.2548304|1.1186042|-2.5940293
0_0_0_10_14_32,-18.0,43,0,6,14,89,345,753,753,753,753,1,1,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,0.0004102493813853414,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.4569674473920197,0.23942488020381625,753|89|494|364|751|882|634|845,0.45696745|0.98896471|0.48509821|0.85165411|0.21422031|0.98036129|0.12284598|0.51994876,0|-0.57196794|-0.88189508|-1.8262536|-1.8652037|-1.8745593|-2.1370221|-2.2869432,2.5877284|4.2289134|1.4010978|1.63702|1.2028275|3.5732436|0.55063|2.3644367,0.046366454|0.049762892|0.029952647|0.015990654|0.060006217|0.0018486528|0.052446426|0.030399048,0.0036949485|0.00020990214|0.0007702444|0.0012052579|0.0012002827|0.0074117301|0.0001701552|0.0041665164,0.23942488|0.44735199|0.44782144|0.42461292|0.19035122|0.139609|0.94384535|0.47187262
0_0_0_10_14_32,-18.0,43,0,7,15,713,45,415,415,415,415,0,0,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,0.020497083305096586,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.2599258560120479,-1.7901046980061355,415|989|414|54|278|413|62|719,0.25992586|0.98775094|0.076399493|0.98653292|0.87026192|0.4235371|0.56189614|0.025749774,0|-0.77266888|-0.86078967|-1.120575|-1.1954952|-1.3147156|-1.4046265|-1.4232843,0.92801875|13.750551|0.32304357|2.1761037|2.9924439|0.92435236|2.0117|0.040445205,0.041520032|0.0016450053|0.046744485|0.026305094|0.034874976|0.02237061|0.03049946|0.018674984,0.00023387224|0.02945038|0.00070945888|6.2836983e-06|0.0010554808|0.00068631956|0.0022401512|2.409694e-05,-1.7901047|-2.3823664|3.0604565|1.0313584|0.38300565|-1.3250425|3.0687041|-2.0247506
0_0_0_10_14_32,-18.0,43,0,8,16,865,662,283,283,283,283,0,0,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,0.04058391722880761,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.4918256724538413,-2.733958267058624,283|662|398|153|152|509|953|733,0.49182567|0.30556324|0.14397461|0.91442377|0.98881118|0.32332037|0.85368025|0.65036724,0|-0.8351012|-1.0672215|-2.0363374|-2.7312113|-2.8846838|-2.8963826|-3.1404866,3.0131909|2.0115572|0.75989116|4.8127831|2.7978625|1.5251743|11.681479|2.1255077,0.072999403|0.068575094|0.060265011|0.06222929|0.03077647|0.052782266|0.023191894|0.017466944,5.8614257e-05|0.0017105606|0.00055429158|0.00010351627|0.00052231717|0.00064982013|0.024871303|0.0038702203,-2.7339583|0.29479298|-2.7414429|0.029241732|-0.16821466|-0.82097557|1.7501718|-0.91142435
0_0_0_10_14_32,-18.0,43,0,9,17,492,129,205,205,205,205,0,0,8,1.2929003464867164,0.910455668474411,0.27313670054232325,inf,1,0.06067075115251863,0.08340138943738824,-0.061097256857855387,-0.061097256857855387,0.0,0.910455668474411,0.10564401196747153,0.24358610029102684,0.8908606102627391,40,1,0.8180928129934899,-0.2539074544575577,205|469|21|822|22|885|178|775,0.81809281|0.32887755|0.97332398|0.19317225|0.99713835|0.74485938|0.84950252|0.95480051,0|-0.28820141|-0.3628925|-0.36425501|-0.52424824|-0.66068087|-0.8423599|-0.84244202,5.1728857|0.70913825|3.3773457|1.0031794|3.9639988|2.2089907|3.0208873|4.9632541,0.074805618|0.025201639|0.040141242|0.054380638|0.047498066|0.011046114|0.041832086|0.0046435942,0.00012386607|9.1085464e-05|0.00021033407|0.0013525912|6.1430658e-06|0.0042924638|9.8632786e-05|0.010265722,-0.25390745|0.059431056|1.3219607|-0.46986455|-1.3711822|0.31236237|0.92016749|-0.8769398
