dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,-18.0,47,0,0,8,803,803,803,803,803,803,1,1,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.19050892408638276,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.9017208794818209,0.03341801749658798,803|402|403|96|86|94|838|400,0.90172088|0.31238434|0.47378713|0.95741754|0.95525635|0.78932438|0.95230243|0.59049745,0|-2.1705565|-2.9476403|-3.1063022|-3.6498747|-3.6589639|-3.7533773|-3.7542442,16.868517|1.5178447|2.4405403|4.42831|4.0450323|4.3524578|3.180982|1.8651593,0.044892742|0.059619911|0.06692722|0.062474344|0.056457632|0.069426466|0.0037935637|0.036653319,0.037565009|0.0011007089|0.00050790586|1.1521885e-05|0.00013645862|0.00088396853|0.0074548161|0.0011001593,0.033418017|1.6464895|-0.44547661|0.037198425|-1.3099594|2.6237939|0.56707973|-0.75915998
0_0_0_10_14_32,-18.0,47,0,1,9,711,179,682,682,682,682,0,0,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.21059575801009378,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.17958394333909727,-0.9442895214034293,682|179|41|40|61|239|394|601,0.17958394|0.79865941|0.86108687|0.91187848|0.99894601|0.72879665|0.72702951|0.75435887,0|-0.93982253|-1.0314797|-1.0744142|-1.2824622|-1.5700215|-1.6008695|-1.6081303,0.97723253|5.2996501|2.8241194|3.0671468|3.6140745|3.4609027|2.2618536|1.3958839,0.067629198|0.084356643|0.04058019|0.04000263|0.047452084|0.060251383|0.034139565|0.013091832,0.0010748898|0.00094502111|0.00064905146|0.00099217214|0.00028095326|0.00073482273|0.0014637434|0.0021700118,-0.94428952|-1.3842833|2.7444976|-0.8615225|0.053254649|1.1613201|0.34894639|-0.010473312
0_0_0_10_14_32,-18.0,47,0,2,10,922,594,242,922,242,922,1,1,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.23068259193380491,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.990201411913459,-1.5299606055240855,922|242|415|677|256|595|999|14,0.99020141|0.81558823|0.63640692|0.23971248|0.75129338|0.4421052|0.97387893|0.95827418,0|-0.096369593|-0.34956503|-0.68934598|-1.3120986|-1.537915|-1.6188085|-1.6456938,12.622129|4.6353323|1.7442264|0.70005056|1.6167091|2.2399321|20.48107|3.7960501,0.0013741353|0.067903401|0.024369772|0.03431823|0.025754681|0.056552985|0.0083250185|0.051776294,0.030661024|0.0016207362|0.0022806727|0.0009540602|0.00060169333|0.0022061885|0.049610714|0.00029159237,-1.5299606|-0.8571618|-1.0586481|0.98668336|-1.0191464|0.041331485|-0.41306033|-2.7531518
0_0_0_10_14_32,-18.0,47,0,3,11,718,726,726,407,726,726,0,0,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.25076942585751605,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.08006750754935392,0.789865519322126,726|406|407|648|76|408|422|727,0.080067508|0.31591659|0.17297413|0.39120087|0.94789724|0.22917072|0.69776506|0.31080879,0|-0.20690046|-0.32352859|-0.70322459|-0.85408727|-0.95919135|-1.0703428|-1.0824871,0.64505388|0.73737173|0.57996479|1.685691|2.8665106|1.3891336|1.9483487|1.3954652,0.10675684|0.028094985|0.044334153|0.047235372|0.040165359|0.080779856|0.030606565|0.050601984,0.00042010922|0.00060799212|0.00015943358|0.0020363685|0.00012083432|0.0001839402|0.0013138942|0.0018661195,0.78986552|-1.639112|-2.9439098|0.40901411|-1.6159531|-2.2410991|-0.17907962|0.015502679
0_0_0_10_14_32,-18.0,47,0,4,12,107,812,170,170,170,170,0,0,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.2708562597812272,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.8369391696545441,1.1056468188227015,170|847|811|65|7|712|169|567,0.83693917|0.93981704|0.79513543|0.99545246|0.98731244|0.049126762|0.59887135|0.17442292,0|-0.20854992|-0.76275411|-1.0670655|-1.715145|-1.98375|-2.0624204|-2.1123194,2.0414009|7.5178731|4.6570605|4.7178123|3.1533005|0.16143711|2.3432184|1.1932181,0.02729553|0.010730558|0.018611998|0.061894328|0.042529647|0.044272866|0.049500102|0.086871365,0.0010426631|0.01753168|0.010869762|0.00041949051|0.00012155375|2.7866713e-05|0.00057463335|0.0010336257,1.1056468|-0.52989118|-1.1621685|0.34373809|-0.63128186|-0.77032194|-3.0706782|1.3950967
0_0_0_10_14_32,-18.0,47,0,5,13,468,626,163,163,163,163,0,0,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.2909430937049382,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.7044279320406472,-1.5946298270304768,163|162|80|620|527|621|529|744,0.70442793|0.90271681|0.76392994|0.24522261|0.24661416|0.4020979|0.36305792|0.31158045,0|-1.6507834|-1.7457153|-1.7783884|-1.8918066|-1.9083835|-2.008381|-2.1001889,4.0130124|2.8535231|3.7128378|0.50458398|1.2706417|1.2622492|0.84494571|1.3022441,0.062837442|0.042312092|0.055231442|0.026114859|0.0633228|0.034635656|0.029244102|0.044133022,0.0025097663|8.5368009e-05|0.0018772143|0.00032013833|0.0011639792|0.0014424708|0.0004170125|0.002235407,-1.5946298|0.25322909|1.9339956|-0.12159325|1.3333398|0.49923066|-0.0035224288|-0.8980026
0_0_0_10_14_32,-18.0,47,0,6,14,89,938,167,167,167,167,0,0,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.31102992762864934,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.8216046322559993,-1.429811199972753,167|606|605|51|186|718|206|399,0.82160463|0.14428014|0.0095714361|0.99260581|0.97449195|0.32117366|0.9560177|0.37029941,0|-1.0170253|-1.1233419|-1.4177293|-1.4793998|-1.5226053|-1.653578|-1.6963017,5.0418942|0.4710582|0.062431883|4.8213532|3.3814612|1.2485592|1.7857459|1.1786624,0.080028132|0.042504667|0.08505017|0.06357699|0.042340715|0.04334859|0.022063577|0.040699365,0.00051259688|0.00029093696|0.0005195508|0.00040329284|0.00085340165|0.0016908705|0.00058831653|0.00043126114,-1.4298112|-1.1883126|3.0622308|0.39642554|0.030245413|-0.32518505|-0.32521415|1.3412928
0_0_0_10_14_32,-18.0,47,0,7,15,713,18,412,412,412,412,1,1,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.3311167615523606,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.2935460147596389,1.613465134742155,412|398|414|920|194|86|90|713,0.29354601|0.093577386|0.34315237|0.93579696|0.97318255|0.94320235|0.76411817|0.91308064,0|-0.35755449|-0.66382532|-0.69943195|-1.0048574|-1.1202992|-1.1951162|-1.2908173,0.91055299|0.69711914|1.6217237|6.1544208|3.7568677|5.2778479|2.667327|5.9767032,0.039662814|0.092645399|0.063589229|0.0079630519|0.040893858|0.069502897|0.042762716|0.018981003,0.00041392552|0.0013826622|6.1539748e-05|0.014588609|0.0020662548|0.0011103622|0.00077144547|0.012559231,1.6134651|2.9399834|-0.12961748|0.054202915|-0.38982802|-0.98558241|2.5618363|-0.068266468
0_0_0_10_14_32,-18.0,47,0,8,16,865,863,865,865,865,865,1,1,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.3512035954760716,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.9071427039451208,0.8753238906209738,865|927|325|67|864|926|592|112,0.9071427|0.99391292|0.56323546|0.98471362|0.81548915|0.97481859|0.22366895|0.82317937,0|-1.7415435|-2.0791906|-2.2360432|-2.4605108|-2.735954|-2.9511353|-3.0117845,13.270056|16.118395|2.1031313|3.8948443|3.1705986|7.0257694|1.3860038|2.5637932,0.023830632|0.0029135282|0.046468334|0.050960735|0.012967662|0.0022501152|0.080226076|0.040251894,0.031359134|0.038861145|0.00071830568|0.00046516786|0.0071639859|0.017064372|0.00067851565|0.00031126984,0.87532389|-0.45221509|-1.1687281|-0.59492389|0.2389928|-1.5823232|0.46356774|-2.2184779
0_0_0_10_14_32,-18.0,47,0,9,17,492,748,58,703,58,58,0,0,7,0.7847750234184304,0.9105868094695118,0.2731760428408535,inf,1,0.37129042939978263,0.048206022358043964,0.016209476309226867,0.016209476309226867,0.0,0.9105868094695118,0.11746789488593934,0.2547611413763143,0.8967755017915946,40,1,0.9800649587750777,1.5034457350549137,58|703|29|54|59|57|83|783,0.98006496|0.48639676|0.93172313|0.95177338|0.99999766|0.96916735|0.89852942|0.69918286,0|-0.13001894|-0.14332811|-0.49046181|-0.567086|-0.95276298|-1.4513912|-1.5672911,3.7530381|3.0923945|2.8456165|4.0436934|4.5996124|2.3445057|2.7844665|3.0763333,0.051724456|0.058567707|0.039604372|0.052221776|0.060993497|0.031416002|0.040804685|0.024615504,6.9258443e-06|0.0049820246|0.00028023459|0.00095488507|0.00023219042|0.00023173212|0.00017853546|0.0063107541,1.5034457|-0.46557882|-3.0875051|-0.67868526|0.0056853368|-1.0553498|-2.246239|-0.40474402
