dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-22.0,42,ordinary_fft,77,105,0.7333333333333333,0,48
0_0_0_10_14_32,-22.0,42,savaux,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-22.0,42,branch_gls,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-22.0,42,savaux_dual,31,105,0.29523809523809524,0,2
0_0_0_10_14_32,-22.0,42,proposed,31,105,0.29523809523809524,0,2
0_0_0_10_14_32,-22.0,42,unichirp,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-22.0,42,symfec,40,105,0.38095238095238093,0,0
0_0_0_10_14_32,-22.0,42,loratrimmer,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-22.0,43,ordinary_fft,72,105,0.6857142857142857,0,44
0_0_0_10_14_32,-22.0,43,savaux,28,105,0.26666666666666666,0,0
0_0_0_10_14_32,-22.0,43,branch_gls,29,105,0.2761904761904762,0,1
0_0_0_10_14_32,-22.0,43,savaux_dual,28,105,0.26666666666666666,0,0
0_0_0_10_14_32,-22.0,43,proposed,29,105,0.2761904761904762,0,1
0_0_0_10_14_32,-22.0,43,unichirp,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-22.0,43,symfec,37,105,0.3523809523809524,0,0
0_0_0_10_14_32,-22.0,43,loratrimmer,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-23.0,42,ordinary_fft,85,105,0.8095238095238095,0,53
0_0_0_10_14_32,-23.0,42,savaux,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-23.0,42,branch_gls,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-23.0,42,savaux_dual,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-23.0,42,proposed,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-23.0,42,unichirp,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,42,symfec,45,105,0.42857142857142855,0,0
0_0_0_10_14_32,-23.0,42,loratrimmer,31,105,0.29523809523809524,0,0
0_0_0_10_14_32,-23.0,43,ordinary_fft,80,105,0.7619047619047619,0,50
0_0_0_10_14_32,-23.0,43,savaux,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,43,branch_gls,30,105,0.2857142857142857,0,0
0_0_0_10_14_32,-23.0,43,savaux_dual,31,105,0.29523809523809524,0,1
0_0_0_10_14_32,-23.0,43,proposed,31,105,0.29523809523809524,0,1
0_0_0_10_14_32,-23.0,43,unichirp,36,105,0.34285714285714286,0,0
0_0_0_10_14_32,-23.0,43,symfec,50,105,0.47619047619047616,0,0
0_0_0_10_14_32,-23.0,43,loratrimmer,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-24.0,42,ordinary_fft,94,105,0.8952380952380953,0,60
0_0_0_10_14_32,-24.0,42,savaux,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-24.0,42,branch_gls,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-24.0,42,savaux_dual,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-24.0,42,proposed,35,105,0.3333333333333333,0,1
0_0_0_10_14_32,-24.0,42,unichirp,32,105,0.3047619047619048,0,0
0_0_0_10_14_32,-24.0,42,symfec,53,105,0.5047619047619047,0,0
0_0_0_10_14_32,-24.0,42,loratrimmer,35,105,0.3333333333333333,0,0
0_0_0_10_14_32,-24.0,43,ordinary_fft,91,105,0.8666666666666667,0,53
0_0_0_10_14_32,-24.0,43,savaux,38,105,0.3619047619047619,0,0
