dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,-22.0,42,0,0,8,803,130,711,711,711,711,0,0,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.21014016660843093,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.8817138104830943,1.007177350932006,711|470|814|346|89|339|230|1009,0.88171381|0.91635526|0.91797827|0.71461604|0.80792938|0.44878151|0.5324106|0.98082105,0|-1.0149092|-2.216853|-2.3533108|-2.6307002|-3.3083027|-3.3271762|-3.3314604,7.4628639|3.0559941|3.9837641|2.3326117|5.4078548|1.4797675|1.3040692|4.2534691,0.0022077663|0.01737624|0.0041240867|0.030744204|0.063949518|0.0029306601|0.010565874|0.001100836,0.091839288|0.019407317|0.043828812|0.0051954409|0.01020826|0.033573361|0.01634234|0.046926606,1.0071774|0.55101689|-1.1511612|-1.5652237|-2.4207376|0.41370326|-1.1120987|-0.45674728
0_0_0_10_14_32,-22.0,42,0,1,9,711,885,278,278,278,278,1,1,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.19005333268471986,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.7573864631596466,1.9525293046490348,278|711|44|336|23|187|274|939,0.75738646|0.80376492|0.98892079|0.95893652|0.71395599|0.58845678|0.99701479|0.45929488,0|-0.070596348|-0.11727025|-0.62446597|-0.72455733|-1.169479|-1.231469|-1.3504222,4.3979588|1.8458516|5.4889754|6.2014411|5.2089013|3.3362464|3.7047073|2.3582541,0.059578985|0.0090353794|0.061132066|0.046365299|0.055485052|0.033400513|0.037321508|0.035584582,0.0049054055|0.016184127|0.00023902158|0.024717248|0.024461726|0.028909697|0.0035482503|0.020700222,1.9525293|-0.95133835|-2.7974377|0.24251199|-0.71773601|-1.3343437|0.06763999|-0.23752069
0_0_0_10_14_32,-22.0,42,0,2,10,922,971,922,922,922,922,1,1,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.16996649876100872,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.9922954658891383,-0.43658778022349165,922|550|808|202|813|638|664|687,0.99229547|0.74626196|0.87490548|0.95164496|0.65884513|0.60537989|0.96556139|0.97861214,0|-2.5983038|-2.9301454|-2.947105|-3.0847472|-3.3876358|-3.4762545|-3.6259235,7.7876814|5.2592381|0.97933034|4.2828953|2.6626491|1.0185516|1.4341446|2.8690473,0.0026325403|0.059168609|0.00057162879|0.046600104|0.011132658|0.0079775818|0.0017804047|0.00756793,0.084240068|0.018685191|0.011902944|0.0031301932|0.034038145|0.010754182|0.014639337|0.024674381,-0.43658778|0.84091787|1.7464471|0.96713187|1.8632627|1.4099232|0.26288387|-0.34011444
0_0_0_10_14_32,-22.0,42,0,3,11,718,954,718,718,718,718,1,1,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.14987966483729764,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.7669156422800442,1.3394582895815748,718|265|400|312|825|25|716|118,0.76691564|0.88009496|0.91436056|0.97098353|0.5918508|0.94669658|0.99398593|0.77143272,0|-0.49174711|-0.57007992|-1.2586184|-1.4381421|-1.5156077|-2.0010377|-2.1305091,3.1955123|2.9940956|2.8816708|3.1887176|2.5561322|4.3001657|3.8873036|1.7972478,0.0098454282|0.025143901|0.023848163|0.033816252|0.029460018|0.048099475|0.0053053163|0.018687153,0.036539583|0.01212921|0.010683562|0.0023450075|0.017858014|0.0022059232|0.037835118|0.0071150954,1.3394583|-0.59742765|-0.6554892|0.24637816|-0.48364516|-2.6634697|-0.17814182|1.085924
0_0_0_10_14_32,-22.0,42,0,4,12,107,28,599,599,599,599,0,0,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.1297928309135865,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.9978110003541727,0.07670640567545695,599|514|189|897|505|679|694|818,0.997811|0.9402419|0.91122176|0.9418808|0.77080425|0.83698026|0.85660033|0.830608,0|-0.16643393|-0.41105758|-0.60366747|-0.79682076|-1.0354205|-1.0896429|-1.1506178,4.7479959|2.1574796|1.981095|3.8274685|5.8437255|1.8629149|3.7251917|5.5648765,0.016033098|0.018508629|0.021872851|0.00056386528|0.010854238|0.012456233|0.014520849|0.0023521288,0.036328448|0.0066826103|0.0020451874|0.044637461|0.073085126|0.011936123|0.033657084|0.072350496,0.076706406|0.047782764|-1.268117|-2.5904286|0.59052762|-0.56728287|0.86650273|2.9553055
0_0_0_10_14_32,-22.0,42,0,5,13,468,223,468,468,468,468,1,1,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.10970599698987538,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.6501400859281897,1.1923629523189643,468|546|156|846|389|474|1008|69,0.65014009|0.9743299|0.97338876|0.98338036|0.97795801|0.6318664|0.89316122|0.75671398,0|-2.013518|-2.2729005|-2.2873998|-2.5597092|-2.6739948|-2.8228079|-2.8550791,1.751644|5.8603321|1.9205625|3.2802373|2.6936532|2.2232522|4.0112919|2.8458369,0.010450917|0.026140133|0.019234532|0.00061735237|0.022701996|0.0041770713|0.0057078098|0.034181789,0.019488743|0.040098917|0.0024495512|0.036411392|0.0074936204|0.034649595|0.044032651|0.0077358006,1.192363|0.3191689|-0.022925324|0.65099159|-0.33743186|-0.92383327|0.60313957|2.9837317
0_0_0_10_14_32,-22.0,42,0,6,14,89,697,189,189,189,189,0,0,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.08961916306616424,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.8777340078618832,1.6290260886314019,189|633|619|772|129|319|784|417,0.87773401|0.96233637|0.69712611|0.97266496|0.82250999|0.52871837|0.86298208|0.3827468,0|-0.015342743|-0.82627853|-1.197664|-1.2368205|-1.3916903|-1.6253696|-1.6526975,2.936278|2.123821|2.2918144|2.6578493|7.3549798|2.0194749|3.2946016|0.38191146,0.034319327|0.010355104|0.020426101|0.00104637|0.069580831|0.033379189|0.0056703502|0.0008857585,0.0027804906|0.013859507|0.015640309|0.029250171|0.028776973|0.0092160968|0.036801168|0.010155819,1.6290261|-0.24387932|-1.0690023|0.45497083|0.33729743|2.113244|1.2531899|-1.4660474
0_0_0_10_14_32,-22.0,42,0,7,15,713,777,501,501,501,501,0,0,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.06953232914245322,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.2508477514627929,2.3312593147964984,501|982|776|872|905|20|192|531,0.25084775|0.98084121|0.99617553|0.80871782|0.96257395|0.75253133|0.82474582|0.77874659,0|-0.47825187|-0.71187129|-0.75167911|-0.81016465|-1.1081171|-1.2103025|-1.212375,1.1360734|7.3451473|6.525065|3.1470877|4.4471901|4.3672095|4.0109939|2.0544559,0.0067037534|0.002655207|0.004414692|0.012344763|0.0019206872|0.046615229|0.051667923|0.013775302,0.043951561|0.080243145|0.06801545|0.030409938|0.049240961|0.017078871|0.0022680375|0.015457121,2.3312593|-0.24065129|-0.061714405|-0.7874376|-1.2428731|-0.0025600293|-3.1151855|0.98643723
0_0_0_10_14_32,-22.0,42,0,8,16,865,572,171,171,171,171,0,0,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.049445495218742086,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.940190818443118,-0.32452084942630244,171|676|396|906|272|838|82|618,0.94019082|0.51390822|0.90763137|0.82370789|0.88775257|0.90265277|0.88211972|0.871996,0|-0.5055294|-0.57275911|-1.0130498|-1.0498085|-1.379916|-1.5253835|-1.5389859,6.0772858|3.0620572|5.6719619|5.6975623|3.9478847|3.6021009|2.9473864|3.4417727,0.058562161|0.0058969175|0.060689843|0.007117863|0.029987698|0.0039965933|0.030895949|0.010928342,0.012350448|0.06056504|0.0082057144|0.070186236|0.018912365|0.040410878|0.0057673638|0.032466745,-0.32452085|-2.8990929|0.59469487|2.770986|0.28564874|1.3081033|-0.82078502|-0.82094471
0_0_0_10_14_32,-22.0,42,0,9,17,492,220,492,492,492,492,1,1,8,0.8416845445307445,0.9250212310219559,0.27750636930658673,0.12,0,-0.029358661295030952,0.040211802063988555,-0.06359102244389031,-0.06359102244389031,0.0,0.9250212310219559,0.16911243890955685,0.1707482970029778,0.7643174958934447,8,0,0.5732738730575133,-0.007086191855466273,492|193|934|493|51|739|159|297,0.57327387|0.94754471|0.94292767|0.98843028|0.81733816|0.90741007|0.70555642|0.48009072,0|-0.12037436|-0.64690718|-0.75349429|-0.84796677|-1.0338674|-1.0633428|-1.2461011,2.6025665|5.7063899|5.5089523|5.1458683|5.0513694|0.93165554|4.9204057|3.5608406,0.00059416405|0.059616319|0.0038509803|0.034419101|0.058602006|8.6717251e-05|0.062980985|0.062579975,0.049750341|0.0065382342|0.060805884|0.022665768|0.010271037|0.011317037|0.014242829|0.020230537,-0.0070861919|-0.85182819|-1.3344617|-0.17407185|2.5682919|0.7579037|-2.2948412|2.3113169
