dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
0_0_0_10_14_8,-22.0,46,0,0,8,803,803,803,803,803,803,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.7365824788242148,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8612107094360834,0.7304881513753722,803|649|305|620|578|79|407|362,0.86121071|0.98653095|0.97405167|0.61615939|0.79672123|0.73269501|0.85230408|0.064575931,0|-3.7285968|-4.9782768|-6.1479803|-6.2078921|-6.4686859|-6.928047|-7.0062958
0_0_0_10_14_8,-22.0,46,0,1,9,826,826,826,826,826,826,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.719385154489845,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9835534385364852,0.18237578677194582,826|193|769|412|500|229|394|493,0.98355344|0.77095117|0.88034461|0.8989288|0.65678328|0.77833901|0.6304666|0.82761311,0|-4.8013771|-5.0345699|-5.6816337|-5.9300591|-6.0474481|-6.2839159|-6.3116762
0_0_0_10_14_8,-22.0,46,0,2,10,922,922,922,922,922,922,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.7021878301554751,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9012235430008547,2.3923732581004082,922|117|789|438|422|24|444|221,0.90122354|0.75980555|0.52770876|0.80189344|0.85781112|0.94975063|0.4438|0.78186776,0|-6.6481582|-6.9363426|-7.3202657|-7.3959637|-7.4235407|-7.6638901|-7.6703289
0_0_0_10_14_8,-22.0,46,0,3,11,718,356,718,718,718,718,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.6849905058211053,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9539618932088159,0.11034296651092045,718|194|633|382|12|512|318|817,0.95396189|0.9573063|0.91819624|0.83646729|0.98092268|0.92971525|0.70033347|0.8156017,0|-4.6190216|-4.9666376|-5.4351635|-5.6096371|-5.6224809|-5.6293716|-5.7109196
0_0_0_10_14_8,-22.0,46,0,4,12,86,772,86,86,86,86,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.6677931814867355,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9822698099459183,-0.456032496729478,86|631|820|10|887|446|965|953,0.98226981|0.63691978|0.88836979|0.94757431|0.90554119|0.77859767|0.67713766|0.94607659,0|-2.0584602|-2.0648729|-2.3670938|-3.0268011|-3.0345317|-3.0698826|-3.2522546
0_0_0_10_14_8,-22.0,46,0,5,13,467,255,467,467,467,467,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.6505958571523657,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8632587211306489,0.5928182212542825,467|656|813|953|593|618|761|677,0.86325872|0.95191756|0.94218679|0.85697676|0.9148969|0.81997327|0.77968127|0.54349691,0|-3.1035448|-3.663884|-3.8323484|-3.9502073|-4.4989101|-4.5144689|-4.540783
0_0_0_10_14_8,-22.0,46,0,6,14,89,727,89,89,89,89,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.6333985328179959,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9887335633491526,0.19109256035493977,89|220|602|180|973|305|912|237,0.98873356|0.90261245|0.47786118|0.85500501|0.70192912|0.46445661|0.73167045|0.98495615,0|-6.4464858|-6.5533794|-6.6888538|-6.7980565|-7.0200356|-7.1630269|-7.2296889
0_0_0_10_14_8,-22.0,46,0,7,15,713,973,713,713,713,713,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.616201208483626,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.9759721547305878,0.39000944926761694,713|854|337|14|195|170|61|662,0.97597215|0.86596485|0.66023363|0.91557217|0.99443297|0.91576058|0.70474585|0.812514,0|-4.6481842|-5.2247255|-5.478189|-5.6630694|-5.9876659|-6.013944|-6.052413
0_0_0_10_14_8,-22.0,46,0,8,16,865,41,865,865,865,865,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.5990038841492562,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8784829967843245,-1.894655031877377,865|304|926|553|472|19|373|302,0.878483|0.62034867|0.8557476|0.96984652|0.56264026|0.88332762|0.59713996|0.91285479,0|-3.9416854|-4.8436052|-5.0178912|-5.0183973|-5.0329904|-5.1923002|-5.3524834
0_0_0_10_14_8,-22.0,46,0,9,17,405,879,405,405,405,405,1,1,8,0.628951155897685,0.9683068504148737,0.29049205512446213,0.12,-0.5818065598148864,0.0769710518427431,-0.1059850374064838,-0.1059850374064838,0.0,0.9683068504148737,0.12771859498125382,0.22173349647950683,0.8047799396838962,-1.0177400549113123,405|493|354|648|183|630|505|185,0.80477994|0.87452062|0.97191356|0.6487512|0.69687111|0.35933041|0.3999006|0.97646785,0|-1.1547636|-1.4211213|-2.1409148|-2.524603|-2.8674013|-2.9275372|-3.1053482
