dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,savaux_header_bin,branch_gls_bin,branch_shrinkage_bin,savaux_dual_bin,proposed_observed_bin,proposed_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
collector_low2_cr47,-22.0,42,0,0,8,803,109,803,803,803,803,803,803,803,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.4255411306302954,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.788910557044786,1.2189507436403906,803|732|220|80|750|846|454|61,0.78891056|0.80399862|0.76493298|0.54472036|0.74907059|0.98990126|0.82278074|0.97491442,0|-4.0175991|-4.1203761|-4.2423472|-4.3729367|-4.4423227|-4.9158709|-5.0949488,12913.201|9053.8132|8138.4029|8005.4371|1811.0523|3435.1693|2634.4921|7590.9624,0.00095733854|0.00086015294|0.0016986992|0.0021247063|0.00030643854|5.8241363e-05|0.00051340036|0.0018746871,0.0032978816|0.0014026462|0.00085682696|0.0016276002|0.0001923929|0.0007952678|0.00016394755|2.9703573e-05,1.2189507|-0.79851001|0.99795764|-1.1157594|0.050151794|-0.33377376|0.89847951|-1.6538077
collector_low2_cr47,-22.0,42,0,1,9,711,398,711,711,711,711,711,711,711,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.40462256924296036,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9658577583041432,-0.17821698973078987,711|431|944|490|287|450|1011|541,0.96585776|0.98114545|0.99639598|0.92264458|0.96960668|0.58433882|0.60047827|0.25597672,0|-1.7268263|-2.3249125|-3.1090521|-3.1219362|-3.2526845|-3.2529913|-3.4069083,6873.6095|6692.5355|8709.5623|6236.7096|5843.4383|2951.9754|7204.2944|2545.4712,0.00054086323|0.0012618477|4.2051336e-05|0.0003487656|0.0011510877|0.00066790911|0.0010008663|0.0019390816,0.0013492649|0.00036148519|0.0021025242|0.00095060118|0.00033524552|0.00048825894|0.0018746228|0.00039705374,-0.17821699|-0.014891033|0.011318616|0.11165777|-0.2910246|-1.5572252|2.4080662|2.2110487
collector_low2_cr47,-22.0,42,0,2,10,922,209,922,922,922,922,922,922,922,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.3837040078556254,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9874840816220444,1.1070938104878938,922|530|607|799|988|833|516|38,0.98748408|0.94259065|0.94681903|0.90720816|0.90477256|0.99882812|0.69771742|0.90775169,0|-3.2763222|-3.9102233|-4.2368751|-4.3585695|-4.9848328|-5.2105523|-5.49791,26826.956|8451.1149|9599.9656|10689.412|7514.4242|3947.8753|5601.1871|4675.0495,4.0262629e-05|0.0015887869|0.0012478244|0.00028457467|0.00020532479|3.6165105e-05|0.0012132417|0.0012368486,0.0065005033|0.00067306891|0.0010778304|0.002298846|0.0020966527|0.00094610059|0.00034438534|0.0001129391,1.1070938|0.098581833|-0.24957296|-1.0796643|-1.0461488|0.0044348181|-1.1685084|-0.26688498
collector_low2_cr47,-22.0,42,0,3,11,718,325,718,718,718,718,718,718,718,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.36278544646829036,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9747514402656676,0.37832686798479886,718|392|974|655|419|933|99|212,0.97475144|0.8396807|0.76307754|0.99808595|0.98026016|0.6903612|0.83009945|0.96462853,0|-0.44995583|-0.65209389|-0.91545468|-1.5549788|-1.8637001|-1.9165183|-2.0321964,8283.6525|7204.3017|5767.3914|3315.9428|10224.758|5844.1228|4545.4932|2542.5754,0.00024980733|0.0017620584|0.00039212148|0.00017389527|0.0017309357|0.00051661426|0.0012501626|0.00050413165,0.002099964|0.00026460609|0.0016061127|0.00052587795|0.00088713479|0.0014209791|0.0001765704|5.2509422e-05,0.37832687|-0.90561948|-1.6553182|0.11198779|0.28425351|2.1021915|-1.3954353|0.66504627
collector_low2_cr47,-22.0,42,0,4,12,756,966,756,756,756,756,756,756,756,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.3418668850809554,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.999743411956041,0.0425128468886577,756|817|544|830|71|21|965|587,0.99974341|0.99419789|0.69845432|0.93042129|0.94794538|0.91141408|0.65333481|0.9291378,0|-2.1151578|-3.1607813|-3.8449969|-3.9161724|-3.9622694|-4.1212885|-4.1559757,28812.417|6934.5461|5401.9211|4318.3272|7070.703|5375.5934|8084.5456|4811.701,0.00064454556|8.0007172e-05|0.0014592567|0.00023098598|0.0017672784|0.0013051535|0.001080717|0.00026714102,0.0054694043|0.0015202248|9.7880822e-05|0.00086651787|5.0973124e-05|0.00012706948|0.0018264586|0.00091076078,0.042512847|0.32747932|0.23176291|-0.23587679|-2.2254608|0.0008905184|-0.50970858|-0.51024374
collector_low2_cr47,-22.0,42,0,5,13,109,109,109,109,109,109,109,109,109,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.32094832369362036,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.8355489966556986,-0.6298548914310614,109|513|382|140|1008|964|543|98,0.835549|0.58756808|0.96855784|0.99496315|0.96155959|0.63240938|0.6413622|0.90864298,0|-3.6594373|-3.6967537|-3.9880992|-4.7076755|-4.7316054|-4.7427046|-4.8417554,24241.98|5649.3377|1914.5142|5874.8842|5624.7277|7003.7215|3124.6365|6820.9193,0.0050996576|0.00038799648|0.00036998473|0.001479659|5.4948721e-05|0.00092118236|0.00085973471|0.001607327,0.0014425314|0.0016148465|7.3825426e-05|1.5757375e-05|0.0014014044|0.0018568131|3.269347e-05|0.00016764712,-0.62985489|1.4245552|0.31639408|0.21688133|-1.2322114|1.9671255|0.85373938|-1.3191464
collector_low2_cr47,-22.0,42,0,6,14,932,718,932,932,932,932,932,932,932,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.3000297623062853,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9904507797630095,-0.8458340334783613,932|404|43|724|45|100|459|858,0.99045078|0.57919242|0.85871824|0.35370198|0.78333298|0.64004624|0.71650494|0.66321455,0|-6.0679529|-6.9580083|-7.2285822|-7.6988158|-7.7261799|-7.7487587|-7.7938935,38358.796|1640.7254|8863.8783|854.06521|6128.7441|5979.2394|3057.1002|5722.2799,0.00015628761|0.00064439061|0.0021984163|0.00048880941|0.0013737117|0.0014276365|0.00013043088|0.00045096811,0.0096805402|7.3429887e-05|0.00029489678|0.00015635713|0.00030235682|0.0006286206|0.00075490639|0.0012561066,-0.84583403|-1.7728868|-1.5696292|-1.237763|2.6256627|2.1953098|-0.90536469|2.1553779
collector_low2_cr47,-22.0,42,0,7,15,468,102,468,468,468,468,468,468,468,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.2791112009189505,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9939055579902462,0.040113560987678765,468|574|848|977|63|12|495|441,0.99390556|0.94015406|0.86846237|0.68710921|0.89110495|0.89785583|0.98857605|0.52560471,0|-2.6108904|-3.8491767|-4.4562059|-4.5776985|-4.8133932|-4.8293223|-5.1193056,14077.932|5227.8183|9766.9586|5712.3198|6607.2516|10017.378|4202.0204|5719.8699,0.0017527044|0.00027103368|0.00076382851|0.00065771145|0.0013872044|0.0022242401|0.00051004166|0.00085416437,0.0016379162|0.00093604122|0.0020759818|0.0013667468|0.00023790433|0.00021551655|0.00038299992|0.0018124318,0.040113561|-0.42229264|0.12449833|-0.094834294|0.43533377|1.6983839|0.21199694|1.3821445
collector_low2_cr47,-22.0,42,0,8,16,89,241,89,89,89,89,89,89,89,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.2581926395316154,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9566359657579724,1.188439053957963,89|598|849|404|317|286|727|348,0.95663597|0.71899775|0.78821341|0.85184749|0.69552632|0.80602819|0.85107996|0.83577344,0|-3.6949029|-3.8438604|-4.1148772|-4.1325451|-4.2115349|-4.2851003|-4.3918067,14025.886|5854.8107|5555.2031|5891.511|7982.4113|5621.3833|5005.7567|7182.9899,0.0033784447|0.001279248|0.0002557035|0.0015747806|0.0011552674|0.00073908003|0.0005501111|0.0012892651,0.00015608121|0.00042739547|0.0018005859|0.00014034141|0.0011822682|0.00072566457|0.00076448823|0.00078278643,1.1884391|-0.73268533|-1.7021737|-0.71708003|0.91847138|-0.43985476|0.58576635|-0.74698691
collector_low2_cr47,-22.0,42,0,9,17,713,402,713,713,713,713,713,713,713,0,1.0,8,0,1,1,7,0.39471110206831356,0.9021482100591857,0.2706444630177557,inf,1,-0.23727407814428036,0.07129884184328715,-0.06608478802992518,-0.06608478802992518,0.0,0.9021482100591857,0.18474067559719087,0.15182652528138108,0.8478790241025899,40,1,0.9609467427098933,-0.4711659846255441,713|869|949|382|553|983|993|700,0.96094674|0.86388516|0.98266193|0.7313753|0.98161717|0.61228451|0.86980909|0.86393945,0|-2.3496513|-2.4660923|-2.8805019|-3.4280342|-3.4556925|-3.5646136|-3.5648569,10982.314|8693.48|9829.5789|5097.6039|2078.5702|5455.0164|7551.0713|10255.482,0.00059507981|0.00046941855|9.9055262e-05|0.00073823213|0.00024363605|0.00062183271|0.00027627082|0.0012150383,0.0021591288|0.0019875302|0.0024555823|0.0007885449|0.00026466387|0.0018179172|0.0019721819|0.0013300924,-0.47116598|-0.7117407|-0.35226289|-0.97352791|-0.22546116|-2.3072555|-0.66321437|0.35158622
