dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,savaux_header_bin,branch_gls_bin,branch_shrinkage_bin,savaux_dual_bin,proposed_observed_bin,proposed_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
collector_low2_cr47,,42,0,0,8,803,803,803,803,803,803,803,803,803,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.04819658662455961,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9982525884944463,0.06846654552136999,803|802|799|792|788|795|789|784,0.99825259|0.38914513|0.017968563|0.64285125|0.28861686|0.026816874|0.18572859|0.11815613,0|-23.255242|-25.485857|-26.963836|-27.506392|-27.548291|-28.160382|-28.190063,14575.237|841.45337|2.2662595|10.236947|2.173626|1.6053601|2.2701433|0.78809106,0.00020622655|0.00018751753|2.2503945e-05|3.8664022e-07|1.208131e-06|1.1593033e-05|1.3930742e-06|1.1479995e-06,0.0036670219|0.00026962905|5.4173535e-06|3.3740958e-06|4.1998469e-07|2.501828e-06|1.523823e-06|4.431131e-07,0.068466546|-3.1086708|-2.8746822|2.6753464|-1.4654578|-2.8935874|2.4449401|-2.4961129
collector_low2_cr47,,42,0,1,9,711,711,711,711,711,711,711,711,711,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.06911514801189467,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9968031856988775,0.08483330960870974,711|705|710|707|701|694|704|688,0.99680319|0.011827058|0.14118299|0.27746224|0.14747051|0.3664244|0.86146261|0.18984853,0|-25.780316|-26.057052|-26.890473|-26.910613|-27.34972|-27.553783|-28.01805,11593.718|0.94394093|403.4656|21.375972|2.5767493|1.260656|8.9196412|1.4955776,0.00044793069|1.45363e-05|0.00035005733|5.5213447e-06|3.1749874e-06|4.0213084e-07|6.2013192e-07|1.2161398e-06,0.0028673112|2.6514447e-06|0.00042032481|1.3913771e-05|1.1311566e-06|2.7433632e-07|1.954862e-06|4.9686189e-07,0.08483331|-2.9221111|-3.0592556|-2.6560783|2.3737008|-1.7528248|-0.91221231|2.1810435
collector_low2_cr47,,42,0,2,10,922,922,922,922,922,922,922,922,922,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.09003370939922961,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9991442927849394,0.14333410200623153,922|921|920|909|919|923|912|914,0.99914429|0.55477426|0.50127299|0.96636976|0.41324995|0.0067269146|0.20102756|0.070577426,0|-21.967337|-25.070017|-26.517043|-26.676318|-27.134591|-27.577898|-27.911085,19322.862|297.95614|228.64174|6.7750385|132.05204|0.97329372|3.8457536|3.2036454,3.5265855e-05|3.1196118e-05|3.1604959e-05|1.5572506e-07|2.7254866e-05|3.0642178e-05|2.5886041e-06|8.6954816e-06,0.0045983536|8.4074355e-05|5.9600581e-05|1.6210166e-06|3.9520492e-05|8.3765961e-07|1.3909196e-06|2.9255811e-06,0.1433341|-3.1073603|-2.8844495|-0.18667218|3.0523082|3.0974391|2.7570257|-2.7491141
collector_low2_cr47,,42,0,3,11,718,718,718,718,718,718,718,718,718,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.11095227078656467,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9965006843844204,0.12467403112504816,718|717|719|701|714|707|712|711,0.99650068|0.14017515|0.026861385|0.22136938|0.5710404|0.88240254|0.0084959856|0.21945602,0|-23.668294|-25.191154|-26.028516|-26.032948|-26.269778|-26.39388|-27.637021,11742.271|441.65445|64.143769|1.9733962|24.212636|5.2564852|0.63063554|3.7224477,0.00042922495|0.00032419577|0.00030361931|1.851556e-06|1.13607e-06|1.0373367e-08|1.3010488e-05|1.6937824e-06,0.0028241334|0.00045936546|0.0001853613|4.8419806e-07|8.7910507e-06|1.448411e-06|3.3364199e-06|2.2634719e-06,0.12467403|-3.03829|-2.9829264|-1.8284977|-2.5887077|0.098209411|-3.1369002|-2.3495075
collector_low2_cr47,,42,0,4,12,756,756,756,756,756,756,756,756,756,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.1318708321738996,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9967256308011441,0.15405558305079115,756|755|752|757|748|733|744|737,0.99672563|0.23143033|0.43086018|0.14526756|0.24446071|0.43744482|0.26811903|0.014516513,0|-23.669733|-24.233893|-25.09905|-25.272393|-26.948201|-27.431893|-28.105486,15296.14|734.24449|6.5959068|235.301|1.4839451|2.3203637|3.5735418|0.15938292,0.00029777305|0.00027297978|2.9353016e-06|0.00025530104|1.0338662e-06|9.7800216e-07|2.0541158e-06|2.2183298e-06,0.0030085926|0.00038603757|8.0270835e-07|0.00014547423|5.8309401e-07|1.5399471e-07|6.5531884e-07|5.2366249e-07,0.15405558|-3.0000595|0.52426255|-2.9819001|1.8497975|-0.63585836|1.7215507|-2.5620001
collector_low2_cr47,,42,0,5,13,109,109,109,109,109,109,109,109,109,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.15278939356123467,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9983405784197524,0.19589538276590168,109|108|107|110|92|101|99|102,0.99834058|0.49098531|0.5089861|0.10226001|0.79114663|0.92908757|0.66968751|0.71589347,0|-19.442094|-23.133621|-24.815452|-25.054263|-25.665859|-25.727752|-25.746686,17110.819|585.14686|464.56548|49.867368|23.554886|17.233958|38.034255|6.0033299,0.0039488365|0.00020668587|0.00013627642|1.4840251e-05|6.8900172e-06|4.3677971e-06|1.2200665e-05|1.5542084e-06,8.6289541e-05|8.1285863e-05|6.2632095e-05|7.8590877e-05|8.6694895e-07|9.0763222e-08|2.2471012e-06|5.7425346e-07,0.19589538|-2.9723547|-2.9680563|-2.8448439|-3.01275|2.7686115|3.0025023|0.96167674
collector_low2_cr47,,42,0,6,14,932,932,932,932,932,932,932,932,932,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.17370795494856972,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9984536192762654,0.26384739220507414,932|931|930|933|922|919|920|911,0.99845362|0.71992181|0.66586804|0.13096099|0.035352015|0.23038238|0.28266774|0.29468573,0|-18.654676|-22.430624|-23.978088|-25.728338|-26.825901|-27.033062|-27.22297,17206.21|373.84969|261.60636|11.171597|1.1592121|2.732655|4.5213443|2.5053072,2.0388382e-05|2.0453239e-05|1.8843352e-05|1.8183741e-05|5.9214977e-06|1.6849527e-06|1.8750239e-06|1.4162331e-06,0.0044720815|0.00011696372|6.8419277e-05|1.0775317e-06|8.5791773e-07|8.5188307e-07|1.7552164e-06|4.4866793e-07,0.26384739|-2.9111764|-2.8438612|0.40393959|2.916953|-1.6429182|2.1189879|-1.5614046
collector_low2_cr47,,42,0,7,15,468,468,468,468,468,468,468,468,468,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.19462651633590455,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9839573894686869,0.19730216490211716,468|466|469|464|453|455|459|451,0.98395739|0.85404406|0.032340149|0.6461636|0.15424863|0.24982089|0.27919834|0.10481877,0|-19.763404|-23.201606|-23.957042|-26.718432|-26.863656|-28.003898|-28.106948,10294.402|67.937989|104.55688|19.153666|3.2729736|5.7668088|5.9610545|0.84632056,0.0013481368|4.9364443e-06|0.00041401615|1.8070621e-06|4.6073518e-06|5.2078646e-06|4.504007e-06|1.5589782e-06,0.0012085639|1.3005566e-05|0.00043182215|4.5790923e-06|8.3071382e-07|9.0343228e-07|1.3760439e-06|4.2439941e-07,0.19730216|-0.3837912|-2.9588049|-1.3541969|-3.0930091|-2.3065788|-2.2122815|-3.0920238
collector_low2_cr47,,42,0,8,16,89,89,89,89,89,89,89,89,89,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.2155450777232396,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9985756093328743,0.26351237374643843,89|88|87|90|80|82|79|78,0.99857561|0.67496237|0.55112468|0.048127043|0.93472345|0.11383982|0.87036359|0.61760661,0|-17.567064|-21.446405|-23.722899|-24.997254|-26.776723|-26.862684|-26.949286,16658.477|769.42182|429.6499|14.947537|11.075791|2.6112139|10.757625|11.15123,0.0039469433|0.00021911277|0.00013268329|2.6838392e-06|2.8523923e-06|1.1085947e-06|2.9648539e-06|3.5971999e-06,5.4602502e-05|5.5766435e-05|5.5136282e-05|5.9433014e-05|1.8868271e-07|4.0368189e-06|2.2599908e-07|1.4614278e-06,0.26351237|-2.9187778|-2.8599388|2.9716513|-1.2914149|2.3560032|-2.6001043|-2.0292971
collector_low2_cr47,,42,0,9,17,713,713,713,713,713,713,713,713,713,0,1.0,8,0,1,1,8,0.0165457613985101,0.9982945083328906,0.29948835249986716,0.12,1,0.23646363911057466,-0.0049784839054086115,-0.006234413965087282,-0.006234413965087282,0.0,0.9982945083328906,0.2157172750138957,0.019821231048038887,0.9998793478719504,40,1,0.9921855557631626,0.22283848694416308,713|712|714|709|707|710|703|715,0.99218556|0.22060891|0.092611161|0.57031178|0.060612794|0.061814665|0.27384135|0.15119151,0|-21.83474|-21.881187|-23.277289|-24.705773|-25.14385|-25.886935|-26.448193,11382.269|834.83107|177.76694|64.015761|3.0723733|7.7415434|5.7887806|148.28299,0.00042144357|0.00032795791|0.00028485648|2.1196289e-06|1.0051142e-05|2.4044681e-05|3.2743915e-06|0.00010010049,0.0025431253|0.00050875232|0.00015630287|2.2667016e-05|1.3165644e-06|7.7155267e-06|1.4450039e-06|0.00013207749,0.22283849|-2.9714274|-2.8759377|-2.6632761|-2.5715421|-2.7943902|2.0191297|-2.8974381
