dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-22.0,ordinary_fft,76,105,4,3,0.7238095238095238
0_0_0_10_14_32,-22.0,savaux,77,105,0,0,0.7333333333333333
0_0_0_10_14_32,-22.0,branch_gls,77,105,0,0,0.7333333333333333
0_0_0_10_14_32,-22.0,savaux_dual,77,105,0,0,0.7333333333333333
0_0_0_10_14_32,-22.0,proposed,78,105,0,1,0.7428571428571429
0_0_0_10_14_32,-24.0,ordinary_fft,94,105,3,3,0.8952380952380953
0_0_0_10_14_32,-24.0,savaux,94,105,0,0,0.8952380952380953
0_0_0_10_14_32,-24.0,branch_gls,95,105,1,2,0.9047619047619048
0_0_0_10_14_32,-24.0,savaux_dual,94,105,0,0,0.8952380952380953
0_0_0_10_14_32,-24.0,proposed,95,105,1,2,0.9047619047619048
0_0_0_10_14_32,-26.0,ordinary_fft,102,105,0,1,0.9714285714285714
0_0_0_10_14_32,-26.0,savaux,101,105,0,0,0.9619047619047619
0_0_0_10_14_32,-26.0,branch_gls,101,105,1,1,0.9619047619047619
0_0_0_10_14_32,-26.0,savaux_dual,101,105,0,0,0.9619047619047619
0_0_0_10_14_32,-26.0,proposed,101,105,1,1,0.9619047619047619
