dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,-22.0,42,0,0,8,803,695,695,695,695,695,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.8515102369516112,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9509757589672756,0.20231676010309718,695|454|73|798|388|993|40|214,0.95097576|0.9120154|0.99855841|0.9816585|0.90129335|0.99583137|0.98491484|0.88865186,0|-1.6914402|-2.3402478|-2.6237952|-3.0001461|-3.6188443|-3.7789663|-3.9532989,13.211311|7.4954918|11.767618|6.1921882|4.5232253|11.189735|8.1318567|2.9782801,0.011060762|0.048616747|0.24569992|0.015184019|0.074304375|0.0003580548|0.17234724|0.049340522,0.2415675|0.10522758|0.0010978658|0.10031287|0.025677909|0.2039543|0.0013003641|0.017352873,0.20231676|-0.12988647|-0.48255555|-0.36995198|-0.71385514|-2.5000603|2.1706381|-0.5204165
0_0_0_10_14_32,-22.0,42,0,1,9,711,28,28,28,28,28,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.8715970708753222,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9991542914519153,0.39131077287125837,28|320|457|171|691|471|970|262,0.99915429|0.8084168|0.9055943|0.90898916|0.94838069|0.55108809|0.99517983|0.98954456,0|-0.81083293|-1.1457761|-1.6235373|-1.8031715|-2.0799928|-2.1530777|-2.2329055,10.474414|7.7695101|5.8900742|7.3473528|4.9045057|2.6990161|8.0362675|4.4459591,0.21927077|0.20095399|0.11388461|0.16605034|0.013179447|0.093253017|0.00014962059|0.085320141,0.00056736854|0.00065103979|0.018344353|0.0032626935|0.081610944|0.0079846259|0.1465781|0.0071061349,0.39131077|-1.5491333|-0.17961256|-2.0308393|-0.64144376|-1.5473503|-1.9982149|-0.29271387
0_0_0_10_14_32,-22.0,42,0,2,10,922,198,534,671,534,671,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.8916839047990335,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.7325890266594002,0.8161030983708923,671|648|534|792|541|198|955|186,0.73258903|0.99854125|0.94573609|0.87452428|0.9665418|0.97976587|0.99628004|0.98812171,0|-0.27508089|-0.28181784|-0.48132896|-0.5370884|-0.57339617|-0.61634052|-0.69144747,4.0418044|4.6932848|5.5317469|4.4595049|5.3771375|7.403391|9.3048944|6.1103127,0.065177223|0.021676651|0.077490348|0.016873977|0.035277386|0.15086418|0.0030954007|0.11566863,0.043320515|0.065581066|0.037683337|0.077251372|0.069461714|0.0059291915|0.16634679|0.011433019,0.8161031|-0.092310175|-0.18273633|-1.1335954|0.31840878|-0.62687708|-0.17684431|0.23138293
0_0_0_10_14_32,-22.0,42,0,3,11,718,296,249,249,249,249,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.9117707387227445,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9326614163948385,-0.9324403216675761,249|296|384|574|809|700|9|169,0.93266142|0.87452692|0.83048172|0.9892935|0.98861392|0.9350005|0.99538934|0.91427656,0|-0.24158849|-0.67135917|-1.1784432|-1.3482938|-1.6375429|-1.6577296|-1.7622997,7.6901704|7.6493405|5.4402917|5.0605854|7.0022263|5.384277|10.442839|6.3705176,0.15931313|0.15172104|0.10741491|0.034905702|0.011680037|0.036122025|0.2199951|0.13567581,0.01093758|0.026150012|0.024824232|0.061629302|0.11748097|0.071873751|0.00065156976|0.0086700339,-0.93244032|-1.010552|-0.97974356|0.21826227|-0.39579943|-0.46798188|3.078358|-1.3811156
0_0_0_10_14_32,-22.0,42,0,4,12,107,583,173,173,173,173,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.9318575726464556,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9842160763964599,-0.23571755098076524,173|498|489|583|859|303|678|333,0.98421608|0.93790815|0.87066408|0.83430347|0.92481574|0.86659021|0.94213652|0.94566488,0|-0.34803816|-0.57635528|-0.95183855|-0.96995131|-1.3103475|-1.6063107|-1.7559571,5.9432976|5.5608169|5.5537524|4.9083824|10.619429|5.9399193|7.9211925|5.5873013,0.11265688|0.08735276|0.02223703|0.072578411|0.005927185|0.13164084|0.0084746343|0.10698516,0.011229718|0.030651674|0.095427563|0.042524216|0.20423302|0.0098700557|0.14466694|0.014161631,-0.23571755|-0.24219624|0.046408582|-0.67024472|1.9819013|-1.1315725|0.35620073|0.57339388
0_0_0_10_14_32,-22.0,42,0,5,13,468,830,830,830,830,830,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.9519444065701668,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9811313866744312,-0.32876530906212775,830|695|530|627|373|94|365|140,0.98113139|0.98800187|0.89911725|0.73902422|0.92968311|0.97337844|0.90833521|0.99472403,0|-1.2347461|-1.348789|-1.4160712|-1.4587349|-1.4924092|-1.7885358|-1.8765483,10.157789|6.1450787|6.0489629|2.8000757|6.101573|7.2678425|3.3923238|5.5171663,0.022068099|0.027078817|0.03344026|0.048037682|0.12623326|0.15579325|0.03527004|0.10908196,0.16721347|0.088419687|0.091683855|0.026329946|0.0091127274|0.00092926863|0.036302286|0.0057321041,-0.32876531|0.23993733|-0.5542441|-0.83423902|-0.045797831|-2.0623155|-0.23024822|-0.015530168
0_0_0_10_14_32,-22.0,42,0,6,14,89,173,603,173,603,173,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.9720312404938779,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.833697662434204,-0.32777880164045614,173|603|773|617|401|756|828|659,0.83369766|0.76179373|0.93511791|0.86658965|0.76489427|0.9055252|0.83620108|0.98513706,0|-0.42401999|-0.73453885|-0.9900864|-1.0260326|-1.1066043|-1.5687643|-1.666921,6.0870949|4.7730726|6.5700344|4.2218467|3.974606|6.726862|5.2369415|7.1130886,0.099261318|0.058334338|0.026610108|0.051933218|0.079499744|0.014652536|0.021109098|0.042903266,0.04482771|0.061932624|0.10312788|0.042230459|0.024662767|0.12133423|0.094796005|0.092537431,-0.3277788|-1.0280366|-0.65659969|-0.59215033|-1.1301509|-1.1054537|-1.3958061|0.2003648
0_0_0_10_14_32,-22.0,42,0,7,15,713,485,485,485,485,485,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,0.9921180744175889,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9307118752515984,0.2106442376254355,485|889|4|983|966|515|176|856,0.93071188|0.97826681|0.99961014|0.99960142|0.98636523|0.81857935|0.97370724|0.97864186,0|-0.44938551|-0.62447499|-0.97438687|-1.1105228|-1.5832258|-1.6933811|-1.8380379,8.4171061|9.5542019|7.8086149|9.5277125|10.007043|3.8901187|5.5858573|4.7969021,0.051618893|0.0065551843|0.16412021|0.00066573486|0.0016166736|0.061292378|0.11755509|0.0098897448,0.117774|0.17091435|3.5529223e-05|0.17228181|0.18287004|0.032892733|0.0021239503|0.079676029,0.21064424|-0.94791033|2.7607727|-0.13676803|-1.8870966|0.83585994|-0.85777404|-0.25125896
0_0_0_10_14_32,-22.0,42,0,8,16,865,155,155,155,155,155,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,1.0122049083413,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.916016714987273,-1.2922215326076538,155|380|256|184|814|659|289|660,0.91601671|0.72934231|0.82093983|0.98639199|0.92076013|0.96374698|0.96581093|0.68380898,0|-0.62809471|-1.0999558|-1.257733|-1.3208114|-1.3673895|-1.3815947|-1.471533,8.7148472|5.5235917|5.0300279|7.7501306|4.5347104|3.6689624|5.2138885|5.2962636,0.18212983|0.08222274|0.11089073|0.14439375|0.023268522|0.029939539|0.080134278|0.013975841,0.014359217|0.064791488|0.01475965|0.016535925|0.068518027|0.042350941|0.027400298|0.12846028,-1.2922215|-1.0814263|-1.4080503|0.019718928|0.38463211|0.10788356|-0.23945986|-1.8458694
0_0_0_10_14_32,-22.0,42,0,9,17,492,477,477,477,477,477,0,0,5,0.5017988291684945,0.8222911159901202,0.24668733479703603,inf,1,1.032291742265011,-0.11389936833286361,0.1059850374064838,0.1059850374064838,0.0,0.8222911159901202,0.12145224130791588,0.22741432090382188,0.9598970735803906,8,0,0.9467758568614093,-0.4255151722506795,477|143|177|918|833|35|105|659,0.94677586|0.95238076|0.97490073|0.98724696|0.99286115|0.99411204|0.99059722|0.91742504,0|-1.3629735|-1.3884283|-1.6963037|-1.8319403|-1.9384143|-2.6478863|-2.6627808,9.3150664|9.7739836|8.5415156|10.003691|7.7590897|7.7934482|6.4009848|7.5565612,0.087138072|0.21462415|0.16228454|7.1310799e-05|0.0092015791|0.16318682|0.13425495|0.007822456,0.10061129|0.00090100315|0.017716062|0.18409369|0.13327809|0.0011966119|0.001170784|0.14223156,-0.42551517|-2.1972462|0.40677395|1.8444347|0.36949048|0.96856911|0.89246493|0.45626398
