dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-22.0,53,ordinary_fft,166,245,0.6775510204081633,0,135
0_0_0_10_14_32,-22.0,53,savaux,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,savaux_header,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,branch_gls,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,branch_shrinkage,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,savaux_dual,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,53,proposed,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-23.0,53,ordinary_fft,189,245,0.7714285714285715,0,154
0_0_0_10_14_32,-23.0,53,savaux,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,53,savaux_header,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,53,branch_gls,36,245,0.1469387755102041,0,1
0_0_0_10_14_32,-23.0,53,branch_shrinkage,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,53,savaux_dual,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,53,proposed,36,245,0.1469387755102041,0,1
0_0_0_10_14_32,-24.0,53,ordinary_fft,205,245,0.8367346938775511,0,156
0_0_0_10_14_32,-24.0,53,savaux,49,245,0.2,0,0
0_0_0_10_14_32,-24.0,53,savaux_header,49,245,0.2,0,0
0_0_0_10_14_32,-24.0,53,branch_gls,50,245,0.20408163265306123,1,2
0_0_0_10_14_32,-24.0,53,branch_shrinkage,49,245,0.2,0,0
0_0_0_10_14_32,-24.0,53,savaux_dual,49,245,0.2,0,0
0_0_0_10_14_32,-24.0,53,proposed,50,245,0.20408163265306123,1,2
0_0_0_10_14_32,-25.0,53,ordinary_fft,220,245,0.8979591836734694,1,149
0_0_0_10_14_32,-25.0,53,savaux,72,245,0.2938775510204082,0,0
0_0_0_10_14_32,-25.0,53,savaux_header,72,245,0.2938775510204082,0,0
0_0_0_10_14_32,-25.0,53,branch_gls,72,245,0.2938775510204082,0,0
0_0_0_10_14_32,-25.0,53,branch_shrinkage,72,245,0.2938775510204082,0,0
0_0_0_10_14_32,-25.0,53,savaux_dual,72,245,0.2938775510204082,0,0
0_0_0_10_14_32,-25.0,53,proposed,72,245,0.2938775510204082,0,0
0_0_0_10_14_32,-26.0,53,ordinary_fft,232,245,0.9469387755102041,0,124
0_0_0_10_14_32,-26.0,53,savaux,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,savaux_header,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,branch_gls,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,branch_shrinkage,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,savaux_dual,108,245,0.44081632653061226,0,0
0_0_0_10_14_32,-26.0,53,proposed,108,245,0.44081632653061226,0,0
