dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,savaux_header_bin,branch_gls_bin,branch_shrinkage_bin,savaux_dual_bin,proposed_observed_bin,proposed_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
collector_low4_cr47,,42,7,0,8,803,803,803,803,803,803,803,803,803,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,-0.11045170306913521,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9982530990321438,0.056627923162563265,803|618|67|827|773|281|678|238,0.9982531|0.97808599|0.77746168|0.92154946|0.79670233|0.89043738|0.69244197|0.99656906,0|-14.290648|-14.483748|-14.905896|-15.20275|-15.220618|-15.400682|-15.401697,93.219619|2.8449256|3.0505553|2.2827511|3.7651302|1.8439998|1.9715186|2.9572805,1.0737291e-06|9.9435414e-08|8.2372777e-07|1.7142032e-08|2.0550831e-07|2.9047588e-07|9.7236597e-09|5.4316253e-07,1.9961053e-05|4.917489e-07|1.287782e-07|6.1599863e-07|1.1282087e-06|1.4111951e-07|6.0814076e-07|7.4878321e-08,0.056627923|0.060690152|-3.0989381|1.5247555|-1.4518341|0.60585791|2.8348299|0.010205805
collector_low4_cr47,,42,7,1,9,711,711,711,711,711,711,711,711,711,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,-0.08856331008323237,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9946040916635139,-0.19672581320067462,711|874|698|786|915|435|212|878,0.99460409|0.94094633|0.96765078|0.96884498|0.88682469|0.7841621|0.81867062|0.67453519,0|-11.125237|-11.918735|-11.994419|-12.266262|-12.335096|-12.60856|-12.861572,47.676076|2.4205152|5.6740693|2.9661841|3.1425414|3.4545014|4.1187643|1.5802554,2.1181756e-06|8.1380412e-08|3.2766883e-07|5.8212004e-08|1.2986747e-07|1.0475587e-06|6.5001948e-07|2.6168457e-07,9.8560629e-06|4.7280516e-07|1.0726934e-06|6.4986855e-07|7.8312096e-07|3.1470843e-08|4.590488e-07|3.1770772e-07,-0.19672581|-0.19359686|0.43802975|0.67429273|0.83377909|0.0087695413|-0.0097496844|0.54718872
collector_low4_cr47,,42,7,2,10,922,922,922,922,922,922,922,922,922,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,-0.06667491709732953,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9997235505407109,-0.08986149168129257,922|417|467|731|252|757|697|808,0.99972355|0.8680606|0.71042696|0.93932379|0.98690362|0.71856046|0.92531605|0.87664229,0|-12.586749|-13.827272|-13.905764|-14.040925|-14.232166|-14.24416|-14.265641,68.420619|3.9377865|1.9225365|1.6778816|3.5028977|2.9675739|2.7136488|2.7639422,1.6673386e-07|2.9584617e-07|2.0756452e-07|1.016099e-07|7.8965546e-07|3.3838847e-07|1.8103498e-07|2.0470471e-08,1.6841346e-05|6.3387354e-07|3.8697349e-07|2.9780676e-07|6.4998007e-08|6.7387088e-07|6.8952006e-07|8.3802522e-07,-0.089861492|-0.0016851984|-1.0065826|-0.51301889|0.39534233|1.1637997|-0.63028411|2.2147795
collector_low4_cr47,,42,7,3,11,718,718,718,718,718,718,718,718,718,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,-0.044786524111426695,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9929641674652308,0.1442939152445514,718|688|581|686|146|601|944|931,0.99296417|0.77711948|0.86674485|0.73436262|0.73880595|0.90951838|0.85531873|0.84473795,0|-12.000464|-13.507488|-13.908371|-14.125158|-14.133367|-14.190182|-14.276305,66.041813|3.6586529|2.9658581|2.9785492|3.772213|3.5423606|2.5739419|4.5367269,3.1449182e-06|7.7420006e-08|4.701132e-07|2.0946664e-08|5.835718e-07|1.4815221e-07|6.8735434e-08|1.7386647e-07,1.2833918e-05|9.1476609e-07|2.8213105e-07|7.9376775e-07|4.8802021e-07|8.0079002e-07|6.4666718e-07|9.7695451e-07,0.14429392|1.5393081|0.68798736|-2.0737745|0.40407031|-0.52385434|1.9429028|1.4993302
collector_low4_cr47,,42,7,4,12,756,756,756,756,756,756,756,756,756,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,-0.022898131125523857,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9917373722111651,0.21462977481885068,756|460|614|535|863|970|901|824,0.99173737|0.42252133|0.83618352|0.91100515|0.82783511|0.8328063|0.96275172|0.94474025,0|-12.871046|-13.159521|-13.161484|-13.754231|-13.931087|-14.108026|-14.138716,68.252407|0.56062341|2.5879891|4.9343565|4.1037041|3.6490541|3.0191088|2.7189364,1.3892175e-06|1.378232e-07|5.3869601e-07|4.3783936e-07|3.3601138e-07|1.9579253e-07|1.9920946e-09|1.2715679e-07,1.5955117e-05|1.8893425e-07|1.9749939e-07|6.5822238e-07|7.4522145e-07|9.1730924e-07|6.8773043e-07|4.7003852e-07,0.21462977|1.8207561|-0.10262111|0.61805601|-0.42549515|-0.7939785|2.3207181|-0.07782937
collector_low4_cr47,,42,7,5,13,109,109,109,109,109,109,109,109,109,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,-0.0010097381396210192,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9746756169763925,-0.0433296122502837,109|834|459|975|564|898|132|165,0.97467562|0.98179328|0.87043168|0.99553309|0.90187247|0.84245493|0.84645785|0.82779438,0|-11.917866|-13.340058|-13.353132|-13.595894|-13.750334|-13.958455|-14.047802,83.274645|6.2471407|2.6293318|3.7991139|3.5632393|4.347083|2.6871116|3.1118845,1.7341519e-05|1.4452281e-07|4.0594724e-07|2.4772401e-09|1.1445072e-07|1.1665887e-07|7.7439018e-07|7.2132123e-07,1.2994965e-06|1.4867231e-06|3.2181968e-07|1.0059598e-06|8.4729103e-07|1.4013931e-06|8.4812504e-08|7.2582019e-08,-0.043329612|0.39315889|-0.69114558|1.307092|-0.10467263|2.0603094|-1.7308325|1.9942977
collector_low4_cr47,,42,7,6,14,932,932,932,932,932,932,932,932,932,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,0.02087865484628182,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9956574170195532,0.5928299351802797,932|145|805|907|687|433|599|754,0.99565742|0.93342867|0.87692317|0.72097875|0.98987959|0.67570247|0.72820741|0.93676141,0|-11.207301|-11.644399|-13.215233|-13.360165|-13.853874|-13.87096|-14.30287,81.933014|4.9149745|4.6693587|4.8806443|4.9556448|1.2046877|3.4732337|3.3044046,1.3046667e-07|1.522574e-06|2.9873713e-07|3.7668357e-07|2.8785143e-07|3.3319006e-08|1.0567679e-07|8.6051134e-09,2.3534011e-05|1.817013e-08|9.3720269e-07|1.1949859e-06|7.9077825e-07|3.0096207e-07|1.0160144e-06|9.8764573e-07,0.59282994|-1.8504435|-0.83681051|-1.6017637|0.097853198|0.44268469|1.1347532|0.44340782
collector_low4_cr47,,42,7,7,15,468,468,468,468,468,468,468,468,468,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,0.04276704783218488,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9962531463016848,-0.05300591421705336,468|912|495|408|82|578|325|51,0.99625315|0.84839471|0.89857292|0.69912545|0.86502675|0.67051357|0.39758067|0.85686147,0|-14.350874|-14.567293|-14.937138|-14.943173|-14.944018|-15.00455|-15.20815,63.870128|2.4583738|4.4967657|2.6428915|5.2536002|0.54212048|0.98422773|2.7639639,8.7220504e-06|1.7552594e-07|3.1633927e-07|4.2892804e-07|1.3221085e-06|5.5203956e-08|3.3796143e-07|6.7269088e-07,7.7255325e-06|5.2202666e-07|8.3816746e-07|3.9221683e-07|9.8036244e-08|1.2560849e-07|3.3987638e-07|1.1242713e-07,-0.053005914|0.06057784|0.33604626|1.2164261|-2.8369555|1.2879889|1.5353775|-0.81961012
collector_low4_cr47,,42,7,8,16,89,89,89,89,89,89,89,89,89,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,0.06465544081808772,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9839761723659526,-0.28490275217986594,89|734|594|803|273|271|97|628,0.98397617|0.89170746|0.53024297|0.70405025|0.22330021|0.56780155|0.58927428|0.98577756,0|-10.655352|-11.198417|-11.266014|-11.900054|-12.014296|-12.060373|-12.131708,89.469097|5.9651566|4.4355754|7.3528681|1.0189358|6.9022717|3.7026427|5.5373009,2.335427e-05|3.8318034e-07|1.2675458e-07|5.6025281e-07|9.4479308e-08|1.1080454e-06|7.3035989e-07|2.3299319e-07,9.7779746e-07|1.0020743e-06|1.8152942e-06|1.6351721e-06|8.8509104e-07|1.5046129e-06|7.2808457e-07|1.0441981e-06,-0.28490275|0.72770699|2.5059044|1.7656163|1.4827108|1.2180374|0.081878464|0.034269629
collector_low4_cr47,,42,7,9,17,713,713,713,713,713,713,713,713,713,0,1.0,8,0,1,1,8,0.37190360943290457,0.9649758469126347,0.2894927540737904,0.12,1,0.08654383380399056,-0.003398600932863723,-0.028678304239401486,-0.028678304239401486,0.0,0.9649758469126347,0.2375481793975045,0.16347227957268104,0.953131163357968,40,1,0.9573442162955454,0.48596313439229766,713|808|828|208|25|792|596|110,0.95734422|0.86203239|0.92965221|0.89323597|0.79221118|0.94493214|0.70344482|0.90991949,0|-7.4729774|-7.4971617|-8.9882979|-9.0707892|-9.072237|-9.2129135|-9.2242824,78.34559|12.812821|10.88256|4.1561824|11.881585|9.8179662|7.3141926|14.070461,1.559343e-06|7.7505344e-07|9.0308266e-08|8.5155337e-07|3.1708864e-06|5.7187659e-07|1.9093786e-06|3.157731e-06,1.8735298e-05|3.1937534e-06|3.0727798e-06|3.2525247e-07|6.926624e-07|1.7737202e-06|4.4806971e-07|5.4473478e-07,0.48596313|1.1312935|1.3333225|-0.12503487|1.9080984|-0.12894803|0.46601029|-0.18555045
