dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
collector_low4_cr47,,42,7,0,8,803,803,803,803,803,803,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,-0.11045170306913515,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.99783233047352,0.10363429703173743,803|67|773|827|618|281|990|678,0.99783233|0.80549855|0.82138209|0.92582607|0.97334214|0.87001823|0.75314513|0.69882385,0|-14.401376|-14.676591|-14.846056|-14.972081|-15.035542|-15.080905|-15.294745,90.676019|3.2045965|4.7194599|2.5507221|2.4594737|1.55826|3.9948082|1.8852209,1.0737291e-06|8.2372777e-07|2.0550831e-07|1.7142032e-08|9.9435414e-08|2.9047588e-07|3.4210289e-07|9.7236597e-09,1.9961053e-05|1.287782e-07|1.1282087e-06|6.1599863e-07|4.917489e-07|1.4111951e-07|9.0484802e-07|6.0814076e-07,0.1036343|-3.0519317|-1.4048278|1.5717619|0.10769653|0.65286428|-0.8870552|2.8818363
collector_low4_cr47,,42,7,1,9,711,711,711,711,711,711,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,-0.08856331008323232,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9965476498424249,-0.14971943933150048,711|915|874|786|464|698|435|687,0.99654765|0.90413121|0.95147924|0.96345585|0.94136834|0.95863582|0.78812628|0.84621474,0|-12.263416|-12.366808|-12.497358|-12.502385|-12.705911|-13.142384|-13.207301,50.959219|3.5488693|2.2573733|2.9438629|1.4439472|5.7173219|3.4823809|1.5946319,2.1181756e-06|1.2986747e-07|8.1380412e-08|5.8212004e-08|1.83751e-07|3.2766883e-07|1.0475587e-06|2.6231545e-08,9.8560629e-06|7.8312096e-07|4.7280516e-07|6.4986855e-07|1.8323119e-07|1.0726934e-06|3.1470843e-08|4.0902544e-07,-0.14971944|0.88078547|-0.14659048|0.7212991|-0.44733305|0.48503613|0.055775915|-1.1777408
collector_low4_cr47,,42,7,2,10,922,922,922,922,922,922,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,-0.06667491709732948,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9998663382096438,-0.042855117812118426,922|417|467|697|757|252|865|731,0.99986634|0.86605378|0.73889282|0.94812546|0.73920583|0.98258644|0.85472829|0.94727249,0|-12.834312|-13.265023|-13.320214|-13.45541|-13.878895|-14.227453|-14.348205,73.862876|3.4028585|1.8606295|3.5205686|3.1867973|3.442947|3.2779263|1.6074197,1.6673386e-07|2.9584617e-07|2.0756452e-07|1.8103498e-07|3.3838847e-07|7.8965546e-07|2.7034488e-07|1.016099e-07,1.6841346e-05|6.3387354e-07|3.8697349e-07|6.8952006e-07|6.7387088e-07|6.4998007e-08|6.3590557e-07|2.9780676e-07,-0.042855118|0.045321175|-0.95957622|-0.58327774|1.210806|0.4423487|-0.0073235262|-0.46601251
collector_low4_cr47,,42,7,3,11,718,718,718,718,718,718,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,-0.044786524111426584,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9917160386926507,0.19130028911372565,718|688|581|397|686|601|286|931,0.99171604|0.76441847|0.80955103|0.71313719|0.74365383|0.92044639|0.87916112|0.85111435,0|-12.265234|-13.389257|-13.617402|-13.840092|-14.012127|-14.115207|-14.19793,67.590457|3.2917468|2.5356623|3.4552817|2.6394349|3.7389213|2.9975846|4.2325849,3.1449182e-06|7.7420006e-08|4.701132e-07|1.1696425e-06|2.0946664e-08|1.4815221e-07|8.267799e-07|1.7386647e-07,1.2833918e-05|9.1476609e-07|2.8213105e-07|1.0647304e-08|7.9376775e-07|8.0079002e-07|3.9388547e-09|9.7695451e-07,0.19130029|1.5863145|0.73499373|-1.3559326|-2.0267682|-0.47684797|1.1161366|1.5463366
collector_low4_cr47,,42,7,4,12,756,756,756,756,756,756,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,-0.022898131125523746,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9915864900417304,0.26163614868802476,756|614|535|460|863|1019|561|302,0.99158649|0.81521735|0.89151296|0.33720608|0.83547401|0.93764408|0.9364286|0.90109617,0|-13.588165|-13.915576|-14.218975|-14.253967|-14.494112|-14.517631|-14.519027,74.100464|2.4753873|4.1208863|0.47062484|3.8211792|3.9197924|3.0969632|2.675113,1.3892175e-06|5.3869601e-07|4.3783936e-07|1.378232e-07|3.3601138e-07|6.4860847e-08|1.627854e-07|4.1214415e-07,1.5955117e-05|1.9749939e-07|6.5822238e-07|1.8893425e-07|7.4522145e-07|9.0155538e-07|6.1305532e-07|3.0188247e-07,0.26163615|-0.055614738|0.66506239|1.8677625|-0.37848878|0.94500446|0.30526935|-0.042014546
collector_low4_cr47,,42,7,5,13,109,109,109,109,109,109,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,-0.0010097381396209082,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9766232888636274,0.0036767616188904673,109|834|459|975|898|132|564|169,0.97662329|0.9828549|0.89727943|0.99632221|0.8762588|0.86718282|0.89414633|0.9449997,0|-11.363726|-11.921787|-12.763115|-12.827457|-12.928505|-13.232916|-13.687695,74.560382|6.9060943|2.7233694|4.3759351|5.7923583|3.0783193|3.690232|2.5160583,1.7341519e-05|1.4452281e-07|4.0594724e-07|2.4772401e-09|1.1665887e-07|7.7439018e-07|1.1445072e-07|5.5411703e-07,1.2994965e-06|1.4867231e-06|3.2181968e-07|1.0059598e-06|1.4013931e-06|8.4812504e-08|8.4729103e-07|9.3803569e-08,0.0036767616|0.44016526|-0.6441392|1.3540983|2.1073158|-1.6838262|-0.057666253|0.46352698
collector_low4_cr47,,42,7,6,14,932,932,932,932,932,932,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,0.02087865484628193,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9967401483162712,0.6398363090494539,932|145|805|907|31|687|599|80,0.99674015|0.95149316|0.87865784|0.76327676|0.99926822|0.98894687|0.7438421|0.94366804,0|-10.722347|-12.223791|-13.724723|-13.837492|-14.371719|-14.400539|-14.414664,102.5861|6.0261446|4.6263987|5.148419|4.3751707|4.5254801|3.6073688|4.7078613,1.3046667e-07|1.522574e-06|2.9873713e-07|3.7668357e-07|1.0663888e-06|2.8785143e-07|1.0567679e-07|1.1093298e-06,2.3534011e-05|1.817013e-08|9.3720269e-07|1.1949859e-06|2.0205741e-10|7.9077825e-07|1.0160144e-06|1.0660536e-07,0.63983631|-1.8034372|-0.78980414|-1.5547573|-0.9863793|0.14485957|1.1817596|0.54940753
collector_low4_cr47,,42,7,7,15,468,468,468,468,468,468,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,0.04276704783218488,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9968243693720251,-0.005999540347879195,468|495|325|578|912|408|82|51,0.99682437|0.89666965|0.48083283|0.6554413|0.84995329|0.6382827|0.8773018|0.8738611,0|-14.274864|-14.411481|-14.733747|-14.773865|-14.809905|-14.856673|-14.87587,68.353293|4.3937463|1.3809758|0.50635818|2.5178812|2.2085064|5.1684947|2.8211988,8.7220504e-06|3.1633927e-07|3.3796143e-07|5.5203956e-08|1.7552594e-07|4.2892804e-07|1.3221085e-06|6.7269088e-07,7.7255325e-06|8.3816746e-07|3.3987638e-07|1.2560849e-07|5.2202666e-07|3.9221683e-07|9.8036244e-08|1.1242713e-07,-0.0059995403|0.38305263|1.5823839|1.3349953|0.10758421|1.2634325|-2.7899491|-0.77260374
collector_low4_cr47,,42,7,8,16,89,89,89,89,89,89,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,0.06465544081808772,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.9867466272527173,-0.23789637831069171,89|734|594|803|271|628|577|906,0.98674663|0.88383198|0.45656405|0.66961274|0.5227626|0.98438187|0.99863954|0.84435333,0|-11.125819|-11.219101|-11.830659|-12.017004|-12.209067|-12.317919|-12.523221,98.3112|5.2099441|3.8694983|6.333354|5.789037|5.3673116|8.292865|5.857575,2.335427e-05|3.8318034e-07|1.2675458e-07|5.6025281e-07|1.1080454e-06|2.3299319e-07|7.6749941e-07|3.3293558e-07,9.7779746e-07|1.0020743e-06|1.8152942e-06|1.6351721e-06|1.5046129e-06|1.0441981e-06|1.2067169e-06|1.2883404e-06,-0.23789638|0.77471336|2.5529107|1.8126227|1.2650437|0.081276003|0.069762534|-1.0259472
collector_low4_cr47,,42,7,9,17,713,713,713,713,713,713,1,1,8,0.3719036094329046,0.970129316703574,0.2910387950110722,0.12,1,0.08654383380399056,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.970129316703574,0.22924066140204813,0.16347227957268104,0.8911796933525771,8,0,0.957349074972605,0.5329695082614718,713|828|808|243|792|208|110|109,0.95734907|0.9386134|0.84523344|0.87456287|0.94780635|0.90447693|0.92131643|0.89237308,0|-7.6183704|-7.6262643|-8.8757707|-8.8834844|-9.1457232|-9.238661|-9.3046997,83.809142|12.907725|14.406602|17.279827|9.4448627|4.3918026|13.999174|14.062383,1.559343e-06|9.0308266e-08|7.7505344e-07|4.6849748e-06|5.7187659e-07|8.5155337e-07|3.157731e-06|3.6440162e-06,1.8735298e-05|3.0727798e-06|3.1937534e-06|1.1948738e-07|1.7737202e-06|3.2525247e-07|5.4473478e-07|1.6452537e-07,0.53296951|1.3803289|1.1782999|-1.677694|-0.081941655|-0.0780285|-0.13854408|-2.8707378
