noise_model,representation,selection_order,dictionary_index,pattern_name,savaux_fixed_branch,selection_marginal_information,robust_conditional_gain_vs_savaux,mean_conditional_gain_vs_savaux
awgn,full_symbol,0,0,fixed_0,1,1024.0,0.0,0.0
awgn,full_symbol,1,1,fixed_1,1,1024.0,0.0,0.0
awgn,full_symbol,2,2,fixed_2,1,1024.0,0.0,0.0
awgn,full_symbol,3,3,fixed_3,1,1024.0,0.0,0.0
awgn,full_symbol,4,4,dyadic_w1_s1_b0,0,0.0,0.0,0.0
awgn,full_symbol,5,5,dyadic_w1_s1_b1,0,0.0,0.0,0.0
awgn,full_symbol,6,6,dyadic_w1_s1_b2,0,0.0,0.0,0.0
awgn,full_symbol,7,7,dyadic_w1_s1_b3,0,0.0,0.0,0.0
awgn,4_segment,0,0,fixed_0,1,0.0,0.0,0.0
awgn,4_segment,1,1,fixed_1,1,0.0,0.0,0.0
awgn,4_segment,2,2,fixed_2,1,0.0,0.0,0.0
awgn,4_segment,3,3,fixed_3,1,0.0,0.0,0.0
awgn,4_segment,4,4,dyadic_w1_s1_b0,0,0.0,0.0,0.0
awgn,4_segment,5,5,dyadic_w1_s1_b1,0,0.0,0.0,0.0
awgn,4_segment,6,6,dyadic_w1_s1_b2,0,0.0,0.0,0.0
awgn,4_segment,7,7,dyadic_w1_s1_b3,0,0.0,0.0,0.0
ar1_rho0.8,full_symbol,0,0,fixed_0,1,1010.2333721595535,0.0,0.0
ar1_rho0.8,full_symbol,1,1,fixed_1,1,111.96482190007941,0.0,0.0
ar1_rho0.8,full_symbol,2,2,fixed_2,1,73.26066864198401,0.0,0.0
ar1_rho0.8,full_symbol,3,3,fixed_3,1,23.686617250609515,0.0,0.0
ar1_rho0.8,full_symbol,4,9,dyadic_w1_s2_b1,0,0.0022320459223833336,0.0022320459223833336,0.0022320467494704385
ar1_rho0.8,full_symbol,5,52,dyadic_w16_s1_b0,0,0.0021014345425454006,0.00210215979900747,0.0021021612445340683
ar1_rho0.8,full_symbol,6,40,dyadic_w8_s1_b0,0,0.0017461389645824705,0.0019408641090447763,0.0019408659779067007
ar1_rho0.8,full_symbol,7,28,dyadic_w4_s1_b0,0,0.0013255500403636614,0.0016012423701635815,0.001601244109749685
ar1_rho0.8,4_segment,0,0,fixed_0,1,0.0,0.0,0.0
ar1_rho0.8,4_segment,1,1,fixed_1,1,0.0,0.0,0.0
ar1_rho0.8,4_segment,2,2,fixed_2,1,0.0,0.0,0.0
ar1_rho0.8,4_segment,3,3,fixed_3,1,0.0,0.0,0.0
ar1_rho0.8,4_segment,4,12,dyadic_w1_s3_b0,0,0.04402674099409826,0.04402674099409826,0.052003631235080235
ar1_rho0.8,4_segment,5,52,dyadic_w16_s1_b0,0,0.029348916550097016,0.029546812329191496,0.05782894354634727
ar1_rho0.8,4_segment,6,4,dyadic_w1_s1_b0,0,0.028614411542604988,0.02713062194571755,0.043550264095504256
ar1_rho0.8,4_segment,7,76,dyadic_w64_s1_b0,0,0.028408827423188274,0.028106582847320143,0.057781177218239735
