dataset,waveform_source,noise_model,noise_scope,added_snr_db,seed,symbol_count,signal_reference_power,savaux_equal_errors,savaux_equal_ser,savaux_gls_errors,savaux_gls_ser,savaux_nus_joint_gls_errors,savaux_nus_joint_gls_ser,segmented_savaux_gls_errors,segmented_savaux_gls_ser,segmented_savaux_nus_gls_errors,segmented_savaux_nus_gls_ser,savaux_gls_vs_equal_fixes,savaux_gls_vs_equal_breaks,full_nus_vs_savaux_gls_fixes,full_nus_vs_savaux_gls_breaks,segmented_savaux_vs_savaux_gls_fixes,segmented_savaux_vs_savaux_gls_breaks,segmented_nus_vs_segmented_savaux_fixes,segmented_nus_vs_segmented_savaux_breaks
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-20.0,101,300,9.801777634934276e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-22.0,101,300,9.801777634934276e-05,5,0.016666666666666666,5,0.016666666666666666,5,0.016666666666666666,5,0.016666666666666666,5,0.016666666666666666,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-24.0,101,300,9.801777634934276e-05,39,0.13,39,0.13,39,0.13,39,0.13,39,0.13,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-26.0,101,300,9.801777634934276e-05,116,0.38666666666666666,116,0.38666666666666666,116,0.38666666666666666,116,0.38666666666666666,116,0.38666666666666666,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-28.0,101,300,9.801777634934276e-05,205,0.6833333333333333,205,0.6833333333333333,205,0.6833333333333333,205,0.6833333333333333,205,0.6833333333333333,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-20.0,202,300,9.801777634934276e-05,1,0.0033333333333333335,1,0.0033333333333333335,1,0.0033333333333333335,1,0.0033333333333333335,1,0.0033333333333333335,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-22.0,202,300,9.801777634934276e-05,3,0.01,3,0.01,3,0.01,3,0.01,3,0.01,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-24.0,202,300,9.801777634934276e-05,42,0.14,42,0.14,42,0.14,42,0.14,42,0.14,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-26.0,202,300,9.801777634934276e-05,111,0.37,111,0.37,111,0.37,111,0.37,111,0.37,0,0,0,0,0,0,0,0
0_0_0_10_14_8,real_iq,awgn,payload_symbol_copy_only,-28.0,202,300,9.801777634934276e-05,198,0.66,198,0.66,198,0.66,198,0.66,198,0.66,0,0,0,0,0,0,0,0
