packet_index,event_index,payload_len,payload_symbols,known_prefix_symbols,crc_valid,header_mismatches,known_prefix_mismatches,padding_suffix_symbols,padding_suffix_mismatches,payload_hex,crc_hex
1,1,33,35,30,1,0,0,5,5,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,144d
2,2,33,35,30,1,0,0,5,5,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,a008
3,3,33,35,30,1,0,0,5,5,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,8dc0
5,5,33,35,30,1,0,0,5,5,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,e54b
6,6,33,35,30,1,0,0,5,5,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,510e
8,8,33,35,30,1,0,0,5,5,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,2a8e
9,9,33,35,30,1,0,0,5,5,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,f640
10,10,33,35,30,1,0,0,5,5,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,4205
11,11,33,35,30,1,0,0,5,5,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,6fcd
12,12,33,35,30,1,0,0,5,5,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,db88
13,13,33,35,30,1,0,0,5,5,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,0746
