payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,11,803,-221,802,11,11,0,1,1,803,802,,,
1,11,711,-313,710,11,11,0,1,1,711,710,,,
2,11,922,-102,921,11,11,0,1,1,922,921,,,
3,11,718,-306,717,11,11,0,1,1,718,717,,,
4,11,756,-268,755,11,11,0,1,1,756,755,,,
5,11,109,109,108,11,11,0,1,1,109,108,,,
6,11,932,-92,931,11,11,0,1,1,932,931,,,
7,11,468,468,467,11,11,0,1,1,468,467,,,
8,11,89,89,88,11,11,0,1,1,89,88,,,
9,11,713,-311,712,11,11,0,1,1,713,712,,,
10,11,865,-159,864,11,11,0,1,1,865,864,,,
11,11,92,92,91,11,11,0,1,1,92,91,,,
12,11,645,-379,644,11,11,0,1,1,645,644,,,
13,11,426,426,425,11,11,0,1,1,426,425,,,
14,11,765,-259,764,11,11,0,1,1,765,764,,,
15,11,1023,-1,1022,11,11,0,1,1,1023,1022,,,
16,11,597,-427,596,11,11,0,1,1,597,596,,,
17,11,562,-462,561,11,11,0,1,1,562,561,,,
18,11,827,-197,826,11,11,0,1,1,827,826,,,
19,11,890,-134,889,11,11,0,1,1,890,889,,,
20,11,174,174,173,11,11,0,1,1,174,173,,,
21,11,267,267,266,11,11,0,1,1,267,266,,,
22,11,917,-107,916,11,11,0,1,1,917,916,,,
23,11,656,-368,655,11,11,0,1,1,656,655,,,
24,11,889,-135,888,11,11,0,1,1,889,888,,,
25,11,66,66,65,11,11,0,1,1,66,65,,,
26,11,586,-438,585,11,11,0,1,1,586,585,,,
27,11,425,425,424,11,11,0,1,1,425,424,,,
28,11,860,-164,859,11,11,0,1,1,860,859,,,
29,11,553,-471,552,11,11,0,1,1,553,552,,,
30,11,629,-395,628,11,11,0,1,1,629,628,,,
31,11,759,-265,758,11,11,0,1,1,759,758,,,
32,11,494,494,493,11,11,0,1,1,494,493,,,
33,11,303,303,302,11,11,0,1,1,303,302,,,
34,11,1022,-2,1021,11,11,0,1,1,1022,1021,,,
35,11,720,-304,719,11,11,0,1,1,720,719,,,
36,11,314,314,313,11,11,0,1,1,314,313,,,
37,11,602,-422,601,11,11,0,1,1,602,601,,,
38,11,7,7,6,11,11,0,1,1,7,6,,,
39,11,414,414,413,11,11,0,1,1,414,413,,,
40,11,807,-217,806,11,11,0,1,1,807,806,,,
41,11,195,195,194,11,11,0,1,1,195,194,,,
42,11,826,-198,825,11,11,0,1,1,826,825,,,
43,11,928,-96,927,11,11,0,1,1,928,927,,,
44,11,761,-263,760,11,11,0,1,1,761,760,,,
45,11,590,-434,589,11,11,0,1,1,590,589,,,
46,11,383,383,382,11,11,0,1,1,383,382,,,
47,11,267,267,266,11,11,0,1,1,267,266,,,
48,11,314,314,313,11,11,0,1,1,314,313,,,
