packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_center_sample_phase,grlora_branch_sample_phases,grlora_branch_valid,grlora_branch_down_val_valid,grlora_branch_cfo_frac_est,grlora_branch_sto_frac_initial,grlora_branch_sto_frac_refined,grlora_branch_sto_frac_used,grlora_branch_sto_sample_correction,grlora_branch_cfo_int_est,grlora_branch_down_val_signed_bin,grlora_branch_cfo_total_est,grlora_branch_cfo_hz_est,grlora_branch_sfo_hat,grlora_branch_sfo_samples_per_symbol,grlora_branch_clk_off,grlora_branch_fs_p,grlora_branch_netid_sto_frac_est,grlora_branch_payload_sto_frac_est,grlora_branch_payload_sto_sample_correction,grlora_branch_netid1_est,grlora_branch_netid2_est,grlora_branch_netid_offset,grlora_branch_netid_valid,grlora_branch_sfo_cum_initial,grlora_branch_fine_preamble_start_sample,grlora_branch_fine_payload_start_sample,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,40960,188416,33,3603,-493,1.3095583641175612,42835,1875,4072,-24,19.29800358644275,0.8962270160700224,0,51031,190295,199511,228.48027503360578,4073,-23,31,4073,1,24,32,24,8,4076,4072,4,25.165557585555316,3.438008626977805,0,23,92,51123,190387,199603,51122,199507,-31.9375,1022,31,32,0,24,24,32,24,8,-43,-47,-45.0,28,0.2929235161025044,0.20153103335136918,0.30688554809988433,0.30688554809988433,1,-24,-48,-23.707076483897495,-2893.9302348507686,-0.0060762447416181815,-0.024304978966472726,-5.933832755486505e-06,125000.74172909443,0.11244571636810252,0.0866216762162253,0,0,24,-24,0,0.0866216762162253,-0.2857142857142857,8,27,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.2932010725463025|0.29304069861402254|0.2929235161025044|0.29335821631297343,-0.2654919828835318|-0.02407848267030494|0.20153103335136918|0.4720393434409092,-0.19368542702695624|0.057912125118510474|0.30688554809988433|-0.44294747638672793,-0.19368542702695624|0.057912125118510474|0.30688554809988433|0.4720393434409092,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.706798927453697|-23.70695930138598|-23.707076483897495|-23.706641783687026,-2893.8963534489376|-2893.9159303449683|-2893.9302348507686|-2893.8771708602326,-0.006076173602484544|-0.006076214707142193|-0.0060762447416181815|-0.006076133325734833,-0.024304694409938175|-0.02430485882856877|-0.024304978966472726|-0.024304533302939333,-5.933763283676312e-06|-5.933803424943548e-06|-5.933832755486505e-06|-5.933723950912923e-06,125000.74172041046|125000.7417254281|125000.74172909443|125000.74171549386,-0.38812298230646164|-0.13652674551003968|0.11244571636810252|0.2776030770173945,-0.41394672011702094|-0.162350658015394|0.0866216762162253|0.2517795103830215,-2|-1|0|1,0|0|0|0,24|24|24|24,-24|-24|-24|-24,0|0|0|0,0.08605327988297906|0.087649341984606|0.0866216762162253|0.0017795103830214876,51122|51122|51122|51122,199507|199507|199507|199507,,,,,,
1,1,1544192,1699840,35,224,224,6.178705391342615,1547295,3103,4072,-24,34.245510082770984,0.9469411655165989,1,1555491,1694755,1703971,509.9633550005282,4073,-23,32,1,9,24,32,0,0,4072,4072,0,22.121996856225586,11.43114509146558,1,23,92,1555583,1694847,1704063,1555582,1703967,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.2975764772335757,0.11198662530936278,0.21303418089121512,0.21303418089121512,1,-24,-48,-23.702423522766424,-2893.362246431448,-0.006075052163924139,-0.024300208655696556,-5.932668128832167e-06,125000.7415835161,0.018632511645642724,-0.00718646005103496,0,24,32,0,1,-0.00718646005103496,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.2980219741016675|0.2978910047143844|0.2975764772335757|0.298138741589959,-0.3665540813694861|-0.11079404862009021|0.11198662530936278|0.3693282347401447,-0.28799756359160256|-0.03749841195670531|0.21303418089121512|0.4617285403908154,-0.28799756359160256|-0.03749841195670531|0.21303418089121512|0.4617285403908154,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.70197802589833|-23.702108995285617|-23.702423522766424|-23.70186125841004,-2893.307864489542|-2893.323851963576|-2893.362246431448|-2893.293610645757,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.024299751923209278|-0.02429988619569983|-0.024300208655696556|-0.02429963221079561,-5.932556621877265e-06|-5.932589403247029e-06|-5.932668128832167e-06|-5.932527395213772e-06,125000.74156957775|125000.7415736754|125000.7415835161|125000.74156592439,-0.4823955789772768|-0.23189750152230393|0.018632511645642724|0.2673314827044505,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,24|24|24|24,32|32|32|32,0|0|0|0,1|1|1|1,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,1555582|1555582|1555582|1555582,1703963|1703967|1703967|1703967,,,,,,
2,2,3043328,3194880,34,4013,-83,12.56387342632604,3047424,4096,4013,-83,17.988060817056578,0.8568118147677913,1,3055856,3195120,3204336,485.2741994741414,4073,-23,32,1,9,24,32,0,0,4072,4072,0,15.62143382509244,18.083533480110987,1,23,92,3055948,3195212,3204428,3055947,3204332,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.3114231928875914,0.03874558152802164,0.13086831498016344,0.13086831498016344,1,-24,-48,-23.68857680711241,-2891.6719735244637,-0.006071503180006255,-0.02428601272002502,-5.929202324224859e-06,125000.74115029053,-0.06341978678003674,-0.08922367529506331,0,24,32,0,1,-0.08922367529506331,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.3115024907613919|0.31151034335602146|0.3114231928875914|0.3115497311030714,-0.45156547446561035|-0.18559623447364698|0.03874558152802164|0.28406732421757197,-0.3694278147773957|-0.11938515878801578|0.13086831498016344|0.3802382728596384,-0.3694278147773957|-0.11938515878801578|0.13086831498016344|0.3802382728596384,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.68849750923861|-23.688489656643977|-23.68857680711241|-23.68845026889693,-2891.6622936082285|-2891.661335039548|-2891.6719735244637|-2891.6565269649573,-0.006071482855556338|-0.006071480842896241|-0.006071503180006255|-0.006071470747615576,-0.024285931422225352|-0.024285923371584965|-0.02428601272002502|-0.024285882990462304,-5.929182476129236e-06|-5.929180510640861e-06|-5.929202324224859e-06|-5.929170651968336e-06,125000.74114780952|125000.74114756382|125000.74115029053|125000.74114633151,0.4362847338448015|-0.3136725457606955|-0.06341978678003674|0.18595120893593997,0.41048093170868705|-0.33947633934300453|-0.08922367529506331|0.1601474582585738,2|-1|0|1,23|24|24|24,31|32|32|32,-1|0|0|0,1|1|1|1,-0.08951906829131295|-0.08947633934300453|-0.08922367529506331|-0.0898525417414262,3055947|3055947|3055947|3055947,3204332|3204332|3204332|3204332,,,,,,
3,3,4542464,4698112,35,3706,-390,4.756326303508486,4543927,1463,4072,-24,17.873197576100118,0.8694412374160846,0,4552124,4691388,4700604,250.35734052815604,4073,-23,31,4073,1,24,32,24,8,4072,4072,0,24.31068437228197,3.593670876483778,0,23,92,4552216,4691480,4700696,4552215,4700600,-31.875,1020,31,32,0,24,24,32,24,8,-47,-47,-47.0,28,0.3159116207496642,0.21474916125566115,0.3184625987379699,0.3184625987379699,1,-24,-48,-23.684088379250337,-2891.124069732707,-0.0060703527730291,-0.0242814110921164,-5.928078879911231e-06,125000.74100986,0.12421131000103869,0.09841231071566503,0,0,24,-24,0,0.09841231071566503,0.17857142857142858,5,27,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.31568061794986396|0.31560855729190884|0.3159116207496642|0.3157859324759256,-0.23788413703614267|-0.010792084619285422|0.21474916125566115|0.489129800967971,-0.1804730892809101|0.07062113342641807|0.3184625987379699|-0.4292919643655454,-0.1804730892809101|0.07062113342641807|0.3184625987379699|0.489129800967971,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.684319382050138|-23.68439144270809|-23.684088379250337|-23.684214067524074,-2891.1522683166672|-2891.1610647837024|-2891.124069732707|-2891.13941253956,-0.006070411980226097|-0.006070430449740642|-0.0060703527730291|-0.006070384987575373,-0.024281647920904387|-0.02428172179896257|-0.0242814110921164|-0.02428153995030149,-5.928136699439548e-06|-5.928154736074846e-06|-5.928078879911231e-06|-5.928110339429075e-06,125000.74101708744|125000.741019342|125000.74100986|125000.74101379243,-0.3747262726481452|-0.12363264096528248|0.12421131000103869|0.294877481365559,-0.4005255235641061|-0.1494319703766802|0.09841231071566503|0.2690783451683637,-2|-1|0|1,0|0|0|0,24|24|24|24,-24|-24|-24|-24,0|0|0|0,0.09947447643589391|0.10056802962331979|0.09841231071566503|0.01907834516836371,4552215|4552215|4552215|4552215,4700600|4700600|4700600|4700600,,,,,,
4,4,6045696,6201344,35,327,327,4.854841463842856,6048387,2691,4072,-24,25.72359542460309,0.9434193462714014,1,6056579,6195843,6205059,509.9670239598812,4072,-24,32,0,8,24,32,0,0,4073,4073,0,16.890373064715348,21.39922269558229,1,24,96,6056675,6195939,6205155,6056675,6205059,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.3410334749118296,0.024942907967245093,0.11653419787406033,0.11653419787406033,0,-24,-48,-23.65896652508817,-2888.0574371445523,-0.006063913913545257,-0.024255655654181026,-5.92179093119654e-06,125000.74022386639,-0.07751104735938785,-0.10328268149195519,0,24,32,0,1,-0.10328268149195519,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.34106430628810946|0.3409943355054841|0.3410334749118296|0.34111391570220395,-0.46797299647084856|-0.20038594711235344|0.024942907967245093|0.2681776048460698,-0.3835276778560228|-0.1338638217774107|0.11653419787406033|0.36596447387099695,-0.3835276778560228|-0.1338638217774107|0.11653419787406033|0.36596447387099695,-2|-1|0|1,-24|-24|-24|-24,-48|-48|-48|-48,-23.65893569371189|-23.659005664494515|-23.65896652508817|-23.658886084297794,-2888.0536735488145|-2888.0622149041155|-2888.0574371445523|-2888.047617712133,-0.006063906011306102|-0.006063923945174932|-0.006063913913545257|-0.0060638932961599844,-0.024255624045224407|-0.024255695780699728|-0.024255655654181026|-0.024255573184639938,-5.921783214166115e-06|-5.9218007277098945e-06|-5.92179093119654e-06|-5.921770797031235e-06,125000.74022290178|125000.74022509098|125000.74022386639|125000.74022134964,0.4224273297821819|-0.3279093880230085|-0.07751104735938785|0.1719198883938775,0.39665572923413095|-0.353681064790002|-0.10328268149195519|0.14614834188519754,2|-1|0|1,23|24|24|24,31|32|32|32,-1|0|0|0,1|1|1|1,-0.10334427076586905|-0.103681064790002|-0.10328268149195519|-0.10385165811480246,6056675|6056675|6056675|6056675,6205059|6205059|6205059|6205059,,,,,,
5,5,7544832,7700480,35,20,20,6.135089493363078,7548753,3921,4072,-24,28.685904131666145,0.9216110939174437,1,7556949,7696213,7705429,548.1205583838664,4073,-23,32,1,9,24,32,0,0,4072,4072,0,24.05003446208522,16.453300671960072,1,23,92,7557041,7696305,7705521,7557040,7705425,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.35014184095403633,0.08645210820494681,0.1842448524250916,0.1842448524250916,1,-24,-48,-23.649858159045962,-2886.945576055415,-0.0060615793928249844,-0.024246317571299938,-5.919511125805649e-06,125000.73993889072,-0.009725688145307942,-0.03548740056481409,0,24,32,0,1,-0.03548740056481409,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.35019840475883623|0.35015099113997894|0.35014184095403633|0.3501736306738547,-0.3963381294362307|-0.13672781068139478|0.08645210820494681|0.3399638804258287,-0.31704296586474356|-0.06620220495913581|0.1842448524250916|0.4336773886805355,-0.31704296586474356|-0.06620220495913581|0.1842448524250916|0.4336773886805355,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.649801595241165|-23.64984900886002|-23.649858159045962|-23.649826369326146,-2886.9386712940877|-2886.9444590893577|-2886.945576055415|-2886.941695474383,-0.006061564895233024|-0.00606157704758561|-0.0060615793928249844|-0.00606157124495749,-0.024246259580932097|-0.02424630819034244|-0.024246317571299938|-0.02424628497982996,-5.919496968001e-06|-5.9195088355328225e-06|-5.919511125805649e-06|-5.919503168903799e-06,125000.73993712099|125000.73993860444|125000.73993889072|125000.73993789613,0.48898695748779963|-0.2601726704818753|-0.009725688145307942|0.23970710884189583,0.4632253066830593|-0.28593437293411417|-0.03548740056481409|0.21394543105082653,2|-1|0|1,23|24|24|24,31|32|32|32,-1|0|0|0,1|1|1|1,-0.03677469331694072|-0.03593437293411417|-0.03548740056481409|-0.03605456894917347,7557040|7557040|7557040|7557040,7705425|7705425|7705425|7705425,,,,,,
6,6,9043968,9195520,34,3809,-287,8.126429158783026,9048064,4096,3809,-287,9.503573092537934,0.5957311256804445,1,9056768,9196032,9205248,431.3673847527659,3937,-159,32,3961,3969,24,32,0,0,112,112,0,13.193087830922424,12.661269304998472,1,159,636,9057404,9196668,9205884,9057403,9205788,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.37725333829721214,0.05819482768960978,0.15258530231110579,0.15258530231110579,1,-24,-48,-23.622746661702788,-2883.6360671023913,-0.0060546305776355315,-0.024218522310542126,-5.912725173472199e-06,125000.73909064669,-0.04116287617323122,-0.06689505612818225,0,24,32,0,1,-0.06689505612818225,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.37743966963818054|0.3773467704855357|0.37725333829721214|0.3775020022370438,-0.4299515602953079|-0.16636376521039448|0.05819482768960978|0.3062517078658925,-0.3490127092776447|-0.09873716792866476|0.15258530231110579|0.40141731736390807,-0.3490127092776447|-0.09873716792866476|0.15258530231110579|0.40141731736390807,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.622560330361818|-23.622653229514466|-23.622746661702788|-23.622497997762956,-2883.6133215773702|-2883.624661805965|-2883.6360671023913|-2883.6057126175483,-0.006054582819961508|-0.006054606630488637|-0.0060546305776355315|-0.006054566843798174,-0.02421833127984603|-0.024218426521954547|-0.024218522310542126|-0.024218267375192695,-5.91267853511866e-06|-5.912701787586559e-06|-5.912725173472199e-06|-5.912662933396654e-06,125000.7390848169|125000.73908772344|125000.73909064669|125000.73908286668,0.45724064048358704|-0.2924845801043011|-0.04116287617323122|0.20767117836236648,0.4315086634987506|-0.31821665828387785|-0.06689505612818225|0.18193926927622428,2|-1|0|1,23|24|24|24,31|32|32|32,-1|0|0|0,1|1|1|1,-0.06849133650124939|-0.06821665828387785|-0.06689505612818225|-0.06806073072377572,9057403|9057403|9057403|9057403,9205788|9205788|9205788|9205788,,,,,,
7,7,10555392,10702848,33,430,430,1.6647292527100934,10557677,2285,4073,-23,18.218902368026143,0.9259324644728679,1,10557677,10696941,10706157,562.7675223102358,4073,-23,32,1,9,24,32,0,0,4072,4072,0,25.628391581502946,16.751276107107362,1,23,92,10557769,10697033,10706249,10557768,10706153,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.3954646260607266,0.12181860243503702,0.2239062013436908,0.2239062013436908,1,-24,-48,-23.604535373939274,-2881.4130095140717,-0.006049962931602234,-0.024199851726408934,-5.908166925392806e-06,125000.73852086568,0.03030738753241935,0.004595045073109816,0,24,32,0,1,0.004595045073109816,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.3951153117294138|0.39497128140419224|0.3954646260607266|0.39533218148113886,-0.35409863391134877|-0.10061101824516151|0.12181860243503702|0.38131300701030774,-0.276390600563559|-0.026463462732778897|0.2239062013436908|0.47276913309188867,-0.276390600563559|-0.026463462732778897|0.2239062013436908|0.47276913309188867,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.604884688270587|-23.605028718595808|-23.604535373939274|-23.604667818518863,-2881.4556504236557|-2881.4732322504647|-2881.4130095140717|-2881.429177065291,-0.0060500524626488075|-0.006050089378356522|-0.006049962931602234|-0.00604999687782419,-0.02420020985059523|-0.02420035751342609|-0.024199851726408934|-0.02419998751129676,-5.908254358055476e-06|-5.908290408551291e-06|-5.908166925392806e-06|-5.908200076000186e-06,125000.73853179475|125000.73853630105|125000.73852086568|125000.73852500951,-0.4699922793683209|-0.22006632284018757|0.03030738753241935|0.2791692330015145,-0.49570500233457826|-0.2457792026982028|0.004595045073109816|0.25345674627076176,-2|-1|0|1,24|24|24|24,32|32|32|32,0|0|0|0,1|1|1|1,0.00429499766542174|0.004220797301797197|0.004595045073109816|0.003456746270761757,10557768|10557768|10557768|10557768,10706153|10706153|10706153|10706153,,,,,,
8,8,12046336,12201984,35,123,123,7.909091401527618,12049848,3512,4073,-23,19.006772868599356,0.913821805626372,1,12058041,12197305,12206521,546.9273482663049,4073,-23,32,1,9,24,32,0,0,4072,4072,0,24.34450924233699,15.514385130094404,1,23,92,12058133,12197397,12206613,12058132,12206517,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.4011112441976219,0.145597660671983,0.2504208245615662,0.2504208245615662,1,-24,-48,-23.598888755802378,-2880.7237250735325,-0.0060485156745443865,-0.024194062698177546,-5.906753588422252e-06,125000.73834419856,0.05686832297614586,0.031162131359332212,0,24,32,0,1,0.031162131359332212,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.4008191573081067|0.40070395330520775|0.4011112441976219|0.40094585262106996,-0.3268503320456375|-0.07765963333429686|0.145597660671983|0.40928926050946707,-0.24993826872605496|-0.0005270979894162705|0.2504208245615662|0.49912226703594326,-0.24993826872605496|-0.0005270979894162705|0.2504208245615662|0.49912226703594326,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.599180842691894|-23.599296046694793|-23.598888755802378|-23.59905414737893,-2880.759380211413|-2880.773443200048|-2880.7237250735325|-2880.743914474967,-0.006048590537905448|-0.006048620065279575|-0.0060485156745443865|-0.006048558065249879,-0.024194362151621792|-0.0241944802611183|-0.024194062698177546|-0.024194232260999517,-5.906826697173289e-06|-5.906855532499585e-06|-5.906753588422252e-06|-5.906794985595585e-06,125000.73835333713|125000.73835694155|125000.73834419856|125000.73834937319,-0.4434931659390293|-0.1940829400783627|0.05686832297614586|0.3055684089479471,-0.46919967572512744|-0.2197895753558009|0.031162131359332212|0.27986203717063507,-2|-1|0|1,24|24|24|24,32|32|32|32,0|0|0|0,1|1|1|1,0.03080032427487256|0.030210424644199096|0.031162131359332212|0.02986203717063507,12058132|12058132|12058132|12058132,12206517|12206517|12206517|12206517,,,,,,
9,9,13545472,13697024,34,3912,-184,1.5580103509358678,13549566,4094,3911,-185,13.21687844993704,0.7303173142624863,1,13558270,13697534,13706750,554.7620326660524,4039,-57,32,4063,4071,24,32,0,0,10,10,0,20.11914809266578,26.615749819545954,1,57,228,13558498,13697762,13706978,13558497,13706882,0.0,0,32,32,24,32,24,32,0,0,-47,-47,-47.0,28,0.4073622663986806,0.03557739164596703,0.12694326364240782,0.12694326364240782,1,-24,-48,-23.592637733601318,-2879.9606608400045,-0.00604691350563905,-0.0241876540225562,-5.905188970350635e-06,125000.73814862128,-0.06655796853804175,-0.09225735093700771,0,24,32,0,1,-0.09225735093700771,0.0,0,28,28,2,0|1|2|3,1|1|1|1,1|1|1|1,0.4076904128861879|0.4075414367791313|0.4073622663986806|0.407757841724452,-0.45542747385820803|-0.18855725932212467|0.03557739164596703|0.2800891070182755,-0.37344671646053484|-0.12327503458629924|0.12694326364240782|0.37591201048372097,-0.37344671646053484|-0.12327503458629924|0.12694326364240782|0.37591201048372097,-1|0|1|2,-24|-24|-24|-24,-48|-48|-48|-48,-23.592309587113814|-23.59245856322087|-23.592637733601318|-23.59224215827555,-2879.920603895729|-2879.9387894556726|-2879.9606608400045|-2879.9123728363707,-0.006046829400018918|-0.006046867583355769|-0.00604691350563905|-0.006046812117663407,-0.024187317600075673|-0.024187470333423076|-0.0241876540225562|-0.02418724847065363,-5.905106835955975e-06|-5.905144124370868e-06|-5.905188970350635e-06|-5.905089958655671e-06,125000.7381383545|125000.73814301555|125000.73814862128|125000.73813624482,0.4330547427388598|-0.31677479725368385|-0.06655796853804175|0.18241402271849194,0.40735571778877944|-0.34247398448294586|-0.09225735093700771|0.15671507121842243,2|-1|0|1,23|24|24|24,31|32|32|32,-1|0|0|0,1|1|1|1,-0.09264428221122056|-0.09247398448294586|-0.09225735093700771|-0.09328492878157757,13558497|13558497|13558497|13558497,13706882|13706882|13706882|13706882,,,,,,
