event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,1105920,1282048,270,305,36,231,231,231,232,0.04317152779229507,1.2968538591839007,0.0031786241880026795,10,125000.0,500000.0,4,4096,8,4096,25,2
1,2605056,2793472,636,674,39,4020,-76,4020,4020,0.1107016770649491,7.2658810136699215,0.009361068393255947,10,125000.0,500000.0,4,4096,8,4096,25,2
2,4104192,4284416,1002,1038,37,3713,-383,3712,3713,0.04779212652136352,1.040822840844843,0.0035018501423366207,10,125000.0,500000.0,4,4096,8,4096,25,2
3,5611520,5791744,1370,1406,37,333,333,333,333,0.05935511105021016,3.793723356937477,0.004212142174528119,10,125000.0,500000.0,4,4096,8,4096,25,2
4,7106560,7290880,1735,1772,38,25,25,25,25,0.4582682607047647,5.86844722581505,0.03681185630566645,10,125000.0,500000.0,4,4096,8,4096,25,2
5,8605696,8790016,2101,2138,38,3814,-282,3813,3814,0.2546839533195749,1.0466335903855999,0.018922307449427675,10,125000.0,500000.0,4,4096,8,4096,25,2
6,10117120,10293248,2470,2505,36,434,434,434,434,0.20777314237273764,1.3759380157414087,0.011167930585126048,10,125000.0,500000.0,4,4096,8,4096,25,2
7,11608064,11792384,2834,2871,38,127,127,126,127,0.07947774244665955,2.6007050338150877,0.006318868444441983,10,125000.0,500000.0,4,4096,8,4096,25,2
8,14606336,14790656,3566,3603,38,3608,-488,3607,3608,0.18173125085578415,1.2818308609484033,0.013052516254589303,10,125000.0,500000.0,4,4096,8,4096,25,2
9,16109568,16293888,3933,3970,38,228,228,228,228,0.3936410286678707,7.502295888356678,0.029044784929799474,10,125000.0,500000.0,4,4096,8,4096,25,2
10,17608704,17793024,4299,4336,38,4017,-79,4017,4017,0.45893925720880374,6.054332338389468,0.03777280589213681,10,125000.0,500000.0,4,4096,8,4096,25,2
11,19107840,19292160,4665,4702,38,3709,-387,3709,3709,0.29166941666189555,3.5827893247448253,0.02140486609759897,10,125000.0,500000.0,4,4096,8,4096,25,2
12,20611072,20795392,5032,5069,38,330,330,329,330,0.23000193841741504,0.8959917312283459,0.018086529799198624,10,125000.0,500000.0,4,4096,8,4096,25,2
13,22110208,22294528,5398,5435,38,22,22,22,22,0.5730482805462348,12.401488861931877,0.041663929010303816,10,125000.0,500000.0,4,4096,8,4096,25,2
14,23609344,23793664,5764,5801,38,3811,-285,3810,3811,0.2593280093860965,1.7213022945380831,0.019049510556436926,10,125000.0,500000.0,4,4096,8,4096,25,2
15,25112576,25292800,6131,6167,37,431,431,431,431,0.10536172412753485,1.5835725314508808,0.008513351984759441,10,125000.0,500000.0,4,4096,8,4096,25,2
16,26611712,26800128,6497,6535,39,123,123,123,124,0.1946933716653568,1.4838329586814656,0.016118192393410505,10,125000.0,500000.0,4,4096,8,4096,25,2
17,28110848,28295168,6863,6900,38,3912,-184,3912,3912,0.5165684144566397,10.50353385757216,0.035634229599651755,10,125000.0,500000.0,4,4096,8,4096,25,2
18,29614080,29782016,7230,7263,34,3605,-491,3604,3605,0.1810156358108205,0.8806581206560432,0.01229504680211612,10,125000.0,500000.0,4,4096,8,4096,25,2
