packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,ordinary_fft_bin,savaux_bin,gls_crossfit_bin,gls_offpacket_bin,dechirp_pnr_db,dechirp_gt_bin_power,dechirp_total_fft_energy,dechirp_residual_fft_energy,dechirp_gt_symbol_snr_db,savaux_margin_db,branch_color_mismatch,ordinary_fft_correct,savaux_correct,gls_crossfit_correct,gls_offpacket_correct
7,0,8,0,30416308,803,803,803,803,803,18.863012889298535,7.471229131720972e-06,0.00015467969094396436,0.00014720846181224338,-12.945407189690473,14.425948426281714,0.17619108304363537,1,1,1,1
7,0,9,1,30420404,711,711,711,711,711,17.42226936552185,5.124385686235621e-06,0.00014634292272674922,0.0001412185370405136,-14.402498986681277,12.315897726003842,0.16326674992664636,1,1,1,1
7,0,10,2,30424500,922,922,922,922,922,17.710033727558237,5.914987008968627e-06,0.0001486844129222913,0.00014276942591332268,-13.82681418062884,12.771044542609381,0.13400745724872612,1,1,1,1
7,0,11,3,30428596,718,718,718,718,718,18.027753652548654,6.263625402931107e-06,0.00015601342413929924,0.00014974979873636814,-13.785404705911988,12.245346618912805,0.18261001036778005,1,1,1,1
7,0,12,4,30432692,756,756,756,756,756,17.708715584084047,5.6149627763367135e-06,0.00015253473064857207,0.00014691976787223535,-14.177333519962787,13.61109075101961,0.1323129612878981,1,1,1,1
7,0,13,5,30436788,109,109,109,109,109,18.997223615005105,7.561307755726452e-06,0.0001460327654965033,0.00013847145774077685,-12.627633493977475,11.430087298973305,0.1750130832588836,1,1,1,1
7,0,14,6,30440884,932,932,932,932,932,18.47724718906772,6.302510418117408e-06,0.00014345192809588487,0.00013714941767776747,-13.376803957325226,10.707333171727527,0.1552662981878051,1,1,1,1
7,0,15,7,30444980,468,468,468,468,468,18.0362142556882,6.346194305266765e-06,0.00015354433741189197,0.0001471981431066252,-13.653889664195875,14.333968981868136,0.1413171104812589,1,1,1,1
7,0,16,8,30449076,89,89,89,89,89,15.11854944843974,6.3425113754571175e-06,0.00028743192842213067,0.00028108941704667355,-16.465832400129035,11.25847433947463,0.16720439495453784,1,1,1,1
7,0,17,9,30453172,713,713,713,713,713,13.172524966859244,8.050286207988847e-06,0.0005769920601656299,0.000568941773957641,-18.492565016517602,7.597734914103842,0.16279761032687803,1,1,1,1
7,0,18,10,30457268,865,865,865,865,865,11.495455913289138,3.4591997117948262e-06,0.00036296027803445316,0.00035950107832265834,-20.167245612964273,8.621352251422874,0.14906707657522772,1,1,1,1
7,0,19,11,30461364,92,92,92,92,92,18.25324876121318,7.277223160012637e-06,0.0001553698414664935,0.00014809261830648086,-13.085677185999792,11.907507721198861,0.14247295240172297,1,1,1,1
7,0,20,12,30465460,645,645,645,645,645,16.542719279203702,4.577403930540675e-06,0.00014997344277996064,0.00014539603884941997,-15.01933336621754,10.341853280610042,0.16068115270045136,1,1,1,1
