payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,8,803,-221,802,8,8,0,1,1,803,802,,,
1,8,711,-313,710,7,7,1,2,2,711 903,710 902,2,9,9
2,8,922,-102,921,7,7,1,2,2,460 922,459 921,4,11,11
3,8,718,-306,717,8,8,0,1,1,718,717,,,
4,8,756,-268,755,8,8,0,1,1,756,755,,,
5,8,109,109,108,7,7,1,2,2,109 431,108 430,8,17,17
6,8,932,-92,931,8,8,0,1,1,932,931,,,
7,8,468,468,467,8,8,0,1,1,468,467,,,
8,8,89,89,88,8,8,0,1,1,89,88,,,
9,8,713,-311,712,8,8,0,1,1,713,712,,,
10,8,865,-159,864,8,8,0,1,1,865,864,,,
11,8,92,92,91,8,8,0,1,1,92,91,,,
12,8,645,-379,644,7,7,1,2,2,645 682,644 681,1,8,8
13,8,426,426,425,8,8,0,1,1,426,425,,,
14,8,765,-259,764,6,6,2,3,3,713 765 1005,712 764 1004,2 9,9 18,9 18
15,8,1023,-1,1022,7,7,1,2,2,701 1023,700 1022,4,11,11
16,8,597,-427,596,7,7,1,2,2,597 940,596 939,1,8,8
17,8,562,-462,561,6,6,2,3,3,7 562 742,6 561 741,1 6,8 14,8 14
18,8,827,-197,826,8,8,0,1,1,827,826,,,
19,8,890,-134,889,7,7,1,2,2,589 890,588 889,1,8,8
20,8,174,174,173,7,7,1,2,2,174 518,173 517,1,8,8
21,8,267,267,266,7,7,1,2,2,267 378,266 377,1,8,8
22,8,917,-107,916,7,7,1,2,2,909 917,908 916,0,7,7
23,8,656,-368,655,7,7,1,2,2,95 656,94 655,1,8,8
24,8,889,-135,888,7,7,1,2,2,360 889,359 888,1,8,8
25,8,66,66,65,8,8,0,1,1,66,65,,,
26,8,586,-438,585,7,7,1,2,2,586 649,585 648,2,9,9
27,8,425,425,424,7,7,1,2,2,425 582,424 581,4,11,11
28,8,860,-164,859,8,8,0,1,1,860,859,,,
29,8,553,-471,552,8,8,0,1,1,553,552,,,
30,8,629,-395,628,8,8,0,1,1,629,628,,,
31,8,759,-265,758,7,7,1,2,2,759 786,758 785,1,8,8
32,8,494,494,493,8,8,0,1,1,494,493,,,
33,8,303,303,302,8,8,0,1,1,303,302,,,
34,8,1022,-2,1021,7,7,1,2,2,314 1022,313 1021,7,16,16
35,8,720,-304,719,8,8,0,1,1,720,719,,,
36,8,314,314,313,8,8,0,1,1,314,313,,,
37,8,602,-422,601,8,8,0,1,1,602,601,,,
38,8,7,7,6,7,7,1,2,2,7 283,6 282,2,9,9
39,8,414,414,413,8,8,0,1,1,414,413,,,
40,8,807,-217,806,8,8,0,1,1,807,806,,,
41,8,195,195,194,7,7,1,2,2,74 195,73 194,4,11,11
42,8,826,-198,825,7,7,1,2,2,116 826,115 825,8,17,17
43,8,928,-96,927,6,6,2,3,3,225 901 928,224 900 927,1 8,8 17,8 17
44,8,761,-263,760,7,7,1,2,2,126 761,125 760,1,8,8
45,8,590,-434,589,8,8,0,1,1,590,589,,,
46,8,383,383,382,8,8,0,1,1,383,382,,,
47,8,267,267,266,8,8,0,1,1,267,266,,,
48,8,314,314,313,7,7,1,2,2,75 314,74 313,4,11,11
