packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_center_sample_phase,grlora_branch_sample_phases,grlora_branch_valid,grlora_branch_down_val_valid,grlora_branch_cfo_frac_est,grlora_branch_sto_frac_initial,grlora_branch_sto_frac_refined,grlora_branch_sto_frac_used,grlora_branch_sto_sample_correction,grlora_branch_cfo_int_est,grlora_branch_down_val_signed_bin,grlora_branch_cfo_total_est,grlora_branch_cfo_hz_est,grlora_branch_sfo_hat,grlora_branch_sfo_samples_per_symbol,grlora_branch_clk_off,grlora_branch_fs_p,grlora_branch_netid_sto_frac_est,grlora_branch_payload_sto_frac_est,grlora_branch_payload_sto_sample_correction,grlora_branch_netid1_est,grlora_branch_netid2_est,grlora_branch_netid_offset,grlora_branch_netid_valid,grlora_branch_sfo_cum_initial,grlora_branch_fine_preamble_start_sample,grlora_branch_fine_payload_start_sample,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,1728512,1871872,32,74,74,4.417102683864357,1732219,3707,4073,-23,3.228978574988897,0.0035901303876997885,0,1728136,1867400,1876616,249.30292774452107,4076,-20,27,4,12,24,32,0,0,4064,4064,0,2.973154431316964,3.9429998344326718,0,20,80,1728216,1867480,1876696,1728216,1876593,25.0625,513,26,32,24,32,24,32,0,0,-52,-52,-52.0,28,-0.38107932846131554,-0.010887785637684333,0.0364286226428201,0.0364286226428201,0,-26,-52,-26.381079328461315,-3220.346597712563,-0.006761605323062671,-0.027046421292250683,-6.603130198303389e-06,125000.8253912748,-0.17994274769518537,-0.20867957031820172,-1,501,240,477,0,0.041320429681798276,13.214285714285714,501,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.37984704653070334|-0.06540007868206099|-0.38107932846131554|0.23994203104479392,-0.3504912273162972|0.3944247732080053|-0.010887785637684333|-0.45239722903398205,-0.015057503766684022|-0.458222937184789|0.0364286226428201|0.07891611949124586,-0.015057503766684022|0.3944247732080053|0.0364286226428201|0.07891611949124586,0|2|0|0,148|-71|-26|141,296|-142|-52|282,148.3798470465307|-71.06540007868206|-26.381079328461315|141.2399420310448,18112.774297672204|-8674.975595542244|-3220.346597712563|17241.20386121152,0.038030512365832145|-0.018214424871509653|-0.006761605323062671|0.036200518256880455,0.15212204946332858|-0.07285769948603861|-0.027046421292250683|0.14480207302752182,3.7139172232257954e-05|-1.7787524288583645e-05|-6.603130198303389e-06|3.535206861023482e-05,124995.35760347097|125002.22344053608|125000.8253912748|124995.58099142372,0.2019188919399446|-0.1884368226803036|-0.17994274769518537|0.23733270371142035,0.36354856949473113|-0.2658481283842197|-0.20867957031820172|0.39118490630316227,1|-1|-1|2,169|256|501|730,519|518|240|32,145|232|477|706,0|0|0|0,0.11354856949473113|-0.015848128384219673|0.041320429681798276|-0.10881509369683773,1728214|1728213|1728216|1728217,1877285|1876412|1876593|1877259,,,,,,
1,1,6225920,6369280,32,175,175,1.5228753277946208,6229290,3370,4090,-6,3.9126098150765425,0.0026904862226263065,1,6229278,6368542,6377758,258.16320811654026,4087,-9,30,15,23,24,32,0,0,4053,4053,0,3.223979316001432,3.3151232086617526,0,9,36,6229314,6368578,6377794,6229314,6377842,36.3125,1067,30,32,24,32,24,32,0,0,-52,-52,-52.0,28,0.46343980205628854,-0.04958739474205128,-0.0834049831254939,-0.0834049831254939,0,12,24,12.463439802056289,1521.4159914619493,0.003194443254576658,0.012777773018306631,3.1195734907975174e-06,124999.61005331366,0.018817201020959184,0.032393584852909996,0,250,503,226,0,0.032393584852909996,-0.5357142857142857,510,6,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.4691280096669046|-0.13611379034332236|0.46343980205628854|-0.34774974081494003,0.49081512072075384|0.3360084201321416|-0.04958739474205128|0.03798256921020071,0.44712991811150005|0.10666935157371427|-0.0834049831254939|0.0842620644620804,0.44712991811150005|0.10666935157371427|-0.0834049831254939|0.0842620644620804,2|0|0|0,12|173|12|-26,25|346|24|-52,12.469128009666905|172.86388620965667|12.463439802056289|-26.34774974081494,1522.110352742542|21101.54860957723|1521.4159914619493|-3216.2780445330736,0.0031959011712289587|0.04430589660899545|0.003194443254576658|-0.006753062779581438,0.012783604684915835|0.1772235864359818|0.012777773018306631|-0.027012251118325753,3.12099723752828e-06|4.326747715722212e-05|3.1195734907975174e-06|-6.594787870684998e-06,124999.60987534531|124994.59156535535|124999.61005331366|125000.82434848383,-0.45060124440917315|-0.4755419569384314|0.018817201020959184|-0.13183594448452562,-0.4370186644314502|-0.28724189635020103|0.032393584852909996|-0.16053646129774674,-2|-1|0|-1,250|584|250|25,503|786|503|33,226|560|226|1,0|0|0|1,0.06298133556854979|-0.03724189635020103|0.032393584852909996|0.08946353870225326,6229310|6229313|6229314|6229315,6377842|6378486|6377842|6377688,,,,,,
2,2,7725056,7872512,33,3964,-132,3.7486408731085863,7725459,403,4065,-31,5.217084483943625,0.0044195344952190135,0,7725014,7864278,7873494,-114.1908632752517,3954,-142,15,3953,3977,24,32,25,9,73,90,17,1.0085951515243772,0.16979505264883551,0,142,568,7725582,7864846,7874062,7725584,7873065,129.4375,1623,17,32,-1,23,24,32,25,9,-775,-52,-413.5,28,0.21142663513769117,-0.0656652292774607,-0.4191953718389191,-0.4191953718389191,-2,-249,-497,-248.78857336486232,-30369.69889707792,-0.06376578156778305,-0.2550631262711322,-6.227127106228814e-05,125007.78390888279,-0.4597003820079766,0.26929504632894563,1,108,915,84,0,0.01929504632894563,69.03571428571429,493,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.13944931437861813|0.12503067147857194|0.21142663513769117|0.06959357721659964,-0.1374002878522562|-0.174783074596539|-0.0656652292774607|0.39158894283376566,-0.4917419473346172|0.4838142116101419|-0.4191953718389191|0.49669951973487514,-0.4917419473346172|0.4838142116101419|-0.4191953718389191|0.49669951973487514,-2|2|-2|2,116|-215|-249|188,233|-430|-497|376,115.86055068562138|-214.87496932852142|-248.78857336486232|188.0695935772166,14143.133628615891|-26229.854654360526|-30369.69889707792|22957.714059718823,0.029695650678086268|-0.05507355170404999|-0.06376578156778305|0.04820319704152568,0.11878260271234507|-0.22029420681619996|-0.2550631262711322|0.19281278816610273,2.899965886531862e-05|-5.378276533598632e-05|-6.227127106228814e-05|4.7073434610864924e-05,124996.37504264184|125006.722845667|125007.78390888279|124994.11582067364,0.4585188743641434|-0.27853944291945787|-0.4597003820079766|0.03920182506369674,-0.41527461025398993|0.48739796233832977|0.26929504632894563|0.2440654124901811,-2|2|1|1,172|1002|108|691,146|520|915|407,148|978|84|667,0|0|0|0,0.08472538974601007|-0.012602037661670229|0.01929504632894563|-0.0059345875098189005,7725582|7725579|7725584|7725581,7874526|7873199|7873065|7874814,,,,,,
3,3,9216000,9363456,33,3656,-440,0.9374433674064948,9217825,1825,17,17,7.747936760474756,0.005169934391653878,0,9209186,9348450,9357666,-123.61773268573444,4001,-95,27,4001,4001,24,32,24,32,3223,3211,12,4.493898420845889,0.9185448204598496,0,95,380,9209566,9348830,9358046,9209568,9358056,20.9375,668,27,32,0,0,24,32,24,32,-968,-1429,-1198.5,28,0.02635216186428562,-0.39771489466452714,-0.4018665738595055,-0.4018665738595055,-2,2,5,2.0263521618642857,247.35744163382392,0.0005193644048247605,0.002077457619299042,5.071918015866802e-07,124999.9366010248,-0.3852469129051132,-0.38303961418460797,-2,1,1,-23,0,0.11696038581539203,-1.0714285714285714,489,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.2509376410506377|-0.09372545358471324|0.02635216186428562|-0.09833705568092761,0.3153208710000248|0.42361531898819793|-0.39771489466452714|-0.051840083713059926,-0.09095889425788861|-0.047823636714252604|-0.4018665738595055|-0.48383687779315987,-0.09095889425788861|-0.047823636714252604|-0.4018665738595055|-0.48383687779315987,0|0|-2|-2,-157|-157|2|-158,-314|-314|5|-315,-157.25093764105063|-157.0937254535847|2.0263521618642857|-158.09833705568093,-19195.671098761064|-19176.48015790829|247.35744163382392|-19299.1134101173,-0.040304218177427374|-0.04026392389111767|0.0005193644048247605|-0.040521410973877625,-0.1612168727097095|-0.1610556955644707|0.002077457619299042|-0.1620856438955105,-3.935958806389392e-05|-3.93202381749196e-05|5.071918015866802e-07|-3.957169040417737e-05,125004.91994850799|125004.91502977187|124999.9366010248|125004.94646130053,-0.3806938759355645|-0.33626920123001813|-0.3852469129051132|0.21947797104275613,0.4480131968103689|0.4926091222327318|-0.38303961418460797|0.04726197440377633,2|2|-2|0,260|908|1|908,1|0|1|0,236|884|-23|884,0|0|0|0,-0.051986803189631114|-0.007390877767268211|0.11696038581539203|0.04726197440377633,9209564|9209565|9209568|9209569,9357414|9357415|9358056|9357415,,,,,,
4,4,13725696,13860864,30,3758,-338,3.0491891130482784,13726956,1260,4073,-23,4.458410721262836,0.00382483862654076,0,13722907,13862171,13871387,-130.28720545539812,4085,-11,24,4085,4084,24,32,24,33,1104,1107,3,2.111801273614206,0.3978564117016593,0,11,44,13722951,13862215,13871431,13722951,13870741,95.75,1384,22,32,197,-1,24,32,173,33,-790,540,-125.0,28,-0.1440495100366136,0.384590538576817,-0.018854161403334624,-0.018854161403334624,0,-172,-344,-172.1440495100366,-21013.67791870564,-0.044121398787686235,-0.17648559515074494,-4.308730350359984e-05,125005.38591293794,-0.43073892260929414,0.38174513254303943,2,451,1,427,0,-0.11825486745696057,-40.75,507,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.40841969464094036|-0.2876587721444514|-0.1440495100366136|-0.14246567416990885,0.3929449406614367|0.17481443319669374|0.384590538576817|-0.4296513923250851,0.47893097255663175|-0.05497462375404438|-0.018854161403334624|0.4994739945525308,0.47893097255663175|-0.05497462375404438|-0.018854161403334624|-0.4296513923250851,2|0|0|-2,-244|-172|-172|241,-487|-344|-344|483,-243.59158030535906|-172.28765877214445|-172.1440495100366|240.8575343258301,-29735.300330244027|-21031.20834620904|-21013.67791870564|29401.554483133557,-0.06243376571287653|-0.044158206574775594|-0.044121398787686235|0.06173301576938438,-0.24973506285150612|-0.17663282629910237|-0.17648559515074494|0.2469320630775375,-6.097047432898099e-05|-4.312324860817929e-05|-4.308730350359984e-05|6.028614821228943e-05,125007.62130929113|125005.39040607603|125005.38591293794|124992.46423147347,0.48105046974458276|-0.4680372341468635|-0.43073892260929414|-0.454194887704785,0.21570696546485735|0.3442903879103403|0.38174513254303943|-0.19182957068490136,1|1|2|-1,991|272|451|25,340|0|1|471,967|248|427|1,0|0|0|0,-0.03429303453514265|0.09429038791034028|-0.11825486745696057|0.05817042931509864,13722947|13722950|13722951|13722954,13870452|13870741|13870741|13872397,,,,,,
5,5,16723968,16871424,33,71,71,4.984522744332595,16727695,3727,4075,-21,4.710462472592589,0.0028843202108283553,1,16731775,16871039,16880255,257.67402937882946,4071,-25,30,4095,7,24,32,0,0,4069,4069,0,3.4824482609666356,2.6706051120662915,0,25,100,16731875,16871139,16880355,16731875,16879368,88.1875,1131,27,32,24,32,24,32,0,0,-52,-52,-52.0,28,0.22582787032959456,0.15709751522391713,0.04130272787584999,0.04130272787584999,0,-247,-493,-246.7741721296704,-30123.800308797658,-0.06324948024648104,-0.25299792098592416,-6.176707055320414e-05,125007.72088381914,0.017319359988456684,-0.25149093105908804,-1,235,115,211,0,-0.001490931059088041,13.678571428571429,512,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.0017292194930849448|-0.4004759644133679|0.22582787032959456|0.48739565434336346,-0.09893135686750168|0.49224515171637984|0.15709751522391713|0.13824574525704716,0.07466976035129846|0.11714039643340114|0.04130272787584999|0.19099890511928766,0.07466976035129846|0.11714039643340114|0.04130272787584999|0.19099890511928766,0|0|0|1,172|58|-247|-27,345|116|-493|-53,171.9982707805069|57.59952403558663|-246.7741721296704|-26.512604345656637,20995.882663636097|7031.191898875321|-30123.800308797658|-3236.4018976631637,0.044084034955020224|0.014763052090318493|-0.06324948024648104|-0.006795315856483657,0.1763361398200809|0.05905220836127397|-0.25299792098592416|-0.02718126342593463,4.305081538576194e-05|1.4417043056951653e-05|-6.176707055320414e-05|-6.636050641097321e-06,124994.61864807678|124998.19786961788|125007.72088381914|125000.82950633012,0.4853588789119456|-0.41044193667640716|0.017319359988456684|-0.026451202288189368,-0.3272839725292185|-0.3476989652925535|-0.25149093105908804|-0.055331294678244936,-1|-1|-1|0,191|25|235|24,48|451|115|608,167|1|211|0,0|0|0|0,-0.07728397252921848|-0.09769896529255351|-0.001490931059088041|-0.055331294678244936,16731873|16731874|16731875|16731875,16881042|16880587|16879368|16880248,,,,,,
6,6,22724608,22867968,32,3961,-135,4.639943684970886,22725071,463,4077,-19,4.233318624619849,0.0034370269430186477,0,22721012,22860276,22869492,-106.08383444115245,4086,-10,25,4086,4086,24,32,24,32,4066,4067,1,2.6395965361270406,0.10682561517889999,0,10,40,22721052,22860316,22869532,22721052,22869326,20.8125,1809,24,32,0,0,24,32,24,32,109,1502,805.5,28,-0.3398264698293252,-0.060732854540122005,0.08727730659867672,0.08727730659867672,0,-52,-104,-52.339826469829326,-6389.138973367838,-0.013414964750315082,-0.05365985900126033,-1.3100551513979573e-05,125001.63756893926,-0.3420015654114059,-0.399015165600245,-2,164,581,140,0,0.10098483439975497,-18.607142857142858,505,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.04235869961140438|-0.1543668354794739|-0.3398264698293252|-0.2403875680337922,0.0041243253147757964|0.4082333235235368|-0.060732854540122005|-0.003073539170639128,0.15620641698194512|0.0759194352271404|0.08727730659867672|-0.10059981981103805,0.15620641698194512|0.0759194352271404|0.08727730659867672|-0.10059981981103805,1|0|0|0,-65|-192|-52|-193,-130|-384|-104|-385,-64.9576413003886|-192.15436683547946|-52.339826469829326|-193.24038756803378,-7929.399572801343|-23456.343607846615|-6389.138973367838|-23588.914498051,-0.01664897511287385|-0.04925014528282742|-0.013414964750315082|-0.04952849794136605,-0.0665959004514954|-0.1970005811313097|-0.05365985900126033|-0.1981139917654642,-1.6258764758665868e-05|-4.8095845002761156e-05|-1.3100551513979573e-05|-4.8367673770865285e-05,125002.03234559484|125006.01198062536|125001.63756893926|125006.04595922134,-0.376560786630018|0.49991478617666285|-0.3420015654114059|0.3144882460652483,-0.44731893085973184|0.2906016687246462|-0.399015165600245|0.10399212981444261,-2|1|-2|0,165|291|164|463,327|827|581|851,141|267|140|439,0|0|0|0,0.052681069140268155|0.04060166872464621|0.10098483439975497|0.10399212981444261,22721049|22721051|22721052|22721053,22869272|22868762|22869326|22868761,,,,,,
7,7,30224384,30375936,34,376,376,1.2134785971242896,30226873,2489,4070,-26,13.514537924093734,0.024450952196571125,1,30235069,30374333,30383549,355.4299682675493,4071,-25,32,4095,7,24,32,0,0,4069,4069,0,9.98246400631394,12.045522658196997,1,25,100,30235169,30374433,30383649,30235171,30383540,0.0,0,32,32,24,32,24,32,0,0,-52,-52,-52.0,28,-0.1835859993545447,-0.4682800518974509,-0.3781534057702449,-0.3781534057702449,-2,-27,-53,-27.183585999354545,-3318.308837811834,-0.006967291880088821,-0.027869167520355283,-6.803995976649239e-06,125000.85049949709,0.3988932540669128,0.3692822635765354,1,24,32,0,1,0.11928226357653537,-10.25,314,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.18145004865081046|-0.18269180954501416|-0.1835859993545447|-0.1850332704118203,0.012122002467511613|0.21505277148270563|-0.4682800518974509|-0.1876437969813869,0.10737765001208778|0.35833818880762347|-0.3781534057702449|-0.1148481477036356,0.10737765001208778|0.35833818880762347|-0.3781534057702449|-0.1148481477036356,0|1|-2|0,-26|-26|-27|-27,-52|-52|-53|-53,-26.18145004865081|-26.182691809545013|-27.183585999354545|-27.18503327041182,-3195.9777891419444|-3196.1293712823503|-3318.308837811834|-3318.4855066420682,-0.006710439319420445|-0.006710757589077561|-0.006967291880088821|-0.006967662823049985,-0.02684175727768178|-0.026843030356310246|-0.027869167520355283|-0.02787065129219994,-6.553163397871529e-06|-6.553474208083556e-06|-6.803995976649239e-06|-6.804358225634751e-06,125000.81914542474|125000.81918427603|125000.85049949709|125000.8505447782,-0.10735640820936648|0.14359394595714148|0.3988932540669128|-0.33781335804123513,-0.13587577531690337|0.11507322620356186|0.3692822635765354|-0.3674259250391976,-1|0|1|-1,24|24|24|25,32|32|32|33,0|0|0|1,1|1|1|1,0.11412422468309663|0.11507322620356186|0.11928226357653537|-0.11742592503919758,30235167|30235167|30235171|30235170,30383544|30383544|30383540|30383539,,,,,,
8,8,31727616,31875072,33,68,68,5.819095057523116,31731399,3783,4086,-10,6.619782494211842,0.0063001702176131835,1,31735511,31874775,31883991,328.65828369522944,4090,-6,32,18,26,24,32,0,0,4050,4050,0,8.709437241614037,8.150516867518633,1,6,24,31735535,31874799,31884015,31735535,31883904,0.0,0,32,32,24,32,24,32,0,0,-52,-52,-52.0,28,-0.26069554764367464,-0.18098545572623492,-0.10598382011381191,-0.10598382011381191,0,-27,-53,-27.260695547643675,-3327.7216244682218,-0.006987055451005657,-0.02794822180402263,-6.823296338872712e-06,125000.85291204235,-0.32956959454599294,-0.35926458021276697,-1,25,33,1,1,-0.10926458021276697,12.178571428571429,329,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.18538142361173|-0.18608136474010856|-0.26069554764367464|-0.1861818998166946,0.2069524613359942|0.4838610185291627|-0.18098545572623492|-0.010208836010652145,0.34324798636600984|-0.4263896127284408|-0.10598382011381191|0.07477114803621698,0.34324798636600984|0.4838610185291627|-0.10598382011381191|0.07477114803621698,1|2|0|0,-26|-26|-27|-27,-52|-52|-53|-53,-26.18538142361173|-26.186081364740108|-27.260695547643675|-27.186181899816695,-3196.457693311979|-3196.5431353442514|-3327.7216244682218|-3318.6257201924677,-0.006711446950894948|-0.006711626349379769|-0.006987055451005657|-0.006967957222630894,-0.026845787803579792|-0.026846505397519076|-0.02794822180402263|-0.027871828890523576,-6.554147412983348e-06|-6.554322606816181e-06|-6.823296338872712e-06|-6.8046457252254825e-06,125000.81926842663|125000.81929032586|125000.85291204235|125000.85058071566,0.12848168393737147|0.2690889753490101|-0.32956959454599294|-0.1482034830879716,0.09995803439606799|0.240564563364146|-0.35926458021276697|-0.1778173012841529,0|1|-1|-1,24|24|25|25,32|32|33|33,0|0|1|1,1|1|1|1,0.09995803439606799|-0.009435436635854|-0.10926458021276697|0.0721826987158471,31735532|31735532|31735535|31735536,31883909|31883909|31883904|31883905,,,,,,
9,9,33222656,33374208,34,3857,-239,2.710181560047269,33226745,4089,3855,-241,9.580871875648786,0.00808052809096665,1,33235445,33374709,33383925,322.4607671120281,3982,-114,32,4006,4014,24,32,0,0,62,62,0,8.365807458700605,7.329978708728359,1,114,456,33235901,33375165,33384381,33235902,33384271,0.0,0,32,32,24,32,24,32,0,0,-52,-52,-52.0,28,-0.1931512333056614,-0.43083439923847766,-0.3432144940988785,-0.3432144940988785,-1,-27,-53,-27.193151233305663,-3319.4764689093827,-0.006969743498386729,-0.027878973993546916,-6.80639013514329e-06,125000.85079876689,0.4337537139527462,0.40413230408460254,2,24,32,0,1,-0.09586769591539746,7.142857142857143,386,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.11942004999598857|-0.19749107682659853|-0.1931512333056614|0.4124268576737131,0.011937655815458515|0.36030299253270387|-0.43083439923847766|0.22656388959881063,0.10916299257987361|0.4526140177407069|-0.3432144940988785|0.3351296974846506,0.10916299257987361|0.4526140177407069|-0.3432144940988785|0.3351296974846506,0|2|-1|1,-26|-26|-27|-27,-52|-52|-53|-53,-26.119420049995988|-26.197491076826598|-27.193151233305663|-26.58757314232629,-3188.405767821776|-3197.9359224641844|-3319.4764689093827|-3245.553362100377,-0.006694540714064996|-0.006714550716840937|-0.006969743498386729|-0.006814530741830605,-0.026778162856259984|-0.026858202867363748|-0.027878973993546916|-0.02725812296732242,-6.537637416079098e-06|-6.5571784344149775e-06|-6.80639013514329e-06|-6.65481517756895e-06,125000.817204677|125000.8196473043|125000.85079876689|125000.8318518972,-0.1050623102702063|0.23774839480179688|0.4337537139527462|0.11706471374607119,-0.1335141083049825|0.20921155425522298|0.40413230408460254|0.08810295809329116,-1|1|2|0,24|24|24|24,32|32|32|760,0|0|0|0,1|1|1|0,0.1164858916950175|-0.040788445744777024|-0.09586769591539746|0.08810295809329116,33235899|33235898|33235902|33235901,33384276|33384275|33384271|33384274,,,,,,
