packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_center_sample_phase,grlora_branch_sample_phases,grlora_branch_valid,grlora_branch_down_val_valid,grlora_branch_cfo_frac_est,grlora_branch_sto_frac_initial,grlora_branch_sto_frac_refined,grlora_branch_sto_frac_used,grlora_branch_sto_sample_correction,grlora_branch_cfo_int_est,grlora_branch_down_val_signed_bin,grlora_branch_cfo_total_est,grlora_branch_cfo_hz_est,grlora_branch_sfo_hat,grlora_branch_sfo_samples_per_symbol,grlora_branch_clk_off,grlora_branch_fs_p,grlora_branch_netid_sto_frac_est,grlora_branch_payload_sto_frac_est,grlora_branch_payload_sto_sample_correction,grlora_branch_netid1_est,grlora_branch_netid2_est,grlora_branch_netid_offset,grlora_branch_netid_valid,grlora_branch_sfo_cum_initial,grlora_branch_fine_preamble_start_sample,grlora_branch_fine_payload_start_sample,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,2748416,2908160,32,246,246,2.7876516008292596,2746128,-2288,213,213,1.817226751237405,0.0014228894764171148,0,2738384,2877648,2886864,-1357.583747190438,3882,-214,10,3976,3754,24,32,70,160,3703,3942,239,0.8623455193593342,0.5192360105010729,0,214,856,2739240,2878504,2887720,2739240,2886876,154.71875,1929,13,32,-331,784,24,32,355,752,-232,99,-66.5,28,0.4163893470049581,0.1346639487140904,0.005777974018353893,0.005777974018353893,0,-211,-421,-210.58361065299505,-25706.007159789435,-0.05397365456556158,-0.21589461826224632,-5.270864703668123e-05,125006.5885808796,0.27862102792038335,0.04923299601674658,0,245,75,221,0,0.04923299601674658,-72.82142857142857,503,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.3201182082496373|0.4649639536214772|0.4163893470049581|0.18096064187928437,0.49129140023014906|-0.02506800672685679|0.1346639487140904|-0.40546581403311266,-0.47642566392883223|-0.08985410980157939|0.005777974018353893|0.48279226233887584,0.49129140023014906|-0.08985410980157939|0.005777974018353893|-0.40546581403311266,2|0|0|-2,-34|37|-211|217,-67|74|-421|435,-34.32011820824964|37.46496395362148|-210.58361065299505|217.1809606418793,-4189.467554717973|4573.359857619809|-25706.007159789435|26511.347734604406,-0.00879642152149109|0.009602461542347108|-0.05397365456556158|0.05566458905112756,-0.03518568608596436|0.03840984616938843|-0.21589461826224632|0.22265835620451024,-8.590255392081143e-06|9.377403849948347e-06|-5.270864703668123e-05|5.435995024524176e-05,125001.07378192402|124998.82782451875|125006.5885808796|124993.20500621934,0.20980591154243422|0.21742465955352808|0.27862102792038335|0.3758010356029693,0.172421120076097|0.2582351211085032|0.04923299601674658|-0.38762446092973857,1|1|0|-2,749|473|245|374,840|330|75|86,725|449|221|350,0|0|0|0,-0.077578879923903|0.008235121108503218|0.04923299601674658|0.11237553907026143,2739236|2739239|2739240|2739243,2887581|2887866|2886876|2888591,,,,,,
1,1,4235264,4407296,35,4035,-61,1.749491572650199,4234512,-752,224,224,1.1526857206626415,0.001379747941601557,0,4243080,4382344,4391560,-267.83022099430286,3941,-155,8,3940,3940,24,32,25,33,3533,3567,34,0.7670081303429965,0.21427498818777227,0,155,620,4243700,4382964,4392180,4243702,4391999,-18.90625,1247,8,32,-1,-1,24,32,25,33,-464,-33,-248.5,28,-0.3739086778985965,-0.4891015193399969,-0.3893866990944934,-0.3893866990944934,-2,-45,-90,-45.3739086778986,-5538.807211657544,-0.011629564455069356,-0.04651825782027742,-1.1356996538153668e-05,125001.41962456726,0.2384672383432872,0.18904158940924243,1,0,0,-24,0,-0.06095841059075757,14.321428571428571,510,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.2750465312248946|0.06781121837861179|-0.3739086778985965|-0.0984569338171561,-0.0887389762798759|-0.10210474070200269|-0.4891015193399969|0.4861519275558065,-0.017397051972426122|-0.03702643213455303|-0.3893866990944934|0.4836219209897015,-0.017397051972426122|-0.03702643213455303|-0.3893866990944934|0.4836219209897015,0|0|-2|2,-45|167|-45|15,-89|335|-90|31,-45.275046531224895|167.0678112183786|-45.3739086778986|14.901543066182844,-5526.7390785186635|20394.019924118482|-5538.807211657544|1819.036018821148,-0.011604225582126535|0.04282033299630372|-0.011629564455069356|0.0038193415691467206,-0.04641690232850614|0.1712813319852149|-0.04651825782027742|0.015277366276586882,-1.1332251545045445e-05|4.1816731441702854e-05|-1.1356996538153668e-05|3.7298257511198443e-06,125001.41653144314|124994.7729085698|125001.41962456726|124999.5337717811,-0.38873227060047527|0.3332242237471661|0.2384672383432872|-0.3941591487976033,-0.43805022932451304|-0.4847893610185432|0.18904158940924243|-0.3779269471287299,-2|-2|1|-2,0|897|0|1,427|173|0|1,-24|873|-24|-23,0|0|0|0,0.06194977067548696|0.015210638981456803|-0.06095841059075757|0.12207305287127013,4243698|4243699|4243702|4243699,4392000|4392849|4391999|4392243,,,,,,
2,2,7270400,7409664,27,348,348,1.3892825788239138,7272568,2168,3961,-135,2.6081394608978647,0.0023945873026810175,0,7272968,7412232,7421448,-561.835039836383,4061,-35,14,4028,47,24,32,57,50,4017,14,93,0.8403914351100084,0.3757479323196287,0,35,140,7273108,7412372,7421588,7273110,7420762,118.125,1486,13,32,146,-196,24,32,122,228,121,-305,-92.0,28,-0.12840973170508527,-0.02232186170339634,-0.45774685867260834,-0.45774685867260834,-2,-207,-414,-207.1284097317051,-25284.229703577283,-0.05308806892856907,-0.21235227571427628,-5.1843817313055733e-05,125006.48047716415,-0.1565650643868186,-0.3821893573332371,-2,761,541,737,0,0.11781064266676289,10.071428571428571,511,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.34159455719233184|0.44240970520142214|-0.12840973170508527|0.1964175771141875,-0.0366717137669268|0.03501757876266006|-0.02232186170339634|-0.30170472944522975,0.0957246398564069|-0.038740567361414444|-0.45774685867260834|0.132554437513982,0.0957246398564069|-0.038740567361414444|-0.45774685867260834|0.132554437513982,0|0|-2|1,-119|33|-207|-120,-238|67|-414|-239,-118.65840544280766|33.44240970520142|-207.1284097317051|-119.80358242288581,-14484.668633155232|4082.3254034669703|-25284.229703577283|-14624.460744981177,-0.030412755137073935|0.008571460350933315|-0.05308806892856907|-0.03070626984388092,-0.12165102054829574|0.03428584140373326|-0.21235227571427628|-0.12282507937552369,-2.9699956188548765e-05|8.370566748958315e-06|-5.1843817313055733e-05|-2.9986591644414962e-05,125003.71249452358|124998.95367915637|125006.48047716415|125003.74832395556,0.12251647547004096|0.23554616386845162|-0.1565650643868186|0.1499538025097925,-0.0067377338625231875|0.2719748703599182|-0.3821893573332371|0.0194521556732985,0|1|-2|0,814|956|761|747,228|228|541|774,790|932|737|723,0|0|0|0,-0.0067377338625231875|0.021974870359918186|0.11781064266676289|0.0194521556732985,7273106|7273107|7273110|7273108,7421110|7421718|7420762|7421109,,,,,,
3,3,8740864,8908800,34,40,40,4.090638202952958,8742480,1616,4042,-54,1.2920272323275306,0.0013012074260843375,0,8751176,8890440,8899656,-483.48532906514845,3641,-455,2,3644,3642,24,32,21,31,4,3956,144,0.45763430724174564,0.6110432629477238,0,455,1820,8752996,8892260,8901476,8752994,8900967,269.375,1952,0,32,-1,1,24,32,25,31,414,-126,144.0,28,-0.39181337271239375,-0.07523359846937527,0.4153598670306953,0.4153598670306953,2,-127,-254,-127.39181337271239,-15550.75846834868,-0.032651172178775986,-0.13060468871510394,-3.1885910330835924e-05,125003.98573879135,0.3705223573098637,0.2317548755500658,1,800,685,776,0,-0.018245124449934202,40.92857142857143,504,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.061828140258477056|0.3480930278966614|-0.39181337271239375|-0.09018093339961387,-0.09896974627855426|-0.4222936713096209|-0.07523359846937527|-0.14961860714134945,0.03727944490663479|0.47684141421211734|0.4153598670306953|-0.4408184729970215,0.03727944490663479|-0.4222936713096209|0.4153598670306953|-0.4408184729970215,0|-2|2|-2,183|166|-127|182,366|332|-254|365,183.06182814025848|166.34809302789665|-127.39181337271239|181.9098190666004,22346.414567902648|20306.163699694414|-15550.75846834868|22205.788460278367,0.0469196811923976|0.042635865549491656|-0.032651172178775986|0.04662441538512415,0.1876787247695904|0.17054346219796662|-0.13060468871510394|0.1864976615404966,4.5820001164450784e-05|4.1636587450675445e-05|-3.1885910330835924e-05|4.55316556495353e-05,124994.27249985444|124994.79542656866|125003.98573879135|124994.30854304381,-0.46129075693664223|-0.057945973725888056|0.3705223573098637|0.051162819326951325,-0.26188211186895227|0.12325645485945147|0.2317548755500658|0.24931658471372886,-1|0|1|1,498|211|800|473,705|640|685|661,474|187|776|449,0|0|0|0,-0.011882111868952272|0.12325645485945147|-0.018245124449934202|-0.0006834152862711385,8752994|8752997|8752994|8752999,8902207|8902139|8900967|8902204,,,,,,
4,4,10235904,10407936,35,3828,-268,3.552748364215238,10232016,-3888,492,492,0.6507161904500065,0.0011137742202151086,0,10228344,10367608,10376824,-192.12307743303978,3986,-110,14,3986,3986,24,32,24,32,81,93,12,1.1584621683081369,0.6675988693472461,0,110,440,10228784,10368048,10377264,10228786,10377737,14.3125,1574,16,32,0,0,24,32,24,32,-158,929,385.5,28,0.49141345236500267,0.07852017094612503,-0.4667199346391726,-0.4667199346391726,-2,118,237,118.49141345236501,14464.2838686969,0.03036995423732956,0.12147981694931824,2.965815843489215e-05,124996.29273019564,-0.4948813990446266,-0.3658090935359761,-1,59,705,35,0,-0.11580909353597613,-50.535714285714285,511,1,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.032299744195490844|0.27205851806040876|0.49141345236500267|0.40577133581261077,-0.022561367201510717|0.09643638329608346|0.07852017094612503|0.47090582411435705,-0.4996377994134491|-0.04142971168531664|-0.4667199346391726|0.04969203484870377,-0.4996377994134491|-0.04142971168531664|-0.4667199346391726|0.04969203484870377,-2|0|-2|0,87|55|118|201,175|111|237|403,87.03229974419548|55.27205851806041|118.49141345236501|201.4057713358126,10624.060027367614|6747.077455817921|14464.2838686969|24585.665446266186,0.022306822776347008|0.01416651079507392|0.03036995423732956|0.05162132749021237,0.08922729110538803|0.05666604318029568|0.12147981694931824|0.2064853099608495,2.1784006617526375e-05|1.3834483198314375e-05|2.965815843489215e-05|5.041145262716052e-05,124997.2769991728|124998.2706896002|124996.29273019564|124993.6985684216,0.21418052942965515|0.4118986337570488|-0.4948813990446266|-0.29842548546450054,0.30898452622913|0.47210630463611303|-0.3658090935359761|-0.07903484363109747,1|2|-1|0,1023|1023|59|189,294|294|705|67,999|999|35|165,0|0|0|0,0.058984526229129974|-0.027893695363886972|-0.11580909353597613|-0.07903484363109747,10228784|10228783|10228786|10228785,10377609|10377481|10377737|10378069,,,,,,
5,5,13250560,13414400,33,141,141,3.7737711070832822,13250376,-184,3964,-132,1.8491188247897599,0.0018161885853131344,0,13258128,13397392,13406608,-105.72184416852522,4081,-15,22,4081,9,24,32,24,8,4027,4058,31,1.6765144973195647,0.47792190870715184,0,15,60,13258188,13397452,13406668,13258188,13406098,95.3125,1313,22,32,0,24,24,32,24,8,-84,-53,-68.5,28,0.4129335370389352,0.11562410977438299,-0.08425829205435431,-0.08425829205435431,0,-143,-285,-142.58706646296108,-17405.64776159193,-0.036545793126656005,-0.14618317250662402,-3.5689251100250005e-05,125004.46115638752,-0.2537236721073466,-0.40904329289563446,-2,621,62,597,0,0.09095670710436554,41.5,509,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.2656326326494545|0.22769467944908997|0.4129335370389352|-0.2092943974147079,0.46525148085788776|0.10711807832116577|0.11562410977438299|0.07079991272987773,0.0014352953864271711|0.4459278342923063|-0.08425829205435431|-0.03819964589330471,0.0014352953864271711|0.4459278342923063|-0.08425829205435431|-0.03819964589330471,0|2|0|0,-235|-233|-143|36,-469|-465|-285|73,-235.26563263264944|-232.7723053205509|-142.58706646296108|35.79070560258529,-28718.949295977716|-28414.588051825063|-17405.64776159193|4368.982617503088,-0.06029978281542174|-0.05966073029540468|-0.036545793126656005|0.009173340578886942,-0.24119913126168696|-0.23864292118161873|-0.14618317250662402|0.03669336231554777,-5.888650665568529e-05|-5.8262431929106135e-05|-3.5689251100250005e-05|8.95834040906928e-06,125007.36081333196|125007.28280399115|125004.46115638752|124998.88020744886,0.07184224529293148|-0.4632155351606435|-0.2537236721073466|0.2553472526310774,-0.1844318316726108|0.28322636108388655|-0.40904329289563446|0.2943339500913469,-1|1|-2|1,470|621|621|333,570|1014|62|766,446|597|597|309,0|0|0|0,0.06556816832738921|0.033226361083886546|0.09095670710436554|0.044333950091346885,13258186|13258185|13258188|13258189,13405727|13405734|13406098|13406812,,,,,,
6,6,17752064,17903616,30,243,243,1.5381135788984759,17753904,1840,492,492,1.489416585152861,0.0014591953769673702,0,17745536,17884800,17894016,-1655.3548340322589,3730,-366,2,3619,3874,24,32,135,112,3895,139,340,0.5110071180283722,0.5361446861688471,0,366,1464,17747000,17886264,17895480,17747000,17896257,-9.03125,1504,1,32,294,-207,24,32,270,239,-479,265,-107.0,28,-0.0661547917162691,0.09751675753425837,-0.045105728088498664,-0.045105728088498664,0,194,389,193.93384520828374,23673.565088901825,0.04970623467507786,0.19882493870031143,4.854124479988072e-05,124993.9323444,-0.45450621848600736,-0.24325472111692648,-1,502,634,478,0,0.006745278883073524,62.785714285714285,495,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.17561248873384455|-0.3971580398274089|-0.0661547917162691|-0.050885299354043505,-0.13413997807861977|0.03847582498865254|0.09751675753425837|0.48000314176273173,-0.48968178436618415|-0.4655210879434686|-0.045105728088498664|0.39933372008156254,-0.48968178436618415|-0.4655210879434686|-0.045105728088498664|0.39933372008156254,-2|-2|0|2,57|158|194|57,114|317|389|114,56.82438751126615|157.60284196017258|193.93384520828374|56.94911470064596,6936.570741121356|19238.62816896638|23673.565088901825|6951.7962281061955,0.014564380641599895|0.04039441305110021|0.04970623467507786|0.01459634885704479,0.05825752256639958|0.16157765220440085|0.19882493870031143|0.05838539542817916,1.4223027970312397e-05|3.944766899521505e-05|4.854124479988072e-05|1.4254246930707802e-05,124998.22212150371|124995.0690413756|124993.9323444|124998.21821913366,-0.023621603834987515|-0.17289987030826182|-0.45450621848600736|-0.13358311649300414,0.03827701389181204|-0.0012236148410860181|-0.24325472111692648|-0.07154863385056398,0|0|-1|0,214|774|502|96,978|814|634|387,190|750|478|72,0|0|0|0,0.03827701389181204|-0.0012236148410860181|0.006745278883073524|-0.07154863385056398,17747000|17747001|17747000|17746999,17895706|17896111|17896257|17895709,,,,,,
7,7,19247104,19419136,35,4031,-65,3.903368642035184,19243040,-4064,3946,-150,1.2474049082717273,0.0012282145682837632,0,19243480,19382744,19391960,-305.4440577428834,53,53,9,53,80,24,32,24,5,3993,10,113,0.769664337610837,0.5235067089357881,0,-53,-212,19243268,19382532,19391748,19243268,19390900,118.59375,1150,13,32,0,-805,24,32,24,837,-3,63,30.0,28,0.40896515181311777,0.057960965225224564,0.0016502000465674627,0.0016502000465674627,0,-212,-423,-211.5910348481869,-25828.983746116563,-0.0542318625302919,-0.2169274501211676,-5.296080325223818e-05,125006.62010040652,0.2662305990772267,0.035745183323486085,0,253,960,229,0,0.035745183323486085,74.5,507,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.435625617465808|0.3170601519734564|0.40896515181311777|0.21192508483120764,0.3782166819323901|-0.02538750204080501|0.057960965225224564|0.460586621687723,0.013992211865977211|-0.0780480052316137|0.0016502000465674627|-0.02957153732092377,0.013992211865977211|-0.0780480052316137|0.0016502000465674627|-0.02957153732092377,0|0|0|0,-216|-166|-212|-166,-432|-331|-423|-331,-216.4356256174658|-165.68293984802654|-211.5910348481869|-165.7880749151688,-26420.364455257055|-20224.968243167303|-25828.983746116563|-20237.802113668065,-0.05547355587898959|-0.0424653833934864|-0.0542318625302919|-0.042492330047972315,-0.22189422351595836|-0.1698615335739456|-0.2169274501211676|-0.16996932019188926,-5.417339441307577e-05|-4.147010097020156e-05|-5.296080325223818e-05|-4.1496416062472964e-05,125006.77167430164|125005.18376262127|125006.62010040652|125005.18705200781,0.23883842373831032|-0.43694027382317846|0.2662305990772267|-0.38932609885603786,0.0030758112526045878|0.38258184675450435|0.035745183323486085|0.4300814984400798,0|2|0|2,305|482|253|254,859|814|960|961,281|458|229|230,0|0|0|0,0.0030758112526045878|-0.11741815324549565|0.035745183323486085|-0.06991850155992019,19243266|19243267|19243268|19243269,19390882|19391081|19390900|19391083,,,,,,
8,8,23752704,23904256,30,36,36,2.9265014180648565,23749216,-3488,339,339,1.1886801886260305,0.001304667895772224,0,23757136,23896400,23905616,-356.3774390986359,120,120,6,171,120,24,32,27,32,569,496,73,0.7520572515598725,0.1743495697223722,0,-120,-480,23756656,23895920,23905136,23756654,23905550,-43.1875,1546,6,32,-323,0,24,32,347,32,-731,1165,217.0,28,-0.26972763105617265,0.4767103756776123,0.46511082987555596,0.46511082987555596,2,104,209,103.73027236894383,12662.386763787088,0.026586598413200692,0.10634639365280277,2.59634750128913e-05,124996.75456562339,0.3158819790979781,0.4288750223540809,2,786,935,762,0,-0.07112497764591907,-80.67857142857143,506,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,0.2766786796632066|-0.16463440964928217|-0.26972763105617265|0.41996079330863106,-0.4849592681067634|0.09991400968395972|0.4767103756776123|0.4172691379398336,-0.4788268148250836|0.005755954838496452|0.46511082987555596|-0.08452366422728311,-0.4788268148250836|0.005755954838496452|0.46511082987555596|-0.08452366422728311,-2|0|2|0,97|143|104|81,194|287|209|162,97.2766786796632|142.8353655903507|103.73027236894383|81.41996079330863,11874.594565388576|17435.95771366586|12662.386763787088|9938.960057776932,0.024932509401184952|0.03660943346072142|0.026586598413200692|0.02086835164888985,0.09973003760473981|0.1464377338428857|0.10634639365280277|0.0834734065955594,2.434815371209468e-05|3.5751399863985765e-05|2.59634750128913e-05|2.0379249657118993e-05,124996.95648078599|124995.531075017|124996.75456562339|124997.45259379286,0.31901348601283486|0.17725782558158198|0.3158819790979781|-0.41673641146280804,0.42497665096787085|0.33284791778964795|0.4288750223540809|-0.32804591695502605,2|1|2|-1,1023|549|786|202,802|883|935|961,999|525|762|178,0|0|0|0,-0.07502334903212915|0.08284791778964795|-0.07112497764591907|-0.07804591695502605,23756656|23756655|23756654|23756657,23905520|23905706|23905550|23905462,,,,,,
9,9,25239552,25407488,34,3825,-271,1.875486410613698,25242816,3264,4019,-77,1.00569917934629,0.0014087781824969412,0,25251040,25390304,25399520,-1784.8269499097719,3776,-320,3,3782,3895,24,32,18,87,3298,3988,690,0.6050427249445118,0.19875938854524106,0,320,1280,25252320,25391584,25400800,25252322,25401047,100.40625,1319,1,32,506,90,24,32,482,58,89,-1209,-560.0,28,-0.45139752851920206,-0.43960026172067046,0.4374180430729666,-0.43960026172067046,-2,62,125,61.5486024714808,7513.257137631934,0.01577522105584396,0.06310088422337584,1.5405489312347618e-05,124998.07431383595,0.06520681206633627,0.13225150155367316,1,930,896,906,0,-0.11774849844632684,-80.5,506,0,28,2,0|1|2|3,0|0|0|0,1|1|1|1,-0.44705207586361567|-0.20885850129885913|-0.45139752851920206|-0.2706885046387841,0.05096858438491836|0.054085471748408054|-0.43960026172067046|-0.1031408411204211,-0.02925058571622685|-0.04252375883925197|0.4374180430729666|-0.44922108692890106,-0.02925058571622685|-0.04252375883925197|-0.43960026172067046|-0.44922108692890106,0|0|-2|-2,63|-227|62|64,126|-453|125|128,62.55294792413638|-227.20885850129886|61.5486024714808|63.729311495361216,7635.857900895555|-27735.456360021835|7513.257137631934|7779.456969648586,0.016032639923143424|-0.058234790470909084|0.01577522105584396|0.016334147912487496,0.0641305596925737|-0.23293916188363634|0.06310088422337584|0.06533659164994998,1.565687492494475e-05|-5.686991256924715e-05|1.5405489312347618e-05|1.595131632078857e-05,124998.04289063437|125007.10873907115|124998.07431383595|124998.0060854599,0.4837938918243627|0.09396294609165734|0.06520681206633627|0.0734716462706988,-0.4480673885022777|-0.15353491340970615|0.13225150155367316|0.1428917748987707,-2|-1|1|1,929|639|930|738,895|548|896|98,905|615|906|714,0|0|0|0,0.051932611497722325|0.09646508659029385|-0.11774849844632684|-0.1071082251012293,25252318|25252319|25252322|25252323,25401052|25399892|25401047|25401056,,,,,,
