event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,311296,425984,76,88,13,4004,-92,4004,4004,0.036617550872567586,0.38415451237164944,0.0006893086606546248,10,125000.0,500000.0,4,4096,16,4096,12,2
1,1155072,1269760,282,294,13,3459,-637,3459,3459,0.03619498469800341,0.38931995383488494,0.0007013842618952254,10,125000.0,500000.0,4,4096,16,4096,12,2
2,1740800,1851392,425,436,12,3876,-220,3876,3876,0.03856969620317549,0.7867491845254925,0.0007241915807439343,10,125000.0,500000.0,4,4096,16,4096,12,2
3,2621440,2744320,640,654,15,291,291,291,291,0.04583202774640119,0.4505949466800808,0.0007186566376088267,10,125000.0,500000.0,4,4096,16,4096,12,2
4,3530752,3645440,862,874,13,148,148,148,148,0.03423801006816972,0.3060086546955821,0.0006769655539105114,10,125000.0,500000.0,4,4096,16,4096,12,2
5,4337664,4456448,1059,1072,14,3947,-149,3947,3947,0.03498838322088403,0.228015520085229,0.0007036004164043055,10,125000.0,500000.0,4,4096,16,4096,12,2
6,4952064,5079040,1209,1224,16,3799,-297,3799,3799,0.034657957888320406,0.41697943959376127,0.0007113884148229708,10,125000.0,500000.0,4,4096,16,4096,12,2
7,5255168,5378048,1283,1297,15,3563,-533,3563,3563,0.04276642911057859,0.850018546550426,0.0008078203707332717,10,125000.0,500000.0,4,4096,16,4096,12,2
8,5566464,5685248,1359,1372,14,94,94,94,94,0.03455185100398918,0.3489435373084251,0.000689722238416263,10,125000.0,500000.0,4,4096,16,4096,12,2
9,6086656,6213632,1486,1501,16,749,749,749,749,0.18738454808625243,0.8300861815080036,0.0013737045150716996,10,125000.0,500000.0,4,4096,16,4096,12,2
10,6512640,6623232,1590,1601,12,3896,-200,3896,3896,0.03885070554295939,0.5706733229295395,0.0008521370023227147,10,125000.0,500000.0,4,4096,16,4096,12,2
11,6746112,6864896,1647,1660,14,3747,-349,3747,3747,0.040831620410016936,0.9341003189576057,0.0008341170450626256,10,125000.0,500000.0,4,4096,16,4096,12,2
12,7159808,7274496,1748,1760,13,3881,-215,3881,3881,0.048996587958711126,0.4772503073232548,0.0007269990994783216,10,125000.0,500000.0,4,4096,16,4096,12,2
13,7921664,8032256,1934,1945,12,506,506,506,506,0.0355303664502814,0.5302209554517068,0.0007041177047657247,10,125000.0,500000.0,4,4096,16,4096,12,2
14,8384512,8495104,2047,2058,12,141,141,141,141,0.0399842610336123,0.8265712011452407,0.0007952599873848251,10,125000.0,500000.0,4,4096,16,4096,12,2
15,10260480,10379264,2505,2518,14,161,161,161,161,0.03958622331861604,0.7989676533489899,0.0008596640046834798,10,125000.0,500000.0,4,4096,16,4096,12,2
16,10489856,10604544,2561,2573,13,743,743,743,743,0.033582474164630005,0.2987887227448295,0.0006905728056229304,10,125000.0,500000.0,4,4096,16,4096,12,2
17,11251712,11362304,2747,2758,12,3785,-311,3785,3785,0.03830999794849152,0.4905852171194249,0.0007807053591796849,10,125000.0,500000.0,4,4096,16,4096,12,2
18,11517952,11636736,2812,2825,14,3995,-101,3995,3995,0.039422329698820834,0.573143486094477,0.0007601702316808237,10,125000.0,500000.0,4,4096,16,4096,12,2
19,12644352,12754944,3087,3098,12,164,164,164,164,0.05085710457832022,0.4570373525855657,0.0007959644239107341,10,125000.0,500000.0,4,4096,16,4096,12,2
20,13004800,13119488,3175,3187,13,4069,-27,4069,4069,0.03512228538865367,0.44903498340823794,0.000729610275218491,10,125000.0,500000.0,4,4096,16,4096,12,2
21,14508032,14635008,3542,3557,16,3712,-384,3712,3712,0.03777336771286724,0.4590504320533114,0.0007231279968802922,10,125000.0,500000.0,4,4096,16,4096,12,2
22,15241216,15368192,3721,3736,16,362,362,362,362,0.0393767891286932,0.6423465159921835,0.0007828929110118878,10,125000.0,500000.0,4,4096,16,4096,12,2
23,16027648,16138240,3913,3924,12,4024,-72,4024,4024,0.03944289711929845,0.8061586583666628,0.0007773188605321288,10,125000.0,500000.0,4,4096,16,4096,12,2
24,16367616,16482304,3996,4008,13,386,386,386,386,0.03419664565774689,0.1587972662842297,0.0006564988408052899,10,125000.0,500000.0,4,4096,16,4096,12,2
25,16793600,16904192,4100,4111,12,391,391,391,391,0.03783782691196549,0.46749776917884994,0.0006951117924307148,10,125000.0,500000.0,4,4096,16,4096,12,2
26,17408000,17518592,4250,4261,12,3836,-260,3836,3836,0.03794100861251782,0.5351690723661259,0.0007003735415276007,10,125000.0,500000.0,4,4096,16,4096,12,2
27,18313216,18436096,4471,4485,15,737,737,737,737,0.041147571267610615,0.8787527083540972,0.0007455105649025282,10,125000.0,500000.0,4,4096,16,4096,12,2
28,18989056,19116032,4636,4651,16,452,452,452,452,0.05762910503363537,0.5036325386192437,0.0007265652778368151,10,125000.0,500000.0,4,4096,16,4096,12,2
29,19243008,19369984,4698,4713,16,347,347,347,347,0.047765234657645816,0.4399593969798235,0.0007083845168842702,10,125000.0,500000.0,4,4096,16,4096,12,2
30,19812352,19922944,4837,4848,12,506,506,506,506,0.03858638115698304,0.5063266078904503,0.0007165135669292685,10,125000.0,500000.0,4,4096,16,4096,12,2
31,19918848,20029440,4863,4874,12,4043,-53,4043,4043,0.03736767782952644,0.4744597143275344,0.000692888375967909,10,125000.0,500000.0,4,4096,16,4096,12,2
