dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,,42,0,0,8,803,803,803,803,803,803,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.23873590168865366,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9999068205244716,-0.0023779560566387636,803|802|804|799|806|814|792|800,0.99990682|0.40918561|0.11171597|0.38074329|0.29884385|0.32316293|0.6450914|0.076015883,0|-18.146475|-19.883705|-20.350635|-24.33306|-24.640131|-24.655766|-24.713131,608.01657|43.44874|5.4504918|2.8312006|9.0740263|0.60128562|0.75674637|2.3024963,0.002930379|0.0019434738|0.0020777221|0.00026649315|0.00086742942|4.6522319e-05|3.1605638e-05|0.0012644341,0.041434006|0.0047142736|0.00061355931|8.123508e-05|0.00078367881|6.4416902e-05|7.4416998e-05|0.00060388669,-0.0023779561|-3.0669168|-3.1056785|-1.811676|-2.7933086|-3.0410073|1.1605039|2.8276814
0_0_0_10_14_32,,42,0,1,9,711,711,711,711,711,711,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.2588227356123647,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9967400486372442,0.09812932020703813,711|712|710|709|698|707|705|699,0.99674005|0.12955118|0.177093|0.18080937|0.62849905|0.83370389|0.27116805|0.80232012,0|-19.049926|-19.088805|-21.370584|-22.184742|-22.50062|-23.531973|-23.601654,434.41377|12.284054|29.18225|9.394245|2.5245286|2.6200789|1.4927852|0.71765946,0.0043205832|0.0034604254|0.0041175424|0.0017409564|0.00011090527|1.2922829e-05|0.00027020585|2.7996057e-05,0.027654457|0.0017510311|0.0061604262|0.0010318429|8.1589298e-05|0.00024812117|7.0526217e-06|2.090229e-05,0.09812932|-2.9827231|3.1003174|-2.8169118|-1.3594229|1.0576988|-2.1094453|-0.52201677
0_0_0_10_14_32,,42,0,2,10,922,922,922,922,922,922,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.2789095695360758,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9994602777480179,0.04559278357953575,922|921|923|920|912|909|914|916,0.99946028|0.67128184|0.55322612|0.66046572|0.40686659|0.7314334|0.30349565|0.40416227,0|-14.131919|-16.418271|-18.875024|-21.570773|-22.0752|-22.230673|-23.505299,569.44751|27.943582|4.4969372|18.208558|0.24658117|0.98342637|1.1651481|1.2697661,0.00033964688|0.00053763831|0.00025574158|0.00037608394|2.146856e-05|2.8129043e-05|0.00015267757|9.9267441e-05,0.041685526|0.0021981672|0.00019524772|0.001362983|3.3250089e-05|8.8518442e-05|2.8631831e-05|5.2689175e-05,0.045592784|-3.1090463|-0.46539891|-2.9700216|1.4662194|0.86969764|-1.8998976|-2.2499262
0_0_0_10_14_32,,42,0,3,11,718,718,718,718,718,718,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.29899640345978695,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9993452834010218,0.0630720628133292,718|719|717|716|712|708|714|701,0.99934528|0.14402168|0.20267337|0.20077549|0.17824463|0.45002521|0.4069632|0.6762967,0|-18.137278|-19.662978|-20.068397|-20.843|-21.742716|-22.070411|-23.318507,354.3975|10.604844|25.538819|10.553255|0.94911946|0.33478889|1.6143014|1.3986684,0.0038515468|0.0028842956|0.0029725666|0.0019469925|0.00025815712|4.0221967e-05|4.1410402e-05|3.0791647e-05,0.021871561|0.0010155257|0.0049235763|0.00073169237|1.6322056e-05|1.163948e-05|0.00026330102|7.6468803e-05,0.063072063|-2.8796534|3.1115144|-2.6650708|-2.7659821|0.83654379|2.5908049|-1.616842
0_0_0_10_14_32,,42,0,4,12,107,107,107,107,107,107,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.3190832373834981,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9996533636852998,0.08420295852983978,107|106|108|105|99|102|100|101,0.99965336|0.80665012|0.1592184|0.69045701|0.96443526|0.24584288|0.93283165|0.66659758,0|-13.351736|-15.240028|-18.418199|-20.64292|-21.980145|-22.321295|-22.360148,610.99506|59.86692|1.4402581|35.373036|4.3765472|1.4575634|1.9905859|3.2612743,0.032798854|0.0030418953|6.1510432e-05|0.0017885161|0.00025746593|0.00017416057|0.0001243898|0.00011083801,0.0006138858|0.00077969456|0.00065197806|0.00096058942|7.1000277e-06|0.00033241995|1.3209613e-05|0.00012637309,0.084202959|-2.7658391|0.44676756|-2.8633464|1.891623|2.0371407|1.2002137|-1.6893029
0_0_0_10_14_32,,42,0,5,13,468,468,468,468,468,468,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.3391700713072091,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.99314892441584,0.1193765164853884,468|466|464|469|451|462|471|455,0.99314892|0.96916364|0.75130853|0.19588167|0.774059|0.52539595|0.13401007|0.46509087,0|-13.716688|-19.122826|-20.01638|-21.866618|-23.390452|-24.150184|-24.377019,313.51531|8.1285434|3.7691266|23.305999|1.8333406|0.82240383|1.46772|0.69635614,0.010942949|0.00023186392|0.00022181725|0.0031313078|0.00011227137|6.4926352e-06|0.00025099854|7.3953087e-05,0.0098841589|0.00027151605|2.1188493e-05|0.0035708611|5.4791888e-06|9.0251709e-05|0.00040325146|7.0717811e-06,0.11937652|-0.27763692|-1.3166576|-2.8752856|-1.1801103|-1.3479018|-3.0040445|3.1210558
0_0_0_10_14_32,,42,0,6,14,89,89,89,89,89,89,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.35925690523092024,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9961058767344858,-0.7841569823129629,89|91|87|84|82|108|99|86,0.99610588|0.67842778|0.54258317|0.36330362|0.97848114|0.95936662|0.96757543|0.21770089,0|-19.874997|-20.60731|-20.707537|-21.354706|-21.601527|-21.745407|-21.888288,609.75474|19.655896|8.2116915|1.5852024|2.1502919|1.8366743|2.1687602|0.98261278,0.031546256|0.0012229377|0.00062428055|0.0001646824|0.00011249384|0.00011037725|0.00012663797|0.00012548196,0.00035794276|0.00058008111|0.00047525388|0.00021206569|1.3103812e-06|8.4728164e-06|9.8539084e-06|0.00026940423,-0.78415698|2.7924677|2.3848532|1.8422323|-2.4450366|1.0214066|0.7602309|1.9403414
0_0_0_10_14_32,,42,0,7,15,713,713,713,713,713,713,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.3793437391546315,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9373292514767695,-0.704857612520241,713|712|714|708|715|724|702|717,0.93732925|0.028811618|0.11752494|0.22560128|0.11769743|0.5682546|0.85048311|0.44196982,0|-13.666347|-15.540922|-19.775414|-20.002915|-21.85074|-21.907213|-23.238164,384.39125|1.4070531|9.9274564|0.69867146|2.724469|0.75560925|1.1769116|0.78326271,0.0032310093|0.0020391015|0.002434211|0.00011600843|0.00075716672|8.3603761e-06|4.5366164e-05|3.5167759e-05,0.022437209|0.001590066|0.0038209835|0.00015373085|0.0010842629|9.9696178e-05|3.9464693e-05|0.00012402852,-0.70485761|2.3085051|2.5370678|1.7981182|2.26153|2.2420354|-0.12199137|1.7931137
0_0_0_10_14_32,,42,0,8,16,865,865,865,865,865,865,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.3994305730783425,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9825072444201216,-0.7179443531423768,865|862|864|867|880|863|859|856,0.98250724|0.12574047|0.0036060135|0.38170847|0.80452205|0.17375741|0.33780037|0.79057015,0|-16.906591|-18.649011|-21.188816|-21.235239|-21.273124|-22.657347|-22.771169,402.47317|1.6299517|0.03650855|5.8643425|1.0890758|3.090824|1.2244689|0.5252943,0.00083422061|0.00056198657|0.00058101223|0.00041052358|1.4636938e-05|0.00068549097|0.00015048478|1.1000909e-05,0.027045698|0.00042191186|7.8213598e-05|0.00083883233|5.9339543e-05|0.00039188052|2.2945099e-05|4.8151041e-05,-0.71794435|2.2077729|1.9067211|2.2600011|-1.5331425|2.9458128|-1.3094558|1.0614005
0_0_0_10_14_32,,42,0,9,17,492,492,492,492,492,492,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.41951740700205353,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.8985810150174846,-0.6985232850055402,492|491|493|489|490|487|494|473,0.89858102|0.039032101|0.015942695|0.075456033|0.86402429|0.33157623|0.68724409|0.92421076,0|-11.784461|-14.563575|-17.983933|-20.631316|-22.024727|-22.794356|-22.797467,298.6781|3.5406163|1.6261568|0.65704164|1.5861157|0.6193584|3.9001985|1.6628268,0.0079447523|0.0032551905|0.0032108032|0.00032604079|9.0808487e-05|0.00010178544|0.00014195995|4.4527415e-05,0.010169331|0.0033755324|0.0041725643|0.00036763835|1.0282627e-05|2.2831127e-05|0.00013152558|5.6652218e-05,-0.69852329|2.468404|2.5657954|2.1795029|-0.13278719|2.1510769|-1.4501747|-0.55593166
