snr_label,added_snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,chip_delta,selected_offset,fixed_q0_bin,fixed_q0_correct,savaux_bin,savaux_correct,choice_bin,choice_correct,choice_gt_power,choice_gt_to_mean_energy,choice_gt_margin_db,segment_valid,head_energy,tail_energy,total_energy,head_tail_coherence,head_tail_phase_deg,gt_energy_gain_db,head_energy_gain_db,tail_energy_gain_db,total_segment_gain_db,head_tail_coherence_delta,abs_phase_error_reduction_deg
clean,,0,7,0,8,803,-64,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,-64,1,803,1,803,1,803,1,7.467658066039269e-06,49.56343670560534,7.51349874977704,1,1.8539565234702736e-06,5.626922357866096e-06,7.46765806603936e-06,0.9996711435539323,2.463787875436861,-0.0020770495818681007,-0.025855348355435275,0.0,-0.002077049581861347,0.0009004551643893022,2.296966311986488
clean,,0,7,0,8,803,-64,2,803,1,803,1,803,1,7.409835535040498e-06,49.15718635503199,7.394887482716634,1,1.796506217115717e-06,5.626922357866096e-06,7.40983553504058e-06,0.9991395457215215,4.002802629949408,-0.03583560227890779,-0.16256355771909675,0.0,-0.03583560227890535,0.00036885733197855597,0.757951557473941
clean,,0,7,0,8,803,-64,3,803,1,803,1,803,1,7.373895766658559e-06,48.96395886798435,7.3955509834868725,1,1.7596726087130745e-06,5.626922357866096e-06,7.373895766658639e-06,0.998995409826586,4.337453979882804,-0.0569513456849685,-0.25253206459779887,0.0,-0.05695134568496703,0.00022472143704299619,0.423300207540545
clean,,0,7,0,8,803,-16,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,-16,1,803,1,803,1,803,1,7.3640902800733215e-06,48.935024261576324,7.584666563388993,1,1.7566131106516233e-06,5.626922357866096e-06,7.36409028007339e-06,0.9980607355611526,6.029188657429344,-0.06273024835346258,-0.2600896043817457,0.0,-0.06273024835346797,-0.00070995282839037,-1.268434470005995
clean,,0,7,0,8,803,-16,2,803,1,803,1,803,1,7.384903417227381e-06,49.01830040374101,7.465653198537892,1,1.7803803923901728e-06,5.626922357866096e-06,7.38490341722745e-06,0.9978292159783901,6.367601242902654,-0.050473091285505624,-0.20172277581941636,0.0,-0.050473091285510994,-0.0009414724111528328,-1.6068470554793048
clean,,0,7,0,8,803,-16,3,803,1,803,1,803,1,7.2658190378693526e-06,48.22464440281253,7.486607161243041,1,1.6615549791787171e-06,5.626922357866096e-06,7.265819037869419e-06,0.9971043609200243,7.425871821984443,-0.12107551789221804,-0.5017036404625459,0.0,-0.12107551789222447,-0.0016663274695186692,-2.665117634561094
clean,,0,7,0,8,803,-4,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,-4,1,803,1,803,1,803,1,7.5417135687638935e-06,49.91612884600995,7.664950257196176,1,1.942388308426144e-06,5.626922357866096e-06,7.54171356876397e-06,0.9986589260784189,4.945742861870184,0.04077905120092601,0.176509750436359,0.0,0.040779051200924094,-0.00011176231112408619,-0.18498867444683498
clean,,0,7,0,8,803,-4,2,803,1,803,1,803,1,7.538202059605576e-06,49.96355965674391,7.673403471805886,1,1.945024091856199e-06,5.626922357866096e-06,7.5382020596056455e-06,0.9978749871544467,6.225682207956988,0.03875645490031441,0.1823990477720281,0.0,0.03875645490030867,-0.0008957012350963023,-1.4649280205336384
clean,,0,7,0,8,803,-4,3,803,1,803,1,803,1,7.5330833850317e-06,49.883442750450676,7.685040082206951,1,1.93864705469516e-06,5.626922357866096e-06,7.53308338503177e-06,0.9979691839057563,6.088646003744477,0.03580645807922927,0.1681366942694541,0.0,0.03580645807922353,-0.0008015044837866858,-1.3278918163211282
clean,,0,7,0,8,803,-2,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,-2,1,803,1,803,1,803,1,7.444493048827722e-06,49.37413311399299,7.417323076704569,1,1.8368908868594633e-06,5.626922357866096e-06,7.444493048827798e-06,0.9987015030512738,4.902976170342169,-0.0155700019576074,-0.066017207161834,0.0,-0.015570001957608852,-6.918533826916207e-05,-0.14222198291881938
clean,,0,7,0,8,803,-2,2,803,1,803,1,803,1,7.329422249461851e-06,48.541125739832324,7.341537842826471,1,1.7216210087058884e-06,5.626922357866096e-06,7.329422249461919e-06,0.9978855401187761,6.313315550484621,-0.08322386729052927,-0.3474752661035372,0.0,-0.08322386729053516,-0.0008851482707669112,-1.5525613630612716
clean,,0,7,0,8,803,-2,3,803,1,803,1,803,1,7.425333866650708e-06,48.959496672713904,7.375818393169002,1,1.8200363002962315e-06,5.626922357866096e-06,7.425333866650779e-06,0.9982473117803385,5.703986944470941,-0.026761432428255426,-0.10605030268511575,0.0,-0.026761432428259305,-0.000523376609204429,-0.9432327570475918
clean,,0,7,0,8,803,-1,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,-1,1,803,1,803,1,803,1,7.518826964100678e-06,49.75526834563839,7.512373418822927,1,1.919149692646311e-06,5.626922357866096e-06,7.518826964100752e-06,0.998449213841849,5.3271529556549355,0.02757961291490374,0.12423770528019142,0.0,0.027579612914900867,-0.000321474547693934,-0.5663987682315863
clean,,0,7,0,8,803,-1,2,803,1,803,1,803,1,7.410131221421676e-06,49.16344092462259,7.517402784327971,1,1.8039277984786065e-06,5.626922357866096e-06,7.410131221421749e-06,0.9982372543351449,5.727232985100313,-0.03566230234396641,-0.14465929182242745,0.0,-0.03566230234396933,-0.0005334340543980964,-0.966478797676964
clean,,0,7,0,8,803,-1,3,803,1,803,1,803,1,7.405352717616688e-06,49.00072590160062,7.428409350791276,1,1.7945833235690269e-06,5.626922357866096e-06,7.405352717616764e-06,0.9987795708946249,4.768224324290486,-0.03846380098520089,-0.16721452577192475,0.0,-0.03846380098520235,8.882505081908576e-06,-0.007470136867136823
clean,,0,7,0,8,803,0,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,0,1,803,1,803,1,803,1,7.618204200164452e-06,50.29758889785321,7.6194825192320526,1,1.8650268144517451e-06,5.769148589997842e-06,7.618204200164516e-06,0.9990521190453397,4.19423305620671,0.08460480480272979,0.0,0.10840802119744711,0.08460480480272034,0.0002814306557967772,0.5665211312166392
clean,,0,7,0,8,803,0,2,803,1,803,1,803,1,7.5306697439820405e-06,49.73013016194781,7.474547003415899,1,1.8650268144517451e-06,5.6853755612983745e-06,7.530669743982119e-06,0.9987529676322273,4.801625831439762,0.03441473187506848,0.0,0.04488235692111543,0.03441473187506848,-1.772075731565348e-05,-0.040871644016412745
clean,,0,7,0,8,803,0,3,803,1,803,1,803,1,7.502610682536473e-06,49.560992248773154,7.42090829733575,1,1.8650268144517451e-06,5.657914696537353e-06,7.502610682536551e-06,0.9987421171340997,4.819344214697835,0.018202821555971936,0.0,0.02385472726255645,0.018202821555971936,-2.8571255443310406e-05,-0.05859002727448548
clean,,0,7,0,8,803,1,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,1,1,803,1,803,1,803,1,7.46214193829756e-06,49.43040945135818,7.460984223503245,1,1.8650268144517451e-06,5.618651796816149e-06,7.462141938297638e-06,0.9986832041653659,4.926372458871426,-0.005286233828153951,0.0,-0.006388041418654914,-0.0052862338281544335,-8.748422417703683e-05,-0.16561827144807673
clean,,0,7,0,8,803,1,2,803,1,803,1,803,1,7.435503642048878e-06,49.32102397704136,7.390962973346539,1,1.8650268144517451e-06,5.592759905842203e-06,7.435503642048956e-06,0.9986529430949153,4.979610893577199,-0.020817382472124155,0.0,-0.026447469553629376,-0.020817382472124155,-0.00011774529462771355,-0.21885670615384978
clean,,0,7,0,8,803,1,3,803,1,803,1,803,1,7.459902228635562e-06,49.41668090443026,7.494730378142974,1,1.8650268144517451e-06,5.616204366558353e-06,7.459902228635643e-06,0.9987175266651905,4.8614222584038735,-0.006589933969627736,0.0,-0.008280198215610437,-0.006589933969626287,-5.316172435243516e-05,-0.10066807098052433
clean,,0,7,0,8,803,2,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,2,1,803,1,803,1,803,1,7.437686864092242e-06,49.23929169304169,7.5516794364281745,1,1.8650268144517451e-06,5.593716428874475e-06,7.437686864092318e-06,0.9988150627119226,4.670287305553956,-0.019542388660109225,0.0,-0.02570476440982551,-0.01954238866011019,4.4374322379581166e-05,0.09046688186939278
clean,,0,7,0,8,803,2,2,803,1,803,1,803,1,7.415626915481205e-06,49.19941503832694,7.641186661784229,1,1.8650268144517451e-06,5.573089715901725e-06,7.415626915481287e-06,0.9986796396121437,4.927666579676145,-0.03244256856500991,0.0,-0.04174888247885014,-0.03244256856500748,-9.104877739929407e-05,-0.16691239225279553
clean,,0,7,0,8,803,2,3,803,1,803,1,803,1,7.377904178797777e-06,48.94477962532761,7.491618438875491,1,1.8650268144517451e-06,5.534464724561928e-06,7.37790417879785e-06,0.9989128090295494,4.467053073492891,-0.054591184453746236,0.0,-0.07195298961334874,-0.05459118445374916,0.00014212064000640456,0.2937011139304584
clean,,0,7,0,8,803,4,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,4,1,803,1,803,1,803,1,7.418365978005534e-06,49.18480459888807,7.407597811318202,1,1.8650268144517451e-06,5.573972943361437e-06,7.418365978005602e-06,0.9989270644510679,4.441871493062271,-0.030838739087721213,0.0,-0.04106066384306084,-0.030838739087726556,0.00015637606152496542,0.3188826943610783
clean,,0,7,0,8,803,4,2,803,1,803,1,803,1,7.43644951069927e-06,49.29506150588356,7.560113002737559,1,1.8650268144517451e-06,5.591826560365319e-06,7.4364495106993425e-06,0.9989079251976257,4.483250882150534,-0.020264952630790856,0.0,-0.027172300628047485,-0.020264952630794246,0.0001372368080827524,0.2775033052728153
clean,,0,7,0,8,803,4,3,803,1,803,1,803,1,7.492115023419321e-06,49.56394412573735,7.5732298919158065,1,1.8650268144517451e-06,5.645929899472847e-06,7.492115023419392e-06,0.9989713789995034,4.356608471975235,0.012123073686864771,0.0,0.01464558936625263,0.012123073686859963,0.00020069060996041888,0.40414571544811384
clean,,0,7,0,8,803,16,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,16,1,803,1,803,1,803,1,7.488824957496429e-06,49.56904788059859,7.504840476827141,1,1.8650268144517451e-06,5.645726616780945e-06,7.488824957496515e-06,0.998560317787246,5.154587320115013,0.010215506471185996,0.0,0.01448921806458914,0.010215506471189845,-0.00021037060229700533,-0.39383313269166376
clean,,0,7,0,8,803,16,2,803,1,803,1,803,1,7.562925786773982e-06,50.18741905460905,7.725736089357884,1,1.8650268144517451e-06,5.7163815255108555e-06,7.562925786774053e-06,0.9988434947221227,4.627347625134573,0.05297709852940507,0.0,0.06850284322837298,0.05297709852939935,7.280633257977787e-05,0.13340656228877634
clean,,0,7,0,8,803,16,3,803,1,803,1,803,1,7.455989737026675e-06,49.4357347104121,7.626461212125729,1,1.8650268144517451e-06,5.610179608345624e-06,7.455989737026744e-06,0.9990166931433455,4.255894486814062,-0.00886827382233429,0.0,-0.0129415736034975,-0.008868273822340088,0.0002460047538025423,0.5048597006092876
clean,,0,7,0,8,803,64,0,803,1,803,1,803,1,7.471230389971836e-06,49.46053201555525,7.498004040517323,1,1.8650268144517451e-06,5.626922357866096e-06,7.471230389971915e-06,0.998770688389543,4.760754187423349,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,0,8,803,64,1,803,1,803,1,803,1,7.444448911916484e-06,49.38015194319303,7.537094390407514,1,1.8650268144517451e-06,5.600810266836474e-06,7.4444489119165594e-06,0.9987510974792685,4.795571373406974,-0.015595750485675405,0.0,-0.02020061907428377,-0.01559575048567734,-1.9590910274480677e-05,-0.03481718598362438
clean,,0,7,0,8,803,64,2,803,1,803,1,803,1,7.4378227331005e-06,49.348685740357354,7.507850749443649,1,1.8650268144517451e-06,5.593847841631752e-06,7.437822733100578e-06,0.9988152991411883,4.669835777241588,-0.019463054019283138,0.0,-0.025602737133897595,-0.019463054019283138,4.461075164530204e-05,0.09091841018176083
clean,,0,7,0,8,803,64,3,803,1,803,1,803,1,7.393461415713527e-06,49.03426050158505,7.499614447612054,1,1.8650268144517451e-06,5.550753413473494e-06,7.393461415713601e-06,0.9987662376888736,4.760680848211478,-0.0454431817168328,0.0,-0.05918987983057271,-0.045443181716835236,-4.4507006693450535e-06,7.333921187147041e-05
clean,,0,7,1,9,711,-64,0,711,1,711,1,711,1,5.124385759818627e-06,35.856677601358456,7.128452298143707,1,1.5673085927535112e-06,3.594266114084066e-06,5.124385759819045e-06,0.992799794439797,10.578094183389425,0.0,0.0,0.0,0.0,0.0,0.0
clean,,0,7,1,9,711,-64,1,711,1,711,1,711,1,5.068589081651756e-06,35.43860179754668,7.115520645756775,1,1.5115080212719988e-06,3.594266114084066e-06,5.06858908165217e-06,0.9928263817950131,10.59641807264939,-0.04754731931963639,-0.15744058380657844,0.0,-0.047547319319635906,2.6587355216101116e-05,-0.018323889259965753
