packet_index,event_index,detected_start_sample,header_start_sample,frame_valid,grlora_framesync_valid,grlora_netid_valid,grlora_fine_payload_start_sample,grlora_synced_payload_start_sample,grlora_cfo_int_est,grlora_cfo_frac_est,grlora_sfo_hat,grlora_sfo_cum_initial,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid_offset,xcopy_alignment_valid,xcopy_alignment_score,xcopy_soft_boundary_score,xcopy_soft_boundary_rank,relative_delay_samples,relative_cfo_hz,relative_phase_rad
1,1,30235171,30383540,1,0,0,30383540,30383540,-27,-0.1819972994996455,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,273.26448733701136,328.52934013647564,1,4096,-6.638866184960346,-2.8239816109335423
2,2,31735536,31883905,1,0,0,31883905,31883905,-27,-0.18762181139817713,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,74.97260485048605,328.52934013647564,1,1,-5.952280259846621,2.7338814203113464
3,3,33235902,33384271,1,0,0,33384271,33384271,-27,-0.1919041845500864,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,161.36147819130767,328.52934013647564,1,-1,-5.429529630951446,0.12969774966392364
4,4,36236635,36385004,1,0,0,36385004,36385004,-27,-0.20555789330473218,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,231.35979158280787,328.52934013647564,1,4096,-3.7628171364878504,-2.0276816347775077
5,5,37737001,37885370,1,0,0,37885370,37885370,-27,-0.21871345166363554,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,151.71746539718725,328.52934013647564,1,-2,-2.1569140165045297,-2.3870121194418013
6,6,39237367,39385736,1,0,0,39385736,39385736,-27,-0.22554913349012295,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,132.4219486667974,328.52934013647564,1,0,-1.32248019979464,-1.5350472521669258
7,7,40737732,40886101,1,0,0,40886101,40886101,-27,-0.2285010760735453,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,150.85019451412825,328.52934013647564,1,-3,-0.9621356461542163,-2.5248096424314928
8,8,42238099,42386468,1,0,0,42386468,42386468,-27,-0.23638289128684065,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,inf,328.52934013647564,1,0,0.0,0.0
9,9,43738464,43886833,1,0,0,43886833,43886833,-27,-0.24303989275101756,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,233.1557283401911,328.52934013647564,1,-3,0.8126222490449796,-1.4673151622761582
10,10,45238832,45387201,1,0,0,45387201,45387201,-27,-0.24484106888182566,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,279.3569547517832,328.52934013647564,1,1,1.0324923822002936,-1.1752121922830843
11,11,46739196,46887565,1,0,0,46887565,46887565,-27,-0.2516938777323965,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,212.8125770717715,328.52934013647564,1,-3,1.8690169000924102,-3.040959004848232
12,12,48239563,48387932,1,0,0,48387932,48387932,-27,-0.253215767740663,-0.0069808239930507585,0.028031421449245864,0.0,0,0,1,248.06644054056804,328.52934013647564,1,0,2.0547944889919694,1.529262215569319
