copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,0,25146777,-4104,-9.744187160765083,3.060995370623849,191.85281363627738,-10.217520796286408,1,0
1,1,25653348,4093,-12.473168963023085,-1.842750991521075,296.73970064119914,-13.079065618570894,1,0
2,2,25905541,-4092,32.321566317873106,-1.44552462331934,13.483796560091806,33.89161872333011,0,0
3,3,26176750,-8192,-86.00264428076932,0.6660076749661858,10.42629377043064,-90.18030872935196,0,0
4,4,26623788,-8,-25.7955865400894,-1.5512605392091523,9.662593508943713,-27.04863295186078,0,0
5,5,27104230,-8,-3.2921892106352324,1.4532580494222702,240.46388130674976,-3.4521105937310494,1,0
6,6,27515421,8180,-1.9766570241164239,2.4061669348063655,11.806331063500764,-2.0726751157199033,0,0
7,7,28627041,4098,-2.472485579996242,-0.42110594049182803,74.5597291392804,-2.5925890395301394,1,0
8,8,30230459,4103,-1.8818366919748364,0.07128996672515137,16.89767355631819,-1.973248791124206,0,0
9,9,31302165,-4104,35.26036150806475,-1.1965927421227904,10.396950932556512,36.9731688286805,0,0
10,10,32576088,0,0.0,0.0,inf,0.0,1,1
11,11,33012420,8191,-0.21761458701884584,2.2693252297821256,49.84825519774024,-0.2281854331978733,1,0
12,12,33354975,-4,-0.5369221567907978,-1.8061147724574171,40.23512137953148,-0.5630036874790676,1,0
