detection_index,event_start_sample,event_end_sample,coarse_preamble_start_sample,selected_window_start_sample,selected_peak_bin,selected_signed_peak_bin,selected_peak_power,selected_confidence_db,selected_peak_share,window_count,timing_correction_samples,score
0,29442048,29573120,29444739,29442048,82158,-16146,0.2411028290849416,0.006261702021259814,0.00011303291466598309,9,-2691,1.0014428500811032
1,29741056,29868032,29740190,29741056,5193,5193,0.30338939308116153,0.17027191063976493,0.0001501657708059308,8,866,1.039985276997056
2,30023680,30146560,30020888,30023680,16753,16753,0.26598257607198633,0.5015580793362854,0.00012700853051535928,7,2792,1.1224210630089209
3,30400512,30523392,30401638,30400512,91551,-6753,0.34674086553128686,0.3374336016455597,0.00016833764754126682,7,-1126,1.0807950828452066
4,30650368,30777344,30650073,30650368,1768,1768,0.2603782852741635,0.07208433432391369,0.00012637854177650066,8,295,1.0167365439722402
5,31301632,31420416,31302165,31301632,95105,-3199,0.29477814373577416,0.1860279801206315,0.00014574632609327606,6,-533,1.0437651639268635
6,31715328,31834112,31714791,31715328,3221,3221,0.31787316983173053,0.7486957184367713,0.00015852647535204953,6,537,1.1881453477481811
7,32108544,32256000,32108633,32108544,97772,-532,0.5779527322161297,1.7184180154508135,0.00018558559205421107,13,-89,1.4853944659118057
8,32477184,32595968,32476298,32477184,5314,5314,0.31823278232283225,0.46604290514427427,0.00012434226542080453,6,886,1.1132797012253506
9,32702464,32821248,32702178,32702464,1715,1715,0.26744342794688103,0.0700752759473464,0.00013221419999656853,6,286,1.0162663075881888
10,33013760,33132544,33012420,33013760,8039,8039,0.27370445052277825,0.00673959941803986,0.00013610849730530985,6,1340,1.0015530548577758
11,33361920,33492992,33363167,33361920,90823,-7481,0.29440456972833084,0.6052736849840146,0.0001519179447611782,9,-1247,1.1495486837369984
12,33787904,33906688,33790084,33787904,85225,-13079,0.25496833230786836,0.5994416835248877,0.0001344604226327107,6,-2180,1.1480060276621384
