phase_index,phase_sample,copy_count,peak_bin,signed_peak_bin,peak_power,median_power,peak_to_median,selected
0,29444739,1,82158,-16146,0.2411028290849416,0.24075545505708643,1.0014428500811032,True
1,29740190,1,5193,5193,0.30338939308116153,0.2917247001392121,1.039985276997056,True
2,30020888,1,16753,16753,0.26598257607198633,0.23697218881384474,1.1224210630089209,True
3,30401638,1,91551,-6753,0.34674086553128686,0.3208201730697064,1.0807950828452066,True
4,30650073,1,1768,1768,0.2603782852741635,0.25609218712342513,1.0167365439722402,True
5,31302165,1,95105,-3199,0.29477814373577416,0.28241807058089285,1.0437651639268635,True
6,31714791,1,3221,3221,0.31787316983173053,0.267537276002617,1.1881453477481811,True
7,32108633,1,97772,-532,0.5779527322161297,0.3890904035793313,1.4853944659118057,True
8,32476298,1,5314,5314,0.31823278232283225,0.28585159863470416,1.1132797012253506,True
9,32702178,1,1715,1715,0.26744342794688103,0.2631627418423227,1.0162663075881888,True
10,33012420,1,8039,8039,0.27370445052277825,0.27328003164210335,1.0015530548577758,True
11,33363167,1,90823,-7481,0.29440456972833084,0.2561044816051364,1.1495486837369984,True
12,33790084,1,85225,-13079,0.25496833230786836,0.2220966843067015,1.1480060276621384,True
