packet_index,event_index,detected_start_sample,header_start_sample,frame_valid,grlora_framesync_valid,grlora_netid_valid,grlora_fine_payload_start_sample,grlora_synced_payload_start_sample,grlora_cfo_int_est,grlora_cfo_frac_est,grlora_sfo_hat,grlora_sfo_cum_initial,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid_offset,xcopy_alignment_valid,xcopy_alignment_score,xcopy_soft_boundary_score,xcopy_soft_boundary_rank,relative_delay_samples,relative_cfo_hz,relative_phase_rad
0,20,30235170,30383539,1,0,0,30383539,30383539,-27,-0.18153032449276907,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,47.31656827231164,308.05519260891185,1,-11,-7.753723395377554,-1.1881554854942211
2,22,33235902,33384271,1,0,0,33384271,33384271,-27,-0.19150399937717566,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,46.32351085584031,308.05519260891185,1,-9,-6.53623378546464,1.6819668496199667
3,23,34736268,34884637,1,0,0,34884637,34884637,-27,-0.198434254935421,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,48.249938906247024,308.05519260891185,1,-8,-5.69025532376477,3.0950408976498753
4,24,36236634,36385003,1,0,0,36385003,36385003,-27,-0.20605326004022118,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,40.98173081597377,308.05519260891185,1,-7,-4.760200989682717,-0.8141425316592711
5,25,37737001,37885370,1,0,0,37885370,37885370,-27,-0.21418596545800028,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,36.431223740637364,308.05519260891185,1,-5,-3.7674390978639782,0.4589076494090511
6,26,39237366,39385735,1,0,0,39385735,39385735,-27,-0.22416171715417477,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,40.74493057922953,308.05519260891185,1,-5,-2.549695970889554,0.1928445648837229
7,27,40737733,40886102,1,0,0,40886102,40886102,-27,-0.2289812912190996,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,30.027064282765682,308.05519260891185,1,-3,-1.9613690586672838,-1.2804290407797085
8,28,42238099,42386468,1,0,0,42386468,42386468,-27,-0.23665302057486315,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,44.22990214511146,308.05519260891185,1,-2,-1.0248786587938041,0.9812514040081787
9,29,43738464,43886833,1,0,0,43886833,43886833,-27,-0.24282902078030943,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,39.281784884807976,308.05519260891185,1,-2,-0.2709723837150718,-0.18569989628042027
10,30,45238831,45387200,1,0,0,45387200,45387200,-27,-0.245048826547702,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,inf,308.05519260891185,1,0,0.0,0.0
11,31,46739196,46887565,1,0,0,46887565,46887565,-27,-0.2520006719129846,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,45.70682316466413,308.05519260891185,1,0,0.8486139361916423,-1.828769441527106
12,32,48239561,48387930,1,0,0,48387930,48387930,-27,-0.25341626753084157,-0.006983045116502896,-0.10197479564441858,0.0,0,0,1,71.60363224225853,308.05519260891185,1,0,1.0214161356372575,2.5568799302813154
