phase_index,phase_sample,copy_count,peak_bin,signed_peak_bin,peak_power,median_power,peak_to_median,selected
0,0,8,1526,1526,0.22093631104424294,0.06050259428209721,3.651683265251623,False
1,4096,8,31912,-856,0.2253028120161077,0.06168691021678065,3.652360139685173,False
2,8192,8,29361,-3407,0.23968868911974178,0.06426703605122758,3.7295743486393977,False
3,12288,8,28973,-3795,0.22516588710686702,0.06521457312681526,3.452692800258201,False
4,16384,8,694,694,0.24412913443170925,0.06630251137597275,3.682049584024939,False
5,20480,8,3748,3748,0.23288582859875184,0.06767245318287354,3.4413682029439165,False
6,24576,8,3253,3253,0.24635731415089349,0.0678736781054512,3.6296443780185768,False
7,28672,8,705,705,0.27186973924777497,0.06877557180588542,3.952998602688606,False
8,32768,8,705,705,0.2687466894218717,0.06965939612995917,3.8580106109517205,False
9,36864,8,22767,-10001,0.2617802168656768,0.06714556907129285,3.8986968237282733,False
10,40960,8,45,45,0.2565545506869474,0.06387118967094504,4.016749210538877,False
11,45056,8,5234,5234,0.239721266766636,0.06417982263067643,3.7351500353329885,False
12,49152,8,28745,-4023,0.2645755968477302,0.06430247505694052,4.114547637761155,False
13,53248,8,707,707,0.2699143420328951,0.06440837768077756,4.190671334257966,False
14,57344,8,8169,8169,0.24751138845822704,0.06483285426507882,3.8176845869879448,False
15,61440,8,583,583,0.2610031542973083,0.06336816065198575,4.118837466826951,False
16,65536,8,25766,-7002,0.23868421116726468,0.06340313681378199,3.764548934988682,False
17,69632,8,25766,-7002,0.2583052356989674,0.06393403770717074,4.040183366519901,False
18,73728,8,2707,2707,0.25025531921305594,0.06362746205610953,3.933133762153984,False
19,77824,8,3589,3589,0.2764254097450614,0.06291683147356911,4.393504937723789,False
20,81920,8,2707,2707,0.23919182395160743,0.062144566108940626,3.8489579850360456,False
21,86016,8,899,899,0.247863134118743,0.059603703212439116,4.158519030861403,False
22,90112,8,32113,-655,0.23822940670847312,0.059385805400337596,4.011554699014301,False
23,94208,8,2933,2933,0.23325810078967457,0.060423561380665,3.860383192578832,False
24,98304,8,31682,-1086,0.2322998986111527,0.06029414817919698,3.852776855238865,False
25,102400,8,31682,-1086,0.21323413130243143,0.060320896457919895,3.53499605980134,False
26,106496,8,2355,2355,0.24746156537543226,0.06097973755404036,4.0580949558225194,False
27,110592,8,31795,-973,0.21715375293591463,0.05961746129243111,3.6424521982032796,False
28,114688,8,3226,3226,0.2338840187792911,0.05955601136752703,3.927126975242949,False
29,118784,8,3226,3226,0.23879063765620415,0.06043827490072033,3.950983677950049,False
30,122880,8,1193,1193,0.2183457542185262,0.05802910609913747,3.76269373933664,False
31,126976,8,1956,1956,0.2184594496402726,0.058156596192708715,3.756400201215036,False
32,131072,8,1956,1956,0.23214850548490754,0.057750256451508455,4.019869689753451,False
33,135168,8,6798,6798,0.19306267367391075,0.056417828148536533,3.42201534531986,False
34,139264,8,5800,5800,0.19243867308101553,0.05507559261235823,3.4940826590004743,False
35,143360,8,29983,-2785,0.22104856766228936,0.05529990137255517,3.9972687505007687,False
36,147456,8,29856,-2912,0.2302744928669444,0.056490484788827414,4.0763412409674995,False
37,151552,8,29168,-3600,0.21966841041403884,0.05685797470029194,3.8634582320588873,False
38,155648,8,29168,-3600,0.21599936435819012,0.058435335383610204,3.6963827269959175,False
39,159744,8,31022,-1746,0.21772115009299967,0.05815479956790293,3.743820831826327,False
40,163840,8,31022,-1746,0.24670567401763552,0.05885814029105293,4.191530225006743,False
41,167936,8,683,683,0.23240434989291964,0.05951218280343155,3.905155868010254,False
42,172032,8,683,683,0.23078469315098885,0.058910999827887583,3.9175144510404123,False
43,176128,8,4861,4861,0.2051312893603911,0.05838595918490689,3.51336677900153,False
44,180224,8,447,447,0.22531221625074682,0.058259691575688735,3.867377429522261,False
45,184320,8,5077,5077,0.20349649725919758,0.05765752525374021,3.5294004791854445,False
46,188416,8,29584,-3184,0.24340930484836942,0.056444120022715774,4.31239436012839,False
47,192512,8,29584,-3184,0.21725652149619654,0.05531242872965281,3.9278065795676413,False
48,196608,8,30530,-2238,0.19523463564397964,0.055114284092537436,3.542360004462341,False
49,200704,8,3256,3256,0.2400560492239022,0.05594921846804915,4.290605942261565,False
50,204800,8,3256,3256,0.23028768824066656,0.057446826887287854,4.008710327769659,False
51,208896,8,25025,-7743,0.2316710882882361,0.059256954549119015,3.9096016670279656,False
52,212992,8,3256,3256,0.2310614723945362,0.059922390093392966,3.8560122857985433,False
53,217088,8,4899,4899,0.2232430356536883,0.06193620505237933,3.6044028765548695,False
54,221184,8,2001,2001,0.2096703487319844,0.06346093519373569,3.3039278115252424,False
55,225280,8,1498,1498,0.23052031037884152,0.06312338421318506,3.65190037340696,False
56,229376,8,4821,4821,0.22574209578940277,0.06251045695836749,3.611269326342455,False
57,233472,8,6223,6223,0.2319175444640042,0.0634070057478886,3.657601265483615,False
58,237568,8,7950,7950,0.3116451684582414,0.06367218836649823,4.894525796167181,False
59,241664,8,7950,7950,0.31222384089606636,0.0633822251701794,4.9260473272712435,False
60,245760,8,7950,7950,0.32305397586030915,0.06268665238762366,5.153473084871417,False
61,249856,8,7950,7950,0.3201702032231598,0.06239073684213091,5.131694533970576,False
62,253952,8,7950,7950,0.3189481662085791,0.06201781036551823,5.142847906573521,False
63,258048,8,366,366,0.26145521208672046,0.062304984867929986,4.196377105956065,False
64,262144,8,2654,2654,0.25210628173950433,0.06323791408612571,3.9866318391867392,False
65,266240,8,4862,4862,0.20807837609096638,0.06234198017068843,3.337692763708513,False
66,270336,8,26258,-6510,0.21621036622410514,0.060952157840740026,3.5472143051774214,False
67,274432,8,213,213,0.2162634690795512,0.05912980428648042,3.657435902066705,False
68,278528,8,2902,2902,0.22038308901879983,0.05789674717814393,3.8064848158169866,False
69,282624,8,2902,2902,0.23132032121122714,0.057357027374977804,4.032990058898021,False
70,286720,8,31126,-1642,0.22051334354322258,0.056950155517377296,3.872041112792694,False
71,290816,8,30345,-2423,0.22093187677295892,0.0558775882942657,3.9538549088674877,False
72,294912,8,31983,-785,0.2350600210925588,0.055647882828209386,4.224060452007001,False
73,299008,8,31983,-785,0.20954289183664604,0.054982462231575116,3.8110859960052963,False
74,303104,8,30720,-2048,0.2419450333775271,0.05615713287951404,4.308358012091246,False
75,307200,8,30720,-2048,0.2187741335312554,0.05762897732802219,3.7962522271738477,False
76,311296,8,31266,-1502,0.20975526360060864,0.058499527839084554,3.5855890012922034,False
77,315392,8,72,72,0.2051665511635323,0.058722475939020274,3.493833457849858,False
78,319488,8,4000,4000,0.21138806419414832,0.05941499777203074,3.557823312646121,False
79,323584,8,31980,-788,0.21764686457232976,0.05974266196186344,3.6430727628317605,False
80,327680,8,3426,3426,0.223454200552344,0.05903578870698003,3.7850633564233918,False
81,331776,8,1621,1621,0.22549933882506942,0.059237917378130396,3.8066722937886373,False
82,335872,8,3637,3637,0.20958619002185086,0.057838362392447704,3.6236535986229406,False
83,339968,8,32307,-461,0.22391141946760598,0.05686015655310721,3.9379318144942745,False
84,344064,8,32106,-662,0.19723114466402583,0.05581323378971999,3.533770241787227,False
85,348160,8,1976,1976,0.2054699170912785,0.05569359294663916,3.689291823713765,False
86,352256,8,1125,1125,0.21954833497437148,0.05607560757169,3.9152199054408703,False
87,356352,8,1125,1125,0.2130678888960031,0.056537773854675615,3.7685935325941844,False
88,360448,8,29915,-2853,0.19159547931105606,0.05693461027891746,3.3651846982432527,False
89,364544,8,31858,-910,0.21617551963311282,0.05719488147136263,3.779630520632366,False
90,368640,8,1402,1402,0.21090462593643536,0.05892754320477189,3.579050041226842,False
91,372736,8,1402,1402,0.2190780318281264,0.059747934738204375,3.666704678380159,False
92,376832,8,1402,1402,0.19466671245296693,0.058864434503059684,3.3070344444207387,False
93,380928,8,681,681,0.20348410265585926,0.05797708048806766,3.5097335178465667,False
94,385024,8,2771,2771,0.21206847776130955,0.057628887140399335,3.6798988889834745,False
95,389120,8,31762,-1006,0.2044265674571642,0.057590035816169616,3.5496864094633387,False
96,393216,8,30348,-2420,0.23979303014105433,0.056963903741585525,4.2095610446374225,False
97,397312,8,3113,3113,0.23718311277510645,0.05573337784746683,4.255674461796268,False
98,401408,8,30118,-2650,0.22465656696134986,0.05500974877972563,4.083940973098012,False
99,405504,8,975,975,0.22626542781214154,0.0560978872513916,4.03340373226852,False
100,409600,8,24552,-8216,313.4762963819796,0.09443943390599421,3319.3368852042936,False
101,413696,8,32745,-23,732212.0299131552,0.1588078850987796,4610678.0495043695,False
102,417792,8,32744,-24,2640127.496514464,0.18973601933320355,13914740.626438582,False
103,421888,8,32744,-24,5776954.824363617,0.22218104089567017,26001115.13149454,False
104,425984,8,32744,-24,9865863.11815827,0.251063231480957,39296328.10014472,False
105,430080,8,32744,-24,14637827.530505158,0.27731116906602504,52784846.639264055,True
106,434176,8,32744,-24,19779962.482508842,0.2981568863090003,66340786.98423728,True
107,438272,8,32744,-24,24993308.329084694,0.3223451534829669,77535858.87372546,True
108,442368,8,32744,-24,30024276.98290098,0.37969028738529825,79075704.54240577,True
109,446464,8,32744,-24,30223341.16722152,0.3845248281572646,78599192.96254298,True
110,450560,8,32744,-24,30420478.218023248,0.38822966216216903,78356913.91688712,True
111,454656,8,32744,-24,30572533.14458478,0.3931874135132212,77755625.16463096,True
112,458752,8,32744,-24,30746065.626213636,0.39601800152394817,77638050.56309883,True
113,462848,8,32744,-24,30940798.23610954,0.4035141794783205,76678341.95098437,True
114,466944,8,32744,-24,31152433.292471528,0.3994182594647282,77994514.65794227,True
115,471040,8,32744,-24,31381735.433040135,0.4013295825066508,78194423.73780179,True
116,475136,8,32744,-24,31576863.352851763,0.4044511361659958,78073370.37592573,True
117,479232,8,32744,-24,31748130.338536795,0.39738447311424663,79892729.80328378,True
118,483328,8,32744,-24,31869808.992302712,0.40211007843939617,79256429.27426888,True
119,487424,8,32744,-24,31951958.634004693,0.4036109820117453,79165235.97733739,True
120,491520,8,32744,-24,32042299.655479115,0.40159652973607013,79787292.17739348,True
121,495616,8,32744,-24,32134696.61344779,0.4001661604485988,80303383.41808759,True
122,499712,8,32744,-24,32285843.858818043,0.40033448319744713,80647171.83729209,True
123,503808,8,32744,-24,32462701.834764328,0.40488163289948687,80178252.59765068,True
124,507904,8,32744,-24,32672561.065331083,0.40699743171243896,80277069.38557696,True
125,512000,8,32744,-24,32898071.54461654,0.4042167304138492,81387209.06216452,True
126,516096,8,32744,-24,33092780.65964755,0.4038366330235141,81945960.20643988,True
127,520192,8,32744,-24,33273778.253146827,0.4028694795881101,82591955.80455889,True
128,524288,8,32744,-24,33399715.04844828,0.40301112036165976,82875417.97475855,True
129,528384,8,32744,-24,33508793.693331163,0.4093687322777224,81854795.08141392,True
130,532480,8,32744,-24,33598325.67299187,0.40286188360330344,83399117.76333751,True
131,536576,8,32744,-24,33680140.717302956,0.4056079969956561,83036185.10180326,True
132,540672,8,32744,-24,33775378.63314194,0.4008610875213293,84257064.81511453,True
133,544768,8,32744,-24,28068826.521361675,0.46638438973781293,60183889.38176321,True
134,548864,8,32744,-24,22221686.997826405,0.48314691086259826,45993643.958423264,True
135,552960,8,32744,-24,16519751.264531063,66.82995831237008,247190.80606508913,False
136,557056,8,32744,-24,11236590.106084561,25.677085006065788,437611.5942845577,False
137,561152,8,32744,-24,6657142.773076602,27.688082643018298,240433.5055954204,False
138,565248,8,32744,-24,3111261.5464561675,29.79411645985305,104425.36702333589,False
139,569344,8,32744,-24,847025.7756344712,28.594302494845167,29622.186999916106,False
140,573440,8,232,232,679982.0549113303,27.723706684653465,24527.097427694844,False
141,577536,8,232,232,727619.3068615188,26.393943668182693,27567.661582101788,False
142,581632,8,31152,-1616,1679654.168810572,25.72918391810564,65282.061574778454,False
143,585728,8,31152,-1616,1774775.7218565927,25.12522982558851,70637.19353719472,False
144,589824,8,31152,-1616,1754114.599828464,4.60489267909613,380924.10009711015,False
145,593920,8,31152,-1616,1753388.595250828,1.423392460702013,1231837.7704389847,False
146,598016,8,31152,-1616,1753835.5776393462,1.4734270278102375,1190310.4426188269,False
147,602112,8,31344,-1424,570646.8700336773,1.5213124253552013,375101.6954327713,False
148,606208,8,1200,1200,521522.47598524747,1.4591052363696453,357426.2246380744,False
149,610304,8,1200,1200,523329.4378872462,1.0519276241587867,497495.669728938,False
150,614400,8,1200,1200,524754.9288690184,1.1361550435013845,461869.1188940526,False
151,618496,8,31568,-1200,559089.9570124281,1.246310776349048,448595.94221774314,False
152,622592,8,31568,-1200,559201.275134699,1.065645507299306,524753.5613901266,False
153,626688,8,31567,-1201,570918.1155047007,1.0422643677747283,547767.0859300614,False
