copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,5,7542785,6,11.551178888846355,2.010174912330033,1262349.4805018322,12.112288954550955,1,0
1,6,9043150,4,8.5101584337352,3.131296232853268,1401746.2765100556,8.92354788981232,1,0
2,7,10543515,4,6.596410984654715,2.6277233253149745,1336756.0276169595,6.9168382446453025,1,0
3,8,12043880,2,5.746515906081315,0.5953959559740644,1365319.2149967025,6.025658662735121,1,0
4,9,13544245,3,4.737217128774091,-0.1097736955915038,1397143.2298429657,4.967332188021421,1,0
5,10,15044610,1,3.142783314999514,-2.702821103133012,1097888.8631579347,3.2954471573089306,1,0
6,11,16544975,1,1.1074750677291594,0.05146654040375825,1173150.447958052,1.161271776619171,1,0
7,12,18045340,0,0.0,0.0,inf,0.0,1,1
8,13,19545705,0,-2.7631363588020985,2.595881021590882,1962462.7378140436,-2.8973584705672693,1,0
9,14,21046070,0,-2.1313783009693776,0.06116581029162395,1169703.6096863016,-2.234912133317266,1,0
