copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,9,14535477,0,0.0,0.0,inf,0.0,1,1
1,10,16035842,13,-11.492187842430946,-0.3984010988582069,13.264816631090834,-12.050432359064871,0,0
2,11,17536207,-13,23.81794287803826,1.4045985190066466,13.983307855648139,24.974923271281845,0,0
3,12,19036572,-30,-62.94743139201309,-2.900204160794603,18.47649737726755,-66.00516581931151,0,0
4,13,20536937,0,-43.82738766876837,2.015754507666131,14.543322765336015,-45.95634685216646,0,0
5,14,22037302,9,70.51525145154335,-2.2691442809110782,15.70087190531128,73.94060030605353,0,0
6,15,23537667,-10,88.5885580309191,-1.122677765365673,12.815855160946489,92.89183582582903,0,0
7,16,25038032,-16,41.04402602883329,0.79711070557639,15.471360946739262,43.03778063720989,0,0
8,17,26538397,23,14.400433821540453,-0.6205432778883841,16.22405629669167,15.099949294855602,0,0
9,18,28038762,21,2.017437535191413,3.099003872983761,19.732270766620577,2.1154365809008713,0,0
10,19,29539127,6,42.19244393193553,-0.41101504480287937,17.85390145361426,44.24198408837323,0,0
11,20,31039492,15,-88.57992200502623,-1.6408129786062262,12.716407074721015,-92.88278029634239,0,0
12,21,32539857,-28,50.54669682685714,-1.4373477446396903,15.332929690326388,53.002053171918554,0,0
