payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,17,803,-221,802,16,16,1,2,2,802 803,801 802,14,17,17
1,17,711,-313,710,16,16,1,2,2,710 711,709 710,14,17,17
2,17,922,-102,921,16,16,1,2,2,921 922,920 921,14,17,17
3,17,718,-306,717,16,16,1,2,2,717 718,716 717,14,17,17
4,17,756,-268,755,16,16,1,2,2,755 756,754 755,14,17,17
5,17,109,109,108,16,16,1,2,2,108 109,107 108,14,17,17
6,17,932,-92,931,16,16,1,2,2,931 932,930 931,14,17,17
7,17,468,468,467,16,16,1,2,2,467 468,466 467,14,17,17
8,17,89,89,88,16,16,1,2,2,88 89,87 88,14,17,17
9,17,713,-311,712,16,16,1,2,2,712 713,711 712,14,17,17
10,17,865,-159,864,16,16,1,2,2,864 865,863 864,14,17,17
11,17,92,92,91,16,16,1,2,2,91 92,90 91,14,17,17
12,17,645,-379,644,16,16,1,2,2,644 645,643 644,14,17,17
13,17,426,426,425,16,16,1,2,2,425 426,424 425,14,17,17
14,17,765,-259,764,16,16,1,2,2,764 765,763 764,14,17,17
15,17,1023,-1,1022,16,16,1,2,2,1022 1023,1021 1022,14,17,17
16,17,597,-427,596,16,16,1,2,2,596 597,595 596,14,17,17
17,17,562,-462,561,16,16,1,2,2,561 562,560 561,14,17,17
18,17,827,-197,826,16,16,1,2,2,826 827,825 826,14,17,17
19,17,890,-134,889,16,16,1,2,2,889 890,888 889,14,17,17
20,17,174,174,173,16,16,1,2,2,173 174,172 173,14,17,17
21,17,267,267,266,16,16,1,2,2,266 267,265 266,14,17,17
22,17,917,-107,916,16,16,1,2,2,916 917,915 916,14,17,17
23,17,656,-368,655,16,16,1,2,2,655 656,654 655,14,17,17
24,17,889,-135,888,16,16,1,2,2,888 889,887 888,14,17,17
25,17,66,66,65,16,16,1,2,2,65 66,64 65,14,17,17
26,17,586,-438,585,16,16,1,2,2,585 586,584 585,14,17,17
27,17,425,425,424,16,16,1,2,2,424 425,423 424,14,17,17
28,17,860,-164,859,16,16,1,2,2,859 860,858 859,14,17,17
29,17,553,-471,552,16,16,1,2,2,552 553,551 552,14,17,17
30,17,629,-395,628,16,16,1,2,2,628 629,627 628,14,17,17
31,17,759,-265,758,16,16,1,2,2,758 759,757 758,14,17,17
32,17,494,494,493,16,16,1,2,2,493 494,492 493,14,17,17
33,17,303,303,302,16,16,1,2,2,302 303,301 302,14,17,17
34,17,1022,-2,1021,16,16,1,2,2,1021 1022,1020 1021,14,17,17
35,17,720,-304,719,16,16,1,2,2,719 720,718 719,14,17,17
36,17,314,314,313,16,16,1,2,2,313 314,312 313,14,17,17
37,17,602,-422,601,16,16,1,2,2,601 602,600 601,14,17,17
38,17,7,7,6,16,16,1,2,2,6 7,5 6,14,17,17
39,17,414,414,413,16,16,1,2,2,413 414,412 413,14,17,17
40,17,807,-217,806,16,16,1,2,2,806 807,805 806,14,17,17
41,17,195,195,194,16,16,1,2,2,194 195,193 194,14,17,17
42,17,826,-198,825,16,16,1,2,2,825 826,824 825,14,17,17
43,17,928,-96,927,16,16,1,2,2,927 928,926 927,14,17,17
44,17,761,-263,760,16,16,1,2,2,760 761,759 760,14,17,17
45,17,590,-434,589,16,16,1,2,2,589 590,588 589,14,17,17
46,17,383,383,382,16,16,1,2,2,382 383,381 382,14,17,17
47,17,267,267,266,16,16,1,2,2,266 267,265 266,14,17,17
48,17,314,314,313,16,16,1,2,2,313 314,312 313,14,17,17
