scenario,target_tx_dbm,interferer_tx_dbm,trial,symbol_count,target_power_w,interference_power_w,noise_power_w,theoretical_noise_power_w,target_snr_db,target_sinr_db,mean_savaux_margin_db,mean_branch_color_mismatch,conditional_screen_rate,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
thermal_only,-58.0,-74.0,0,50,5.868489728897074e-17,0.0,1.9911079550467705e-15,1.9924677175759936e-15,-15.305684586842268,-15.305684586842268,6.037625391551721,1.2793075757414865,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-58.0,-74.0,1,50,5.868489672287681e-17,0.0,1.994198865560604e-15,1.9924677175759936e-15,-15.31242120240394,-15.31242120240394,6.053058550068824,1.2769272158937417,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-60.0,-74.0,0,50,3.702766695454186e-17,0.0,1.9911079550467705e-15,1.9924677175759936e-15,-17.30568458684227,-17.30568458684227,4.028637528650278,1.2796076948269381,0.02,0.02,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,0,0.0,1,0,0,0.0,1,0
thermal_only,-60.0,-74.0,1,50,3.702766659736073e-17,0.0,1.994198865560604e-15,1.9924677175759936e-15,-17.31242120240394,-17.31242120240394,3.992597695537918,1.2770078343522906,0.02,0.02,0,0.0,1,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02,0,0
thermal_only,-62.0,-74.0,0,50,2.3362878413934714e-17,0.0,1.9911079550467705e-15,1.9924677175759936e-15,-19.305684586842272,-19.305684586842272,2.214948584016086,1.2796909022657104,0.1,0.1,4,0.08,1,0,5,0.1,0,0,8,0.16,0,3,5,0.1,1,1,5,0.1,1,1,5,0.1,1,1
thermal_only,-62.0,-74.0,1,50,2.3362878188568666e-17,0.0,1.994198865560604e-15,1.9924677175759936e-15,-19.312421202403943,-19.312421202403943,2.1122167577837714,1.2772636363305119,0.18,0.18,6,0.12,0,0,6,0.12,0,0,7,0.14,0,1,8,0.16,0,2,7,0.14,0,1,7,0.14,0,1
thermal_only,-64.0,-74.0,0,50,1.4740979723469875e-17,0.0,1.9911079550467705e-15,1.9924677175759936e-15,-21.305684586842272,-21.305684586842272,1.1186804570229705,1.2797002016982806,0.36,0.36,21,0.42,1,2,20,0.4,0,0,23,0.46,1,4,23,0.46,1,4,22,0.44,0,2,22,0.44,0,2
thermal_only,-64.0,-74.0,1,50,1.474097958127351e-17,0.0,1.994198865560604e-15,1.9924677175759936e-15,-21.312421202403943,-21.312421202403943,1.0298239577950101,1.2772218233398398,0.42,0.42,24,0.48,2,0,26,0.52,0,0,27,0.54,0,1,26,0.52,1,1,26,0.52,0,0,26,0.52,0,0
one_interferer,-58.0,-74.0,0,50,5.868489728897074e-17,1.1092996671196942e-16,1.9911033454696063e-15,1.9924677175759936e-15,-15.305674532559483,-15.541132454598392,2.019389917170663,1.279303872342648,0.16,0.16,4,0.08,1,1,4,0.08,0,0,6,0.12,0,2,5,0.1,0,1,5,0.1,0,1,5,0.1,0,1
one_interferer,-58.0,-74.0,1,50,5.868489672287681e-17,1.1092969893805351e-16,1.994089808122642e-15,1.9924677175759936e-15,-15.312183691795232,-15.547297801428194,2.1473161649696415,1.2771850834321776,0.06,0.06,9,0.18,0,0,9,0.18,0,0,9,0.18,0,0,9,0.18,0,0,7,0.14,2,0,7,0.14,2,0
one_interferer,-60.0,-74.0,0,50,3.702766695454186e-17,1.1092996671196942e-16,1.9911033454696063e-15,1.9924677175759936e-15,-17.305674532559486,-17.54113245459839,1.2041945898038862,1.2793238587943507,0.28,0.28,24,0.48,0,2,22,0.44,0,0,23,0.46,0,1,24,0.48,1,3,18,0.36,5,1,20,0.4,3,1
one_interferer,-60.0,-74.0,1,50,3.702766659736073e-17,1.1092969893805351e-16,1.994089808122642e-15,1.9924677175759936e-15,-17.312183691795234,-17.547297801428194,1.0440446481159382,1.2773090916657388,0.28,0.28,22,0.44,0,1,21,0.42,0,0,20,0.4,3,2,22,0.44,0,1,21,0.42,1,1,21,0.42,1,1
one_interferer,-62.0,-74.0,0,50,2.3362878413934714e-17,1.1092996671196942e-16,1.9911033454696063e-15,1.9924677175759936e-15,-19.30567453255949,-19.541132454598397,1.418806574746099,1.279435466181781,0.22,0.22,43,0.86,0,1,42,0.84,0,0,42,0.84,0,0,41,0.82,2,1,38,0.76,4,0,39,0.78,3,0
one_interferer,-62.0,-74.0,1,50,2.3362878188568666e-17,1.1092969893805351e-16,1.994089808122642e-15,1.9924677175759936e-15,-19.312183691795234,-19.547297801428197,1.1314949990008412,1.2777572754521236,0.26,0.26,44,0.88,0,0,44,0.88,0,0,44,0.88,0,0,44,0.88,1,1,39,0.78,5,0,39,0.78,5,0
one_interferer,-64.0,-74.0,0,50,1.4740979723469875e-17,1.1092996671196942e-16,1.9911033454696063e-15,1.9924677175759936e-15,-21.30567453255949,-21.541132454598397,1.6662616763050015,1.2796026949123693,0.16,0.16,49,0.98,0,1,48,0.96,0,0,48,0.96,0,0,49,0.98,0,1,46,0.92,2,0,47,0.94,1,0
one_interferer,-64.0,-74.0,1,50,1.474097958127351e-17,1.1092969893805351e-16,1.994089808122642e-15,1.9924677175759936e-15,-21.31218369179524,-21.547297801428197,1.4818610318352308,1.2775088412715225,0.2,0.2,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0
two_interferers,-58.0,-74.0,0,50,5.868489728897074e-17,1.2979845974089273e-16,1.9909926669857325e-15,1.9924677175759936e-15,-15.305433116708766,-15.579715488527903,2.0749468240353433,1.280614473032675,0.1,0.1,5,0.1,1,1,5,0.1,0,0,4,0.08,2,1,4,0.08,1,0,1,0.02,4,0,1,0.02,4,0
two_interferers,-58.0,-74.0,1,50,5.868489672287681e-17,1.3010470452731166e-16,1.9940527335073904e-15,1.9924677175759936e-15,-15.312102945930937,-15.586603579638602,1.8217471559008658,1.2767990743959023,0.12,0.12,7,0.14,0,1,6,0.12,0,0,7,0.14,0,1,8,0.16,0,2,4,0.08,2,0,5,0.1,1,0
two_interferers,-60.0,-74.0,0,50,3.702766695454186e-17,1.2979845974089273e-16,1.9909926669857325e-15,1.9924677175759936e-15,-17.30543311670877,-17.579715488527906,1.0108038428214043,1.2807358346455815,0.34,0.34,26,0.52,0,3,23,0.46,0,0,22,0.44,2,1,26,0.52,0,3,20,0.4,3,0,20,0.4,3,0
two_interferers,-60.0,-74.0,1,50,3.702766659736073e-17,1.3010470452731166e-16,1.9940527335073904e-15,1.9924677175759936e-15,-17.312102945930935,-17.586603579638602,1.1594370353848824,1.2769156806968045,0.28,0.28,28,0.56,1,2,27,0.54,0,0,27,0.54,1,1,28,0.56,0,1,24,0.48,4,1,26,0.52,2,1
two_interferers,-62.0,-74.0,0,50,2.3362878413934714e-17,1.2979845974089273e-16,1.9909926669857325e-15,1.9924677175759936e-15,-19.30543311670877,-19.57971548852791,1.0153804919881324,1.2805898430804763,0.3,0.3,44,0.88,0,2,42,0.84,0,0,42,0.84,0,0,43,0.86,1,2,40,0.8,2,0,40,0.8,2,0
two_interferers,-62.0,-74.0,1,50,2.3362878188568666e-17,1.3010470452731166e-16,1.9940527335073904e-15,1.9924677175759936e-15,-19.31210294593094,-19.586603579638606,1.4102576655201429,1.2769458369146545,0.12,0.12,45,0.9,1,0,46,0.92,0,0,45,0.9,1,0,45,0.9,1,0,45,0.9,1,0,45,0.9,1,0
two_interferers,-64.0,-74.0,0,50,1.4740979723469875e-17,1.2979845974089273e-16,1.9909926669857325e-15,1.9924677175759936e-15,-21.30543311670877,-21.579715488527906,1.2190701936587423,1.2803891910423382,0.2,0.2,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0
two_interferers,-64.0,-74.0,1,50,1.474097958127351e-17,1.3010470452731166e-16,1.9940527335073904e-15,1.9924677175759936e-15,-21.312102945930942,-21.586603579638606,1.6132091240821291,1.2772944028647446,0.08,0.08,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0,49,0.98,0,0
