scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,gls8_direct_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-60.0,0,0,596,596,596,596,596,596,596,4.926041265946607,1.2889252620124834,0
thermal_only,-60.0,0,1,975,975,975,975,975,975,975,3.545227334761316,1.2568634255905275,0
thermal_only,-60.0,0,2,938,938,938,938,938,938,938,6.218811194210806,1.2817977278352408,0
thermal_only,-60.0,0,3,11,11,11,1013,11,11,11,0.05898355449261167,1.2869524506054144,1
thermal_only,-60.0,0,4,664,664,664,664,664,664,664,2.1284027947568482,1.2613321896582659,0
one_interferer,-60.0,0,0,596,935,935,935,934,935,935,0.37465805390917895,1.2867639029893791,1
one_interferer,-60.0,0,1,975,975,975,975,975,975,975,1.0213520309766702,1.2665355775303595,0
one_interferer,-60.0,0,2,938,938,938,938,938,938,938,0.5549506713767584,1.267181533846693,0
one_interferer,-60.0,0,3,11,11,11,11,11,11,11,2.1561468016652854,1.2933136409916681,0
one_interferer,-60.0,0,4,664,623,623,623,623,623,623,1.1826545917845785,1.2670498602271463,0
