scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,equal8_wrap_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
one_interferer,-63.0,0,0,596,596,596,596,596,596,596,596,596,1.0391409119007695,1.2918218376203174,0
one_interferer,-63.0,0,1,975,975,975,975,975,975,975,975,975,0.9901584442539928,1.2808113693132281,0
one_interferer,-63.0,0,2,938,938,938,938,938,938,938,938,938,4.011487637363702,1.284839822995409,0
one_interferer,-63.0,0,3,11,11,11,11,11,11,11,11,11,1.7380942956762917,1.2793363314703077,0
one_interferer,-63.0,0,4,664,664,664,664,664,935,935,664,664,0.4189187234458426,1.2679176841342445,1
one_interferer,-63.0,0,5,67,157,157,157,157,157,157,157,157,0.4544860267820749,1.2768206055952875,1
one_interferer,-63.0,0,6,336,257,257,336,336,336,336,336,336,0.07784955720726944,1.2825975527431863,1
one_interferer,-63.0,0,7,207,207,207,207,207,207,207,207,207,2.592444879869431,1.289357844457742,0
one_interferer,-63.0,0,8,261,261,261,261,261,261,261,261,261,1.6103028889877953,1.2904954765649814,0
one_interferer,-63.0,0,9,540,540,540,540,540,540,540,540,540,1.1504200017180672,1.2771356328282673,0
one_interferer,-63.0,0,10,499,499,499,499,499,499,499,499,499,4.124159359242156,1.2725280737152853,0
one_interferer,-63.0,0,11,475,354,354,354,475,354,354,475,354,0.631585990048317,1.2788370916927359,0
one_interferer,-63.0,0,12,596,596,596,596,596,596,596,596,596,1.3045463533782309,1.2631032563955888,0
one_interferer,-63.0,0,13,229,229,229,229,229,229,229,229,229,4.104049126719323,1.284041944534904,0
one_interferer,-63.0,0,14,993,884,884,884,884,884,884,884,884,0.3032777665742251,1.285128087337733,1
one_interferer,-63.0,0,15,993,993,993,993,993,993,993,993,993,0.42678393745374743,1.2825940624329253,1
one_interferer,-63.0,0,16,597,597,597,597,597,597,597,597,597,1.7908959973223477,1.2965949811349948,0
one_interferer,-63.0,0,17,758,709,758,758,758,709,709,758,758,0.18990967147275664,1.2763595954989493,1
one_interferer,-63.0,0,18,296,296,296,296,296,296,296,296,296,1.1877748302382671,1.2740626538482773,0
one_interferer,-63.0,0,19,478,478,478,478,478,478,478,478,478,0.5043117248785768,1.2850453666651576,0
one_interferer,-63.0,0,20,79,79,79,79,79,79,79,79,79,1.5075258342681508,1.2673315158699423,0
one_interferer,-63.0,0,21,77,77,77,77,77,77,77,77,77,2.1046572630805036,1.2575786819311905,0
one_interferer,-63.0,0,22,8,743,743,743,8,743,743,743,743,0.0493677665359924,1.295119029041353,1
one_interferer,-63.0,0,23,301,301,301,301,301,301,301,301,301,4.383518654376564,1.2694273938429934,0
one_interferer,-63.0,0,24,881,149,149,881,881,881,881,881,881,0.03420801363435899,1.2839919232715156,1
one_interferer,-63.0,0,25,988,988,988,988,988,988,988,988,988,3.52331911830637,1.2969594039746881,0
one_interferer,-63.0,0,26,178,178,178,178,178,178,178,178,178,3.0735359301145944,1.2643411958502786,0
one_interferer,-63.0,0,27,929,929,929,929,929,929,929,929,929,2.634091190800951,1.278474718811127,0
one_interferer,-63.0,0,28,360,360,360,360,360,360,360,360,360,2.8227173325287547,1.2797233799053487,0
one_interferer,-63.0,0,29,115,115,115,115,115,115,115,115,115,3.9868999719916465,1.2899751984109287,0
one_interferer,-63.0,0,30,919,919,919,919,919,919,919,919,919,2.819371892993954,1.295518447238561,0
one_interferer,-63.0,0,31,540,540,540,540,540,540,540,540,540,3.1042445547956756,1.2713312411378024,0
one_interferer,-63.0,0,32,332,332,332,332,332,332,332,332,332,2.927353628965891,1.2724476805034683,0
one_interferer,-63.0,0,33,292,202,202,292,292,292,292,292,292,0.08057571090665941,1.2584015595642377,1
one_interferer,-63.0,0,34,193,612,612,612,612,612,612,612,612,1.6763251632060248,1.280656304369257,0
one_interferer,-63.0,0,35,635,635,635,635,635,635,635,635,635,3.638473521128655,1.2842156284746347,0
one_interferer,-63.0,0,36,286,286,286,286,286,286,286,286,286,1.7240741949007377,1.2750382154845246,0
one_interferer,-63.0,0,37,446,446,446,446,446,446,446,446,446,0.5814042621355304,1.2744731655142671,0
one_interferer,-63.0,0,38,562,562,562,562,562,562,562,562,562,5.396101342416101,1.287827233021922,0
one_interferer,-63.0,0,39,23,631,23,631,23,23,23,23,23,0.15617884256334938,1.2715184561466244,1
one_interferer,-63.0,0,40,87,87,87,87,87,87,87,87,87,2.329574392918948,1.2944951796476651,0
one_interferer,-63.0,0,41,249,24,24,24,24,24,24,24,24,0.2588883117158239,1.2783991914379156,1
one_interferer,-63.0,0,42,114,114,114,114,114,114,114,114,114,2.2391478514402614,1.2793514187029984,0
one_interferer,-63.0,0,43,105,105,105,105,105,105,105,105,105,0.8363360416531154,1.2728766240657134,0
one_interferer,-63.0,0,44,116,116,116,116,116,116,116,116,116,1.4417170057244806,1.2922455273849391,0
one_interferer,-63.0,0,45,869,869,869,869,869,869,869,869,869,2.2674967536592443,1.2748656583075535,0
one_interferer,-63.0,0,46,246,246,246,246,246,246,246,246,246,3.5712066879895548,1.2928750138607954,0
one_interferer,-63.0,0,47,673,673,673,673,673,673,673,673,673,1.3026004216919538,1.2791660915137475,0
one_interferer,-63.0,0,48,265,265,265,265,265,265,265,265,265,5.018175450025187,1.282766541528829,0
one_interferer,-63.0,0,49,104,104,104,104,104,104,104,104,104,3.8964468390629756,1.2642836938096547,0
one_interferer,-63.0,0,50,272,272,272,272,272,272,272,272,272,2.2372605025982613,1.2684620281412282,0
one_interferer,-63.0,0,51,759,759,759,759,759,759,759,759,759,1.6615853193443781,1.2935020140283002,0
one_interferer,-63.0,0,52,429,429,429,429,429,429,429,429,429,2.0706998385126325,1.2841522913110748,0
one_interferer,-63.0,0,53,880,880,880,880,880,880,880,880,880,0.9647209725073237,1.2843022224450193,0
one_interferer,-63.0,0,54,720,720,720,720,720,720,720,720,720,3.8751602698555216,1.2856437789338904,0
one_interferer,-63.0,0,55,326,326,326,326,326,326,326,326,326,0.6790029829443168,1.2843595531345922,0
one_interferer,-63.0,0,56,853,853,853,853,853,853,853,853,853,4.227934086500293,1.2597373223229928,0
