snr_label,added_snr_db,chip_delta,selected_offset,decisions,fixed_q0_errors,choice_errors,savaux_errors,fixes_vs_fixed_q0,breaks_vs_fixed_q0,mean_gt_to_mean_energy,mean_gt_margin_db,mean_gt_energy_gain_db,gt_energy_improved_symbols,segment_valid_count,mean_head_energy_gain_db,mean_tail_energy_gain_db,mean_total_segment_gain_db,mean_head_tail_coherence_delta,mean_abs_phase_error_reduction_deg
clean,,-1,0,8,0,0,0,0,0,43.1491761457786,7.804880484940697,0.0,0,8,0.0,0.0,0.0,0.0,0.0
clean,,-1,1,8,0,0,0,0,0,43.26326150534259,7.810204104527033,0.013188379745665616,6,8,0.1896650323316455,0.0,0.013188379745664013,0.0010692409006161502,1.2450510416696607
clean,,-1,2,8,0,0,0,0,0,43.179818539392286,7.795980326620267,0.007148100734269058,5,8,0.20542848132115804,0.0,0.007148100734266671,0.0009104992320045635,1.043378359766629
clean,,-1,3,8,0,0,0,0,0,43.24534847131156,7.784560827671294,0.010739945388371001,5,8,0.2081123873190251,0.0,0.010739945388367244,0.0002884434942161812,0.47192619071567193
clean,,0,0,8,0,0,0,0,0,43.1491761457786,7.804880484940697,0.0,0,8,0.0,0.0,0.0,0.0,0.0
clean,,0,1,8,0,0,0,0,0,43.11090721245294,7.800041192912188,-0.003028404099198562,3,8,0.0,-0.0006549151257786018,-0.0030284040991991855,8.619113165773962e-05,0.32534776349917016
clean,,0,2,8,0,0,0,0,0,42.91909732641018,7.764438226954772,-0.019549250421234447,3,8,0.0,-0.011597344144871935,-0.019549250421231817,-0.00021467809719352693,-0.1825491673309409
clean,,0,3,8,0,0,0,0,0,42.964424548547306,7.7343073451988005,-0.015278607079929517,4,8,0.0,-0.029266701758148387,-0.015278607079931129,-0.0002750187696611561,-0.23797575900100185
clean,,1,0,8,0,0,0,0,0,43.1491761457786,7.804880484940697,0.0,0,8,0.0,0.0,0.0,0.0,0.0
clean,,1,1,8,0,0,0,0,0,43.253447094964166,7.778960584131645,0.009649479560403728,4,8,0.0,0.006472747844860346,0.009649479560404933,-4.273643697982887e-06,-0.15010693796928062
clean,,1,2,8,0,0,0,0,0,43.26200463616031,7.849493562661845,0.007208752304088177,4,8,0.0,0.025333222417058137,0.007208752304089255,-0.0001261099680763128,-0.16600166221035206
clean,,1,3,8,0,0,0,0,0,43.239020871791595,7.8136133389664835,0.010745123815618336,5,8,0.0,0.024794676256428397,0.010745123815621439,1.1125020555294296e-05,-0.14940259942626835
