packet_index,block_index,gt_codewords_all_in_top_n,gt_codeword_min_rank,gt_codeword_max_rank,gt_codeword_mean_rank,gt_nibble_max_rank,gt_block_in_default_candidates,gt_block_in_wide_candidates,gt_block_wide_rank,default_block_candidate_count,wide_block_candidate_count,selected_source,selected_crc_valid
1,0,1,1,4,2.3,4,0,0,0,64,512,argmax_fallback,0
1,1,1,1,4,1.8,4,0,0,0,64,512,argmax_fallback,0
1,2,0,1,14,7.0,14,0,0,0,64,512,argmax_fallback,0
1,3,0,1,8,4.2,8,0,0,0,64,512,argmax_fallback,0
1,4,0,1,6,3.1,6,0,0,0,64,512,argmax_fallback,0
1,5,0,1,10,4.0,10,0,0,0,64,512,argmax_fallback,0
1,6,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
2,0,1,1,2,1.7,2,0,0,0,64,512,argmax_fallback,0
2,1,0,2,13,6.3,13,0,0,0,64,512,argmax_fallback,0
2,2,1,1,4,2.0,4,0,0,0,64,512,argmax_fallback,0
2,3,1,1,4,2.5,4,0,0,0,64,512,argmax_fallback,0
2,4,1,1,3,1.7,3,0,0,0,64,512,argmax_fallback,0
2,5,0,3,11,7.4,11,0,0,0,64,512,argmax_fallback,0
2,6,1,1,2,1.3,2,1,1,1,64,512,argmax_fallback,0
3,0,0,1,15,8.1,15,0,0,0,64,512,argmax_fallback,0
3,1,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
3,2,0,1,6,3.0,6,0,0,0,64,512,argmax_fallback,0
3,3,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
3,4,1,1,4,2.2,4,0,0,0,64,512,argmax_fallback,0
3,5,1,1,2,1.4,2,1,1,2,64,512,argmax_fallback,0
3,6,1,1,3,1.9,3,0,0,0,64,512,argmax_fallback,0
5,0,0,1,10,5.2,10,0,0,0,64,512,argmax_fallback,0
5,1,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
5,2,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
5,3,0,1,10,3.2,10,0,0,0,64,512,argmax_fallback,0
5,4,1,1,2,1.3,2,1,1,2,64,512,argmax_fallback,0
5,5,0,1,11,5.0,11,0,0,0,64,512,argmax_fallback,0
5,6,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
6,0,1,1,2,1.2,2,1,1,1,64,512,argmax_fallback,0
6,1,1,1,2,1.2,2,1,1,4,64,512,argmax_fallback,0
6,2,1,1,3,1.4,3,0,1,4,64,512,argmax_fallback,0
6,3,1,1,2,1.6,2,0,0,0,64,512,argmax_fallback,0
6,4,0,1,8,3.2,8,0,0,0,64,512,argmax_fallback,0
6,5,1,1,2,1.4,2,0,1,7,64,512,argmax_fallback,0
6,6,0,1,6,2.9,6,0,0,0,64,512,argmax_fallback,0
8,0,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
8,1,1,1,4,2.1,4,0,0,0,64,512,argmax_fallback,0
8,2,0,1,5,2.7,5,0,0,0,64,512,argmax_fallback,0
8,3,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
8,4,1,1,4,2.4,4,0,0,0,64,512,argmax_fallback,0
8,5,0,1,8,3.3,8,0,0,0,64,512,argmax_fallback,0
8,6,1,1,3,1.4,3,1,1,2,64,512,argmax_fallback,0
9,0,1,1,3,2.1,3,0,0,0,64,512,argmax_fallback,0
9,1,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
9,2,0,1,9,2.9,9,0,0,0,64,512,argmax_fallback,0
9,3,1,1,4,1.5,4,0,1,7,64,512,argmax_fallback,0
9,4,0,1,8,4.0,8,0,0,0,64,512,argmax_fallback,0
9,5,0,1,9,5.4,9,0,0,0,64,512,argmax_fallback,0
9,6,1,1,2,1.5,2,0,0,0,64,512,argmax_fallback,0
10,0,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
10,1,0,1,7,3.8,7,0,0,0,64,512,argmax_fallback,0
10,2,1,1,2,1.6,2,0,0,0,64,512,argmax_fallback,0
10,3,0,1,8,3.2,8,0,0,0,64,512,argmax_fallback,0
10,4,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
10,5,0,1,6,3.8,6,0,0,0,64,512,argmax_fallback,0
10,6,1,1,2,1.2,2,1,1,27,64,512,argmax_fallback,0
11,0,1,1,2,1.1,2,1,1,1,64,512,argmax_fallback,0
11,1,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
11,2,1,1,2,1.5,2,0,1,15,64,512,argmax_fallback,0
11,3,1,1,2,1.4,2,1,1,2,64,512,argmax_fallback,0
11,4,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
11,5,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
11,6,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
12,0,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
12,1,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
12,2,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
12,3,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
12,4,1,1,2,1.6,2,0,1,2,64,512,argmax_fallback,0
12,5,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
12,6,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
13,0,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
13,1,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
13,2,1,1,4,1.7,4,0,1,6,64,512,argmax_fallback,0
13,3,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
13,4,1,1,1,1.0,1,1,1,1,64,512,argmax_fallback,0
13,5,1,1,3,2.3,3,0,0,0,64,512,argmax_fallback,0
13,6,1,1,2,1.4,2,0,1,4,64,512,argmax_fallback,0
