packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,40047344732022015801206365266001f043719cf0b424b73fd018438bf5423112,0,0xa7e7,0x0d50,2048,0,1024.000,-1,-3.984643941,0.000000000,-3.984643941,argmax_fallback,1,0.009813279,0.211792225,44.858,572.394,84.818,1164.340,1866.873,35,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8285714285714286,27.942857142857143,0.0,0.0
2,1,2,1,,33,1,1,0,40447762154413166802677062647023737d796e2abd35f27788c5eacb72dc3e03,0,0x0e1f,0x08a0,2048,0,1024.000,-1,-2.323641277,0.000000000,-2.323641277,argmax_fallback,1,-0.034590212,0.659879301,45.081,555.156,81.148,1162.871,1844.702,35,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.8285714285714286,21.571428571428573,0.0,0.0
3,2,3,1,,33,1,1,0,4064765050140000583031f2d17abfd63328382a3a5d5d0a2f3444534379571454,0,0x1981,0xe6e9,2048,0,1024.000,-1,-3.145381796,0.000000000,-3.145381796,argmax_fallback,1,-0.011000071,0.251169748,44.260,563.503,84.602,1125.435,1818.201,35,0.4,0.4,0.4,0.4,0.9428571428571428,6.857142857142857,0.0,0.0
5,3,5,1,,33,1,1,0,40d4ae2e090d0f005830312222253436573f292e79383536bf400160537b373412,0,0x9757,0x4be5,2048,0,1024.000,-1,-3.224391232,0.000000000,-3.224391232,argmax_fallback,1,-0.062578458,0.777229089,43.902,573.905,85.900,1187.493,1891.613,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,5.228571428571429,0.0,0.0
6,4,6,1,,33,1,1,0,40443102312017226b303022232525372729383b2b3d1d3e3f620313427c463452,0,0x7659,0x0e51,2048,0,1024.000,-1,-4.054216282,0.000000000,-4.054216282,argmax_fallback,1,-0.038839014,0.383894326,46.889,587.336,88.218,1141.809,1864.681,35,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.9142857142857143,48.34285714285714,0.0,0.0
8,5,8,1,,33,1,1,0,4044332211000940187071267771312676783d3a7f0ca53e84da0262451a56301a,0,0x0a78,0x8ea2,2048,0,1024.000,-1,-2.858320780,0.000000000,-2.858320780,argmax_fallback,1,-0.037712986,0.771144910,46.982,572.615,77.424,1156.937,1854.387,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,4.0,0.0,0.0
9,6,9,1,,33,1,1,0,40047b2a51c80200583031323237343734a8293aba3db1f27fc4e15bd9535dff1e,0,0x64e6,0x84fe,2048,0,1024.000,-1,-2.280434817,0.000000000,-2.280434817,argmax_fallback,1,-0.018318309,0.372410835,46.533,560.387,88.248,1303.810,1999.398,35,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,17.02857142857143,0.0,0.0
10,7,10,1,,33,1,1,0,4054332210101b885028b13366646072121a21123bbf353ebfc829242138721022,0,0xa071,0x1562,2048,0,1024.000,-1,-2.928513825,0.000000000,-2.928513825,argmax_fallback,1,-0.025642330,0.362715017,44.733,624.123,86.370,1315.024,2070.671,35,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.9428571428571428,8.457142857142857,0.0,0.0
11,8,11,1,,33,1,1,0,40043366510008005830315231745554b7b0393a333c3d3e3f4041424378561430,0,0x1bf3,0xef6f,2048,0,1024.000,-1,-1.649033662,0.000000000,-1.649033662,argmax_fallback,1,0.112395762,0.243206611,54.701,667.246,90.049,1260.792,2073.454,35,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9714285714285714,2.6285714285714286,0.0,0.0
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,2048,4,1024.000,0,2.889661612,0.000000000,-1.110338388,beam,0,-0.060017486,0.066933434,53.296,846.647,102.151,1451.031,2453.566,35,0.08571428571428572,0.0,0.08571428571428572,0.0,1.0,1.457142857142857,0.08571428571428572,0.08571428571428572
13,10,13,1,,33,1,1,0,40c43b221108060058303122b2343c3e3e38393a3b3c3d3e3f4001027629103002,0,0x28ed,0x4716,2048,0,1024.000,-1,-2.391856422,0.000000000,-2.391856422,argmax_fallback,1,-0.054620073,0.756487841,54.220,641.303,89.131,1348.907,2133.996,35,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.9714285714285714,5.771428571428571,0.0,0.0
