packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4d14,0x4d14,64,1,64.000,0,3.376884610,0.000000000,-0.623115390,beam,0,0.009813279,0.211792225,59.207,154.726,2.302,43.111,259.804,35,0.02857142857142857,0.0,0.02857142857142857,0.0,0.9714285714285714,1.0285714285714285,0.02857142857142857,0.02857142857142857
2,1,2,1,,33,1,1,0,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x08a0,0x08a0,64,1,64.000,0,3.642817279,0.000000000,-0.357182721,beam,0,-0.034590212,0.659879301,47.380,187.180,1.072,44.714,280.786,35,0.05714285714285714,0.0,0.05714285714285714,0.0,0.9428571428571428,1.0857142857142856,0.05714285714285714,0.05714285714285714
3,2,3,1,,33,1,1,0,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xc08d,0xc08d,64,1,64.000,1,3.419372849,0.000000000,-0.580627151,beam,0,-0.011000071,0.251169748,46.314,158.697,1.116,36.348,242.908,35,0.05714285714285714,0.0,0.05714285714285714,0.0,0.9428571428571428,1.1428571428571428,0.05714285714285714,0.05714285714285714
5,3,5,1,,33,1,1,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4be5,0x4be5,64,1,64.000,0,3.571191099,0.000000000,-0.428808901,beam,0,-0.062578458,0.777229089,45.728,163.611,1.105,46.342,257.526,35,0.02857142857142857,0.0,0.02857142857142857,0.0,0.9714285714285714,1.0285714285714285,0.02857142857142857,0.02857142857142857
6,4,6,1,,33,1,1,0,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,64,3,64.000,0,3.584610598,0.000000000,-0.415389402,beam,0,-0.038839014,0.383894326,44.292,152.448,1.114,43.723,241.986,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,5,8,1,,33,1,1,0,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,64,1,64.000,0,3.422801778,0.000000000,-0.577198222,beam,0,-0.037712986,0.771144910,43.629,152.310,1.091,40.766,238.212,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,6,9,1,,33,1,1,0,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,64,1,64.000,0,3.541925513,0.000000000,-0.458074487,beam,0,-0.018318309,0.372410835,46.124,167.229,1.061,42.564,257.414,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,7,10,1,,33,1,1,0,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,64,1,64.000,0,3.310892728,0.000000000,-0.689107272,beam,0,-0.025642330,0.362715017,46.364,164.624,1.202,39.130,251.745,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,8,11,1,,33,1,1,0,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,64,1,64.000,0,3.458236821,0.000000000,-0.541763179,beam,0,0.112395762,0.243206611,45.731,160.304,1.049,38.272,245.777,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,64,1,64.000,0,3.268093909,0.000000000,-0.731906091,beam,0,-0.060017486,0.066933434,44.939,153.130,1.135,37.384,237.348,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,10,13,1,,33,1,1,0,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4607,0x4607,64,1,64.000,0,3.366226800,0.000000000,-0.633773200,beam,0,-0.054620073,0.756487841,45.154,153.022,1.084,36.703,236.383,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
