packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,921600,1011712,19,3755,-341,2.681693075955257,922873,1273,4073,-23,30.30949067020767,0.9101593421106198,0,931077,1004805,1014021,180.83660339749088,4076,-20,15,4076,4,24,32,24,8,4058,4070,12,22.719528094192796,3.559315296344409,0,20,80,931157,1004885,1014101,931158,1014007,-63.9375,1023,15,16,0,24,24,32,24,8,-58,-46,-52.0,12,-0.20646830419512133,-0.33250006344738825,-0.30705814899658435,-0.30705814899658435,-1,-24,-47,-24.20646830419512,-2954.8911504144435,-0.006204241414854194,-0.024816965659416775,-6.0588295066935485e-06,125000.75735368834,-0.4063260116342514,-0.4326940376473818,-2,1,25,-23,0,0.06730596235261821,1.4166666666666667,6,0,12,,,,,,
1,1,2437120,2514944,16,443,443,1.5586570222350038,2435255,-1865,4073,-23,18.615057867292933,0.7788631891153445,1,2435260,2508988,2518204,510.12397234971934,4074,-22,16,2,10,24,32,0,0,4071,4071,0,18.650305320632807,20.059056897331935,1,22,88,2435348,2509076,2518292,2435348,2518192,0.0,0,16,16,24,32,24,32,0,0,-47,-47,-47.0,12,-0.42916033761813344,0.04005881273262468,0.08462352624009539,0.08462352624009539,0,-24,-47,-24.429160337618132,-2982.075236525651,-0.006261318519996445,-0.02504527407998578,-6.114568867184029e-06,125000.7643211084,-0.015557570079847705,-0.04216817378983262,0,25,33,1,1,-0.04216817378983262,1.0,1,0,12,,,,,,
2,2,3923968,4014080,19,136,136,10.521931183632253,3927432,3464,4074,-22,17.460349282763985,0.6834815008839632,1,3935608,4009336,4018552,454.08755512299956,4070,-26,16,4094,6,24,32,0,0,4075,4075,0,21.9793919151265,2.4727979496990002,1,26,104,3935712,4009440,4018656,3935712,4018557,0.0,0,16,16,24,32,24,32,0,0,-47,-47,-47.0,12,-0.27825675980667963,-0.1257330438665455,-0.10107446215651417,-0.10107446215651417,0,-24,-47,-24.27825675980668,-2963.654389624839,-0.006222641162550411,-0.024890564650201643,-6.0767980103031355e-06,125000.7595997513,-0.20063672075732075,-0.22708294569816,-1,25,33,1,1,0.02291705430183999,1.0,1,0,12,,,,,,
3,3,5423104,5509120,18,3925,-171,2.935183344132753,5427198,4094,3925,-171,12.415810519700948,0.6274469912920443,1,5435902,5509630,5518846,438.63697467150223,4053,-43,16,4077,4085,24,32,0,0,4093,4093,0,16.474757707272843,8.447668208404366,1,43,172,5436074,5509802,5519018,5436075,5518920,0.0,0,16,16,24,32,24,32,0,0,-46,-46,-46.0,12,-0.22814255140766385,-0.3785076881636289,-0.34858212421987644,-0.34858212421987644,-1,-24,-47,-24.228142551407664,-2957.536932544881,-0.006209796635074755,-0.02483918654029902,-6.0642545264401904e-06,125000.75803181581,-0.4479388703810725,-0.47433050608014027,-2,25,33,1,1,0.02566949391985973,1.0,1,0,12,,,,,,
4,4,6922240,7008256,18,3618,-478,1.4233113655130225,6924059,1819,4073,-23,18.694656780080102,0.8218929643968563,0,6932266,7005994,7015210,137.4178876389936,4077,-19,15,4077,5,24,32,24,8,4067,4069,2,12.364294384484733,6.143425205858253,0,19,76,6932342,7006070,7015286,6932344,7015188,-64.0,1024,15,16,0,24,24,32,24,8,-48,-46,-47.0,12,-0.22884731159436633,-0.4396797491946355,-0.4086347456294823,-0.4086347456294823,-2,-24,-47,-24.228847311594365,-2957.622962841109,-0.006209977268708828,-0.024839909074835312,-6.064430926473465e-06,125000.75805386582,0.4920056180711765,0.46561321467916394,2,0,24,-24,0,-0.034386785320836055,1.8333333333333333,11,0,12,,,,,,
5,5,8425472,8515584,19,239,239,0.9525788712789812,8428518,3046,4073,-23,30.734819781194634,0.8050594040764935,1,8436710,8510438,8519654,485.468786456488,4073,-23,16,1,9,24,32,0,0,4073,4073,0,24.599197066598915,3.8907819281078346,1,23,92,8436802,8510530,8519746,8436803,8519648,0.0,0,16,16,24,32,24,32,0,0,-46,-46,-46.0,12,-0.2470649666885119,-0.2848509571368202,-0.25708662691737416,-0.25708662691737416,-1,-24,-47,-24.247064966688512,-2959.846797691469,-0.006214646546721477,-0.024858586186885908,-6.068990768282692e-06,125000.75862384605,-0.3565209716649178,-0.3829332194884841,-2,25,33,1,1,0.11706678051151592,1.0,1,0,12,,,,,,
6,6,9924608,10010624,18,4028,-68,4.473966213103285,9928702,4094,4028,-68,16.850828161716837,0.7635935177887305,1,9937071,10010799,10020015,439.8487605683285,4072,-24,16,0,8,24,32,0,0,4073,4073,0,19.357538031068223,3.2384733385527285,1,24,96,9937167,10010895,10020111,9937167,10020012,0.0,0,16,16,24,32,24,32,0,0,-47,-47,-47.0,12,-0.2696020429472565,-0.10768830771369076,-0.08045094965645372,-0.08045094965645372,0,-24,-47,-24.269602042947255,-2962.59790563321,-0.006220422914431837,-0.02488169165772735,-6.074631752374841e-06,125000.75932896904,-0.17997771628736314,-0.20641451367369845,-1,25,33,1,1,0.04358548632630155,1.0,1,0,12,,,,,,
7,7,11423744,11509760,18,3721,-375,3.615444487985803,11425155,1411,4074,-22,28.914911486670572,0.863281614865905,0,11433355,11507083,11516299,236.8446656180261,4076,-20,15,4076,4,24,32,24,8,4069,4069,0,25.478394599857605,1.0528062288638942,0,20,80,11433435,11507163,11516379,11433436,11516284,-64.0,1024,15,16,0,24,24,32,24,8,-47,-47,-47.0,12,-0.32000643507340576,-0.17752647445165837,-0.16126994319153964,-0.16126994319153964,-1,-24,-47,-24.320006435073406,-2968.7507855314216,-0.006233341817478318,-0.024933367269913274,-6.08724786863117e-06,125000.76090598358,-0.2610034122711927,-0.2874951149954756,-1,1,25,-23,0,-0.03749511499547559,1.4166666666666667,6,0,12,,,,,,
8,8,12926976,13012992,18,342,342,4.491202115483636,12929612,2636,4073,-23,28.425340655908933,0.8610644501185508,1,12937804,13011532,13020748,452.2994783977682,4073,-23,16,1,9,24,32,0,0,4072,4072,0,21.639000000903998,2.1745525599218793,1,23,92,12937896,13011624,13020840,12937897,13020741,0.0,0,16,16,24,32,24,32,0,0,-47,-47,-47.0,12,-0.3483401354552673,-0.20258443373744783,-0.18439375695707227,-0.18439375695707227,-1,-24,-47,-24.348340135455267,-2972.2094891913166,-0.006240603889546665,-0.02496241555818666,-6.094339735885415e-06,125000.76179246699,-0.2842434191898189,-0.31076598572039227,-1,25,33,1,1,-0.06076598572039227,1.0,1,0,12,,,,,,
9,9,14426112,14516224,19,35,35,9.265849378761049,14429977,3865,4073,-23,18.30215015251999,0.7554760227756377,1,14438169,14511897,14521113,526.7765231199782,4073,-23,16,1,9,24,32,0,0,4072,4072,0,25.29141086915512,11.05983272569067,1,23,92,14438261,14511989,14521205,14438261,14521106,0.0,0,16,16,24,32,24,32,0,0,-47,-47,-47.0,12,-0.3905926756700688,-0.0465618069544349,-0.012234812556043417,-0.012234812556043417,0,-24,-47,-24.390592675670067,-2977.3672699792564,-0.006251433431328191,-0.025005733725312763,-6.104915460281436e-06,125000.76311443253,-0.11225774745729444,-0.13882633954043927,-1,25,33,1,1,0.11117366045956073,1.0,1,0,12,,,,,,
