snr_label,added_snr_db,seed,method,decisions,errors,ser,wrong_group_errors,wrong_alias_bin_errors,wrong_group_fraction_of_errors,wrong_alias_bin_fraction_of_errors,alias_bin_accuracy,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
clean,,0,litenap_savaux_k1,32,0,0.0,0,0,0.0,0.0,1.0,0,0,1.0,3.73966352418402,1024,0.25,0|1|2|3,0,0
clean,,0,litenap_savaux_k2,32,0,0.0,0,0,0.0,0.0,1.0,0,0,1.0,6.766283577108799,2048,0.5,0|1|2|3,0|1,0
clean,,0,litenap_single,32,27,0.84375,27,0,1.0,0.0,1.0,0,27,1.4901161193847648e-08,0.0,256,0.0625,0,0,0
clean,,0,savaux,32,0,0.0,0,0,0.0,0.0,1.0,0,0,1.0,20.13208362120084,4096,1.0,0|1|2|3,0|1|2|3,0
-21,-21.0,42,litenap_savaux_k1,32,18,0.5625,2,16,0.1111111111111111,0.8888888888888888,0.5,0,18,7.629394531250002e-06,-0.35660144218021483,1024,0.25,0|1|2|3,0,0
-21,-21.0,42,litenap_savaux_k2,32,1,0.03125,0,1,0.0,1.0,0.96875,0,1,1.0,3.324421221434931,2048,0.5,0|1|2|3,0|1,0
-21,-21.0,42,litenap_single,32,32,1.0,6,26,0.1875,0.8125,0.1875,0,32,4.656612873077396e-10,-4.66232483519471,256,0.0625,0,0,0
-21,-21.0,42,savaux,32,0,0.0,0,0,0.0,0.0,1.0,0,0,1.0,6.136841254723919,4096,1.0,0|1|2|3,0|1|2|3,0
-20,-20.0,42,litenap_savaux_k1,32,11,0.34375,1,10,0.09090909090909091,0.9090909090909091,0.6875,0,11,0.0009765624999999999,0.3672470424828708,1024,0.25,0|1|2|3,0,0
-20,-20.0,42,litenap_savaux_k2,32,0,0.0,0,0,0.0,0.0,1.0,0,0,1.0,3.5660364985111244,2048,0.5,0|1|2|3,0|1,0
-20,-20.0,42,litenap_single,32,31,0.96875,4,27,0.12903225806451613,0.8709677419354839,0.15625,0,31,9.313225746154776e-10,-3.823021842034782,256,0.0625,0,0,0
-20,-20.0,42,savaux,32,0,0.0,0,0,0.0,0.0,1.0,0,0,1.0,6.77925836395573,4096,1.0,0|1|2|3,0|1|2|3,0
