snr=clean seed=0 symbols=833
snr=-16 seed=42 symbols=833
snr=-16 seed=43 symbols=833
snr=-16 seed=44 symbols=833
snr=-17 seed=42 symbols=833
snr=-17 seed=43 symbols=833
snr=-17 seed=44 symbols=833
snr=-18 seed=42 symbols=833
snr=-18 seed=43 symbols=833
snr=-18 seed=44 symbols=833
snr=-19 seed=42 symbols=833
snr=-19 seed=43 symbols=833
snr=-19 seed=44 symbols=833
snr=-20 seed=42 symbols=833
snr=-20 seed=43 symbols=833
snr=-20 seed=44 symbols=833
snr=-21 seed=42 symbols=833
snr=-21 seed=43 symbols=833
snr=-21 seed=44 symbols=833
snr=-22 seed=42 symbols=833
snr=-22 seed=43 symbols=833
snr=-22 seed=44 symbols=833
snr=-23 seed=42 symbols=833
snr=-23 seed=43 symbols=833
snr=-23 seed=44 symbols=833
snr=-24 seed=42 symbols=833
snr=-24 seed=43 symbols=833
snr=-24 seed=44 symbols=833
snr=-25 seed=42 symbols=833
snr=-25 seed=43 symbols=833
snr=-25 seed=44 symbols=833
snr=-26 seed=42 symbols=833
snr=-26 seed=43 symbols=833
snr=-26 seed=44 symbols=833
snr=-27 seed=42 symbols=833
snr=-27 seed=43 symbols=833
snr=-27 seed=44 symbols=833
snr=-28 seed=42 symbols=833
snr=-28 seed=43 symbols=833
snr=-28 seed=44 symbols=833
Wrote 33320 trials to D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\litenap_savaux_error_modes_fine_snr_20260724
