snr_label,added_snr_db,noise_power_db_relative,seed,packet_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,header_bin_correction,header_bin_consensus,header_bin_observations,header_bin_residual,savaux_bin,savaux_correct,savaux_gt_rank,savaux_gt_margin_db,litenap_single_bin,litenap_single_correct,litenap_single_gt_rank,litenap_single_gt_margin_db,litenap_savaux_k1_bin,litenap_savaux_k1_correct,litenap_savaux_k1_gt_rank,litenap_savaux_k1_gt_margin_db,litenap_savaux_k2_bin,litenap_savaux_k2_correct,litenap_savaux_k2_gt_rank,litenap_savaux_k2_gt_margin_db,savaux_phase_bin,savaux_phase_correct,savaux_phase_gt_rank,savaux_phase_gt_margin_db,savaux_phase_alias_bin,savaux_phase_candidate_bins,savaux_phase_phase_jump_scores,savaux_phase_spectral_log_scores,savaux_phase_combined_scores,litenap_single_phase_bin,litenap_single_phase_correct,litenap_single_phase_gt_rank,litenap_single_phase_gt_margin_db,litenap_single_phase_alias_bin,litenap_single_phase_candidate_bins,litenap_single_phase_phase_jump_scores,litenap_single_phase_spectral_log_scores,litenap_single_phase_combined_scores,litenap_savaux_k1_phase_bin,litenap_savaux_k1_phase_correct,litenap_savaux_k1_phase_gt_rank,litenap_savaux_k1_phase_gt_margin_db,litenap_savaux_k1_phase_alias_bin,litenap_savaux_k1_phase_candidate_bins,litenap_savaux_k1_phase_phase_jump_scores,litenap_savaux_k1_phase_spectral_log_scores,litenap_savaux_k1_phase_combined_scores,litenap_savaux_k2_phase_bin,litenap_savaux_k2_phase_correct,litenap_savaux_k2_phase_gt_rank,litenap_savaux_k2_phase_gt_margin_db,litenap_savaux_k2_phase_alias_bin,litenap_savaux_k2_phase_candidate_bins,litenap_savaux_k2_phase_phase_jump_scores,litenap_savaux_k2_phase_spectral_log_scores,litenap_savaux_k2_phase_combined_scores
clean,,,0,0,0,8,623528,803,0,1.0,8,0,803,1,1,24.635676232833536,35,0,1,0.0,803,1,1,3.511639796748746,803,1,1,6.591010208824516,803,1,1,24.635676232833536,35,35|291|547|803,0.00691467811|0.0112823931|0.00334673101|495.743974,-14.0687348|-12.3471575|-11.6046826|0,-14.0683902|-12.3465965|-11.6045156|0.310403737,803,1,1,0.0,35,35|291|547|803,0.29821682|2.95092754|27.4035894|185.744459,0|0|0|0,0.0130495823|0.0686975186|0.167325776|0.261487058,803,1,1,3.511639796748746,35,35|291|547|803,46.7081865|196.42116|208.352876|118.897635,-0.808584945|-2.91267383|-1.00082591|0,-0.615329794|-2.64840686|-0.733624851|0.239331917,803,1,1,6.591010208824516,35,35|291|547|803,34.1445643|0.0105548713|148.517714|235.752947,-1.51763619|-10.9305224|-1.70253616|0,-1.33966269|-10.9299974|-1.45216542|0.273350859
clean,,,0,0,1,9,627624,711,0,1.0,8,0,711,1,1,22.358258866722736,199,0,1,0.0,711,1,1,4.225390491039958,711,1,1,7.267186015945254,711,1,1,22.358258866722736,199,199|455|711|967,0.00200718456|0.00235243571|497.456083|0.00559131822,-11.9870418|-12.2272572|0|-12.4495745,-11.9869415|-12.2271397|0.310575774|-12.4492957,711,1,1,0.0,199,199|455|711|967,7.17440293|49.7301322|202.083244|18.2393624,0|0|0|0,0.105050384|0.196326003|0.265680798|0.147847915,711,1,1,4.225390491039958,199,199|455|711|967,107.008704|136.423765|118.359717|1.54492071,-2.95178853|-1.00266436|0|-0.972932116,-2.71767794|-0.756510898|0.239107088|-0.926227141,711,1,1,7.267186015945254,199,199|455|711|967,0.0132658286|101.153296|240.967379|1.18243443,-10.8259627|-1.70389389|0|-1.67333142,-10.8253037|-1.47257016|0.274440146|-1.63430937
clean,,,0,0,2,10,631720,922,0,1.0,8,0,922,1,1,26.779622436199237,154,0,1,0.0,922,1,1,3.471656586046306,922,1,1,6.512557736777075,922,1,1,26.779622436199237,154,154|410|666|922,0.0123792146|0.00268908322|0.00719080746|506.221936,-12.988999|-12.942514|-14.6968676|0,-12.9883838|-12.9423798|-14.6965093|0.311447433,922,1,1,0.0,154,154|410|666|922,5.77379938|4.56759836|22.6464317|65.1841652,0|0|0|0,0.0956531069|0.0858481893|0.158160611|0.209622062,922,1,1,3.471656586046306,154,154|410|666|922,317.950815|395.532683|402.063391|144.162398,-0.79937847|-2.73325008|-0.975476034|0,-0.511126625|-2.43411215|-0.675521342|0.248892655,922,1,1,6.512557736777075,154,154|410|666|922,193.303065|0.00560052741|251.586336|267.717463,-1.49957184|-13.3328773|-1.66496925|0,-1.23610088|-13.332598|-1.3883816|0.279683025
clean,,,0,0,3,11,635816,718,0,1.0,8,0,718,1,1,23.877205245897663,206,0,1,0.0,718,1,1,4.248495645439799,718,1,1,7.247499899293923,718,1,1,23.877205245897663,206,206|462|718|974,0.00223026732|0.0105457205|302.348133|0.0587300118,-13.9645546|-13.4548137|0|-14.7214778,-13.9644432|-13.4542892|0.285744055|-14.7186243,718,1,1,0.0,206,206|462|718|974,12.8582137|57.7396797|107.778813|11.2118694,0|0|0|0,0.131443905|0.203655774|0.234465829|0.125120419,718,1,1,4.248495645439799,206,206|462|718|974,112.31159|138.132751|75.8535506|1.68790313,-2.85536348|-0.986232233|0|-0.978252274,-2.61885641|-0.739460807|0.217095084|-0.928814205,718,1,1,7.247499899293923,206,206|462|718|974,0.00310153444|99.5123929|150.499967|0.702180041,-13.0959555|-1.67507874|0|-1.66879852,-13.0958007|-1.44456468|0.25102927|-1.64220303
clean,,,0,0,4,12,639912,756,0,1.0,8,0,756,1,1,24.403250830322662,244,0,1,0.0,756,1,1,3.8260928731413406,756,1,1,6.852777806509982,756,1,1,24.403250830322662,244,244|500|756|1012,0.0435436495|0.0132975933|235.147023|0.000339713237,-12.9632505|-11.1644695|0|-12.5394673,-12.9611194|-11.163809|0.273222729|-12.5394503,756,1,1,0.0,244,244|500|756|1012,7.56229478|22.5337545|36.888347|0,0|0|0|0,0.107368412|0.157921788|0.18173218|0,756,1,1,3.8260928731413406,244,244|500|756|1012,145.707703|165.647592|59.0134401|5.08322701,-2.80263032|-0.98251996|0|-0.880990441,-2.55320821|-0.726725893|0.204728427|-0.790713676,756,1,1,6.852777806509982,244,244|500|756|1012,0.00387381898|116.691299|122.361826|3.86168822,-12.121679|-1.67394298|0|-1.5779104,-12.1214857|-1.43553973|0.240756086|-1.49884111
clean,,,0,0,5,13,644008,109,0,1.0,8,0,109,1,1,25.834808373783783,109,1,1,0.0,109,1,1,3.7574289364857294,109,1,1,6.765974241105628,109,1,1,25.834808373783783,109,109|365|621|877,31.7791094|0.0382269946|0.00784973865|0.00780295789,0|-11.8250116|-11.9991238|-12.275734,0.17448957|-11.8231359|-11.9987329|-12.2753454,365,0,1,0.0,109,109|365|621|877,17.7959301|39.0322586|20.0667585|12.9730176,0|0|0|0,0.146682018|0.18448428|0.152384819|0.131856408,109,1,1,3.7574289364857294,109,109|365|621|877,11.0236413|269.864599|302.334471|231.202725,0|-0.939500997|-2.66197189|-0.865179986,0.124343741|-0.659420044|-2.37623009|-0.592799446,109,1,1,6.765974241105628,109,109|365|621|877,19.531994|180.698119|0.00788632175|155.499784,0|-1.63423485|-13.723327|-1.55792314,0.151099218|-1.37411752|-13.7229343|-1.30527041
clean,,,0,0,6,14,648104,932,0,1.0,8,0,932,1,1,24.752081478410016,164,0,1,0.0,932,1,1,3.3936502358098615,932,1,1,6.432978854923297,932,1,1,24.752081478410016,164,164|420|676|932,0.0171332535|0.00863519622|0.00724624571|473.729239,-14.4152244|-12.9533041|-10.9374935|0,-14.414375|-12.9528742|-10.9371324|0.308137231,676,0,1,0.0,164,164|420|676|932,22.4173747|24.7457909|29.9977374|12.0820447,0|0|0|0,0.157673913|0.162413558|0.171695711|0.128562033,932,1,1,3.3936502358098615,164,164|420|676|932,343.976516|408.459174|426.664542|131.406884,-0.781416844|-2.5483109|-0.956154522|0,-0.489243027|-2.24756904|-0.653237566|0.244293982,932,1,1,6.432978854923297,164,164|420|676|932,208.099964|0.00249972689|261.461467|252.766451,-1.48124812|-12.6609762|-1.65066818|0,-1.2141075|-12.6608513|-1.37216296|0.276820718
clean,,,0,0,7,15,652200,468,0,1.0,8,0,468,1,1,23.662753598716193,212,0,1,0.0,468,1,1,4.137311363096937,468,1,1,7.127405972933315,468,1,1,23.662753598716193,212,212|468|724|980,0.0166801791|148.145021|0.0085407247|0.0158034242,-10.8461118|0|-13.4472217|-13.301045,-10.8452847|0.250245956|-13.4467965|-13.300261,724,0,1,0.0,212,212|468|724|980,19.0056319|16.4571252|28.9643451|0.200070437,0|0|0|0,0.149800691|0.142987394|0.170000409|0.00911901265,468,1,1,4.137311363096937,212,212|468|724|980,45.5009597|35.4242859|31.273758|4.21872672,-0.988600572|0|-0.952651147|-2.90904459,-0.796626924|0.179761787|-0.778938424|-2.82643192,468,1,1,7.127405972933315,212,212|468|724|980,34.4459655|75.826049|24.1211189|0.0334950354,-1.68018109|0|-1.64114587|-12.4573228,-1.50178062|0.217077188|-1.47996043|-12.4556755
clean,,,0,0,8,16,656296,89,0,1.0,8,0,89,1,1,23.285566407715184,89,1,1,0.0,89,1,1,3.702426002270307,89,1,1,6.712869061596377,89,1,1,23.285566407715184,89,89|345|601|857,7.26810923|0.0261425587|0.00421813191|0.0098805705,0|-11.9459173|-12.1786269|-12.9211547,0.105620293|-11.944627|-12.1784164|-12.920663,345,0,1,0.0,89,89|345|601|857,5.25226866|96.3444978|79.5726551|53.8837953,0|0|0|0,0.0916472192|0.228912811|0.219457966|0.200260907,89,1,1,3.702426002270307,89,89|345|601|857,5.14560074|290.76509|323.937971|272.283228,0|-0.924775051|-2.49154473|-0.852515092,0.090786825|-0.640977601|-2.20236301|-0.571989656,89,1,1,6.712869061596377,89,89|345|601|857,8.44240607|191.934291|0.00941037067|178.851498,0|-1.61935878|-14.3467331|-1.54569522,0.112260541|-1.3562413|-14.3462648|-1.28608865
clean,,,0,0,9,17,660392,713,0,1.0,8,0,713,1,1,24.9084842164263,201,0,1,0.0,713,1,1,4.1681721418279025,713,1,1,7.177621809907045,713,1,1,24.9084842164263,201,201|457|713|969,0.00403157468|0.0175201443|73.0656688|0.0790212723,-11.9742629|-12.847914|0|-15.0807362,-11.9740617|-12.8470456|0.215247606|-15.0769335,457,0,1,0.0,201,201|457|713|969,34.8790215|55.6472926|7.74211084|11.7129916,0|0|0|0,0.179007638|0.20184221|0.108407584|0.127131222,713,1,1,4.1681721418279025,201,201|457|713|969,106.740446|132.672268|22.7752583|0.857157484,-2.59825154|-0.962726614|0|-0.959757104,-2.36426529|-0.717957062|0.158432274|-0.92880475,713,1,1,7.177621809907045,201,201|457|713|969,0.00601121354|95.5961225|41.2106934|0.247945446,-11.4909838|-1.6527085|0|-1.65623532,-11.4906842|-1.42418157|0.187133679|-1.64516039
