trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,decision_q2,is_error,true_rank_q2,true_in_top4,true_in_top8,true_in_top16,signal_power,added_noise_power
10:11:0,10.0,11,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,2.2368709774690702e-05
10:11:1,10.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,3745,1,2,1,1,1,5.516800773616521e-08,2.259681596873327e-05
10:11:2,10.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3922,1,127,0,0,0,5.490116890765393e-08,2.248751878457505e-05
10:11:3,10.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3644,1,7,0,1,1,5.706549947195974e-08,2.337402858371471e-05
10:11:4,10.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,495,1,8,0,1,1,5.727483806912936e-08,2.3459773673115387e-05
10:11:5,10.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,544,1,8,0,1,1,5.998009479350775e-08,2.4567846827420775e-05
10:11:6,10.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3428,1,3,1,1,1,6.021993173101038e-08,2.4666084037021852e-05
10:11:7,10.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,47,1,13,0,0,1,6.297640756193777e-08,2.5795136537369707e-05
10:11:8,10.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,3873,1,4,1,1,1,6.501240630023145e-08,2.6629081620574803e-05
10:11:9,10.0,11,9,exp0_000000_rxg20_0_fulltrim,0,9,665,665,0,1,1,1,1,6.361536648147813e-08,2.605685411081344e-05
10:11:10,10.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,3898,1,39,0,0,0,6.285975786989332e-08,2.5747356823508304e-05
10:11:11,10.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,310,1,6,0,1,1,6.41980468785086e-08,2.629552000143712e-05
10:11:12,10.0,11,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,2.7192845417867575e-05
10:11:13,10.0,11,13,exp0_000000_rxg20_0_fulltrim,0,13,693,693,0,1,1,1,1,6.707617489640913e-08,2.747440123756918e-05
10:11:14,10.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,4059,1,36,0,0,0,6.669297009117698e-08,2.731744054934609e-05
10:11:15,10.0,11,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,1117,0,1,1,1,1,6.649173228138338e-08,2.7235013542454633e-05
12:11:0,12.0,11,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,1.4113701718886987e-05
12:11:1,12.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,313,0,1,1,1,1,5.516800773616521e-08,1.425762699733957e-05
12:11:2,12.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3922,1,18,0,0,0,5.490116890765393e-08,1.4188665136263938e-05
12:11:3,12.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,3644,1,3,1,1,1,5.706549947195974e-08,1.4748015004984768e-05
12:11:4,12.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3469,0,1,1,1,1,5.727483806912936e-08,1.4802116498895236e-05
12:11:5,12.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,3985,0,1,1,1,1,5.998009479350775e-08,1.5501263393825555e-05
12:11:6,12.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3165,0,1,1,1,1,6.021993173101038e-08,1.5563246882724594e-05
12:11:7,12.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,47,1,2,1,1,1,6.297640756193777e-08,1.62756308501228e-05
12:11:8,12.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,849,0,1,1,1,1,6.501240630023145e-08,1.68018146252642e-05
12:11:9,12.0,11,9,exp0_000000_rxg20_0_fulltrim,0,9,665,665,0,1,1,1,1,6.361536648147813e-08,1.644076347526666e-05
12:11:10,12.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,3898,1,4,1,1,1,6.285975786989332e-08,1.6245483888744786e-05
12:11:11,12.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,310,1,3,1,1,1,6.41980468785086e-08,1.6591351471832576e-05
12:11:12,12.0,11,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,1.7157525533718118e-05
12:11:13,12.0,11,13,exp0_000000_rxg20_0_fulltrim,0,13,693,693,0,1,1,1,1,6.707617489640913e-08,1.7335175246039986e-05
12:11:14,12.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,4059,1,9,0,0,1,6.669297009117698e-08,1.7236139747010963e-05
12:11:15,12.0,11,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,1117,0,1,1,1,1,6.649173228138338e-08,1.718413182162928e-05
14:11:0,14.0,11,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,8.905143757334474e-06
14:11:1,14.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,313,0,1,1,1,1,5.516800773616521e-08,8.995954468830487e-06
14:11:2,14.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,3922,1,2,1,1,1,5.490116890765393e-08,8.952442476095794e-06
14:11:3,14.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,2865,0,1,1,1,1,5.706549947195974e-08,9.305368383899235e-06
14:11:4,14.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3469,0,1,1,1,1,5.727483806912936e-08,9.339504118829394e-06
14:11:5,14.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,3985,0,1,1,1,1,5.998009479350775e-08,9.7806359870562e-06
14:11:6,14.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3165,0,1,1,1,1,6.021993173101038e-08,9.819744924613556e-06
14:11:7,14.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,1669,0,1,1,1,1,6.297640756193777e-08,1.0269228820933394e-05
14:11:8,14.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,849,0,1,1,1,1,6.501240630023145e-08,1.0601228338405174e-05
14:11:9,14.0,11,9,exp0_000000_rxg20_0_fulltrim,0,9,665,665,0,1,1,1,1,6.361536648147813e-08,1.0373420463581204e-05
14:11:10,14.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,713,0,1,1,1,1,6.285975786989332e-08,1.0250207374238173e-05
14:11:11,14.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,798,1,3,1,1,1,6.41980468785086e-08,1.046843506600503e-05
14:11:12,14.0,11,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,1.0825666748605895e-05
14:11:13,14.0,11,13,exp0_000000_rxg20_0_fulltrim,0,13,693,693,0,1,1,1,1,6.707617489640913e-08,1.0937756139340171e-05
14:11:14,14.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,4059,1,2,1,1,1,6.669297009117698e-08,1.0875268963863548e-05
14:11:15,14.0,11,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,1117,0,1,1,1,1,6.649173228138338e-08,1.0842454181372797e-05
16:11:0,16.0,11,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,5.618765857342127e-06
16:11:1,16.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,313,0,1,1,1,1,5.516800773616521e-08,5.676063542718009e-06
16:11:2,16.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,1433,0,1,1,1,1,5.490116890765393e-08,5.6486093313290855e-06
16:11:3,16.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,2865,0,1,1,1,1,5.706549947195974e-08,5.871290524915006e-06
16:11:4,16.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3469,0,1,1,1,1,5.727483806912936e-08,5.892828717578419e-06
16:11:5,16.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,3985,0,1,1,1,1,5.998009479350775e-08,6.171164109720392e-06
16:11:6,16.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3165,0,1,1,1,1,6.021993173101038e-08,6.195840181107022e-06
16:11:7,16.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,1669,0,1,1,1,1,6.297640756193777e-08,6.479445346715597e-06
16:11:8,16.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,849,0,1,1,1,1,6.501240630023145e-08,6.688922880628297e-06
16:11:9,16.0,11,9,exp0_000000_rxg20_0_fulltrim,0,9,665,665,0,1,1,1,1,6.361536648147813e-08,6.545185828877689e-06
16:11:10,16.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,713,0,1,1,1,1,6.285975786989332e-08,6.46744362522061e-06
16:11:11,16.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,797,0,1,1,1,1,6.41980468785086e-08,6.605135990109866e-06
16:11:12,16.0,11,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,6.8305339439279e-06
16:11:13,16.0,11,13,exp0_000000_rxg20_0_fulltrim,0,13,693,693,0,1,1,1,1,6.707617489640913e-08,6.9012575682500015e-06
16:11:14,16.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,2437,0,1,1,1,1,6.669297009117698e-08,6.861830825947204e-06
16:11:15,16.0,11,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,1117,0,1,1,1,1,6.649173228138338e-08,6.841126097927144e-06
18:11:0,18.0,11,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,3.5452015846045657e-06
18:11:1,18.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,313,0,1,1,1,1,5.516800773616521e-08,3.581353980014194e-06
18:11:2,18.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,1433,0,1,1,1,1,5.490116890765393e-08,3.5640315437014405e-06
18:11:3,18.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,2865,0,1,1,1,1,5.706549947195974e-08,3.7045338782720925e-06
18:11:4,18.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3469,0,1,1,1,1,5.727483806912936e-08,3.7181235591199022e-06
18:11:5,18.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,3985,0,1,1,1,1,5.998009479350775e-08,3.893741319020655e-06
18:11:6,18.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3165,0,1,1,1,1,6.021993173101038e-08,3.909310867494967e-06
18:11:7,18.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,1669,0,1,1,1,1,6.297640756193777e-08,4.088253629668219e-06
18:11:8,18.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,849,0,1,1,1,1,6.501240630023145e-08,4.220425018194036e-06
18:11:9,18.0,11,9,exp0_000000_rxg20_0_fulltrim,0,9,665,665,0,1,1,1,1,6.361536648147813e-08,4.12973306971806e-06
18:11:10,18.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,713,0,1,1,1,1,6.285975786989332e-08,4.080681055344551e-06
18:11:11,18.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,797,0,1,1,1,1,6.41980468785086e-08,4.167559064250274e-06
18:11:12,18.0,11,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,4.30977555864257e-06
18:11:13,18.0,11,13,exp0_000000_rxg20_0_fulltrim,0,13,693,693,0,1,1,1,1,6.707617489640913e-08,4.354399148836858e-06
18:11:14,18.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,2437,0,1,1,1,1,6.669297009117698e-08,4.32952255621198e-06
18:11:15,18.0,11,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,1117,0,1,1,1,1,6.649173228138338e-08,4.316458756002258e-06
20:11:0,20.0,11,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,3293,0,1,1,1,1,5.461110784836597e-08,2.23687097746907e-06
20:11:1,20.0,11,1,exp0_000000_rxg20_0_fulltrim,0,1,313,313,0,1,1,1,1,5.516800773616521e-08,2.259681596873327e-06
20:11:2,20.0,11,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,1433,0,1,1,1,1,5.490116890765393e-08,2.248751878457505e-06
20:11:3,20.0,11,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,2865,0,1,1,1,1,5.706549947195974e-08,2.3374028583714712e-06
20:11:4,20.0,11,4,exp0_000000_rxg20_0_fulltrim,0,4,3469,3469,0,1,1,1,1,5.727483806912936e-08,2.3459773673115385e-06
20:11:5,20.0,11,5,exp0_000000_rxg20_0_fulltrim,0,5,3985,3985,0,1,1,1,1,5.998009479350775e-08,2.4567846827420776e-06
20:11:6,20.0,11,6,exp0_000000_rxg20_0_fulltrim,0,6,3165,3165,0,1,1,1,1,6.021993173101038e-08,2.466608403702185e-06
20:11:7,20.0,11,7,exp0_000000_rxg20_0_fulltrim,0,7,1669,1669,0,1,1,1,1,6.297640756193777e-08,2.579513653736971e-06
20:11:8,20.0,11,8,exp0_000000_rxg20_0_fulltrim,0,8,849,849,0,1,1,1,1,6.501240630023145e-08,2.66290816205748e-06
20:11:9,20.0,11,9,exp0_000000_rxg20_0_fulltrim,0,9,665,665,0,1,1,1,1,6.361536648147813e-08,2.605685411081344e-06
20:11:10,20.0,11,10,exp0_000000_rxg20_0_fulltrim,0,10,713,713,0,1,1,1,1,6.285975786989332e-08,2.5747356823508306e-06
20:11:11,20.0,11,11,exp0_000000_rxg20_0_fulltrim,0,11,797,797,0,1,1,1,1,6.41980468785086e-08,2.629552000143712e-06
20:11:12,20.0,11,12,exp0_000000_rxg20_0_fulltrim,0,12,3881,3881,0,1,1,1,1,6.638878275846576e-08,2.7192845417867573e-06
20:11:13,20.0,11,13,exp0_000000_rxg20_0_fulltrim,0,13,693,693,0,1,1,1,1,6.707617489640913e-08,2.7474401237569177e-06
20:11:14,20.0,11,14,exp0_000000_rxg20_0_fulltrim,0,14,2437,2437,0,1,1,1,1,6.669297009117698e-08,2.731744054934609e-06
20:11:15,20.0,11,15,exp0_000000_rxg20_0_fulltrim,0,15,1117,1117,0,1,1,1,1,6.649173228138338e-08,2.7235013542454633e-06
