sf,n_bins,symbol,os_factor,sample_rate_hz,pair_separation_bins,expected_separation_bins,primary_amplitude,expected_primary_amplitude,secondary_amplitude,expected_secondary_amplitude,primary_amplitude_error,secondary_amplitude_error,wrap_ratio_error
7,128,0,8,1000000.0,128,128,32.0,32.0,4.330466296664781e-08,0.0,0.0,4.330466296664781e-08,1.3532708287300466e-09
7,128,0,4,500000.0,128,128,22.627416610717773,22.62741699796952,4.279970156062518e-08,0.0,3.8725174533738027e-07,4.279970156062518e-08,1.891497514172613e-09
7,128,0,2,250000.0,128,128,16.0,16.0,6.052791690080994e-08,0.0,0.0,6.052791690080994e-08,3.782994806300621e-09
7,128,0,1,125000.0,0,0,11.313708305358887,11.313708498984761,11.313708305358887,11.313708498984761,1.9362587444504697e-07,1.9362587444504697e-07,0.0
7,128,1,8,1000000.0,128,128,31.75,31.75,0.24999992549419403,0.25,0.0,7.450580596923828e-08,2.3101165425032377e-09
7,128,1,4,500000.0,128,128,22.450639724731445,22.450640302672884,0.17677661776542664,0.17677669529663687,5.779414387063753e-07,7.753121022968656e-08,3.200114950807631e-09
7,128,1,2,250000.0,128,128,15.875,15.875,0.12499990314245224,0.125,0.0,9.685754776000977e-08,6.006303010508418e-09
7,128,1,1,125000.0,0,0,11.313708305358887,11.313708498984761,11.313708305358887,11.313708498984761,1.9362587444504697e-07,1.9362587444504697e-07,0.0
7,128,16,8,1000000.0,128,128,28.0,28.0,4.0,4.0,0.0,0.0,0.0
7,128,16,4,500000.0,128,128,19.79899024963379,19.79898987322333,2.8284270763397217,2.82842712474619,3.764104583581229e-07,4.8406468167172534e-08,3.951266869250958e-09
7,128,16,2,250000.0,128,128,14.0,14.0,2.0,2.0,0.0,0.0,0.0
7,128,16,1,125000.0,0,0,11.313708305358887,11.313708498984761,11.313708305358887,11.313708498984761,1.9362587444504697e-07,1.9362587444504697e-07,0.0
7,128,64,8,1000000.0,128,128,16.0,16.0,16.0,16.0,0.0,0.0,0.0
7,128,64,4,500000.0,128,128,11.313708305358887,11.31370849898476,11.313708305358887,11.31370849898476,1.9362587266869014e-07,1.9362587266869014e-07,0.0
7,128,64,2,250000.0,128,128,8.0,8.0,8.0,8.0,0.0,0.0,0.0
7,128,64,1,125000.0,0,0,11.313708305358887,11.313708498984761,11.313708305358887,11.313708498984761,1.9362587444504697e-07,1.9362587444504697e-07,0.0
7,128,127,8,1000000.0,128,128,0.24999992549419403,0.25,31.75,31.75,7.450580596923828e-08,0.0,2.310116547707408e-09
7,128,127,4,500000.0,128,128,0.17677661776542664,0.17677669529663687,22.450639724731445,22.450640302672884,7.753121022968656e-08,5.779414387063753e-07,3.2001148102950294e-09
7,128,127,2,250000.0,128,128,0.12499990314245224,0.125,15.875,15.875,9.685754776000977e-08,0.0,6.006303046937611e-09
7,128,127,1,125000.0,0,0,11.313708305358887,11.313708498984761,11.313708305358887,11.313708498984761,1.9362587444504697e-07,1.9362587444504697e-07,0.0
