trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,signal_power,added_noise_power,timing_error_samples_1m,cfo_error_bins,cfo_error_hz,decision,correct,true_margin_db,true_power
7:0,14.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.461110784836597e-08,8.905143757334474e-06,0.0,-16.384,-500.0,3310,0,-14.066991637928364,0.0002037831621250069
7:0,14.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.461110784836597e-08,8.905143757334474e-06,0.0,0.0,0.0,3293,1,1.2650621168221146,0.006788045055202474
7:0,14.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.461110784836597e-08,8.905143757334474e-06,0.0,16.384,500.0,3277,0,-10.131813300819708,0.0005377791712126712
7:1,14.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.516800773616521e-08,8.995954468830487e-06,0.0,-16.384,-500.0,329,0,-11.829691620012014,0.000399830350390349
7:1,14.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.516800773616521e-08,8.995954468830487e-06,0.0,0.0,0.0,313,1,2.6009317738047044,0.0077916851696203104
7:1,14.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.516800773616521e-08,8.995954468830487e-06,0.0,16.384,500.0,297,0,-8.9355259098506,0.0008370998320585445
7:2,14.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490116890765393e-08,8.952442476095794e-06,0.0,-16.384,-500.0,1449,0,-15.62983215857686,0.00020811937647918777
7:2,14.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490116890765393e-08,8.952442476095794e-06,0.0,0.0,0.0,1433,1,0.9023565826575548,0.006568443266830093
7:2,14.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490116890765393e-08,8.952442476095794e-06,0.0,16.384,500.0,422,0,-16.649180626325034,0.00011553681920850947
7:3,14.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.706549947195974e-08,9.305368383899235e-06,0.0,-16.384,-500.0,2881,0,-22.748320627633603,4.113997472532751e-05
7:3,14.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.706549947195974e-08,9.305368383899235e-06,0.0,0.0,0.0,2865,1,0.6991248182310451,0.005690599617660885
7:3,14.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.706549947195974e-08,9.305368383899235e-06,0.0,16.384,500.0,2848,0,-11.366178840579845,0.0004411049022465946
